JOURS       ;MICRON/METER;
 0.0000E+000; 0.0000E+000;
 1.0000E+000;-5.8941E+000;
 2.0000E+000;-1.4734E+001;
 3.0000E+000;-2.2807E+001;
 4.0000E+000;-2.9602E+001;
 5.0000E+000;-3.5251E+001;
 6.0000E+000;-3.9979E+001;
 7.0000E+000;-4.3983E+001;
 8.0000E+000;-4.7414E+001;
 9.0000E+000;-5.0388E+001;
 1.0000E+001;-5.2992E+001;
 1.1000E+001;-5.5294E+001;
 1.2000E+001;-5.7346E+001;
 1.3000E+001;-5.9187E+001;
 1.4000E+001;-6.0851E+001;
 1.5000E+001;-6.2362E+001;
 1.6000E+001;-6.3742E+001;
 1.7000E+001;-6.5008E+001;
 1.8000E+001;-6.6174E+001;
 1.9000E+001;-6.7252E+001;
 2.0000E+001;-6.8252E+001;
 2.1000E+001;-6.9182E+001;
 2.2000E+001;-7.0051E+001;
 2.3000E+001;-7.0864E+001;
 2.4000E+001;-7.1627E+001;
 2.5000E+001;-7.2344E+001;
 2.6000E+001;-7.3020E+001;
 2.7000E+001;-7.3658E+001;
 2.8000E+001;-7.4262E+001;
 2.9000E+001;-7.4834E+001;
 3.0000E+001;-7.5376E+001;
 3.1000E+001;-7.5892E+001;
 3.2000E+001;-7.6383E+001;
 3.3000E+001;-7.6851E+001;
 3.4000E+001;-7.7298E+001;
 3.5000E+001;-7.7725E+001;
 3.6000E+001;-7.8133E+001;
 3.7000E+001;-7.8524E+001;
 3.8000E+001;-7.8899E+001;
 3.9000E+001;-7.9259E+001;
 4.0000E+001;-7.9604E+001;
 4.1000E+001;-7.9936E+001;
 4.2000E+001;-8.0256E+001;
 4.3000E+001;-8.0564E+001;
 4.4000E+001;-8.0860E+001;
 4.5000E+001;-8.1146E+001;
 4.6000E+001;-8.1422E+001;
 4.7000E+001;-8.1689E+001;
 4.8000E+001;-8.1946E+001;
 4.9000E+001;-8.2195E+001;
 5.0000E+001;-8.2436E+001;
 5.1000E+001;-8.2670E+001;
 5.2000E+001;-8.2896E+001;
 5.3000E+001;-8.3115E+001;
 5.4000E+001;-8.3327E+001;
 5.5000E+001;-8.3533E+001;
 5.6000E+001;-8.3733E+001;
 5.7000E+001;-8.3928E+001;
 5.8000E+001;-8.4117E+001;
 5.9000E+001;-8.4300E+001;
 6.0000E+001;-8.4479E+001;
 6.1000E+001;-8.4652E+001;
 6.2000E+001;-8.4821E+001;
 6.3000E+001;-8.4986E+001;
 6.4000E+001;-8.5146E+001;
 6.5000E+001;-8.5302E+001;
 6.6000E+001;-8.5454E+001;
 6.7000E+001;-8.5603E+001;
 6.8000E+001;-8.5747E+001;
 6.9000E+001;-8.5889E+001;
 7.0000E+001;-8.6026E+001;
 7.1000E+001;-8.6161E+001;
 7.2000E+001;-8.6292E+001;
 7.3000E+001;-8.6421E+001;
 7.4000E+001;-8.6546E+001;
 7.5000E+001;-8.6668E+001;
 7.6000E+001;-8.6788E+001;
 7.7000E+001;-8.6905E+001;
 7.8000E+001;-8.7020E+001;
 7.9000E+001;-8.7132E+001;
 8.0000E+001;-8.7242E+001;
 8.1000E+001;-8.7349E+001;
 8.2000E+001;-8.7454E+001;
 8.3000E+001;-8.7557E+001;
 8.4000E+001;-8.7658E+001;
 8.5000E+001;-8.7757E+001;
 8.6000E+001;-8.7854E+001;
 8.7000E+001;-8.7949E+001;
 8.8000E+001;-8.8042E+001;
 8.9000E+001;-8.8133E+001;
 9.0000E+001;-8.8223E+001;
 9.1000E+001;-8.8310E+001;
 9.2000E+001;-8.8397E+001;
 9.3000E+001;-8.8481E+001;
 9.4000E+001;-8.8564E+001;
 9.5000E+001;-8.8645E+001;
 9.6000E+001;-8.8725E+001;
 9.7000E+001;-8.8804E+001;
 9.8000E+001;-8.8881E+001;
 9.9000E+001;-8.8957E+001;
 1.0000E+002;-8.9031E+001;
 1.0100E+002;-8.9104E+001;
 1.0200E+002;-8.9176E+001;
 1.0300E+002;-8.9246E+001;
 1.0400E+002;-8.9316E+001;
 1.0500E+002;-8.9384E+001;
 1.0600E+002;-8.9451E+001;
 1.0700E+002;-8.9517E+001;
 1.0800E+002;-8.9582E+001;
 1.0900E+002;-8.9646E+001;
 1.1000E+002;-8.9708E+001;
 1.1100E+002;-8.9770E+001;
 1.1200E+002;-8.9831E+001;
 1.1300E+002;-8.9891E+001;
 1.1400E+002;-8.9949E+001;
 1.1500E+002;-9.0007E+001;
 1.1600E+002;-9.0064E+001;
 1.1700E+002;-9.0120E+001;
 1.1800E+002;-9.0176E+001;
 1.1900E+002;-9.0230E+001;
 1.2000E+002;-9.0284E+001;
