JOURS       ;MICRON/METER;
 0.0000E+000; 0.0000E+000;
 1.0000E+000;-8.0723E+000;
 2.0000E+000;-1.8413E+001;
 3.0000E+000;-2.7331E+001;
 4.0000E+000;-3.4554E+001;
 5.0000E+000;-4.0394E+001;
 6.0000E+000;-4.5181E+001;
 7.0000E+000;-4.9167E+001;
 8.0000E+000;-5.2538E+001;
 9.0000E+000;-5.5428E+001;
 1.0000E+001;-5.7936E+001;
 1.1000E+001;-6.0136E+001;
 1.2000E+001;-6.2082E+001;
 1.3000E+001;-6.3819E+001;
 1.4000E+001;-6.5379E+001;
 1.5000E+001;-6.6789E+001;
 1.6000E+001;-6.8071E+001;
 1.7000E+001;-6.9242E+001;
 1.8000E+001;-7.0317E+001;
 1.9000E+001;-7.1307E+001;
 2.0000E+001;-7.2223E+001;
 2.1000E+001;-7.3073E+001;
 2.2000E+001;-7.3864E+001;
 2.3000E+001;-7.4603E+001;
 2.4000E+001;-7.5294E+001;
 2.5000E+001;-7.5942E+001;
 2.6000E+001;-7.6552E+001;
 2.7000E+001;-7.7126E+001;
 2.8000E+001;-7.7668E+001;
 2.9000E+001;-7.8181E+001;
 3.0000E+001;-7.8667E+001;
 3.1000E+001;-7.9128E+001;
 3.2000E+001;-7.9566E+001;
 3.3000E+001;-7.9983E+001;
 3.4000E+001;-8.0380E+001;
 3.5000E+001;-8.0759E+001;
 3.6000E+001;-8.1121E+001;
 3.7000E+001;-8.1467E+001;
 3.8000E+001;-8.1799E+001;
 3.9000E+001;-8.2117E+001;
 4.0000E+001;-8.2421E+001;
 4.1000E+001;-8.2714E+001;
 4.2000E+001;-8.2995E+001;
 4.3000E+001;-8.3265E+001;
 4.4000E+001;-8.3526E+001;
 4.5000E+001;-8.3777E+001;
 4.6000E+001;-8.4018E+001;
 4.7000E+001;-8.4252E+001;
 4.8000E+001;-8.4477E+001;
 4.9000E+001;-8.4694E+001;
 5.0000E+001;-8.4904E+001;
 5.1000E+001;-8.5108E+001;
 5.2000E+001;-8.5305E+001;
 5.3000E+001;-8.5495E+001;
 5.4000E+001;-8.5680E+001;
 5.5000E+001;-8.5859E+001;
 5.6000E+001;-8.6032E+001;
 5.7000E+001;-8.6201E+001;
 5.8000E+001;-8.6364E+001;
 5.9000E+001;-8.6523E+001;
 6.0000E+001;-8.6677E+001;
 6.1000E+001;-8.6827E+001;
 6.2000E+001;-8.6973E+001;
 6.3000E+001;-8.7115E+001;
 6.4000E+001;-8.7253E+001;
 6.5000E+001;-8.7387E+001;
 6.6000E+001;-8.7518E+001;
 6.7000E+001;-8.7646E+001;
 6.8000E+001;-8.7770E+001;
 6.9000E+001;-8.7891E+001;
 7.0000E+001;-8.8009E+001;
 7.1000E+001;-8.8124E+001;
 7.2000E+001;-8.8237E+001;
 7.3000E+001;-8.8347E+001;
 7.4000E+001;-8.8454E+001;
 7.5000E+001;-8.8558E+001;
 7.6000E+001;-8.8661E+001;
 7.7000E+001;-8.8760E+001;
 7.8000E+001;-8.8858E+001;
 7.9000E+001;-8.8954E+001;
 8.0000E+001;-8.9047E+001;
 8.1000E+001;-8.9138E+001;
 8.2000E+001;-8.9228E+001;
 8.3000E+001;-8.9315E+001;
 8.4000E+001;-8.9401E+001;
 8.5000E+001;-8.9484E+001;
 8.6000E+001;-8.9566E+001;
 8.7000E+001;-8.9647E+001;
 8.8000E+001;-8.9725E+001;
 8.9000E+001;-8.9803E+001;
 9.0000E+001;-8.9878E+001;
 9.1000E+001;-8.9952E+001;
 9.2000E+001;-9.0025E+001;
 9.3000E+001;-9.0096E+001;
 9.4000E+001;-9.0166E+001;
 9.5000E+001;-9.0234E+001;
 9.6000E+001;-9.0302E+001;
 9.7000E+001;-9.0368E+001;
 9.8000E+001;-9.0432E+001;
 9.9000E+001;-9.0496E+001;
 1.0000E+002;-9.0558E+001;
 1.0100E+002;-9.0619E+001;
 1.0200E+002;-9.0680E+001;
 1.0300E+002;-9.0739E+001;
 1.0400E+002;-9.0797E+001;
 1.0500E+002;-9.0854E+001;
 1.0600E+002;-9.0910E+001;
 1.0700E+002;-9.0965E+001;
 1.0800E+002;-9.1019E+001;
 1.0900E+002;-9.1072E+001;
 1.1000E+002;-9.1124E+001;
 1.1100E+002;-9.1175E+001;
 1.1200E+002;-9.1226E+001;
 1.1300E+002;-9.1276E+001;
 1.1400E+002;-9.1325E+001;
 1.1500E+002;-9.1373E+001;
 1.1600E+002;-9.1420E+001;
 1.1700E+002;-9.1466E+001;
 1.1800E+002;-9.1512E+001;
 1.1900E+002;-9.1557E+001;
 1.2000E+002;-9.1601E+001;
