"Shrinkage_Strain"
-9.0522999999999996e+01
-8.9789000000000001e+01
-9.0518000000000001e+01
-9.1007999999999996e+01
-9.1908000000000001e+01
-9.2616000000000000e+01
-8.9775999999999996e+01
-9.0513000000000005e+01
-9.1423000000000002e+01
-9.0611999999999995e+01
-9.1224000000000004e+01
-9.1424000000000007e+01
-9.1856999999999999e+01
-9.2525999999999996e+01
-9.0375000000000000e+01
-8.9772999999999996e+01
-9.0986999999999995e+01
-9.0385000000000005e+01
-9.0829999999999998e+01
-9.1463999999999999e+01
-9.0096000000000004e+01
-9.1215999999999994e+01
-9.2427000000000007e+01
-9.2912999999999997e+01
-9.1817999999999998e+01
-9.1593999999999994e+01
-9.2635999999999996e+01
-9.2713999999999999e+01
-9.0718000000000004e+01
-9.1643000000000001e+01
