Time(min)   ;PG_00mm(MPa);Time(min)   ;PG_10mm(MPa);Time(min)   ;PG_20mm(MPa);Time(min)   ;PG_30mm(MPa);Time(min)   ;PG_40mm(MPa);Time(min)   ;PG_50mm(MPa);Time(min)   ;PG_120mm(MPa;
 0.0000E+000; 1.0132E-001; 0.0000E+000; 9.9966E-002; 0.0000E+000; 9.8871E-002; 0.0000E+000; 9.8029E-002; 0.0000E+000; 9.7433E-002; 0.0000E+000; 9.7079E-002; 0.0000E+000; 1.0132E-001;
 1.0000E+000; 1.0132E-001; 1.0000E+000; 8.8563E-002; 1.0000E+000; 9.8645E-002; 1.0000E+000; 9.8020E-002; 1.0000E+000; 9.7432E-002; 1.0000E+000; 9.7079E-002; 1.0000E+000; 1.0132E-001;
 2.0000E+000; 1.0132E-001; 2.0000E+000; 8.2602E-002; 2.0000E+000; 9.6318E-002; 2.0000E+000; 9.7902E-002; 2.0000E+000; 9.7424E-002; 2.0000E+000; 9.7078E-002; 2.0000E+000; 1.0132E-001;
 3.0000E+000; 1.0132E-001; 3.0000E+000; 9.6800E-002; 3.0000E+000; 8.8303E-002; 3.0000E+000; 9.7346E-002; 3.0000E+000; 9.7359E-002; 3.0000E+000; 9.7070E-002; 3.0000E+000; 1.0132E-001;
 4.0000E+000; 1.0132E-001; 4.0000E+000; 1.1502E-001; 4.0000E+000; 8.0268E-002; 4.0000E+000; 9.5071E-002; 4.0000E+000; 9.7154E-002; 4.0000E+000; 9.7036E-002; 4.0000E+000; 1.0132E-001;
 5.0000E+000; 1.0132E-001; 5.0000E+000; 1.3441E-001; 5.0000E+000; 7.5555E-002; 5.0000E+000; 8.9829E-002; 5.0000E+000; 9.6579E-002; 5.0000E+000; 9.6947E-002; 5.0000E+000; 1.0132E-001;
 6.0000E+000; 1.0132E-001; 6.0000E+000; 1.5503E-001; 6.0000E+000; 7.4107E-002; 6.0000E+000; 8.1770E-002; 6.0000E+000; 9.5132E-002; 6.0000E+000; 9.6755E-002; 6.0000E+000; 1.0132E-001;
 7.0000E+000; 1.0132E-001; 7.0000E+000; 1.7732E-001; 7.0000E+000; 7.5225E-002; 7.0000E+000; 7.2674E-002; 7.0000E+000; 9.2063E-002; 7.0000E+000; 9.6353E-002; 7.0000E+000; 1.0132E-001;
 8.0000E+000; 1.0132E-001; 8.0000E+000; 2.0175E-001; 8.0000E+000; 7.8374E-002; 8.0000E+000; 6.4720E-002; 8.0000E+000; 8.6600E-002; 8.0000E+000; 9.5524E-002; 8.0000E+000; 1.0132E-001;
 9.0000E+000; 1.0132E-001; 9.0000E+000; 2.2889E-001; 9.0000E+000; 8.3251E-002; 9.0000E+000; 5.9033E-002; 9.0000E+000; 7.8544E-002; 9.0000E+000; 9.3893E-002; 9.0000E+000; 1.0132E-001;
 1.0000E+001; 1.0132E-001; 1.0000E+001; 2.5951E-001; 1.0000E+001; 8.9791E-002; 1.0000E+001; 5.5694E-002; 1.0000E+001; 6.8944E-002; 1.0000E+001; 9.0893E-002; 1.0000E+001; 1.0132E-001;
 1.1000E+001; 1.0132E-001; 1.1000E+001; 2.9405E-001; 1.1000E+001; 9.8031E-002; 1.1000E+001; 5.4382E-002; 1.1000E+001; 5.9758E-002; 1.1000E+001; 8.5857E-002; 1.1000E+001; 1.0132E-001;
 1.2000E+001; 1.0132E-001; 1.2000E+001; 3.3291E-001; 1.2000E+001; 1.0805E-001; 1.2000E+001; 5.4732E-002; 1.2000E+001; 5.2465E-002; 1.2000E+001; 7.8421E-002; 1.2000E+001; 1.0132E-001;
