Time(min)   ;PG_00mm(MPa);Time(min)   ;PG_10mm(MPa);Time(min)   ;PG_20mm(MPa);Time(min)   ;PG_30mm(MPa);Time(min)   ;PG_40mm(MPa);Time(min)   ;PG_50mm(MPa);Time(min)   ;PG_120mm(MPa;
 0.0000E+000; 1.0132E-001; 0.0000E+000; 9.9966E-002; 0.0000E+000; 9.8871E-002; 0.0000E+000; 9.8029E-002; 0.0000E+000; 9.7433E-002; 0.0000E+000; 9.7079E-002; 0.0000E+000; 1.0132E-001;
 1.0000E+000; 1.0132E-001; 1.0000E+000; 8.6758E-002; 1.0000E+000; 9.8638E-002; 1.0000E+000; 9.8020E-002; 1.0000E+000; 9.7432E-002; 1.0000E+000; 9.7079E-002; 1.0000E+000; 1.0132E-001;
 2.0000E+000; 1.0132E-001; 2.0000E+000; 8.1645E-002; 2.0000E+000; 9.5860E-002; 2.0000E+000; 9.7893E-002; 2.0000E+000; 9.7423E-002; 2.0000E+000; 9.7078E-002; 2.0000E+000; 1.0132E-001;
 3.0000E+000; 1.0132E-001; 3.0000E+000; 9.7390E-002; 3.0000E+000; 8.6441E-002; 3.0000E+000; 9.7258E-002; 3.0000E+000; 9.7353E-002; 3.0000E+000; 9.7070E-002; 3.0000E+000; 1.0132E-001;
 4.0000E+000; 1.0132E-001; 4.0000E+000; 1.1657E-001; 4.0000E+000; 7.7238E-002; 4.0000E+000; 9.4496E-002; 4.0000E+000; 9.7127E-002; 4.0000E+000; 9.7032E-002; 4.0000E+000; 1.0132E-001;
 5.0000E+000; 1.0132E-001; 5.0000E+000; 1.3694E-001; 5.0000E+000; 7.1933E-002; 5.0000E+000; 8.7966E-002; 5.0000E+000; 9.6460E-002; 5.0000E+000; 9.6936E-002; 5.0000E+000; 1.0132E-001;
 6.0000E+000; 1.0132E-001; 6.0000E+000; 1.5879E-001; 6.0000E+000; 7.0307E-002; 6.0000E+000; 7.7949E-002; 6.0000E+000; 9.4681E-002; 6.0000E+000; 9.6722E-002; 6.0000E+000; 1.0132E-001;
 7.0000E+000; 1.0132E-001; 7.0000E+000; 1.8267E-001; 7.0000E+000; 7.1514E-002; 7.0000E+000; 6.7161E-002; 7.0000E+000; 9.0701E-002; 7.0000E+000; 9.6254E-002; 7.0000E+000; 1.0132E-001;
 8.0000E+000; 1.0132E-001; 8.0000E+000; 2.0920E-001; 8.0000E+000; 7.4927E-002; 8.0000E+000; 5.8469E-002; 8.0000E+000; 8.3381E-002; 8.0000E+000; 9.5233E-002; 8.0000E+000; 1.0132E-001;
 9.0000E+000; 1.0132E-001; 9.0000E+000; 2.3933E-001; 9.0000E+000; 8.0273E-002; 9.0000E+000; 5.2826E-002; 9.0000E+000; 7.2755E-002; 9.0000E+000; 9.3081E-002; 9.0000E+000; 1.0132E-001;
 1.0000E+001; 1.0132E-001; 1.0000E+001; 2.7364E-001; 1.0000E+001; 8.7494E-002; 1.0000E+001; 4.9936E-002; 1.0000E+001; 6.1107E-002; 1.0000E+001; 8.8868E-002; 1.0000E+001; 1.0132E-001;
 1.1000E+001; 1.0132E-001; 1.1000E+001; 3.1269E-001; 1.1000E+001; 9.6618E-002; 1.1000E+001; 4.9210E-002; 1.1000E+001; 5.1325E-002; 1.1000E+001; 8.1568E-002; 1.1000E+001; 1.0132E-001;
 1.2000E+001; 1.0132E-001; 1.2000E+001; 3.5728E-001; 1.2000E+001; 1.0779E-001; 1.2000E+001; 5.0174E-002; 1.2000E+001; 4.4527E-002; 1.2000E+001; 7.1122E-002; 1.2000E+001; 1.0132E-001;
 1.3000E+001; 1.0132E-001; 1.3000E+001; 4.0798E-001; 1.3000E+001; 1.2126E-001; 1.3000E+001; 5.2560E-002; 1.3000E+001; 4.0413E-002; 1.3000E+001; 5.9489E-002; 1.3000E+001; 1.0132E-001;
 1.4000E+001; 1.0132E-001; 1.4000E+001; 4.6515E-001; 1.4000E+001; 1.3731E-001; 1.4000E+001; 5.6234E-002; 1.4000E+001; 3.8338E-002; 1.4000E+001; 4.9402E-002; 1.4000E+001; 1.0132E-001;
 1.5000E+001; 1.0132E-001; 1.5000E+001; 5.2917E-001; 1.5000E+001; 1.5625E-001; 1.5000E+001; 6.1160E-002; 1.5000E+001; 3.7765E-002; 1.5000E+001; 4.2089E-002; 1.5000E+001; 1.0132E-001;
 1.6000E+001; 1.0132E-001; 1.6000E+001; 6.0016E-001; 1.6000E+001; 1.7859E-001; 1.6000E+001; 6.7388E-002; 1.6000E+001; 3.8347E-002; 1.6000E+001; 3.7338E-002; 1.6000E+001; 1.0132E-001;
 1.7000E+001; 1.0132E-001; 1.7000E+001; 6.7818E-001; 1.7000E+001; 2.0497E-001; 1.7000E+001; 7.5066E-002; 1.7000E+001; 3.9902E-002; 1.7000E+001; 3.4541E-002; 1.7000E+001; 1.0132E-001;
 1.8000E+001; 1.0132E-001; 1.8000E+001; 7.6324E-001; 1.8000E+001; 2.3606E-001; 1.8000E+001; 8.4384E-002; 1.8000E+001; 4.2348E-002; 1.8000E+001; 3.3167E-002; 1.8000E+001; 1.0132E-001;
 1.9000E+001; 1.0132E-001; 1.9000E+001; 8.5493E-001; 1.9000E+001; 2.7270E-001; 1.9000E+001; 9.5597E-002; 1.9000E+001; 4.5673E-002; 1.9000E+001; 3.2858E-002; 1.9000E+001; 1.0132E-001;
 2.0000E+001; 1.0132E-001; 2.0000E+001; 9.5228E-001; 2.0000E+001; 3.1579E-001; 2.0000E+001; 1.0903E-001; 2.0000E+001; 4.9917E-002; 2.0000E+001; 3.3394E-002; 2.0000E+001; 1.0132E-001;
