Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 2.4000E+001; 2.0996E+002; 2.4000E+001; 1.6029E+002; 2.4000E+001; 1.2184E+002; 2.4000E+001; 9.1844E+001; 2.4000E+001; 6.9252E+001; 2.4000E+001; 5.2754E+001; 2.4000E+001; 2.0947E+001;
 2.5000E+001; 2.1342E+002; 2.5000E+001; 1.6372E+002; 2.5000E+001; 1.2513E+002; 2.5000E+001; 9.4797E+001; 2.5000E+001; 7.1768E+001; 2.5000E+001; 5.4803E+001; 2.5000E+001; 2.1206E+001;
 2.6000E+001; 2.1674E+002; 2.6000E+001; 1.6705E+002; 2.6000E+001; 1.2834E+002; 2.6000E+001; 9.7701E+001; 2.6000E+001; 7.4262E+001; 2.6000E+001; 5.6851E+001; 2.6000E+001; 2.1492E+001;
 2.7000E+001; 2.1993E+002; 2.7000E+001; 1.7027E+002; 2.7000E+001; 1.3147E+002; 2.7000E+001; 1.0056E+002; 2.7000E+001; 7.6732E+001; 2.7000E+001; 5.8897E+001; 2.7000E+001; 2.1804E+001;
 2.8000E+001; 2.2301E+002; 2.8000E+001; 1.7339E+002; 2.8000E+001; 1.3452E+002; 2.8000E+001; 1.0336E+002; 2.8000E+001; 7.9178E+001; 2.8000E+001; 6.0938E+001; 2.8000E+001; 2.2143E+001;
 2.9000E+001; 2.2598E+002; 2.9000E+001; 1.7642E+002; 2.9000E+001; 1.3751E+002; 2.9000E+001; 1.0611E+002; 2.9000E+001; 8.1596E+001; 2.9000E+001; 6.2973E+001; 2.9000E+001; 2.2509E+001;
 3.0000E+001; 2.2887E+002; 3.0000E+001; 1.7937E+002; 3.0000E+001; 1.4041E+002; 3.0000E+001; 1.0882E+002; 3.0000E+001; 8.3988E+001; 3.0000E+001; 6.4999E+001; 3.0000E+001; 2.2901E+001;
 3.1000E+001; 2.3166E+002; 3.1000E+001; 1.8224E+002; 3.1000E+001; 1.4325E+002; 3.1000E+001; 1.1147E+002; 3.1000E+001; 8.6352E+001; 3.1000E+001; 6.7017E+001; 3.1000E+001; 2.3320E+001;
 3.2000E+001; 2.3438E+002; 3.2000E+001; 1.8503E+002; 3.2000E+001; 1.4603E+002; 3.2000E+001; 1.1408E+002; 3.2000E+001; 8.8687E+001; 3.2000E+001; 6.9023E+001; 3.2000E+001; 2.3765E+001;
 3.3000E+001; 2.3703E+002; 3.3000E+001; 1.8775E+002; 3.3000E+001; 1.4874E+002; 3.3000E+001; 1.1664E+002; 3.3000E+001; 9.0993E+001; 3.3000E+001; 7.1018E+001; 3.3000E+001; 2.4236E+001;
 3.4000E+001; 2.3961E+002; 3.4000E+001; 1.9040E+002; 3.4000E+001; 1.5139E+002; 3.4000E+001; 1.1915E+002; 3.4000E+001; 9.3271E+001; 3.4000E+001; 7.2999E+001; 3.4000E+001; 2.4732E+001;
 3.5000E+001; 2.4212E+002; 3.5000E+001; 1.9299E+002; 3.5000E+001; 1.5398E+002; 3.5000E+001; 1.2162E+002; 3.5000E+001; 9.5519E+001; 3.5000E+001; 7.4968E+001; 3.5000E+001; 2.5252E+001;
 3.6000E+001; 2.4458E+002; 3.6000E+001; 1.9552E+002; 3.6000E+001; 1.5652E+002; 3.6000E+001; 1.2405E+002; 3.6000E+001; 9.7738E+001; 3.6000E+001; 7.6922E+001; 3.6000E+001; 2.5797E+001;
 3.7000E+001; 2.4698E+002; 3.7000E+001; 1.9799E+002; 3.7000E+001; 1.5900E+002; 3.7000E+001; 1.2643E+002; 3.7000E+001; 9.9929E+001; 3.7000E+001; 7.8861E+001; 3.7000E+001; 2.6365E+001;
 3.8000E+001; 2.4933E+002; 3.8000E+001; 2.0042E+002; 3.8000E+001; 1.6143E+002; 3.8000E+001; 1.2878E+002; 3.8000E+001; 1.0209E+002; 3.8000E+001; 8.0785E+001; 3.8000E+001; 2.6956E+001;
 3.9000E+001; 2.5162E+002; 3.9000E+001; 2.0280E+002; 3.9000E+001; 1.6381E+002; 3.9000E+001; 1.3108E+002; 3.9000E+001; 1.0423E+002; 3.9000E+001; 8.2694E+001; 3.9000E+001; 2.7568E+001;
 4.0000E+001; 2.5387E+002; 4.0000E+001; 2.0514E+002; 4.0000E+001; 1.6615E+002; 4.0000E+001; 1.3335E+002; 4.0000E+001; 1.0633E+002; 4.0000E+001; 8.4587E+001; 4.0000E+001; 2.8202E+001;
 4.1000E+001; 2.5607E+002; 4.1000E+001; 2.0744E+002; 4.1000E+001; 1.6844E+002; 4.1000E+001; 1.3558E+002; 4.1000E+001; 1.0842E+002; 4.1000E+001; 8.6464E+001; 4.1000E+001; 2.8857E+001;
 4.2000E+001; 2.5822E+002; 4.2000E+001; 2.0971E+002; 4.2000E+001; 1.7069E+002; 4.2000E+001; 1.3777E+002; 4.2000E+001; 1.1047E+002; 4.2000E+001; 8.8326E+001; 4.2000E+001; 2.9531E+001;
 4.3000E+001; 2.6033E+002; 4.3000E+001; 2.1194E+002; 4.3000E+001; 1.7289E+002; 4.3000E+001; 1.3993E+002; 4.3000E+001; 1.1250E+002; 4.3000E+001; 9.0172E+001; 4.3000E+001; 3.0224E+001;
 4.4000E+001; 2.6240E+002; 4.4000E+001; 2.1413E+002; 4.4000E+001; 1.7506E+002; 4.4000E+001; 1.4206E+002; 4.4000E+001; 1.1451E+002; 4.4000E+001; 9.2002E+001; 4.4000E+001; 3.0936E+001;
 4.5000E+001; 2.6444E+002; 4.5000E+001; 2.1629E+002; 4.5000E+001; 1.7718E+002; 4.5000E+001; 1.4415E+002; 4.5000E+001; 1.1649E+002; 4.5000E+001; 9.3818E+001; 4.5000E+001; 3.1665E+001;
 4.6000E+001; 2.6643E+002; 4.6000E+001; 2.1841E+002; 4.6000E+001; 1.7927E+002; 4.6000E+001; 1.4622E+002; 4.6000E+001; 1.1845E+002; 4.6000E+001; 9.5618E+001; 4.6000E+001; 3.2411E+001;
 4.7000E+001; 2.6839E+002; 4.7000E+001; 2.2050E+002; 4.7000E+001; 1.8133E+002; 4.7000E+001; 1.4825E+002; 4.7000E+001; 1.2038E+002; 4.7000E+001; 9.7402E+001; 4.7000E+001; 3.3172E+001;
 4.8000E+001; 2.7031E+002; 4.8000E+001; 2.2255E+002; 4.8000E+001; 1.8334E+002; 4.8000E+001; 1.5026E+002; 4.8000E+001; 1.2229E+002; 4.8000E+001; 9.9173E+001; 4.8000E+001; 3.3949E+001;
 4.9000E+001; 2.7220E+002; 4.9000E+001; 2.2457E+002; 4.9000E+001; 1.8533E+002; 4.9000E+001; 1.5224E+002; 4.9000E+001; 1.2418E+002; 4.9000E+001; 1.0093E+002; 4.9000E+001; 3.4741E+001;
 5.0000E+001; 2.7405E+002; 5.0000E+001; 2.2655E+002; 5.0000E+001; 1.8728E+002; 5.0000E+001; 1.5419E+002; 5.0000E+001; 1.2605E+002; 5.0000E+001; 1.0267E+002; 5.0000E+001; 3.5546E+001;
 5.1000E+001; 2.7587E+002; 5.1000E+001; 2.2851E+002; 5.1000E+001; 1.8920E+002; 5.1000E+001; 1.5611E+002; 5.1000E+001; 1.2790E+002; 5.1000E+001; 1.0440E+002; 5.1000E+001; 3.6364E+001;
