Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0016E+001; 0.0000E+000; 2.0014E+001;
 1.0000E+000; 6.6667E+001; 1.0000E+000; 2.6634E+001; 1.0000E+000; 2.0293E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 2.0016E+001; 1.0000E+000; 1.9337E+001;
 2.0000E+000; 8.5042E+001; 2.0000E+000; 3.8451E+001; 2.0000E+000; 2.3358E+001; 2.0000E+000; 2.0399E+001; 2.0000E+000; 2.0045E+001; 2.0000E+000; 2.0017E+001; 2.0000E+000; 1.9221E+001;
 3.0000E+000; 9.7953E+001; 3.0000E+000; 4.9119E+001; 3.0000E+000; 2.8111E+001; 3.0000E+000; 2.1675E+001; 3.0000E+000; 2.0268E+001; 3.0000E+000; 2.0045E+001; 3.0000E+000; 1.9193E+001;
 4.0000E+000; 1.0824E+002; 4.0000E+000; 5.8435E+001; 4.0000E+000; 3.3464E+001; 4.0000E+000; 2.3756E+001; 4.0000E+000; 2.0838E+001; 4.0000E+000; 2.0160E+001; 4.0000E+000; 1.9201E+001;
 5.0000E+000; 1.1719E+002; 5.0000E+000; 6.6696E+001; 5.0000E+000; 3.8920E+001; 5.0000E+000; 2.6392E+001; 5.0000E+000; 2.1792E+001; 5.0000E+000; 2.0424E+001; 5.0000E+000; 1.9227E+001;
 6.0000E+000; 1.2536E+002; 6.0000E+000; 7.4201E+001; 6.0000E+000; 4.4290E+001; 6.0000E+000; 2.9374E+001; 6.0000E+000; 2.3090E+001; 6.0000E+000; 2.0873E+001; 6.0000E+000; 1.9259E+001;
 7.0000E+000; 1.3300E+002; 7.0000E+000; 8.1159E+001; 7.0000E+000; 4.9516E+001; 7.0000E+000; 3.2561E+001; 7.0000E+000; 2.4671E+001; 7.0000E+000; 2.1514E+001; 7.0000E+000; 1.9293E+001;
 8.0000E+000; 1.4022E+002; 8.0000E+000; 8.7702E+001; 8.0000E+000; 5.4591E+001; 8.0000E+000; 3.5866E+001; 8.0000E+000; 2.6475E+001; 8.0000E+000; 2.2338E+001; 8.0000E+000; 1.9326E+001;
 9.0000E+000; 1.4712E+002; 9.0000E+000; 9.3916E+001; 9.0000E+000; 5.9521E+001; 9.0000E+000; 3.9234E+001; 9.0000E+000; 2.8450E+001; 9.0000E+000; 2.3328E+001; 9.0000E+000; 1.9359E+001;
 1.0000E+001; 1.5371E+002; 1.0000E+001; 9.9859E+001; 1.0000E+001; 6.4320E+001; 1.0000E+001; 4.2633E+001; 1.0000E+001; 3.0557E+001; 1.0000E+001; 2.4464E+001; 1.0000E+001; 1.9389E+001;
 1.1000E+001; 1.6004E+002; 1.1000E+001; 1.0557E+002; 1.1000E+001; 6.8997E+001; 1.1000E+001; 4.6043E+001; 1.1000E+001; 3.2765E+001; 1.1000E+001; 2.5728E+001; 1.1000E+001; 1.9418E+001;
 1.2000E+001; 1.6613E+002; 1.2000E+001; 1.1108E+002; 1.2000E+001; 7.3561E+001; 1.2000E+001; 4.9452E+001; 1.2000E+001; 3.5050E+001; 1.2000E+001; 2.7100E+001; 1.2000E+001; 1.9446E+001;
 1.3000E+001; 1.7197E+002; 1.3000E+001; 1.1639E+002; 1.3000E+001; 7.8021E+001; 1.3000E+001; 5.2848E+001; 1.3000E+001; 3.7394E+001; 1.3000E+001; 2.8565E+001; 1.3000E+001; 1.9475E+001;
 1.4000E+001; 1.7759E+002; 1.4000E+001; 1.2153E+002; 1.4000E+001; 8.2382E+001; 1.4000E+001; 5.6226E+001; 1.4000E+001; 3.9785E+001; 1.4000E+001; 3.0109E+001; 1.4000E+001; 1.9504E+001;
 1.5000E+001; 1.8300E+002; 1.5000E+001; 1.2651E+002; 1.5000E+001; 8.6647E+001; 1.5000E+001; 5.9581E+001; 1.5000E+001; 4.2211E+001; 1.5000E+001; 3.1719E+001; 1.5000E+001; 1.9537E+001;
 1.6000E+001; 1.8820E+002; 1.6000E+001; 1.3133E+002; 1.6000E+001; 9.0819E+001; 1.6000E+001; 6.2908E+001; 1.6000E+001; 4.4663E+001; 1.6000E+001; 3.3387E+001; 1.6000E+001; 1.9574E+001;
 1.7000E+001; 1.9321E+002; 1.7000E+001; 1.3599E+002; 1.7000E+001; 9.4900E+001; 1.7000E+001; 6.6205E+001; 1.7000E+001; 4.7134E+001; 1.7000E+001; 3.5105E+001; 1.7000E+001; 1.9617E+001;
 1.8000E+001; 1.9804E+002; 1.8000E+001; 1.4051E+002; 1.8000E+001; 9.8894E+001; 1.8000E+001; 6.9468E+001; 1.8000E+001; 4.9618E+001; 1.8000E+001; 3.6866E+001; 1.8000E+001; 1.9668E+001;
 1.9000E+001; 2.0268E+002; 1.9000E+001; 1.4488E+002; 1.9000E+001; 1.0280E+002; 1.9000E+001; 7.2695E+001; 1.9000E+001; 5.2108E+001; 1.9000E+001; 3.8662E+001; 1.9000E+001; 1.9728E+001;
 2.0000E+001; 2.0714E+002; 2.0000E+001; 1.4911E+002; 2.0000E+001; 1.0662E+002; 2.0000E+001; 7.5884E+001; 2.0000E+001; 5.4601E+001; 2.0000E+001; 4.0489E+001; 2.0000E+001; 1.9799E+001;
 2.1000E+001; 2.1142E+002; 2.1000E+001; 1.5320E+002; 2.1000E+001; 1.1036E+002; 2.1000E+001; 7.9033E+001; 2.1000E+001; 5.7092E+001; 2.1000E+001; 4.2342E+001; 2.1000E+001; 1.9882E+001;
 2.2000E+001; 2.1553E+002; 2.2000E+001; 1.5715E+002; 2.2000E+001; 1.1401E+002; 2.2000E+001; 8.2141E+001; 2.2000E+001; 5.9578E+001; 2.2000E+001; 4.4216E+001; 2.2000E+001; 1.9979E+001;
 2.3000E+001; 2.1944E+002; 2.3000E+001; 1.6097E+002; 2.3000E+001; 1.1757E+002; 2.3000E+001; 8.5206E+001; 2.3000E+001; 6.2055E+001; 2.3000E+001; 4.6107E+001; 2.3000E+001; 2.0091E+001;
 2.4000E+001; 2.2317E+002; 2.4000E+001; 1.6465E+002; 2.4000E+001; 1.2105E+002; 2.4000E+001; 8.8227E+001; 2.4000E+001; 6.4521E+001; 2.4000E+001; 4.8011E+001; 2.4000E+001; 2.0219E+001;
 2.5000E+001; 2.2672E+002; 2.5000E+001; 1.6821E+002; 2.5000E+001; 1.2444E+002; 2.5000E+001; 9.1203E+001; 2.5000E+001; 6.6974E+001; 2.5000E+001; 4.9926E+001; 2.5000E+001; 2.0364E+001;
 2.6000E+001; 2.3012E+002; 2.6000E+001; 1.7165E+002; 2.6000E+001; 1.2774E+002; 2.6000E+001; 9.4131E+001; 2.6000E+001; 6.9410E+001; 2.6000E+001; 5.1847E+001; 2.6000E+001; 2.0527E+001;
 2.7000E+001; 2.3338E+002; 2.7000E+001; 1.7497E+002; 2.7000E+001; 1.3097E+002; 2.7000E+001; 9.7011E+001; 2.7000E+001; 7.1828E+001; 2.7000E+001; 5.3773E+001; 2.7000E+001; 2.0708E+001;
 2.8000E+001; 2.3651E+002; 2.8000E+001; 1.7819E+002; 2.8000E+001; 1.3411E+002; 2.8000E+001; 9.9842E+001; 2.8000E+001; 7.4226E+001; 2.8000E+001; 5.5701E+001; 2.8000E+001; 2.0909E+001;
 2.9000E+001; 2.3954E+002; 2.9000E+001; 1.8131E+002; 2.9000E+001; 1.3717E+002; 2.9000E+001; 1.0262E+002; 2.9000E+001; 7.6602E+001; 2.9000E+001; 5.7629E+001; 2.9000E+001; 2.1130E+001;
 3.0000E+001; 2.4247E+002; 3.0000E+001; 1.8434E+002; 3.0000E+001; 1.4015E+002; 3.0000E+001; 1.0535E+002; 3.0000E+001; 7.8955E+001; 3.0000E+001; 5.9554E+001; 3.0000E+001; 2.1370E+001;
 3.1000E+001; 2.4530E+002; 3.1000E+001; 1.8728E+002; 3.1000E+001; 1.4306E+002; 3.1000E+001; 1.0804E+002; 3.1000E+001; 8.1283E+001; 3.1000E+001; 6.1475E+001; 3.1000E+001; 2.1631E+001;
 3.2000E+001; 2.4806E+002; 3.2000E+001; 1.9013E+002; 3.2000E+001; 1.4590E+002; 3.2000E+001; 1.1067E+002; 3.2000E+001; 8.3585E+001; 3.2000E+001; 6.3390E+001; 3.2000E+001; 2.1912E+001;
 3.3000E+001; 2.5073E+002; 3.3000E+001; 1.9291E+002; 3.3000E+001; 1.4868E+002; 3.3000E+001; 1.1326E+002; 3.3000E+001; 8.5862E+001; 3.3000E+001; 6.5297E+001; 3.3000E+001; 2.2213E+001;
 3.4000E+001; 2.5334E+002; 3.4000E+001; 1.9562E+002; 3.4000E+001; 1.5139E+002; 3.4000E+001; 1.1579E+002; 3.4000E+001; 8.8111E+001; 3.4000E+001; 6.7195E+001; 3.4000E+001; 2.2535E+001;
 3.5000E+001; 2.5588E+002; 3.5000E+001; 1.9826E+002; 3.5000E+001; 1.5403E+002; 3.5000E+001; 1.1829E+002; 3.5000E+001; 9.0333E+001; 3.5000E+001; 6.9083E+001; 3.5000E+001; 2.2878E+001;
 3.6000E+001; 2.5836E+002; 3.6000E+001; 2.0083E+002; 3.6000E+001; 1.5662E+002; 3.6000E+001; 1.2074E+002; 3.6000E+001; 9.2528E+001; 3.6000E+001; 7.0961E+001; 3.6000E+001; 2.3240E+001;
 3.7000E+001; 2.6077E+002; 3.7000E+001; 2.0336E+002; 3.7000E+001; 1.5915E+002; 3.7000E+001; 1.2314E+002; 3.7000E+001; 9.4696E+001; 3.7000E+001; 7.2826E+001; 3.7000E+001; 2.3622E+001;
 3.8000E+001; 2.6313E+002; 3.8000E+001; 2.0583E+002; 3.8000E+001; 1.6162E+002; 3.8000E+001; 1.2551E+002; 3.8000E+001; 9.6836E+001; 3.8000E+001; 7.4679E+001; 3.8000E+001; 2.4024E+001;
 3.9000E+001; 2.6543E+002; 3.9000E+001; 2.0826E+002; 3.9000E+001; 1.6404E+002; 3.9000E+001; 1.2783E+002; 3.9000E+001; 9.8950E+001; 3.9000E+001; 7.6519E+001; 3.9000E+001; 2.4446E+001;
 4.0000E+001; 2.6767E+002; 4.0000E+001; 2.1065E+002; 4.0000E+001; 1.6642E+002; 4.0000E+001; 1.3012E+002; 4.0000E+001; 1.0104E+002; 4.0000E+001; 7.8345E+001; 4.0000E+001; 2.4886E+001;
 4.1000E+001; 2.6987E+002; 4.1000E+001; 2.1300E+002; 4.1000E+001; 1.6874E+002; 4.1000E+001; 1.3236E+002; 4.1000E+001; 1.0310E+002; 4.1000E+001; 8.0157E+001; 4.1000E+001; 2.5346E+001;
 4.2000E+001; 2.7202E+002; 4.2000E+001; 2.1530E+002; 4.2000E+001; 1.7102E+002; 4.2000E+001; 1.3457E+002; 4.2000E+001; 1.0513E+002; 4.2000E+001; 8.1956E+001; 4.2000E+001; 2.5823E+001;
 4.3000E+001; 2.7412E+002; 4.3000E+001; 2.1757E+002; 4.3000E+001; 1.7325E+002; 4.3000E+001; 1.3675E+002; 4.3000E+001; 1.0714E+002; 4.3000E+001; 8.3740E+001; 4.3000E+001; 2.6318E+001;
 4.4000E+001; 2.7618E+002; 4.4000E+001; 2.1980E+002; 4.4000E+001; 1.7544E+002; 4.4000E+001; 1.3889E+002; 4.4000E+001; 1.0913E+002; 4.4000E+001; 8.5510E+001; 4.4000E+001; 2.6831E+001;
 4.5000E+001; 2.7820E+002; 4.5000E+001; 2.2199E+002; 4.5000E+001; 1.7758E+002; 4.5000E+001; 1.4099E+002; 4.5000E+001; 1.1109E+002; 4.5000E+001; 8.7265E+001; 4.5000E+001; 2.7360E+001;
 4.6000E+001; 2.8017E+002; 4.6000E+001; 2.2414E+002; 4.6000E+001; 1.7969E+002; 4.6000E+001; 1.4307E+002; 4.6000E+001; 1.1303E+002; 4.6000E+001; 8.9007E+001; 4.6000E+001; 2.7906E+001;
 4.7000E+001; 2.8211E+002; 4.7000E+001; 2.2625E+002; 4.7000E+001; 1.8176E+002; 4.7000E+001; 1.4511E+002; 4.7000E+001; 1.1494E+002; 4.7000E+001; 9.0734E+001; 4.7000E+001; 2.8467E+001;
 4.8000E+001; 2.8400E+002; 4.8000E+001; 2.2832E+002; 4.8000E+001; 1.8378E+002; 4.8000E+001; 1.4712E+002; 4.8000E+001; 1.1684E+002; 4.8000E+001; 9.2446E+001; 4.8000E+001; 2.9044E+001;
 4.9000E+001; 2.8586E+002; 4.9000E+001; 2.3035E+002; 4.9000E+001; 1.8578E+002; 4.9000E+001; 1.4910E+002; 4.9000E+001; 1.1870E+002; 4.9000E+001; 9.4145E+001; 4.9000E+001; 2.9635E+001;
 5.0000E+001; 2.8768E+002; 5.0000E+001; 2.3235E+002; 5.0000E+001; 1.8773E+002; 5.0000E+001; 1.5106E+002; 5.0000E+001; 1.2055E+002; 5.0000E+001; 9.5830E+001; 5.0000E+001; 3.0241E+001;
 5.1000E+001; 2.8947E+002; 5.1000E+001; 2.3431E+002; 5.1000E+001; 1.8966E+002; 5.1000E+001; 1.5298E+002; 5.1000E+001; 1.2238E+002; 5.1000E+001; 9.7500E+001; 5.1000E+001; 3.0861E+001;
