Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0014E+001;
 1.0000E+000; 5.9874E+001; 1.0000E+000; 2.7093E+001; 1.0000E+000; 2.0529E+001; 1.0000E+000; 2.0026E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 1.9393E+001;
 2.0000E+000; 7.5839E+001; 2.0000E+000; 3.8035E+001; 2.0000E+000; 2.4063E+001; 2.0000E+000; 2.0647E+001; 2.0000E+000; 2.0086E+001; 2.0000E+000; 2.0021E+001; 2.0000E+000; 1.9285E+001;
 3.0000E+000; 8.7378E+001; 3.0000E+000; 4.7737E+001; 3.0000E+000; 2.8970E+001; 3.0000E+000; 2.2274E+001; 3.0000E+000; 2.0462E+001; 3.0000E+000; 2.0086E+001; 3.0000E+000; 1.9258E+001;
 4.0000E+000; 9.6578E+001; 4.0000E+000; 5.6182E+001; 4.0000E+000; 3.4261E+001; 4.0000E+000; 2.4664E+001; 4.0000E+000; 2.1269E+001; 4.0000E+000; 2.0296E+001; 4.0000E+000; 1.9266E+001;
 5.0000E+000; 1.0449E+002; 5.0000E+000; 6.3646E+001; 5.0000E+000; 3.9533E+001; 5.0000E+000; 2.7526E+001; 5.0000E+000; 2.2488E+001; 5.0000E+000; 2.0712E+001; 5.0000E+000; 1.9289E+001;
 6.0000E+000; 1.1163E+002; 6.0000E+000; 7.0393E+001; 6.0000E+000; 4.4648E+001; 6.0000E+000; 3.0649E+001; 6.0000E+000; 2.4042E+001; 6.0000E+000; 2.1349E+001; 6.0000E+000; 1.9318E+001;
 7.0000E+000; 1.1825E+002; 7.0000E+000; 7.6615E+001; 7.0000E+000; 4.9572E+001; 7.0000E+000; 3.3906E+001; 7.0000E+000; 2.5851E+001; 7.0000E+000; 2.2197E+001; 7.0000E+000; 1.9349E+001;
 8.0000E+000; 1.2448E+002; 8.0000E+000; 8.2441E+001; 8.0000E+000; 5.4312E+001; 8.0000E+000; 3.7223E+001; 8.0000E+000; 2.7848E+001; 8.0000E+000; 2.3232E+001; 8.0000E+000; 1.9380E+001;
 9.0000E+000; 1.3040E+002; 9.0000E+000; 8.7955E+001; 9.0000E+000; 5.8887E+001; 9.0000E+000; 4.0557E+001; 9.0000E+000; 2.9980E+001; 9.0000E+000; 2.4426E+001; 9.0000E+000; 1.9411E+001;
 1.0000E+001; 1.3607E+002; 1.0000E+001; 9.3214E+001; 1.0000E+001; 6.3314E+001; 1.0000E+001; 4.3884E+001; 1.0000E+001; 3.2210E+001; 1.0000E+001; 2.5755E+001; 1.0000E+001; 1.9441E+001;
 1.1000E+001; 1.4152E+002; 1.1000E+001; 9.8258E+001; 1.1000E+001; 6.7609E+001; 1.1000E+001; 4.7192E+001; 1.1000E+001; 3.4509E+001; 1.1000E+001; 2.7194E+001; 1.1000E+001; 1.9473E+001;
 1.2000E+001; 1.4675E+002; 1.2000E+001; 1.0311E+002; 1.2000E+001; 7.1785E+001; 1.2000E+001; 5.0473E+001; 1.2000E+001; 3.6859E+001; 1.2000E+001; 2.8725E+001; 1.2000E+001; 1.9506E+001;
