"Shrinkage_Strain"
-9.2376999999999995e+01
-9.1600999999999999e+01
-8.9947000000000003e+01
-8.9751999999999995e+01
-9.3245000000000005e+01
-8.8715999999999994e+01
-8.8462000000000003e+01
-9.0856999999999999e+01
-9.0557000000000002e+01
-9.0340000000000003e+01
-9.2933000000000007e+01
-9.1826999999999998e+01
-9.2111000000000004e+01
-9.2849999999999994e+01
-9.0734999999999999e+01
-9.1076999999999998e+01
-9.0284000000000006e+01
-9.2013000000000005e+01
-8.9007999999999996e+01
-8.9341999999999999e+01
-9.1244000000000000e+01
-9.2191000000000003e+01
-9.3819000000000003e+01
-9.1680999999999997e+01
-9.0994000000000000e+01
-8.6921999999999997e+01
-8.7950999999999993e+01
-9.0138000000000005e+01
-9.1453999999999994e+01
-9.2540999999999997e+01
