Time(min)   ;HR_00mm     ;Time(min)   ;HR_10mm     ;Time(min)   ;HR_20mm     ;Time(min)   ;HR_30mm     ;Time(min)   ;HR_40mm     ;Time(min)   ;HR_50mm     ;Time(min)   ;HR_120mm    ;
 0.0000E+000; 4.9875E-001; 0.0000E+000; 4.8433E-001; 0.0000E+000; 4.7313E-001; 0.0000E+000; 4.6469E-001; 0.0000E+000; 4.5879E-001; 0.0000E+000; 4.5529E-001; 0.0000E+000; 4.9875E-001;
 1.0000E+000; 2.2044E-001; 1.0000E+000; 4.6171E-001; 1.0000E+000; 4.7115E-001; 1.0000E+000; 4.6452E-001; 1.0000E+000; 4.5878E-001; 1.0000E+000; 4.5529E-001; 1.0000E+000; 4.4194E-001;
 2.0000E+000; 1.0387E-001; 2.0000E+000; 4.5390E-001; 2.0000E+000; 4.7412E-001; 2.0000E+000; 4.6499E-001; 2.0000E+000; 4.5881E-001; 2.0000E+000; 4.5529E-001; 2.0000E+000; 4.0027E-001;
 3.0000E+000; 7.3734E-002; 3.0000E+000; 4.6850E-001; 3.0000E+000; 4.8179E-001; 3.0000E+000; 4.6702E-001; 3.0000E+000; 4.5916E-001; 3.0000E+000; 4.5534E-001; 3.0000E+000; 3.6824E-001;
 4.0000E+000; 5.7830E-002; 4.0000E+000; 4.9214E-001; 4.0000E+000; 4.9137E-001; 4.0000E+000; 4.7044E-001; 4.0000E+000; 4.6007E-001; 4.0000E+000; 4.5552E-001; 4.0000E+000; 3.4374E-001;
 5.0000E+000; 4.5869E-002; 5.0000E+000; 5.1637E-001; 5.0000E+000; 5.0124E-001; 5.0000E+000; 4.7481E-001; 5.0000E+000; 4.6161E-001; 5.0000E+000; 4.5593E-001; 5.0000E+000; 3.2495E-001;
 6.0000E+000; 3.6366E-002; 6.0000E+000; 5.3900E-001; 6.0000E+000; 5.1085E-001; 6.0000E+000; 4.7983E-001; 6.0000E+000; 4.6371E-001; 6.0000E+000; 4.5665E-001; 6.0000E+000; 3.1045E-001;
 7.0000E+000; 2.8869E-002; 7.0000E+000; 5.5966E-001; 7.0000E+000; 5.2003E-001; 7.0000E+000; 4.8523E-001; 7.0000E+000; 4.6629E-001; 7.0000E+000; 4.5768E-001; 7.0000E+000; 2.9917E-001;
 8.0000E+000; 2.3001E-002; 8.0000E+000; 5.7843E-001; 8.0000E+000; 5.2877E-001; 8.0000E+000; 4.9081E-001; 8.0000E+000; 4.6927E-001; 8.0000E+000; 4.5901E-001; 8.0000E+000; 2.9032E-001;
 9.0000E+000; 1.8470E-002; 9.0000E+000; 5.9589E-001; 9.0000E+000; 5.3712E-001; 9.0000E+000; 4.9643E-001; 9.0000E+000; 4.7259E-001; 9.0000E+000; 4.6062E-001; 9.0000E+000; 2.8331E-001;
 1.0000E+001; 1.4920E-002; 1.0000E+001; 6.1235E-001; 1.0000E+001; 5.4513E-001; 1.0000E+001; 5.0204E-001; 1.0000E+001; 4.7620E-001; 1.0000E+001; 4.6248E-001; 1.0000E+001; 2.7771E-001;
 1.1000E+001; 1.2087E-002; 1.1000E+001; 6.2763E-001; 1.1000E+001; 5.5279E-001; 1.1000E+001; 5.0759E-001; 1.1000E+001; 4.7999E-001; 1.1000E+001; 4.6457E-001; 1.1000E+001; 2.7319E-001;
 1.2000E+001; 9.8259E-003; 1.2000E+001; 6.4187E-001; 1.2000E+001; 5.6013E-001; 1.2000E+001; 5.1309E-001; 1.2000E+001; 4.8389E-001; 1.2000E+001; 4.6689E-001; 1.2000E+001; 2.6952E-001;
 1.3000E+001; 8.0219E-003; 1.3000E+001; 6.5525E-001; 1.3000E+001; 5.6717E-001; 1.3000E+001; 5.1851E-001; 1.3000E+001; 4.8781E-001; 1.3000E+001; 4.6943E-001; 1.3000E+001; 2.6651E-001;
 1.4000E+001; 6.5803E-003; 1.4000E+001; 6.6796E-001; 1.4000E+001; 5.7393E-001; 1.4000E+001; 5.2385E-001; 1.4000E+001; 4.9176E-001; 1.4000E+001; 4.7214E-001; 1.4000E+001; 2.6402E-001;
 1.5000E+001; 5.4255E-003; 1.5000E+001; 6.8012E-001; 1.5000E+001; 5.8043E-001; 1.5000E+001; 5.2912E-001; 1.5000E+001; 4.9573E-001; 1.5000E+001; 4.7496E-001; 1.5000E+001; 2.6191E-001;
 1.6000E+001; 4.4979E-003; 1.6000E+001; 6.9186E-001; 1.6000E+001; 5.8668E-001; 1.6000E+001; 5.3430E-001; 1.6000E+001; 4.9970E-001; 1.6000E+001; 4.7783E-001; 1.6000E+001; 2.6012E-001;
 1.7000E+001; 3.7510E-003; 1.7000E+001; 7.0325E-001; 1.7000E+001; 5.9270E-001; 1.7000E+001; 5.3940E-001; 1.7000E+001; 5.0367E-001; 1.7000E+001; 4.8073E-001; 1.7000E+001; 2.5855E-001;
 1.8000E+001; 3.1486E-003; 1.8000E+001; 7.1434E-001; 1.8000E+001; 5.9851E-001; 1.8000E+001; 5.4441E-001; 1.8000E+001; 5.0764E-001; 1.8000E+001; 4.8366E-001; 1.8000E+001; 2.5714E-001;
 1.9000E+001; 2.6632E-003; 1.9000E+001; 7.2519E-001; 1.9000E+001; 6.0416E-001; 1.9000E+001; 5.4934E-001; 1.9000E+001; 5.1160E-001; 1.9000E+001; 4.8661E-001; 1.9000E+001; 2.5585E-001;
