Time(min)   ;SW_00mm     ;Time(min)   ;SW_10mm     ;Time(min)   ;SW_20mm     ;Time(min)   ;SW_30mm     ;Time(min)   ;SW_40mm     ;Time(min)   ;SW_50mm     ;Time(min)   ;SW_120mm    ;
 0.0000E+000; 2.4202E-001; 0.0000E+000; 2.2781E-001; 0.0000E+000; 2.1827E-001; 0.0000E+000; 2.1143E-001; 0.0000E+000; 2.0681E-001; 0.0000E+000; 2.0413E-001; 0.0000E+000; 2.4202E-001;
 1.0000E+000; 1.1292E-001; 1.0000E+000; 2.1230E-001; 1.0000E+000; 2.1716E-001; 1.0000E+000; 2.1135E-001; 1.0000E+000; 2.0681E-001; 1.0000E+000; 2.0413E-001; 1.0000E+000; 2.1493E-001;
 2.0000E+000; 7.7137E-002; 2.0000E+000; 2.0131E-001; 2.0000E+000; 2.1639E-001; 2.0000E+000; 2.1131E-001; 2.0000E+000; 2.0680E-001; 2.0000E+000; 2.0413E-001; 2.0000E+000; 1.9707E-001;
 3.0000E+000; 6.5735E-002; 3.0000E+000; 2.0122E-001; 3.0000E+000; 2.1655E-001; 3.0000E+000; 2.1133E-001; 3.0000E+000; 2.0681E-001; 3.0000E+000; 2.0413E-001; 3.0000E+000; 1.8438E-001;
 4.0000E+000; 5.8721E-002; 4.0000E+000; 2.0555E-001; 4.0000E+000; 2.1709E-001; 4.0000E+000; 2.1138E-001; 4.0000E+000; 2.0681E-001; 4.0000E+000; 2.0413E-001; 4.0000E+000; 1.7520E-001;
 5.0000E+000; 5.3166E-002; 5.0000E+000; 2.1089E-001; 5.0000E+000; 2.1766E-001; 5.0000E+000; 2.1145E-001; 5.0000E+000; 2.0682E-001; 5.0000E+000; 2.0413E-001; 5.0000E+000; 1.6842E-001;
 6.0000E+000; 4.8521E-002; 6.0000E+000; 2.1626E-001; 6.0000E+000; 2.1817E-001; 6.0000E+000; 2.1155E-001; 6.0000E+000; 2.0684E-001; 6.0000E+000; 2.0414E-001; 6.0000E+000; 1.6334E-001;
 7.0000E+000; 4.4581E-002; 7.0000E+000; 2.2137E-001; 7.0000E+000; 2.1860E-001; 7.0000E+000; 2.1168E-001; 7.0000E+000; 2.0686E-001; 7.0000E+000; 2.0414E-001; 7.0000E+000; 1.5946E-001;
 8.0000E+000; 4.1211E-002; 8.0000E+000; 2.2613E-001; 8.0000E+000; 2.1896E-001; 8.0000E+000; 2.1180E-001; 8.0000E+000; 2.0689E-001; 8.0000E+000; 2.0415E-001; 8.0000E+000; 1.5646E-001;
 9.0000E+000; 3.8344E-002; 9.0000E+000; 2.3095E-001; 9.0000E+000; 2.1928E-001; 9.0000E+000; 2.1191E-001; 9.0000E+000; 2.0695E-001; 9.0000E+000; 2.0416E-001; 9.0000E+000; 1.5411E-001;
 1.0000E+001; 3.5844E-002; 1.0000E+001; 2.3599E-001; 1.0000E+001; 2.1956E-001; 1.0000E+001; 2.1199E-001; 1.0000E+001; 2.0703E-001; 1.0000E+001; 2.0418E-001; 1.0000E+001; 1.5226E-001;
 1.1000E+001; 3.3605E-002; 1.1000E+001; 2.4095E-001; 1.1000E+001; 2.1980E-001; 1.1000E+001; 2.1205E-001; 1.1000E+001; 2.0713E-001; 1.1000E+001; 2.0420E-001; 1.1000E+001; 1.5077E-001;
