Time(min)   ;HYD_00mm    ;Time(min)   ;HYD_10mm    ;Time(min)   ;HYD_20mm    ;Time(min)   ;HYD_30mm    ;Time(min)   ;HYD_40mm    ;Time(min)   ;HYD_50mm    ;Time(min)   ;HYD_120mm   ;
 0.0000E+000; 8.9491E-001; 0.0000E+000; 7.4188E-001; 0.0000E+000; 6.7687E-001; 0.0000E+000; 6.4021E-001; 0.0000E+000; 6.1811E-001; 0.0000E+000; 6.0598E-001; 0.0000E+000; 8.9491E-001;
 1.0000E+000; 8.9491E-001; 1.0000E+000; 7.4188E-001; 1.0000E+000; 6.7687E-001; 1.0000E+000; 6.4021E-001; 1.0000E+000; 6.1811E-001; 1.0000E+000; 6.0599E-001; 1.0000E+000; 8.9491E-001;
 2.0000E+000; 8.9491E-001; 2.0000E+000; 7.4188E-001; 2.0000E+000; 6.7687E-001; 2.0000E+000; 6.4021E-001; 2.0000E+000; 6.1811E-001; 2.0000E+000; 6.0599E-001; 2.0000E+000; 8.9491E-001;
 3.0000E+000; 8.9491E-001; 3.0000E+000; 7.4189E-001; 3.0000E+000; 6.7687E-001; 3.0000E+000; 6.4021E-001; 3.0000E+000; 6.1811E-001; 3.0000E+000; 6.0599E-001; 3.0000E+000; 8.9491E-001;
 4.0000E+000; 8.9491E-001; 4.0000E+000; 7.4189E-001; 4.0000E+000; 6.7687E-001; 4.0000E+000; 6.4021E-001; 4.0000E+000; 6.1811E-001; 4.0000E+000; 6.0599E-001; 4.0000E+000; 8.9491E-001;
 5.0000E+000; 8.9491E-001; 5.0000E+000; 7.4189E-001; 5.0000E+000; 6.7688E-001; 5.0000E+000; 6.4021E-001; 5.0000E+000; 6.1811E-001; 5.0000E+000; 6.0599E-001; 5.0000E+000; 8.9491E-001;
 6.0000E+000; 8.9491E-001; 6.0000E+000; 7.4190E-001; 6.0000E+000; 6.7688E-001; 6.0000E+000; 6.4021E-001; 6.0000E+000; 6.1811E-001; 6.0000E+000; 6.0599E-001; 6.0000E+000; 8.9491E-001;
 7.0000E+000; 8.9492E-001; 7.0000E+000; 7.4190E-001; 7.0000E+000; 6.7688E-001; 7.0000E+000; 6.4021E-001; 7.0000E+000; 6.1811E-001; 7.0000E+000; 6.0599E-001; 7.0000E+000; 8.9491E-001;
 8.0000E+000; 8.9492E-001; 8.0000E+000; 7.4191E-001; 8.0000E+000; 6.7688E-001; 8.0000E+000; 6.4021E-001; 8.0000E+000; 6.1812E-001; 8.0000E+000; 6.0599E-001; 8.0000E+000; 8.9491E-001;
 9.0000E+000; 8.9492E-001; 9.0000E+000; 7.4193E-001; 9.0000E+000; 6.7689E-001; 9.0000E+000; 6.4021E-001; 9.0000E+000; 6.1812E-001; 9.0000E+000; 6.0599E-001; 9.0000E+000; 8.9491E-001;
 1.0000E+001; 8.9492E-001; 1.0000E+001; 7.4195E-001; 1.0000E+001; 6.7689E-001; 1.0000E+001; 6.4021E-001; 1.0000E+001; 6.1812E-001; 1.0000E+001; 6.0599E-001; 1.0000E+001; 8.9491E-001;
 1.1000E+001; 8.9493E-001; 1.1000E+001; 7.4198E-001; 1.1000E+001; 6.7690E-001; 1.1000E+001; 6.4022E-001; 1.1000E+001; 6.1812E-001; 1.1000E+001; 6.0599E-001; 1.1000E+001; 8.9491E-001;
 1.2000E+001; 8.9493E-001; 1.2000E+001; 7.4201E-001; 1.2000E+001; 6.7691E-001; 1.2000E+001; 6.4022E-001; 1.2000E+001; 6.1812E-001; 1.2000E+001; 6.0599E-001; 1.2000E+001; 8.9491E-001;
 1.3000E+001; 8.9494E-001; 1.3000E+001; 7.4206E-001; 1.3000E+001; 6.7692E-001; 1.3000E+001; 6.4022E-001; 1.3000E+001; 6.1812E-001; 1.3000E+001; 6.0599E-001; 1.3000E+001; 8.9491E-001;
 1.4000E+001; 8.9494E-001; 1.4000E+001; 7.4213E-001; 1.4000E+001; 6.7694E-001; 1.4000E+001; 6.4022E-001; 1.4000E+001; 6.1812E-001; 1.4000E+001; 6.0599E-001; 1.4000E+001; 8.9491E-001;
 1.5000E+001; 8.9495E-001; 1.5000E+001; 7.4221E-001; 1.5000E+001; 6.7695E-001; 1.5000E+001; 6.4023E-001; 1.5000E+001; 6.1812E-001; 1.5000E+001; 6.0599E-001; 1.5000E+001; 8.9491E-001;
 1.6000E+001; 8.9496E-001; 1.6000E+001; 7.4231E-001; 1.6000E+001; 6.7698E-001; 1.6000E+001; 6.4023E-001; 1.6000E+001; 6.1813E-001; 1.6000E+001; 6.0599E-001; 1.6000E+001; 8.9491E-001;
 1.7000E+001; 8.9496E-001; 1.7000E+001; 7.4244E-001; 1.7000E+001; 6.7700E-001; 1.7000E+001; 6.4024E-001; 1.7000E+001; 6.1813E-001; 1.7000E+001; 6.0600E-001; 1.7000E+001; 8.9491E-001;
 1.8000E+001; 8.9497E-001; 1.8000E+001; 7.4260E-001; 1.8000E+001; 6.7704E-001; 1.8000E+001; 6.4025E-001; 1.8000E+001; 6.1813E-001; 1.8000E+001; 6.0600E-001; 1.8000E+001; 8.9491E-001;
 1.9000E+001; 8.9498E-001; 1.9000E+001; 7.4279E-001; 1.9000E+001; 6.7708E-001; 1.9000E+001; 6.4026E-001; 1.9000E+001; 6.1813E-001; 1.9000E+001; 6.0600E-001; 1.9000E+001; 8.9491E-001;
 2.0000E+001; 8.9499E-001; 2.0000E+001; 7.4303E-001; 2.0000E+001; 6.7713E-001; 2.0000E+001; 6.4027E-001; 2.0000E+001; 6.1814E-001; 2.0000E+001; 6.0600E-001; 2.0000E+001; 8.9491E-001;
 2.1000E+001; 8.9500E-001; 2.1000E+001; 7.4332E-001; 2.1000E+001; 6.7718E-001; 2.1000E+001; 6.4028E-001; 2.1000E+001; 6.1814E-001; 2.1000E+001; 6.0600E-001; 2.1000E+001; 8.9491E-001;
 2.2000E+001; 8.9502E-001; 2.2000E+001; 7.4366E-001; 2.2000E+001; 6.7725E-001; 2.2000E+001; 6.4030E-001; 2.2000E+001; 6.1814E-001; 2.2000E+001; 6.0600E-001; 2.2000E+001; 8.9491E-001;
