Time(min)   ;HR_00mm     ;Time(min)   ;HR_10mm     ;Time(min)   ;HR_20mm     ;Time(min)   ;HR_30mm     ;Time(min)   ;HR_40mm     ;Time(min)   ;HR_50mm     ;Time(min)   ;HR_120mm    ;
 0.0000E+000; 4.9896E-001; 0.0000E+000; 4.9582E-001; 0.0000E+000; 4.9353E-001; 0.0000E+000; 4.9191E-001; 0.0000E+000; 4.9082E-001; 0.0000E+000; 4.9020E-001; 0.0000E+000; 4.9896E-001;
 1.0000E+000; 2.2588E-001; 1.0000E+000; 4.7562E-001; 1.0000E+000; 4.9182E-001; 1.0000E+000; 4.9176E-001; 1.0000E+000; 4.9081E-001; 1.0000E+000; 4.9020E-001; 1.0000E+000; 4.4307E-001;
 2.0000E+000; 1.1325E-001; 2.0000E+000; 4.8326E-001; 2.0000E+000; 4.9606E-001; 2.0000E+000; 4.9233E-001; 2.0000E+000; 4.9086E-001; 2.0000E+000; 4.9020E-001; 2.0000E+000; 4.0259E-001;
 3.0000E+000; 7.7575E-002; 3.0000E+000; 5.1124E-001; 3.0000E+000; 5.0460E-001; 3.0000E+000; 4.9438E-001; 3.0000E+000; 4.9120E-001; 3.0000E+000; 4.9024E-001; 3.0000E+000; 3.7183E-001;
 4.0000E+000; 5.5325E-002; 4.0000E+000; 5.4027E-001; 4.0000E+000; 5.1428E-001; 4.0000E+000; 4.9771E-001; 4.0000E+000; 4.9208E-001; 4.0000E+000; 4.9042E-001; 4.0000E+000; 3.4858E-001;
 5.0000E+000; 3.9670E-002; 5.0000E+000; 5.6619E-001; 5.0000E+000; 5.2396E-001; 5.0000E+000; 5.0191E-001; 5.0000E+000; 4.9355E-001; 5.0000E+000; 4.9082E-001; 5.0000E+000; 3.3098E-001;
 6.0000E+000; 2.8668E-002; 6.0000E+000; 5.8891E-001; 6.0000E+000; 5.3328E-001; 6.0000E+000; 5.0668E-001; 6.0000E+000; 4.9557E-001; 6.0000E+000; 4.9150E-001; 6.0000E+000; 3.1758E-001;
 7.0000E+000; 2.0964E-002; 7.0000E+000; 6.0887E-001; 7.0000E+000; 5.4215E-001; 7.0000E+000; 5.1182E-001; 7.0000E+000; 4.9805E-001; 7.0000E+000; 4.9249E-001; 7.0000E+000; 3.0727E-001;
 8.0000E+000; 1.5551E-002; 8.0000E+000; 6.2657E-001; 8.0000E+000; 5.5057E-001; 8.0000E+000; 5.1719E-001; 8.0000E+000; 5.0091E-001; 8.0000E+000; 4.9377E-001; 8.0000E+000; 2.9928E-001;
 9.0000E+000; 1.1856E-002; 9.0000E+000; 6.4363E-001; 9.0000E+000; 5.5868E-001; 9.0000E+000; 5.2269E-001; 9.0000E+000; 5.0408E-001; 9.0000E+000; 4.9532E-001; 9.0000E+000; 2.9300E-001;
 1.0000E+001; 9.1538E-003; 1.0000E+001; 6.5984E-001; 1.0000E+001; 5.6644E-001; 1.0000E+001; 5.2825E-001; 1.0000E+001; 5.0749E-001; 1.0000E+001; 4.9712E-001; 1.0000E+001; 2.8802E-001;
 1.1000E+001; 7.1252E-003; 1.1000E+001; 6.7492E-001; 1.1000E+001; 5.7386E-001; 1.1000E+001; 5.3383E-001; 1.1000E+001; 5.1109E-001; 1.1000E+001; 4.9913E-001; 1.1000E+001; 2.8401E-001;
 1.2000E+001; 5.6156E-003; 1.2000E+001; 6.8899E-001; 1.2000E+001; 5.8098E-001; 1.2000E+001; 5.3939E-001; 1.2000E+001; 5.1484E-001; 1.2000E+001; 5.0133E-001; 1.2000E+001; 2.8074E-001;
 1.3000E+001; 4.5094E-003; 1.3000E+001; 7.0188E-001; 1.3000E+001; 5.8776E-001; 1.3000E+001; 5.4492E-001; 1.3000E+001; 5.1871E-001; 1.3000E+001; 5.0370E-001; 1.3000E+001; 2.7804E-001;
 1.4000E+001; 3.7162E-003; 1.4000E+001; 7.1314E-001; 1.4000E+001; 5.9419E-001; 1.4000E+001; 5.5040E-001; 1.4000E+001; 5.2265E-001; 1.4000E+001; 5.0621E-001; 1.4000E+001; 2.7577E-001;
 1.5000E+001; 3.1635E-003; 1.5000E+001; 7.2218E-001; 1.5000E+001; 6.0029E-001; 1.5000E+001; 5.5585E-001; 1.5000E+001; 5.2665E-001; 1.5000E+001; 5.0885E-001; 1.5000E+001; 2.7382E-001;
 1.6000E+001; 2.7882E-003; 1.6000E+001; 7.2820E-001; 1.6000E+001; 6.0609E-001; 1.6000E+001; 5.6124E-001; 1.6000E+001; 5.3068E-001; 1.6000E+001; 5.1159E-001; 1.6000E+001; 2.7211E-001;
 1.7000E+001; 2.5331E-003; 1.7000E+001; 7.3057E-001; 1.7000E+001; 6.1172E-001; 1.7000E+001; 5.6660E-001; 1.7000E+001; 5.3475E-001; 1.7000E+001; 5.1442E-001; 1.7000E+001; 2.7057E-001;
 1.8000E+001; 2.3502E-003; 1.8000E+001; 7.2916E-001; 1.8000E+001; 6.1742E-001; 1.8000E+001; 5.7193E-001; 1.8000E+001; 5.3883E-001; 1.8000E+001; 5.1732E-001; 1.8000E+001; 2.6915E-001;
 1.9000E+001; 2.2045E-003; 1.9000E+001; 7.2431E-001; 1.9000E+001; 6.2334E-001; 1.9000E+001; 5.7720E-001; 1.9000E+001; 5.4292E-001; 1.9000E+001; 5.2028E-001; 1.9000E+001; 2.6780E-001;
 2.0000E+001; 2.0753E-003; 2.0000E+001; 7.1641E-001; 2.0000E+001; 6.2961E-001; 2.0000E+001; 5.8243E-001; 2.0000E+001; 5.4700E-001; 2.0000E+001; 5.2328E-001; 2.0000E+001; 2.6648E-001;
 2.1000E+001; 1.9507E-003; 2.1000E+001; 7.0564E-001; 2.1000E+001; 6.3628E-001; 2.1000E+001; 5.8758E-001; 2.1000E+001; 5.5108E-001; 2.1000E+001; 5.2633E-001; 2.1000E+001; 2.6515E-001;
 2.2000E+001; 1.8182E-003; 2.2000E+001; 6.9183E-001; 2.2000E+001; 6.4339E-001; 2.2000E+001; 5.9265E-001; 2.2000E+001; 5.5513E-001; 2.2000E+001; 5.2940E-001; 2.2000E+001; 2.6379E-001;
 2.3000E+001; 1.6885E-003; 2.3000E+001; 6.7482E-001; 2.3000E+001; 6.5094E-001; 2.3000E+001; 5.9759E-001; 2.3000E+001; 5.5915E-001; 2.3000E+001; 5.3250E-001; 2.3000E+001; 2.6236E-001;
 2.4000E+001; 1.5643E-003; 2.4000E+001; 6.5425E-001; 2.4000E+001; 6.5886E-001; 2.4000E+001; 6.0241E-001; 2.4000E+001; 5.6313E-001; 2.4000E+001; 5.3562E-001; 2.4000E+001; 2.6084E-001;
 2.5000E+001; 1.4484E-003; 2.5000E+001; 6.2969E-001; 2.5000E+001; 6.6708E-001; 2.5000E+001; 6.0710E-001; 2.5000E+001; 5.6708E-001; 2.5000E+001; 5.3874E-001; 2.5000E+001; 2.5922E-001;
 2.6000E+001; 1.3433E-003; 2.6000E+001; 6.0090E-001; 2.6000E+001; 6.7551E-001; 2.6000E+001; 6.1164E-001; 2.6000E+001; 5.7098E-001; 2.6000E+001; 5.4187E-001; 2.6000E+001; 2.5747E-001;
 2.7000E+001; 1.2515E-003; 2.7000E+001; 5.6808E-001; 2.7000E+001; 6.8401E-001; 2.7000E+001; 6.1605E-001; 2.7000E+001; 5.7483E-001; 2.7000E+001; 5.4500E-001; 2.7000E+001; 2.5557E-001;
 2.8000E+001; 1.1739E-003; 2.8000E+001; 5.3201E-001; 2.8000E+001; 6.9240E-001; 2.8000E+001; 6.2038E-001; 2.8000E+001; 5.7865E-001; 2.8000E+001; 5.4813E-001; 2.8000E+001; 2.5352E-001;
 2.9000E+001; 1.1002E-003; 2.9000E+001; 4.9410E-001; 2.9000E+001; 7.0050E-001; 2.9000E+001; 6.2463E-001; 2.9000E+001; 5.8242E-001; 2.9000E+001; 5.5124E-001; 2.9000E+001; 2.5131E-001;
 3.0000E+001; 1.0324E-003; 3.0000E+001; 4.5617E-001; 3.0000E+001; 7.0817E-001; 3.0000E+001; 6.2884E-001; 3.0000E+001; 5.8615E-001; 3.0000E+001; 5.5435E-001; 3.0000E+001; 2.4891E-001;
 3.1000E+001; 9.7479E-004; 3.1000E+001; 4.1920E-001; 3.1000E+001; 7.1517E-001; 3.1000E+001; 6.3304E-001; 3.1000E+001; 5.8984E-001; 3.1000E+001; 5.5745E-001; 3.1000E+001; 2.4634E-001;
 3.2000E+001; 9.2377E-004; 3.2000E+001; 3.8367E-001; 3.2000E+001; 7.2139E-001; 3.2000E+001; 6.3727E-001; 3.2000E+001; 5.9348E-001; 3.2000E+001; 5.6052E-001; 3.2000E+001; 2.4359E-001;
 3.3000E+001; 8.7680E-004; 3.3000E+001; 3.4991E-001; 3.3000E+001; 7.2672E-001; 3.3000E+001; 6.4159E-001; 3.3000E+001; 5.9708E-001; 3.3000E+001; 5.6358E-001; 3.3000E+001; 2.4066E-001;
 3.4000E+001; 8.3264E-004; 3.4000E+001; 3.1826E-001; 3.4000E+001; 7.3114E-001; 3.4000E+001; 6.4605E-001; 3.4000E+001; 6.0063E-001; 3.4000E+001; 5.6661E-001; 3.4000E+001; 2.3754E-001;
 3.5000E+001; 7.9087E-004; 3.5000E+001; 2.8906E-001; 3.5000E+001; 7.3455E-001; 3.5000E+001; 6.5069E-001; 3.5000E+001; 6.0414E-001; 3.5000E+001; 5.6962E-001; 3.5000E+001; 2.3425E-001;
 3.6000E+001; 7.5163E-004; 3.6000E+001; 2.6262E-001; 3.6000E+001; 7.3685E-001; 3.6000E+001; 6.5553E-001; 3.6000E+001; 6.0760E-001; 3.6000E+001; 5.7261E-001; 3.6000E+001; 2.3079E-001;
 3.7000E+001; 7.1528E-004; 3.7000E+001; 2.3915E-001; 3.7000E+001; 7.3788E-001; 3.7000E+001; 6.6057E-001; 3.7000E+001; 6.1100E-001; 3.7000E+001; 5.7558E-001; 3.7000E+001; 2.2717E-001;
 3.8000E+001; 6.8209E-004; 3.8000E+001; 2.1871E-001; 3.8000E+001; 7.3746E-001; 3.8000E+001; 6.6582E-001; 3.8000E+001; 6.1436E-001; 3.8000E+001; 5.7852E-001; 3.8000E+001; 2.2341E-001;
 3.9000E+001; 6.5016E-004; 3.9000E+001; 2.0122E-001; 3.9000E+001; 7.3539E-001; 3.9000E+001; 6.7124E-001; 3.9000E+001; 6.1768E-001; 3.9000E+001; 5.8145E-001; 3.9000E+001; 2.1950E-001;
 4.0000E+001; 6.2078E-004; 4.0000E+001; 1.8607E-001; 4.0000E+001; 7.3159E-001; 4.0000E+001; 6.7679E-001; 4.0000E+001; 6.2098E-001; 4.0000E+001; 5.8436E-001; 4.0000E+001; 2.1546E-001;
 4.1000E+001; 5.9437E-004; 4.1000E+001; 1.7289E-001; 4.1000E+001; 7.2605E-001; 4.1000E+001; 6.8243E-001; 4.1000E+001; 6.2428E-001; 4.1000E+001; 5.8725E-001; 4.1000E+001; 2.1131E-001;
 4.2000E+001; 5.7044E-004; 4.2000E+001; 1.6125E-001; 4.2000E+001; 7.1876E-001; 4.2000E+001; 6.8809E-001; 4.2000E+001; 6.2759E-001; 4.2000E+001; 5.9011E-001; 4.2000E+001; 2.0707E-001;
 4.3000E+001; 5.4844E-004; 4.3000E+001; 1.5079E-001; 4.3000E+001; 7.0971E-001; 4.3000E+001; 6.9371E-001; 4.3000E+001; 6.3090E-001; 4.3000E+001; 5.9296E-001; 4.3000E+001; 2.0273E-001;
 4.4000E+001; 5.2788E-004; 4.4000E+001; 1.4122E-001; 4.4000E+001; 6.9886E-001; 4.4000E+001; 6.9924E-001; 4.4000E+001; 6.3422E-001; 4.4000E+001; 5.9579E-001; 4.4000E+001; 1.9833E-001;
 4.5000E+001; 5.0846E-004; 4.5000E+001; 1.3236E-001; 4.5000E+001; 6.8618E-001; 4.5000E+001; 7.0461E-001; 4.5000E+001; 6.3757E-001; 4.5000E+001; 5.9860E-001; 4.5000E+001; 1.9386E-001;
 4.6000E+001; 4.8999E-004; 4.6000E+001; 1.2413E-001; 4.6000E+001; 6.7162E-001; 4.6000E+001; 7.0977E-001; 4.6000E+001; 6.4096E-001; 4.6000E+001; 6.0138E-001; 4.6000E+001; 1.8936E-001;
 4.7000E+001; 4.7244E-004; 4.7000E+001; 1.1651E-001; 4.7000E+001; 6.5516E-001; 4.7000E+001; 7.1470E-001; 4.7000E+001; 6.4440E-001; 4.7000E+001; 6.0414E-001; 4.7000E+001; 1.8482E-001;
 4.8000E+001; 4.5584E-004; 4.8000E+001; 1.0950E-001; 4.8000E+001; 6.3687E-001; 4.8000E+001; 7.1936E-001; 4.8000E+001; 6.4791E-001; 4.8000E+001; 6.0687E-001; 4.8000E+001; 1.8026E-001;
 4.9000E+001; 4.4016E-004; 4.9000E+001; 1.0292E-001; 4.9000E+001; 6.1691E-001; 4.9000E+001; 7.2371E-001; 4.9000E+001; 6.5150E-001; 4.9000E+001; 6.0958E-001; 4.9000E+001; 1.7570E-001;
 5.0000E+001; 4.2499E-004; 5.0000E+001; 9.6689E-002; 5.0000E+001; 5.9571E-001; 5.0000E+001; 7.2775E-001; 5.0000E+001; 6.5517E-001; 5.0000E+001; 6.1226E-001; 5.0000E+001; 1.7115E-001;
 5.1000E+001; 4.1064E-004; 5.1000E+001; 9.1016E-002; 5.1000E+001; 5.7352E-001; 5.1000E+001; 7.3143E-001; 5.1000E+001; 6.5893E-001; 5.1000E+001; 6.1491E-001; 5.1000E+001; 1.6661E-001;
 5.2000E+001; 3.9723E-004; 5.2000E+001; 8.5894E-002; 5.2000E+001; 5.5063E-001; 5.2000E+001; 7.3473E-001; 5.2000E+001; 6.6279E-001; 5.2000E+001; 6.1754E-001; 5.2000E+001; 1.6210E-001;
 5.3000E+001; 3.8472E-004; 5.3000E+001; 8.1265E-002; 5.3000E+001; 5.2731E-001; 5.3000E+001; 7.3762E-001; 5.3000E+001; 6.6673E-001; 5.3000E+001; 6.2016E-001; 5.3000E+001; 1.5762E-001;
 5.4000E+001; 3.7301E-004; 5.4000E+001; 7.7053E-002; 5.4000E+001; 5.0387E-001; 5.4000E+001; 7.4010E-001; 5.4000E+001; 6.7073E-001; 5.4000E+001; 6.2279E-001; 5.4000E+001; 1.5319E-001;
 5.5000E+001; 3.6196E-004; 5.5000E+001; 7.3187E-002; 5.5000E+001; 4.8058E-001; 5.5000E+001; 7.4214E-001; 5.5000E+001; 6.7479E-001; 5.5000E+001; 6.2543E-001; 5.5000E+001; 1.4880E-001;
