Time(min)   ;SW_00mm     ;Time(min)   ;SW_10mm     ;Time(min)   ;SW_20mm     ;Time(min)   ;SW_30mm     ;Time(min)   ;SW_40mm     ;Time(min)   ;SW_50mm     ;Time(min)   ;SW_120mm    ;
 0.0000E+000; 2.4202E-001; 0.0000E+000; 2.2891E-001; 0.0000E+000; 2.2008E-001; 0.0000E+000; 2.1369E-001; 0.0000E+000; 2.0936E-001; 0.0000E+000; 2.0684E-001; 0.0000E+000; 2.4202E-001;
 1.0000E+000; 1.1303E-001; 1.0000E+000; 2.1340E-001; 1.0000E+000; 2.1897E-001; 1.0000E+000; 2.1361E-001; 1.0000E+000; 2.0936E-001; 1.0000E+000; 2.0684E-001; 1.0000E+000; 2.1497E-001;
 2.0000E+000; 7.7325E-002; 2.0000E+000; 2.0281E-001; 2.0000E+000; 2.1823E-001; 2.0000E+000; 2.1357E-001; 2.0000E+000; 2.0935E-001; 2.0000E+000; 2.0684E-001; 2.0000E+000; 1.9713E-001;
 3.0000E+000; 6.5854E-002; 3.0000E+000; 2.0324E-001; 3.0000E+000; 2.1844E-001; 3.0000E+000; 2.1359E-001; 3.0000E+000; 2.0936E-001; 3.0000E+000; 2.0684E-001; 3.0000E+000; 1.8447E-001;
 4.0000E+000; 5.8708E-002; 4.0000E+000; 2.0790E-001; 4.0000E+000; 2.1900E-001; 4.0000E+000; 2.1365E-001; 4.0000E+000; 2.0936E-001; 4.0000E+000; 2.0685E-001; 4.0000E+000; 1.7531E-001;
 5.0000E+000; 5.3044E-002; 5.0000E+000; 2.1344E-001; 5.0000E+000; 2.1958E-001; 5.0000E+000; 2.1372E-001; 5.0000E+000; 2.0937E-001; 5.0000E+000; 2.0685E-001; 5.0000E+000; 1.6855E-001;
 6.0000E+000; 4.8326E-002; 6.0000E+000; 2.1895E-001; 6.0000E+000; 2.2010E-001; 6.0000E+000; 2.1382E-001; 6.0000E+000; 2.0939E-001; 6.0000E+000; 2.0685E-001; 6.0000E+000; 1.6349E-001;
 7.0000E+000; 4.4340E-002; 7.0000E+000; 2.2415E-001; 7.0000E+000; 2.2053E-001; 7.0000E+000; 2.1394E-001; 7.0000E+000; 2.0941E-001; 7.0000E+000; 2.0685E-001; 7.0000E+000; 1.5963E-001;
 8.0000E+000; 4.0942E-002; 8.0000E+000; 2.2898E-001; 8.0000E+000; 2.2088E-001; 8.0000E+000; 2.1406E-001; 8.0000E+000; 2.0944E-001; 8.0000E+000; 2.0686E-001; 8.0000E+000; 1.5664E-001;
 9.0000E+000; 3.8062E-002; 9.0000E+000; 2.3388E-001; 9.0000E+000; 2.2119E-001; 9.0000E+000; 2.1417E-001; 9.0000E+000; 2.0949E-001; 9.0000E+000; 2.0687E-001; 9.0000E+000; 1.5431E-001;
 1.0000E+001; 3.5555E-002; 1.0000E+001; 2.3900E-001; 1.0000E+001; 2.2147E-001; 1.0000E+001; 2.1425E-001; 1.0000E+001; 2.0957E-001; 1.0000E+001; 2.0689E-001; 1.0000E+001; 1.5246E-001;
 1.1000E+001; 3.3315E-002; 1.1000E+001; 2.4404E-001; 1.1000E+001; 2.2169E-001; 1.1000E+001; 2.1431E-001; 1.1000E+001; 2.0967E-001; 1.1000E+001; 2.0691E-001; 1.1000E+001; 1.5098E-001;
 1.2000E+001; 3.1307E-002; 1.2000E+001; 2.4904E-001; 1.2000E+001; 2.2187E-001; 1.2000E+001; 2.1434E-001; 1.2000E+001; 2.0976E-001; 1.2000E+001; 2.0695E-001; 1.2000E+001; 1.4978E-001;
 1.3000E+001; 2.9503E-002; 1.3000E+001; 2.5408E-001; 1.3000E+001; 2.2201E-001; 1.3000E+001; 2.1436E-001; 1.3000E+001; 2.0984E-001; 1.3000E+001; 2.0701E-001; 1.3000E+001; 1.4880E-001;
 1.4000E+001; 2.7880E-002; 1.4000E+001; 2.5925E-001; 1.4000E+001; 2.2208E-001; 1.4000E+001; 2.1437E-001; 1.4000E+001; 2.0990E-001; 1.4000E+001; 2.0708E-001; 1.4000E+001; 1.4799E-001;
 1.5000E+001; 2.6420E-002; 1.5000E+001; 2.6462E-001; 1.5000E+001; 2.2210E-001; 1.5000E+001; 2.1436E-001; 1.5000E+001; 2.0994E-001; 1.5000E+001; 2.0717E-001; 1.5000E+001; 1.4730E-001;
 1.6000E+001; 2.5107E-002; 1.6000E+001; 2.7026E-001; 1.6000E+001; 2.2207E-001; 1.6000E+001; 2.1434E-001; 1.6000E+001; 2.0996E-001; 1.6000E+001; 2.0724E-001; 1.6000E+001; 1.4671E-001;
 1.7000E+001; 2.3935E-002; 1.7000E+001; 2.7620E-001; 1.7000E+001; 2.2199E-001; 1.7000E+001; 2.1431E-001; 1.7000E+001; 2.0997E-001; 1.7000E+001; 2.0731E-001; 1.7000E+001; 1.4619E-001;
 1.8000E+001; 2.2897E-002; 1.8000E+001; 2.8242E-001; 1.8000E+001; 2.2192E-001; 1.8000E+001; 2.1428E-001; 1.8000E+001; 2.0997E-001; 1.8000E+001; 2.0735E-001; 1.8000E+001; 1.4572E-001;
 1.9000E+001; 2.1994E-002; 1.9000E+001; 2.8877E-001; 1.9000E+001; 2.2187E-001; 1.9000E+001; 2.1425E-001; 1.9000E+001; 2.0997E-001; 1.9000E+001; 2.0738E-001; 1.9000E+001; 1.4527E-001;
 2.0000E+001; 2.1220E-002; 2.0000E+001; 2.9470E-001; 2.0000E+001; 2.2187E-001; 2.0000E+001; 2.1423E-001; 2.0000E+001; 2.0995E-001; 2.0000E+001; 2.0740E-001; 2.0000E+001; 1.4484E-001;
 2.1000E+001; 2.0558E-002; 2.1000E+001; 2.9916E-001; 2.1000E+001; 2.2187E-001; 2.1000E+001; 2.1423E-001; 2.1000E+001; 2.0994E-001; 2.1000E+001; 2.0741E-001; 2.1000E+001; 1.4441E-001;
 2.2000E+001; 1.9982E-002; 2.2000E+001; 3.0095E-001; 2.2000E+001; 2.2188E-001; 2.2000E+001; 2.1425E-001; 2.2000E+001; 2.0992E-001; 2.2000E+001; 2.0741E-001; 2.2000E+001; 1.4397E-001;
 2.3000E+001; 1.9468E-002; 2.3000E+001; 2.9937E-001; 2.3000E+001; 2.2191E-001; 2.3000E+001; 2.1429E-001; 2.3000E+001; 2.0990E-001; 2.3000E+001; 2.0741E-001; 2.3000E+001; 1.4350E-001;
 2.4000E+001; 1.8996E-002; 2.4000E+001; 2.9454E-001; 2.4000E+001; 2.2202E-001; 2.4000E+001; 2.1436E-001; 2.4000E+001; 2.0990E-001; 2.4000E+001; 2.0740E-001; 2.4000E+001; 1.4301E-001;
 2.5000E+001; 1.8554E-002; 2.5000E+001; 2.8702E-001; 2.5000E+001; 2.2226E-001; 2.5000E+001; 2.1445E-001; 2.5000E+001; 2.0990E-001; 2.5000E+001; 2.0739E-001; 2.5000E+001; 1.4247E-001;
 2.6000E+001; 1.8133E-002; 2.6000E+001; 2.7739E-001; 2.6000E+001; 2.2269E-001; 2.6000E+001; 2.1458E-001; 2.6000E+001; 2.0991E-001; 2.6000E+001; 2.0738E-001; 2.6000E+001; 1.4189E-001;
 2.7000E+001; 1.7725E-002; 2.7000E+001; 2.6604E-001; 2.7000E+001; 2.2334E-001; 2.7000E+001; 2.1473E-001; 2.7000E+001; 2.0995E-001; 2.7000E+001; 2.0738E-001; 2.7000E+001; 1.4126E-001;
 2.8000E+001; 1.7329E-002; 2.8000E+001; 2.5318E-001; 2.8000E+001; 2.2419E-001; 2.8000E+001; 2.1492E-001; 2.8000E+001; 2.0999E-001; 2.8000E+001; 2.0738E-001; 2.8000E+001; 1.4057E-001;
 2.9000E+001; 1.6943E-002; 2.9000E+001; 2.3891E-001; 2.9000E+001; 2.2525E-001; 2.9000E+001; 2.1516E-001; 2.9000E+001; 2.1006E-001; 2.9000E+001; 2.0738E-001; 2.9000E+001; 1.3982E-001;
 3.0000E+001; 1.6559E-002; 3.0000E+001; 2.2323E-001; 3.0000E+001; 2.2652E-001; 3.0000E+001; 2.1544E-001; 3.0000E+001; 2.1014E-001; 3.0000E+001; 2.0739E-001; 3.0000E+001; 1.3901E-001;
 3.1000E+001; 1.6185E-002; 3.1000E+001; 2.0637E-001; 3.1000E+001; 2.2800E-001; 3.1000E+001; 2.1576E-001; 3.1000E+001; 2.1023E-001; 3.1000E+001; 2.0740E-001; 3.1000E+001; 1.3814E-001;
 3.2000E+001; 1.5825E-002; 3.2000E+001; 1.8875E-001; 3.2000E+001; 2.2974E-001; 3.2000E+001; 2.1611E-001; 3.2000E+001; 2.1034E-001; 3.2000E+001; 2.0743E-001; 3.2000E+001; 1.3721E-001;
 3.3000E+001; 1.5479E-002; 3.3000E+001; 1.7104E-001; 3.3000E+001; 2.3178E-001; 3.3000E+001; 2.1651E-001; 3.3000E+001; 2.1045E-001; 3.3000E+001; 2.0746E-001; 3.3000E+001; 1.3621E-001;
 3.4000E+001; 1.5149E-002; 3.4000E+001; 1.5408E-001; 3.4000E+001; 2.3416E-001; 3.4000E+001; 2.1695E-001; 3.4000E+001; 2.1056E-001; 3.4000E+001; 2.0749E-001; 3.4000E+001; 1.3515E-001;
 3.5000E+001; 1.4835E-002; 3.5000E+001; 1.3860E-001; 3.5000E+001; 2.3691E-001; 3.5000E+001; 2.1743E-001; 3.5000E+001; 2.1068E-001; 3.5000E+001; 2.0753E-001; 3.5000E+001; 1.3403E-001;
 3.6000E+001; 1.4538E-002; 3.6000E+001; 1.2498E-001; 3.6000E+001; 2.4002E-001; 3.6000E+001; 2.1796E-001; 3.6000E+001; 2.1079E-001; 3.6000E+001; 2.0758E-001; 3.6000E+001; 1.3286E-001;
 3.7000E+001; 1.4254E-002; 3.7000E+001; 1.1324E-001; 3.7000E+001; 2.4340E-001; 3.7000E+001; 2.1851E-001; 3.7000E+001; 2.1091E-001; 3.7000E+001; 2.0763E-001; 3.7000E+001; 1.3163E-001;
 3.8000E+001; 1.3983E-002; 3.8000E+001; 1.0316E-001; 3.8000E+001; 2.4695E-001; 3.8000E+001; 2.1909E-001; 3.8000E+001; 2.1103E-001; 3.8000E+001; 2.0769E-001; 3.8000E+001; 1.3035E-001;
 3.9000E+001; 1.3709E-002; 3.9000E+001; 9.4524E-002; 3.9000E+001; 2.5056E-001; 3.9000E+001; 2.1969E-001; 3.9000E+001; 2.1115E-001; 3.9000E+001; 2.0775E-001; 3.9000E+001; 1.2902E-001;
 4.0000E+001; 1.3443E-002; 4.0000E+001; 8.7124E-002; 4.0000E+001; 2.5414E-001; 4.0000E+001; 2.2031E-001; 4.0000E+001; 2.1128E-001; 4.0000E+001; 2.0781E-001; 4.0000E+001; 1.2766E-001;
 4.1000E+001; 1.3186E-002; 4.1000E+001; 8.0740E-002; 4.1000E+001; 2.5757E-001; 4.1000E+001; 2.2094E-001; 4.1000E+001; 2.1143E-001; 4.1000E+001; 2.0788E-001; 4.1000E+001; 1.2625E-001;
 4.2000E+001; 1.2936E-002; 4.2000E+001; 7.5202E-002; 4.2000E+001; 2.6074E-001; 4.2000E+001; 2.2159E-001; 4.2000E+001; 2.1161E-001; 4.2000E+001; 2.0796E-001; 4.2000E+001; 1.2482E-001;
 4.3000E+001; 1.2694E-002; 4.3000E+001; 7.0386E-002; 4.3000E+001; 2.6346E-001; 4.3000E+001; 2.2227E-001; 4.3000E+001; 2.1180E-001; 4.3000E+001; 2.0804E-001; 4.3000E+001; 1.2336E-001;
 4.4000E+001; 1.2460E-002; 4.4000E+001; 6.6194E-002; 4.4000E+001; 2.6551E-001; 4.4000E+001; 2.2297E-001; 4.4000E+001; 2.1202E-001; 4.4000E+001; 2.0812E-001; 4.4000E+001; 1.2187E-001;
 4.5000E+001; 1.2233E-002; 4.5000E+001; 6.2543E-002; 4.5000E+001; 2.6658E-001; 4.5000E+001; 2.2372E-001; 4.5000E+001; 2.1227E-001; 4.5000E+001; 2.0821E-001; 4.5000E+001; 1.2037E-001;
 4.6000E+001; 1.2014E-002; 4.6000E+001; 5.9356E-002; 4.6000E+001; 2.6638E-001; 4.6000E+001; 2.2451E-001; 4.6000E+001; 2.1255E-001; 4.6000E+001; 2.0830E-001; 4.6000E+001; 1.1885E-001;
 4.7000E+001; 1.1803E-002; 4.7000E+001; 5.6556E-002; 4.7000E+001; 2.6463E-001; 4.7000E+001; 2.2537E-001; 4.7000E+001; 2.1286E-001; 4.7000E+001; 2.0840E-001; 4.7000E+001; 1.1732E-001;
