Time(min)   ;HR_00mm     ;Time(min)   ;HR_10mm     ;Time(min)   ;HR_20mm     ;Time(min)   ;HR_30mm     ;Time(min)   ;HR_40mm     ;Time(min)   ;HR_50mm     ;Time(min)   ;HR_120mm    ;
 0.0000E+000; 4.9886E-001; 0.0000E+000; 4.9167E-001; 0.0000E+000; 4.8594E-001; 0.0000E+000; 4.8155E-001; 0.0000E+000; 4.7845E-001; 0.0000E+000; 4.7660E-001; 0.0000E+000; 4.9886E-001;
 1.0000E+000; 2.2304E-001; 1.0000E+000; 4.6991E-001; 1.0000E+000; 4.8405E-001; 1.0000E+000; 4.8138E-001; 1.0000E+000; 4.7844E-001; 1.0000E+000; 4.7660E-001; 1.0000E+000; 4.4251E-001;
 2.0000E+000; 1.0800E-001; 2.0000E+000; 4.6803E-001; 2.0000E+000; 4.8748E-001; 2.0000E+000; 4.8188E-001; 2.0000E+000; 4.7847E-001; 2.0000E+000; 4.7660E-001; 2.0000E+000; 4.0130E-001;
 3.0000E+000; 7.6163E-002; 3.0000E+000; 4.8920E-001; 3.0000E+000; 4.9556E-001; 3.0000E+000; 4.8392E-001; 3.0000E+000; 4.7882E-001; 3.0000E+000; 4.7664E-001; 3.0000E+000; 3.6972E-001;
 4.0000E+000; 5.7576E-002; 4.0000E+000; 5.1587E-001; 4.0000E+000; 5.0521E-001; 4.0000E+000; 4.8729E-001; 4.0000E+000; 4.7971E-001; 4.0000E+000; 4.7682E-001; 4.0000E+000; 3.4563E-001;
 5.0000E+000; 4.3771E-002; 5.0000E+000; 5.4128E-001; 5.0000E+000; 5.1503E-001; 5.0000E+000; 4.9157E-001; 5.0000E+000; 4.8121E-001; 5.0000E+000; 4.7723E-001; 5.0000E+000; 3.2721E-001;
 6.0000E+000; 3.3339E-002; 6.0000E+000; 5.6426E-001; 6.0000E+000; 5.2453E-001; 6.0000E+000; 4.9646E-001; 6.0000E+000; 4.8327E-001; 6.0000E+000; 4.7792E-001; 6.0000E+000; 3.1306E-001;
 7.0000E+000; 2.5519E-002; 7.0000E+000; 5.8485E-001; 7.0000E+000; 5.3359E-001; 7.0000E+000; 5.0172E-001; 7.0000E+000; 4.8579E-001; 7.0000E+000; 4.7893E-001; 7.0000E+000; 3.0208E-001;
 8.0000E+000; 1.9679E-002; 8.0000E+000; 6.0334E-001; 8.0000E+000; 5.4222E-001; 8.0000E+000; 5.0719E-001; 8.0000E+000; 4.8869E-001; 8.0000E+000; 4.8023E-001; 8.0000E+000; 2.9350E-001;
 9.0000E+000; 1.5365E-002; 9.0000E+000; 6.2053E-001; 9.0000E+000; 5.5046E-001; 9.0000E+000; 5.1273E-001; 9.0000E+000; 4.9192E-001; 9.0000E+000; 4.8180E-001; 9.0000E+000; 2.8673E-001;
 1.0000E+001; 1.2098E-002; 1.0000E+001; 6.3671E-001; 1.0000E+001; 5.5836E-001; 1.0000E+001; 5.1829E-001; 1.0000E+001; 4.9540E-001; 1.0000E+001; 4.8362E-001; 1.0000E+001; 2.8134E-001;
 1.1000E+001; 9.5786E-003; 1.1000E+001; 6.5179E-001; 1.1000E+001; 5.6591E-001; 1.1000E+001; 5.2381E-001; 1.1000E+001; 4.9909E-001; 1.1000E+001; 4.8566E-001; 1.1000E+001; 2.7701E-001;
 1.2000E+001; 7.6321E-003; 1.2000E+001; 6.6596E-001; 1.2000E+001; 5.7315E-001; 1.2000E+001; 5.2928E-001; 1.2000E+001; 5.0290E-001; 1.2000E+001; 4.8790E-001; 1.2000E+001; 2.7350E-001;
 1.3000E+001; 6.1267E-003; 1.3000E+001; 6.7940E-001; 1.3000E+001; 5.8009E-001; 1.3000E+001; 5.3468E-001; 1.3000E+001; 5.0679E-001; 1.3000E+001; 4.9032E-001; 1.3000E+001; 2.7062E-001;
 1.4000E+001; 4.9596E-003; 1.4000E+001; 6.9225E-001; 1.4000E+001; 5.8675E-001; 1.4000E+001; 5.4002E-001; 1.4000E+001; 5.1072E-001; 1.4000E+001; 4.9291E-001; 1.4000E+001; 2.6823E-001;
