Time(min)   ;HYD_00mm    ;Time(min)   ;HYD_10mm    ;Time(min)   ;HYD_20mm    ;Time(min)   ;HYD_30mm    ;Time(min)   ;HYD_40mm    ;Time(min)   ;HYD_50mm    ;Time(min)   ;HYD_120mm   ;
 0.0000E+000; 8.9386E-001; 0.0000E+000; 8.2617E-001; 0.0000E+000; 7.8133E-001; 0.0000E+000; 7.5042E-001; 0.0000E+000; 7.3014E-001; 0.0000E+000; 7.1859E-001; 0.0000E+000; 8.9386E-001;
 1.0000E+000; 8.9386E-001; 1.0000E+000; 8.2617E-001; 1.0000E+000; 7.8133E-001; 1.0000E+000; 7.5042E-001; 1.0000E+000; 7.3014E-001; 1.0000E+000; 7.1859E-001; 1.0000E+000; 8.9386E-001;
 2.0000E+000; 8.9386E-001; 2.0000E+000; 8.2617E-001; 2.0000E+000; 7.8133E-001; 2.0000E+000; 7.5042E-001; 2.0000E+000; 7.3014E-001; 2.0000E+000; 7.1859E-001; 2.0000E+000; 8.9386E-001;
 3.0000E+000; 8.9386E-001; 3.0000E+000; 8.2617E-001; 3.0000E+000; 7.8133E-001; 3.0000E+000; 7.5042E-001; 3.0000E+000; 7.3014E-001; 3.0000E+000; 7.1859E-001; 3.0000E+000; 8.9386E-001;
 4.0000E+000; 8.9386E-001; 4.0000E+000; 8.2617E-001; 4.0000E+000; 7.8134E-001; 4.0000E+000; 7.5042E-001; 4.0000E+000; 7.3014E-001; 4.0000E+000; 7.1859E-001; 4.0000E+000; 8.9386E-001;
 5.0000E+000; 8.9386E-001; 5.0000E+000; 8.2618E-001; 5.0000E+000; 7.8134E-001; 5.0000E+000; 7.5042E-001; 5.0000E+000; 7.3014E-001; 5.0000E+000; 7.1859E-001; 5.0000E+000; 8.9386E-001;
 6.0000E+000; 8.9387E-001; 6.0000E+000; 8.2618E-001; 6.0000E+000; 7.8134E-001; 6.0000E+000; 7.5042E-001; 6.0000E+000; 7.3014E-001; 6.0000E+000; 7.1859E-001; 6.0000E+000; 8.9386E-001;
 7.0000E+000; 8.9387E-001; 7.0000E+000; 8.2619E-001; 7.0000E+000; 7.8134E-001; 7.0000E+000; 7.5042E-001; 7.0000E+000; 7.3014E-001; 7.0000E+000; 7.1859E-001; 7.0000E+000; 8.9386E-001;
 8.0000E+000; 8.9387E-001; 8.0000E+000; 8.2621E-001; 8.0000E+000; 7.8135E-001; 8.0000E+000; 7.5042E-001; 8.0000E+000; 7.3014E-001; 8.0000E+000; 7.1859E-001; 8.0000E+000; 8.9386E-001;
 9.0000E+000; 8.9387E-001; 9.0000E+000; 8.2623E-001; 9.0000E+000; 7.8135E-001; 9.0000E+000; 7.5042E-001; 9.0000E+000; 7.3014E-001; 9.0000E+000; 7.1859E-001; 9.0000E+000; 8.9386E-001;
 1.0000E+001; 8.9388E-001; 1.0000E+001; 8.2627E-001; 1.0000E+001; 7.8136E-001; 1.0000E+001; 7.5043E-001; 1.0000E+001; 7.3014E-001; 1.0000E+001; 7.1859E-001; 1.0000E+001; 8.9386E-001;
 1.1000E+001; 8.9388E-001; 1.1000E+001; 8.2632E-001; 1.1000E+001; 7.8137E-001; 1.1000E+001; 7.5043E-001; 1.1000E+001; 7.3014E-001; 1.1000E+001; 7.1859E-001; 1.1000E+001; 8.9386E-001;
 1.2000E+001; 8.9389E-001; 1.2000E+001; 8.2639E-001; 1.2000E+001; 7.8138E-001; 1.2000E+001; 7.5043E-001; 1.2000E+001; 7.3014E-001; 1.2000E+001; 7.1860E-001; 1.2000E+001; 8.9386E-001;
 1.3000E+001; 8.9389E-001; 1.3000E+001; 8.2649E-001; 1.3000E+001; 7.8139E-001; 1.3000E+001; 7.5043E-001; 1.3000E+001; 7.3015E-001; 1.3000E+001; 7.1860E-001; 1.3000E+001; 8.9386E-001;
 1.4000E+001; 8.9390E-001; 1.4000E+001; 8.2662E-001; 1.4000E+001; 7.8141E-001; 1.4000E+001; 7.5044E-001; 1.4000E+001; 7.3015E-001; 1.4000E+001; 7.1860E-001; 1.4000E+001; 8.9386E-001;
 1.5000E+001; 8.9390E-001; 1.5000E+001; 8.2680E-001; 1.5000E+001; 7.8144E-001; 1.5000E+001; 7.5045E-001; 1.5000E+001; 7.3015E-001; 1.5000E+001; 7.1860E-001; 1.5000E+001; 8.9386E-001;
 1.6000E+001; 8.9391E-001; 1.6000E+001; 8.2703E-001; 1.6000E+001; 7.8147E-001; 1.6000E+001; 7.5045E-001; 1.6000E+001; 7.3015E-001; 1.6000E+001; 7.1860E-001; 1.6000E+001; 8.9386E-001;
