Time(min)   ;HR_00mm     ;Time(min)   ;HR_10mm     ;Time(min)   ;HR_20mm     ;Time(min)   ;HR_30mm     ;Time(min)   ;HR_40mm     ;Time(min)   ;HR_50mm     ;Time(min)   ;HR_120mm    ;
 0.0000E+000; 4.9853E-001; 0.0000E+000; 4.6543E-001; 0.0000E+000; 4.3718E-001; 0.0000E+000; 4.1517E-001; 0.0000E+000; 3.9971E-001; 0.0000E+000; 3.9060E-001; 0.0000E+000; 4.9853E-001;
 1.0000E+000; 2.1545E-001; 1.0000E+000; 4.4164E-001; 1.0000E+000; 4.3507E-001; 1.0000E+000; 4.1498E-001; 1.0000E+000; 3.9969E-001; 1.0000E+000; 3.9060E-001; 1.0000E+000; 4.4081E-001;
 2.0000E+000; 9.8645E-002; 2.0000E+000; 4.2909E-001; 2.0000E+000; 4.3775E-001; 2.0000E+000; 4.1544E-001; 2.0000E+000; 3.9973E-001; 2.0000E+000; 3.9060E-001; 2.0000E+000; 3.9846E-001;
 3.0000E+000; 6.9569E-002; 3.0000E+000; 4.3629E-001; 3.0000E+000; 4.4509E-001; 3.0000E+000; 4.1750E-001; 3.0000E+000; 4.0009E-001; 3.0000E+000; 3.9065E-001; 3.0000E+000; 3.6595E-001;
 4.0000E+000; 5.6075E-002; 4.0000E+000; 4.5552E-001; 4.0000E+000; 4.5462E-001; 4.0000E+000; 4.2104E-001; 4.0000E+000; 4.0104E-001; 4.0000E+000; 3.9084E-001; 4.0000E+000; 3.4111E-001;
 5.0000E+000; 4.6264E-002; 5.0000E+000; 4.7773E-001; 5.0000E+000; 4.6462E-001; 5.0000E+000; 4.2563E-001; 5.0000E+000; 4.0264E-001; 5.0000E+000; 3.9127E-001; 5.0000E+000; 3.2208E-001;
 6.0000E+000; 3.8157E-002; 6.0000E+000; 4.9948E-001; 6.0000E+000; 4.7442E-001; 6.0000E+000; 4.3094E-001; 6.0000E+000; 4.0484E-001; 6.0000E+000; 3.9202E-001; 6.0000E+000; 3.0742E-001;
 7.0000E+000; 3.1425E-002; 7.0000E+000; 5.1992E-001; 7.0000E+000; 4.8384E-001; 7.0000E+000; 4.3662E-001; 7.0000E+000; 4.0757E-001; 7.0000E+000; 3.9310E-001; 7.0000E+000; 2.9603E-001;
 8.0000E+000; 2.5895E-002; 8.0000E+000; 5.3887E-001; 8.0000E+000; 4.9283E-001; 8.0000E+000; 4.4244E-001; 8.0000E+000; 4.1076E-001; 8.0000E+000; 3.9449E-001; 8.0000E+000; 2.8709E-001;
 9.0000E+000; 2.1398E-002; 9.0000E+000; 5.5643E-001; 9.0000E+000; 5.0141E-001; 9.0000E+000; 4.4826E-001; 9.0000E+000; 4.1437E-001; 9.0000E+000; 3.9618E-001; 9.0000E+000; 2.8001E-001;
 1.0000E+001; 1.7740E-002; 1.0000E+001; 5.7273E-001; 1.0000E+001; 5.0961E-001; 1.0000E+001; 4.5404E-001; 1.0000E+001; 4.1824E-001; 1.0000E+001; 3.9817E-001; 1.0000E+001; 2.7436E-001;
 1.1000E+001; 1.4753E-002; 1.1000E+001; 5.8780E-001; 1.1000E+001; 5.1745E-001; 1.1000E+001; 4.5977E-001; 1.1000E+001; 4.2223E-001; 1.1000E+001; 4.0046E-001; 1.1000E+001; 2.6981E-001;
 1.2000E+001; 1.2314E-002; 1.2000E+001; 6.0174E-001; 1.2000E+001; 5.2497E-001; 1.2000E+001; 4.6542E-001; 1.2000E+001; 4.2624E-001; 1.2000E+001; 4.0308E-001; 1.2000E+001; 2.6611E-001;
 1.3000E+001; 1.0319E-002; 1.3000E+001; 6.1466E-001; 1.3000E+001; 5.3220E-001; 1.3000E+001; 4.7100E-001; 1.3000E+001; 4.3028E-001; 1.3000E+001; 4.0592E-001; 1.3000E+001; 2.6307E-001;
 1.4000E+001; 8.6847E-003; 1.4000E+001; 6.2669E-001; 1.4000E+001; 5.3914E-001; 1.4000E+001; 4.7650E-001; 1.4000E+001; 4.3434E-001; 1.4000E+001; 4.0882E-001; 1.4000E+001; 2.6055E-001;
 1.5000E+001; 7.3407E-003; 1.5000E+001; 6.3793E-001; 1.5000E+001; 5.4584E-001; 1.5000E+001; 4.8191E-001; 1.5000E+001; 4.3840E-001; 1.5000E+001; 4.1173E-001; 1.5000E+001; 2.5843E-001;
 1.6000E+001; 6.2318E-003; 1.6000E+001; 6.4848E-001; 1.6000E+001; 5.5229E-001; 1.6000E+001; 4.8725E-001; 1.6000E+001; 4.4248E-001; 1.6000E+001; 4.1465E-001; 1.6000E+001; 2.5662E-001;
 1.7000E+001; 5.3132E-003; 1.7000E+001; 6.5843E-001; 1.7000E+001; 5.5853E-001; 1.7000E+001; 4.9250E-001; 1.7000E+001; 4.4657E-001; 1.7000E+001; 4.1760E-001; 1.7000E+001; 2.5504E-001;
 1.8000E+001; 4.5493E-003; 1.8000E+001; 6.6784E-001; 1.8000E+001; 5.6455E-001; 1.8000E+001; 4.9766E-001; 1.8000E+001; 4.5065E-001; 1.8000E+001; 4.2058E-001; 1.8000E+001; 2.5362E-001;
 1.9000E+001; 3.9112E-003; 1.9000E+001; 6.7677E-001; 1.9000E+001; 5.7038E-001; 1.9000E+001; 5.0274E-001; 1.9000E+001; 4.5474E-001; 1.9000E+001; 4.2360E-001; 1.9000E+001; 2.5232E-001;
