Time(min)   ;SW_00mm     ;Time(min)   ;SW_10mm     ;Time(min)   ;SW_20mm     ;Time(min)   ;SW_30mm     ;Time(min)   ;SW_40mm     ;Time(min)   ;SW_50mm     ;Time(min)   ;SW_120mm    ;
 0.0000E+000; 2.4196E-001; 0.0000E+000; 2.0972E-001; 0.0000E+000; 1.8775E-001; 0.0000E+000; 1.7271E-001; 0.0000E+000; 1.6297E-001; 0.0000E+000; 1.5750E-001; 0.0000E+000; 2.4196E-001;
 1.0000E+000; 1.1155E-001; 1.0000E+000; 1.9491E-001; 1.0000E+000; 1.8675E-001; 1.0000E+000; 1.7264E-001; 1.0000E+000; 1.6297E-001; 1.0000E+000; 1.5750E-001; 1.0000E+000; 2.1446E-001;
 2.0000E+000; 7.5570E-002; 2.0000E+000; 1.8235E-001; 2.0000E+000; 1.8586E-001; 2.0000E+000; 1.7259E-001; 2.0000E+000; 1.6296E-001; 2.0000E+000; 1.5750E-001; 2.0000E+000; 1.9635E-001;
 3.0000E+000; 6.4482E-002; 3.0000E+000; 1.7876E-001; 3.0000E+000; 1.8573E-001; 3.0000E+000; 1.7258E-001; 3.0000E+000; 1.6296E-001; 3.0000E+000; 1.5750E-001; 3.0000E+000; 1.8349E-001;
 4.0000E+000; 5.8293E-002; 4.0000E+000; 1.8050E-001; 4.0000E+000; 1.8603E-001; 4.0000E+000; 1.7262E-001; 4.0000E+000; 1.6297E-001; 4.0000E+000; 1.5750E-001; 4.0000E+000; 1.7419E-001;
 5.0000E+000; 5.3514E-002; 5.0000E+000; 1.8405E-001; 5.0000E+000; 1.8643E-001; 5.0000E+000; 1.7270E-001; 5.0000E+000; 1.6298E-001; 5.0000E+000; 1.5750E-001; 5.0000E+000; 1.6733E-001;
 6.0000E+000; 4.9442E-002; 6.0000E+000; 1.8810E-001; 6.0000E+000; 1.8681E-001; 6.0000E+000; 1.7282E-001; 6.0000E+000; 1.6299E-001; 6.0000E+000; 1.5751E-001; 6.0000E+000; 1.6219E-001;
 7.0000E+000; 4.5897E-002; 7.0000E+000; 1.9221E-001; 7.0000E+000; 1.8716E-001; 7.0000E+000; 1.7296E-001; 7.0000E+000; 1.6303E-001; 7.0000E+000; 1.5751E-001; 7.0000E+000; 1.5826E-001;
 8.0000E+000; 4.2789E-002; 8.0000E+000; 1.9621E-001; 8.0000E+000; 1.8747E-001; 8.0000E+000; 1.7308E-001; 8.0000E+000; 1.6309E-001; 8.0000E+000; 1.5752E-001; 8.0000E+000; 1.5522E-001;
 9.0000E+000; 4.0053E-002; 9.0000E+000; 2.0004E-001; 9.0000E+000; 1.8775E-001; 9.0000E+000; 1.7317E-001; 9.0000E+000; 1.6319E-001; 9.0000E+000; 1.5754E-001; 9.0000E+000; 1.5284E-001;
 1.0000E+001; 3.7625E-002; 1.0000E+001; 2.0371E-001; 1.0000E+001; 1.8800E-001; 1.0000E+001; 1.7324E-001; 1.0000E+001; 1.6332E-001; 1.0000E+001; 1.5756E-001; 1.0000E+001; 1.5095E-001;
 1.1000E+001; 3.5453E-002; 1.1000E+001; 2.0717E-001; 1.1000E+001; 1.8821E-001; 1.1000E+001; 1.7328E-001; 1.1000E+001; 1.6343E-001; 1.1000E+001; 1.5762E-001; 1.1000E+001; 1.4943E-001;
 1.2000E+001; 3.3501E-002; 1.2000E+001; 2.1039E-001; 1.2000E+001; 1.8839E-001; 1.2000E+001; 1.7331E-001; 1.2000E+001; 1.6351E-001; 1.2000E+001; 1.5772E-001; 1.2000E+001; 1.4821E-001;
 1.3000E+001; 3.1738E-002; 1.3000E+001; 2.1342E-001; 1.3000E+001; 1.8855E-001; 1.3000E+001; 1.7333E-001; 1.3000E+001; 1.6357E-001; 1.3000E+001; 1.5786E-001; 1.3000E+001; 1.4720E-001;
 1.4000E+001; 3.0140E-002; 1.4000E+001; 2.1627E-001; 1.4000E+001; 1.8867E-001; 1.4000E+001; 1.7334E-001; 1.4000E+001; 1.6361E-001; 1.4000E+001; 1.5798E-001; 1.4000E+001; 1.4637E-001;
 1.5000E+001; 2.8685E-002; 1.5000E+001; 2.1897E-001; 1.5000E+001; 1.8877E-001; 1.5000E+001; 1.7334E-001; 1.5000E+001; 1.6363E-001; 1.5000E+001; 1.5807E-001; 1.5000E+001; 1.4566E-001;
 1.6000E+001; 2.7356E-002; 1.6000E+001; 2.2156E-001; 1.6000E+001; 1.8885E-001; 1.6000E+001; 1.7333E-001; 1.6000E+001; 1.6364E-001; 1.6000E+001; 1.5813E-001; 1.6000E+001; 1.4506E-001;
 1.7000E+001; 2.6136E-002; 1.7000E+001; 2.2405E-001; 1.7000E+001; 1.8890E-001; 1.7000E+001; 1.7332E-001; 1.7000E+001; 1.6365E-001; 1.7000E+001; 1.5817E-001; 1.7000E+001; 1.4452E-001;
 1.8000E+001; 2.5014E-002; 1.8000E+001; 2.2649E-001; 1.8000E+001; 1.8894E-001; 1.8000E+001; 1.7331E-001; 1.8000E+001; 1.6365E-001; 1.8000E+001; 1.5819E-001; 1.8000E+001; 1.4404E-001;
 1.9000E+001; 2.3977E-002; 1.9000E+001; 2.2890E-001; 1.9000E+001; 1.8895E-001; 1.9000E+001; 1.7329E-001; 1.9000E+001; 1.6365E-001; 1.9000E+001; 1.5821E-001; 1.9000E+001; 1.4359E-001;
 2.0000E+001; 2.3016E-002; 2.0000E+001; 2.3131E-001; 2.0000E+001; 1.8896E-001; 2.0000E+001; 1.7327E-001; 2.0000E+001; 1.6364E-001; 2.0000E+001; 1.5821E-001; 2.0000E+001; 1.4316E-001;
 2.1000E+001; 2.2124E-002; 2.1000E+001; 2.3374E-001; 2.1000E+001; 1.8895E-001; 2.1000E+001; 1.7324E-001; 2.1000E+001; 1.6363E-001; 2.1000E+001; 1.5822E-001; 2.1000E+001; 1.4273E-001;
 2.2000E+001; 2.1293E-002; 2.2000E+001; 2.3623E-001; 2.2000E+001; 1.8893E-001; 2.2000E+001; 1.7320E-001; 2.2000E+001; 1.6362E-001; 2.2000E+001; 1.5822E-001; 2.2000E+001; 1.4229E-001;
 2.3000E+001; 2.0517E-002; 2.3000E+001; 2.3880E-001; 2.3000E+001; 1.8891E-001; 2.3000E+001; 1.7317E-001; 2.3000E+001; 1.6360E-001; 2.3000E+001; 1.5822E-001; 2.3000E+001; 1.4182E-001;
 2.4000E+001; 1.9793E-002; 2.4000E+001; 2.4151E-001; 2.4000E+001; 1.8889E-001; 2.4000E+001; 1.7312E-001; 2.4000E+001; 1.6358E-001; 2.4000E+001; 1.5821E-001; 2.4000E+001; 1.4133E-001;
 2.5000E+001; 1.9115E-002; 2.5000E+001; 2.4440E-001; 2.5000E+001; 1.8889E-001; 2.5000E+001; 1.7307E-001; 2.5000E+001; 1.6356E-001; 2.5000E+001; 1.5821E-001; 2.5000E+001; 1.4080E-001;
 2.6000E+001; 1.8483E-002; 2.6000E+001; 2.4753E-001; 2.6000E+001; 1.8891E-001; 2.6000E+001; 1.7302E-001; 2.6000E+001; 1.6354E-001; 2.6000E+001; 1.5820E-001; 2.6000E+001; 1.4022E-001;
 2.7000E+001; 1.7894E-002; 2.7000E+001; 2.5098E-001; 2.7000E+001; 1.8898E-001; 2.7000E+001; 1.7296E-001; 2.7000E+001; 1.6351E-001; 2.7000E+001; 1.5819E-001; 2.7000E+001; 1.3959E-001;
 2.8000E+001; 1.7349E-002; 2.8000E+001; 2.5484E-001; 2.8000E+001; 1.8909E-001; 2.8000E+001; 1.7289E-001; 2.8000E+001; 1.6348E-001; 2.8000E+001; 1.5817E-001; 2.8000E+001; 1.3891E-001;
 2.9000E+001; 1.6848E-002; 2.9000E+001; 2.5918E-001; 2.9000E+001; 1.8927E-001; 2.9000E+001; 1.7283E-001; 2.9000E+001; 1.6345E-001; 2.9000E+001; 1.5816E-001; 2.9000E+001; 1.3817E-001;
