Time(min)   ;SW_00mm     ;Time(min)   ;SW_10mm     ;Time(min)   ;SW_20mm     ;Time(min)   ;SW_30mm     ;Time(min)   ;SW_40mm     ;Time(min)   ;SW_50mm     ;Time(min)   ;SW_120mm    ;
 0.0000E+000; 2.4203E-001; 0.0000E+000; 2.2348E-001; 0.0000E+000; 2.1138E-001; 0.0000E+000; 2.0295E-001; 0.0000E+000; 1.9734E-001; 0.0000E+000; 1.9411E-001; 0.0000E+000; 2.4203E-001;
 1.0000E+000; 1.1250E-001; 1.0000E+000; 2.0809E-001; 1.0000E+000; 2.1029E-001; 1.0000E+000; 2.0287E-001; 1.0000E+000; 1.9733E-001; 1.0000E+000; 1.9411E-001; 1.0000E+000; 2.1481E-001;
 2.0000E+000; 7.6530E-002; 2.0000E+000; 1.9606E-001; 2.0000E+000; 2.0943E-001; 2.0000E+000; 2.0282E-001; 2.0000E+000; 1.9733E-001; 2.0000E+000; 1.9411E-001; 2.0000E+000; 1.9685E-001;
 3.0000E+000; 6.5290E-002; 3.0000E+000; 1.9431E-001; 3.0000E+000; 2.0945E-001; 3.0000E+000; 2.0283E-001; 3.0000E+000; 1.9733E-001; 3.0000E+000; 1.9411E-001; 3.0000E+000; 1.8409E-001;
 4.0000E+000; 5.8665E-002; 4.0000E+000; 1.9755E-001; 4.0000E+000; 2.0990E-001; 4.0000E+000; 2.0288E-001; 4.0000E+000; 1.9734E-001; 4.0000E+000; 1.9411E-001; 4.0000E+000; 1.7485E-001;
 5.0000E+000; 5.3453E-002; 5.0000E+000; 2.0219E-001; 5.0000E+000; 2.1043E-001; 5.0000E+000; 2.0295E-001; 5.0000E+000; 1.9735E-001; 5.0000E+000; 1.9412E-001; 5.0000E+000; 1.6802E-001;
 6.0000E+000; 4.9050E-002; 6.0000E+000; 2.0706E-001; 6.0000E+000; 2.1091E-001; 6.0000E+000; 2.0306E-001; 6.0000E+000; 1.9736E-001; 6.0000E+000; 1.9412E-001; 6.0000E+000; 1.6289E-001;
 7.0000E+000; 4.5271E-002; 7.0000E+000; 2.1181E-001; 7.0000E+000; 2.1133E-001; 7.0000E+000; 2.0319E-001; 7.0000E+000; 1.9739E-001; 7.0000E+000; 1.9412E-001; 7.0000E+000; 1.5898E-001;
 8.0000E+000; 4.2003E-002; 8.0000E+000; 2.1630E-001; 8.0000E+000; 2.1169E-001; 8.0000E+000; 2.0332E-001; 8.0000E+000; 1.9742E-001; 8.0000E+000; 1.9413E-001; 8.0000E+000; 1.5594E-001;
 9.0000E+000; 3.9193E-002; 9.0000E+000; 2.2084E-001; 9.0000E+000; 2.1201E-001; 9.0000E+000; 2.0343E-001; 9.0000E+000; 1.9749E-001; 9.0000E+000; 1.9414E-001; 9.0000E+000; 1.5357E-001;
