Time(min)   ;HYD_00mm    ;Time(min)   ;HYD_10mm    ;Time(min)   ;HYD_20mm    ;Time(min)   ;HYD_30mm    ;Time(min)   ;HYD_40mm    ;Time(min)   ;HYD_50mm    ;Time(min)   ;HYD_120mm   ;
 0.0000E+000; 8.9381E-001; 0.0000E+000; 8.3794E-001; 0.0000E+000; 8.0074E-001; 0.0000E+000; 7.7446E-001; 0.0000E+000; 7.5689E-001; 0.0000E+000; 7.4675E-001; 0.0000E+000; 8.9381E-001;
 1.0000E+000; 8.9381E-001; 1.0000E+000; 8.3795E-001; 1.0000E+000; 8.0074E-001; 1.0000E+000; 7.7446E-001; 1.0000E+000; 7.5689E-001; 1.0000E+000; 7.4675E-001; 1.0000E+000; 8.9381E-001;
 2.0000E+000; 8.9381E-001; 2.0000E+000; 8.3795E-001; 2.0000E+000; 8.0074E-001; 2.0000E+000; 7.7446E-001; 2.0000E+000; 7.5689E-001; 2.0000E+000; 7.4675E-001; 2.0000E+000; 8.9381E-001;
 3.0000E+000; 8.9381E-001; 3.0000E+000; 8.3795E-001; 3.0000E+000; 8.0074E-001; 3.0000E+000; 7.7446E-001; 3.0000E+000; 7.5689E-001; 3.0000E+000; 7.4675E-001; 3.0000E+000; 8.9381E-001;
 4.0000E+000; 8.9381E-001; 4.0000E+000; 8.3795E-001; 4.0000E+000; 8.0074E-001; 4.0000E+000; 7.7446E-001; 4.0000E+000; 7.5689E-001; 4.0000E+000; 7.4675E-001; 4.0000E+000; 8.9381E-001;
 5.0000E+000; 8.9381E-001; 5.0000E+000; 8.3795E-001; 5.0000E+000; 8.0074E-001; 5.0000E+000; 7.7446E-001; 5.0000E+000; 7.5689E-001; 5.0000E+000; 7.4675E-001; 5.0000E+000; 8.9381E-001;
 6.0000E+000; 8.9382E-001; 6.0000E+000; 8.3796E-001; 6.0000E+000; 8.0074E-001; 6.0000E+000; 7.7446E-001; 6.0000E+000; 7.5690E-001; 6.0000E+000; 7.4675E-001; 6.0000E+000; 8.9381E-001;
 7.0000E+000; 8.9382E-001; 7.0000E+000; 8.3797E-001; 7.0000E+000; 8.0074E-001; 7.0000E+000; 7.7447E-001; 7.0000E+000; 7.5690E-001; 7.0000E+000; 7.4675E-001; 7.0000E+000; 8.9381E-001;
 8.0000E+000; 8.9382E-001; 8.0000E+000; 8.3798E-001; 8.0000E+000; 8.0075E-001; 8.0000E+000; 7.7447E-001; 8.0000E+000; 7.5690E-001; 8.0000E+000; 7.4676E-001; 8.0000E+000; 8.9381E-001;
 9.0000E+000; 8.9382E-001; 9.0000E+000; 8.3800E-001; 9.0000E+000; 8.0075E-001; 9.0000E+000; 7.7447E-001; 9.0000E+000; 7.5690E-001; 9.0000E+000; 7.4676E-001; 9.0000E+000; 8.9381E-001;
 1.0000E+001; 8.9383E-001; 1.0000E+001; 8.3804E-001; 1.0000E+001; 8.0076E-001; 1.0000E+001; 7.7447E-001; 1.0000E+001; 7.5690E-001; 1.0000E+001; 7.4676E-001; 1.0000E+001; 8.9381E-001;
