Time(min)   ;HR_00mm     ;Time(min)   ;HR_10mm     ;Time(min)   ;HR_20mm     ;Time(min)   ;HR_30mm     ;Time(min)   ;HR_40mm     ;Time(min)   ;HR_50mm     ;Time(min)   ;HR_120mm    ;
 0.0000E+000; 4.9862E-001; 0.0000E+000; 4.7224E-001; 0.0000E+000; 4.5125E-001; 0.0000E+000; 4.3531E-001; 0.0000E+000; 4.2415E-001; 0.0000E+000; 4.1754E-001; 0.0000E+000; 4.9862E-001;
 1.0000E+000; 2.1713E-001; 1.0000E+000; 4.4885E-001; 1.0000E+000; 4.4919E-001; 1.0000E+000; 4.3513E-001; 1.0000E+000; 4.2413E-001; 1.0000E+000; 4.1754E-001; 1.0000E+000; 4.4120E-001;
 2.0000E+000; 1.0013E-001; 2.0000E+000; 4.3737E-001; 2.0000E+000; 4.5191E-001; 2.0000E+000; 4.3558E-001; 2.0000E+000; 4.2417E-001; 2.0000E+000; 4.1755E-001; 2.0000E+000; 3.9907E-001;
 3.0000E+000; 7.0790E-002; 3.0000E+000; 4.4638E-001; 3.0000E+000; 4.5931E-001; 3.0000E+000; 4.3763E-001; 3.0000E+000; 4.2453E-001; 3.0000E+000; 4.1759E-001; 3.0000E+000; 3.6670E-001;
 4.0000E+000; 5.6742E-002; 4.0000E+000; 4.6679E-001; 4.0000E+000; 4.6883E-001; 4.0000E+000; 4.4112E-001; 4.0000E+000; 4.2546E-001; 4.0000E+000; 4.1777E-001; 4.0000E+000; 3.4194E-001;
 5.0000E+000; 4.6390E-002; 5.0000E+000; 4.8956E-001; 5.0000E+000; 4.7878E-001; 5.0000E+000; 4.4563E-001; 5.0000E+000; 4.2704E-001; 5.0000E+000; 4.1821E-001; 5.0000E+000; 3.2296E-001;
 6.0000E+000; 3.7904E-002; 6.0000E+000; 5.1156E-001; 6.0000E+000; 4.8851E-001; 6.0000E+000; 4.5083E-001; 6.0000E+000; 4.2920E-001; 6.0000E+000; 4.1894E-001; 6.0000E+000; 3.0832E-001;
 7.0000E+000; 3.0943E-002; 7.0000E+000; 5.3206E-001; 7.0000E+000; 4.9784E-001; 7.0000E+000; 4.5642E-001; 7.0000E+000; 4.3188E-001; 7.0000E+000; 4.2000E-001; 7.0000E+000; 2.9693E-001;
 8.0000E+000; 2.5293E-002; 8.0000E+000; 5.5095E-001; 8.0000E+000; 5.0673E-001; 8.0000E+000; 4.6215E-001; 8.0000E+000; 4.3498E-001; 8.0000E+000; 4.2137E-001; 8.0000E+000; 2.8798E-001;
 9.0000E+000; 2.0763E-002; 9.0000E+000; 5.6851E-001; 9.0000E+000; 5.1523E-001; 9.0000E+000; 4.6790E-001; 9.0000E+000; 4.3848E-001; 9.0000E+000; 4.2304E-001; 9.0000E+000; 2.8090E-001;
 1.0000E+001; 1.7114E-002; 1.0000E+001; 5.8496E-001; 1.0000E+001; 5.2336E-001; 1.0000E+001; 4.7362E-001; 1.0000E+001; 4.4226E-001; 1.0000E+001; 4.2497E-001; 1.0000E+001; 2.7523E-001;
 1.1000E+001; 1.4141E-002; 1.1000E+001; 6.0020E-001; 1.1000E+001; 5.3113E-001; 1.1000E+001; 4.7927E-001; 1.1000E+001; 4.4619E-001; 1.1000E+001; 4.2717E-001; 1.1000E+001; 2.7067E-001;
 1.2000E+001; 1.1721E-002; 1.2000E+001; 6.1432E-001; 1.2000E+001; 5.3859E-001; 1.2000E+001; 4.8486E-001; 1.2000E+001; 4.5017E-001; 1.2000E+001; 4.2966E-001; 1.2000E+001; 2.6696E-001;
 1.3000E+001; 9.7504E-003; 1.3000E+001; 6.2744E-001; 1.3000E+001; 5.4574E-001; 1.3000E+001; 4.9037E-001; 1.3000E+001; 4.5417E-001; 1.3000E+001; 4.3240E-001; 1.3000E+001; 2.6391E-001;
 1.4000E+001; 8.1434E-003; 1.4000E+001; 6.3972E-001; 1.4000E+001; 5.5263E-001; 1.4000E+001; 4.9580E-001; 1.4000E+001; 4.5818E-001; 1.4000E+001; 4.3526E-001; 1.4000E+001; 2.6138E-001;
