Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 2.4000E+001; 1.9998E+002; 2.4000E+001; 1.5099E+002; 2.4000E+001; 1.1205E+002; 2.4000E+001; 8.2697E+001; 2.4000E+001; 6.1271E+001; 2.4000E+001; 4.6174E+001; 2.4000E+001; 2.0423E+001;
 2.5000E+001; 2.0337E+002; 2.5000E+001; 1.5425E+002; 2.5000E+001; 1.1504E+002; 2.5000E+001; 8.5312E+001; 2.5000E+001; 6.3446E+001; 2.5000E+001; 4.7894E+001; 2.5000E+001; 2.0565E+001;
 2.6000E+001; 2.0668E+002; 2.6000E+001; 1.5745E+002; 2.6000E+001; 1.1798E+002; 2.6000E+001; 8.7894E+001; 2.6000E+001; 6.5608E+001; 2.6000E+001; 4.9619E+001; 2.6000E+001; 2.0721E+001;
 2.7000E+001; 2.0992E+002; 2.7000E+001; 1.6059E+002; 2.7000E+001; 1.2088E+002; 2.7000E+001; 9.0445E+001; 2.7000E+001; 6.7755E+001; 2.7000E+001; 5.1345E+001; 2.7000E+001; 2.0893E+001;
 2.8000E+001; 2.1310E+002; 2.8000E+001; 1.6367E+002; 2.8000E+001; 1.2372E+002; 2.8000E+001; 9.2964E+001; 2.8000E+001; 6.9889E+001; 2.8000E+001; 5.3073E+001; 2.8000E+001; 2.1082E+001;
 2.9000E+001; 2.1620E+002; 2.9000E+001; 1.6668E+002; 2.9000E+001; 1.2653E+002; 2.9000E+001; 9.5454E+001; 2.9000E+001; 7.2008E+001; 2.9000E+001; 5.4801E+001; 2.9000E+001; 2.1289E+001;
 3.0000E+001; 2.1924E+002; 3.0000E+001; 1.6965E+002; 3.0000E+001; 1.2929E+002; 3.0000E+001; 9.7914E+001; 3.0000E+001; 7.4112E+001; 3.0000E+001; 5.6528E+001; 3.0000E+001; 2.1513E+001;
 3.1000E+001; 2.2222E+002; 3.1000E+001; 1.7256E+002; 3.1000E+001; 1.3201E+002; 3.1000E+001; 1.0035E+002; 3.1000E+001; 7.6201E+001; 3.1000E+001; 5.8253E+001; 3.1000E+001; 2.1757E+001;
 3.2000E+001; 2.2513E+002; 3.2000E+001; 1.7541E+002; 3.2000E+001; 1.3468E+002; 3.2000E+001; 1.0275E+002; 3.2000E+001; 7.8275E+001; 3.2000E+001; 5.9975E+001; 3.2000E+001; 2.2019E+001;
 3.3000E+001; 2.2797E+002; 3.3000E+001; 1.7821E+002; 3.3000E+001; 1.3732E+002; 3.3000E+001; 1.0512E+002; 3.3000E+001; 8.0333E+001; 3.3000E+001; 6.1694E+001; 3.3000E+001; 2.2299E+001;
 3.4000E+001; 2.3076E+002; 3.4000E+001; 1.8096E+002; 3.4000E+001; 1.3991E+002; 3.4000E+001; 1.0747E+002; 3.4000E+001; 8.2376E+001; 3.4000E+001; 6.3409E+001; 3.4000E+001; 2.2598E+001;
 3.5000E+001; 2.3349E+002; 3.5000E+001; 1.8366E+002; 3.5000E+001; 1.4247E+002; 3.5000E+001; 1.0979E+002; 3.5000E+001; 8.4403E+001; 3.5000E+001; 6.5119E+001; 3.5000E+001; 2.2916E+001;
 3.6000E+001; 2.3616E+002; 3.6000E+001; 1.8631E+002; 3.6000E+001; 1.4499E+002; 3.6000E+001; 1.1208E+002; 3.6000E+001; 8.6415E+001; 3.6000E+001; 6.6824E+001; 3.6000E+001; 2.3252E+001;
 3.7000E+001; 2.3877E+002; 3.7000E+001; 1.8891E+002; 3.7000E+001; 1.4746E+002; 3.7000E+001; 1.1434E+002; 3.7000E+001; 8.8410E+001; 3.7000E+001; 6.8523E+001; 3.7000E+001; 2.3606E+001;
 3.8000E+001; 2.4133E+002; 3.8000E+001; 1.9146E+002; 3.8000E+001; 1.4991E+002; 3.8000E+001; 1.1658E+002; 3.8000E+001; 9.0390E+001; 3.8000E+001; 7.0216E+001; 3.8000E+001; 2.3979E+001;
 3.9000E+001; 2.4384E+002; 3.9000E+001; 1.9397E+002; 3.9000E+001; 1.5231E+002; 3.9000E+001; 1.1879E+002; 3.9000E+001; 9.2353E+001; 3.9000E+001; 7.1903E+001; 3.9000E+001; 2.4369E+001;
 4.0000E+001; 2.4629E+002; 4.0000E+001; 1.9644E+002; 4.0000E+001; 1.5468E+002; 4.0000E+001; 1.2098E+002; 4.0000E+001; 9.4300E+001; 4.0000E+001; 7.3583E+001; 4.0000E+001; 2.4776E+001;
 4.1000E+001; 2.4870E+002; 4.1000E+001; 1.9886E+002; 4.1000E+001; 1.5702E+002; 4.1000E+001; 1.2314E+002; 4.1000E+001; 9.6231E+001; 4.1000E+001; 7.5256E+001; 4.1000E+001; 2.5201E+001;
 4.2000E+001; 2.5106E+002; 4.2000E+001; 2.0124E+002; 4.2000E+001; 1.5932E+002; 4.2000E+001; 1.2528E+002; 4.2000E+001; 9.8146E+001; 4.2000E+001; 7.6921E+001; 4.2000E+001; 2.5642E+001;
 4.3000E+001; 2.5337E+002; 4.3000E+001; 2.0358E+002; 4.3000E+001; 1.6159E+002; 4.3000E+001; 1.2739E+002; 4.3000E+001; 1.0004E+002; 4.3000E+001; 7.8578E+001; 4.3000E+001; 2.6099E+001;
 4.4000E+001; 2.5564E+002; 4.4000E+001; 2.0588E+002; 4.4000E+001; 1.6382E+002; 4.4000E+001; 1.2947E+002; 4.4000E+001; 1.0193E+002; 4.4000E+001; 8.0228E+001; 4.4000E+001; 2.6573E+001;
 4.5000E+001; 2.5787E+002; 4.5000E+001; 2.0814E+002; 4.5000E+001; 1.6603E+002; 4.5000E+001; 1.3154E+002; 4.5000E+001; 1.0379E+002; 4.5000E+001; 8.1869E+001; 4.5000E+001; 2.7062E+001;
 4.6000E+001; 2.6005E+002; 4.6000E+001; 2.1036E+002; 4.6000E+001; 1.6820E+002; 4.6000E+001; 1.3357E+002; 4.6000E+001; 1.0564E+002; 4.6000E+001; 8.3502E+001; 4.6000E+001; 2.7567E+001;
 4.7000E+001; 2.6220E+002; 4.7000E+001; 2.1255E+002; 4.7000E+001; 1.7034E+002; 4.7000E+001; 1.3559E+002; 4.7000E+001; 1.0748E+002; 4.7000E+001; 8.5127E+001; 4.7000E+001; 2.8086E+001;
 4.8000E+001; 2.6431E+002; 4.8000E+001; 2.1470E+002; 4.8000E+001; 1.7245E+002; 4.8000E+001; 1.3758E+002; 4.8000E+001; 1.0930E+002; 4.8000E+001; 8.6742E+001; 4.8000E+001; 2.8620E+001;
 4.9000E+001; 2.6638E+002; 4.9000E+001; 2.1682E+002; 4.9000E+001; 1.7453E+002; 4.9000E+001; 1.3955E+002; 4.9000E+001; 1.1110E+002; 4.9000E+001; 8.8349E+001; 4.9000E+001; 2.9167E+001;
