Time(min)   ;SW_00mm     ;Time(min)   ;SW_10mm     ;Time(min)   ;SW_20mm     ;Time(min)   ;SW_30mm     ;Time(min)   ;SW_40mm     ;Time(min)   ;SW_50mm     ;Time(min)   ;SW_120mm    ;
 0.0000E+000; 2.4202E-001; 0.0000E+000; 2.3168E-001; 0.0000E+000; 2.2476E-001; 0.0000E+000; 2.1971E-001; 0.0000E+000; 2.1626E-001; 0.0000E+000; 2.1425E-001; 0.0000E+000; 2.4202E-001;
 1.0000E+000; 1.1340E-001; 1.0000E+000; 2.1624E-001; 1.0000E+000; 2.2365E-001; 1.0000E+000; 2.1963E-001; 1.0000E+000; 2.1626E-001; 1.0000E+000; 2.1425E-001; 1.0000E+000; 2.1507E-001;
 2.0000E+000; 7.8007E-002; 2.0000E+000; 2.0743E-001; 2.0000E+000; 2.2309E-001; 2.0000E+000; 2.1960E-001; 2.0000E+000; 2.1625E-001; 2.0000E+000; 2.1425E-001; 2.0000E+000; 1.9735E-001;
 3.0000E+000; 6.6194E-002; 3.0000E+000; 2.0981E-001; 3.0000E+000; 2.2346E-001; 3.0000E+000; 2.1964E-001; 3.0000E+000; 2.1626E-001; 3.0000E+000; 2.1425E-001; 3.0000E+000; 1.8480E-001;
 4.0000E+000; 5.8525E-002; 4.0000E+000; 2.1558E-001; 4.0000E+000; 2.2410E-001; 4.0000E+000; 2.1970E-001; 4.0000E+000; 2.1626E-001; 4.0000E+000; 2.1425E-001; 4.0000E+000; 1.7574E-001;
 5.0000E+000; 5.2469E-002; 5.0000E+000; 2.2178E-001; 5.0000E+000; 2.2471E-001; 5.0000E+000; 2.1977E-001; 5.0000E+000; 2.1627E-001; 5.0000E+000; 2.1425E-001; 5.0000E+000; 1.6907E-001;
 6.0000E+000; 4.7499E-002; 6.0000E+000; 2.2770E-001; 6.0000E+000; 2.2524E-001; 6.0000E+000; 2.1985E-001; 6.0000E+000; 2.1629E-001; 6.0000E+000; 2.1425E-001; 6.0000E+000; 1.6409E-001;
 7.0000E+000; 4.3364E-002; 7.0000E+000; 2.3318E-001; 7.0000E+000; 2.2565E-001; 7.0000E+000; 2.1995E-001; 7.0000E+000; 2.1631E-001; 7.0000E+000; 2.1426E-001; 7.0000E+000; 1.6031E-001;
 8.0000E+000; 3.9885E-002; 8.0000E+000; 2.3818E-001; 8.0000E+000; 2.2597E-001; 8.0000E+000; 2.2006E-001; 8.0000E+000; 2.1634E-001; 8.0000E+000; 2.1426E-001; 8.0000E+000; 1.5739E-001;
 9.0000E+000; 3.6988E-002; 9.0000E+000; 2.4343E-001; 9.0000E+000; 2.2625E-001; 9.0000E+000; 2.2015E-001; 9.0000E+000; 2.1638E-001; 9.0000E+000; 2.1428E-001; 9.0000E+000; 1.5512E-001;
 1.0000E+001; 3.4483E-002; 1.0000E+001; 2.4898E-001; 1.0000E+001; 2.2648E-001; 1.0000E+001; 2.2023E-001; 1.0000E+001; 2.1643E-001; 1.0000E+001; 2.1429E-001; 1.0000E+001; 1.5332E-001;
