Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 0.0000E+000; 2.0011E+001; 0.0000E+000; 2.0012E+001; 0.0000E+000; 2.0012E+001; 0.0000E+000; 2.0012E+001; 0.0000E+000; 2.0012E+001; 0.0000E+000; 2.0012E+001; 0.0000E+000; 2.0011E+001;
 1.0000E+000; 6.3139E+001; 1.0000E+000; 2.6056E+001; 1.0000E+000; 2.0255E+001; 1.0000E+000; 2.0012E+001; 1.0000E+000; 2.0012E+001; 1.0000E+000; 2.0012E+001; 1.0000E+000; 1.9334E+001;
 2.0000E+000; 8.0249E+001; 2.0000E+000; 3.6940E+001; 2.0000E+000; 2.3039E+001; 2.0000E+000; 2.0353E+001; 2.0000E+000; 2.0038E+001; 2.0000E+000; 2.0014E+001; 2.0000E+000; 1.9216E+001;
 3.0000E+000; 9.2444E+001; 3.0000E+000; 4.6827E+001; 3.0000E+000; 2.7393E+001; 3.0000E+000; 2.1503E+001; 3.0000E+000; 2.0235E+001; 3.0000E+000; 2.0038E+001; 3.0000E+000; 1.9186E+001;
 4.0000E+000; 1.0224E+002; 4.0000E+000; 5.5523E+001; 4.0000E+000; 3.2328E+001; 4.0000E+000; 2.3396E+001; 4.0000E+000; 2.0746E+001; 4.0000E+000; 2.0139E+001; 4.0000E+000; 1.9193E+001;
 5.0000E+000; 1.1081E+002; 5.0000E+000; 6.3280E+001; 5.0000E+000; 3.7388E+001; 5.0000E+000; 2.5810E+001; 5.0000E+000; 2.1607E+001; 5.0000E+000; 2.0374E+001; 5.0000E+000; 1.9216E+001;
 6.0000E+000; 1.1863E+002; 6.0000E+000; 7.0358E+001; 6.0000E+000; 4.2393E+001; 6.0000E+000; 2.8556E+001; 6.0000E+000; 2.2787E+001; 6.0000E+000; 2.0776E+001; 6.0000E+000; 1.9246E+001;
 7.0000E+000; 1.2595E+002; 7.0000E+000; 7.6940E+001; 7.0000E+000; 4.7283E+001; 7.0000E+000; 3.1505E+001; 7.0000E+000; 2.4232E+001; 7.0000E+000; 2.1354E+001; 7.0000E+000; 1.9279E+001;
 8.0000E+000; 1.3287E+002; 8.0000E+000; 8.3142E+001; 8.0000E+000; 5.2047E+001; 8.0000E+000; 3.4576E+001; 8.0000E+000; 2.5888E+001; 8.0000E+000; 2.2102E+001; 8.0000E+000; 1.9310E+001;
 9.0000E+000; 1.3945E+002; 9.0000E+000; 8.9037E+001; 9.0000E+000; 5.6687E+001; 9.0000E+000; 3.7716E+001; 9.0000E+000; 2.7709E+001; 9.0000E+000; 2.3004E+001; 9.0000E+000; 1.9341E+001;
 1.0000E+001; 1.4572E+002; 1.0000E+001; 9.4666E+001; 1.0000E+001; 6.1210E+001; 1.0000E+001; 4.0895E+001; 1.0000E+001; 2.9659E+001; 1.0000E+001; 2.4043E+001; 1.0000E+001; 1.9369E+001;
 1.1000E+001; 1.5176E+002; 1.1000E+001; 1.0007E+002; 1.1000E+001; 6.5621E+001; 1.1000E+001; 4.4090E+001; 1.1000E+001; 3.1709E+001; 1.1000E+001; 2.5203E+001; 1.1000E+001; 1.9396E+001;
 1.2000E+001; 1.5759E+002; 1.2000E+001; 1.0527E+002; 1.2000E+001; 6.9927E+001; 1.2000E+001; 4.7288E+001; 1.2000E+001; 3.3837E+001; 1.2000E+001; 2.6466E+001; 1.2000E+001; 1.9423E+001;
 1.3000E+001; 1.6323E+002; 1.3000E+001; 1.1031E+002; 1.3000E+001; 7.4137E+001; 1.3000E+001; 5.0478E+001; 1.3000E+001; 3.6025E+001; 1.3000E+001; 2.7820E+001; 1.3000E+001; 1.9449E+001;
 1.4000E+001; 1.6867E+002; 1.4000E+001; 1.1518E+002; 1.4000E+001; 7.8258E+001; 1.4000E+001; 5.3654E+001; 1.4000E+001; 3.8259E+001; 1.4000E+001; 2.9250E+001; 1.4000E+001; 1.9476E+001;
 1.5000E+001; 1.7392E+002; 1.5000E+001; 1.1990E+002; 1.5000E+001; 8.2292E+001; 1.5000E+001; 5.6811E+001; 1.5000E+001; 4.0529E+001; 1.5000E+001; 3.0747E+001; 1.5000E+001; 1.9505E+001;
 1.6000E+001; 1.7897E+002; 1.6000E+001; 1.2447E+002; 1.6000E+001; 8.6243E+001; 1.6000E+001; 5.9946E+001; 1.6000E+001; 4.2827E+001; 1.6000E+001; 3.2300E+001; 1.6000E+001; 1.9538E+001;
 1.7000E+001; 1.8382E+002; 1.7000E+001; 1.2888E+002; 1.7000E+001; 9.0110E+001; 1.7000E+001; 6.3056E+001; 1.7000E+001; 4.5145E+001; 1.7000E+001; 3.3902E+001; 1.7000E+001; 1.9576E+001;
 1.8000E+001; 1.8844E+002; 1.8000E+001; 1.3315E+002; 1.8000E+001; 9.3894E+001; 1.8000E+001; 6.6136E+001; 1.8000E+001; 4.7477E+001; 1.8000E+001; 3.5545E+001; 1.8000E+001; 1.9622E+001;
 1.9000E+001; 1.9282E+002; 1.9000E+001; 1.3725E+002; 1.9000E+001; 9.7591E+001; 1.9000E+001; 6.9185E+001; 1.9000E+001; 4.9819E+001; 1.9000E+001; 3.7225E+001; 1.9000E+001; 1.9675E+001;
 2.0000E+001; 1.9695E+002; 2.0000E+001; 1.4120E+002; 2.0000E+001; 1.0120E+002; 2.0000E+001; 7.2198E+001; 2.0000E+001; 5.2164E+001; 2.0000E+001; 3.8935E+001; 2.0000E+001; 1.9738E+001;
 2.1000E+001; 2.0084E+002; 2.1000E+001; 1.4499E+002; 2.1000E+001; 1.0471E+002; 2.1000E+001; 7.5172E+001; 2.1000E+001; 5.4510E+001; 2.1000E+001; 4.0671E+001; 2.1000E+001; 1.9812E+001;
 2.2000E+001; 2.0453E+002; 2.2000E+001; 1.4864E+002; 2.2000E+001; 1.0813E+002; 2.2000E+001; 7.8103E+001; 2.2000E+001; 5.6852E+001; 2.2000E+001; 4.2428E+001; 2.2000E+001; 1.9899E+001;
 2.3000E+001; 2.0805E+002; 2.3000E+001; 1.5214E+002; 2.3000E+001; 1.1146E+002; 2.3000E+001; 8.0987E+001; 2.3000E+001; 5.9185E+001; 2.3000E+001; 4.4203E+001; 2.3000E+001; 1.9998E+001;
 2.4000E+001; 2.1142E+002; 2.4000E+001; 1.5552E+002; 2.4000E+001; 1.1469E+002; 2.4000E+001; 8.3821E+001; 2.4000E+001; 6.1506E+001; 2.4000E+001; 4.5992E+001; 2.4000E+001; 2.0113E+001;
 2.5000E+001; 2.1466E+002; 2.5000E+001; 1.5877E+002; 2.5000E+001; 1.1783E+002; 2.5000E+001; 8.6606E+001; 2.5000E+001; 6.3812E+001; 2.5000E+001; 4.7790E+001; 2.5000E+001; 2.0243E+001;
