Time(min)   ;HR_00mm     ;Time(min)   ;HR_10mm     ;Time(min)   ;HR_20mm     ;Time(min)   ;HR_30mm     ;Time(min)   ;HR_40mm     ;Time(min)   ;HR_50mm     ;Time(min)   ;HR_120mm    ;
 0.0000E+000; 4.9873E-001; 0.0000E+000; 4.8188E-001; 0.0000E+000; 4.6892E-001; 0.0000E+000; 4.5923E-001; 0.0000E+000; 4.5249E-001; 0.0000E+000; 4.4850E-001; 0.0000E+000; 4.9873E-001;
 1.0000E+000; 2.1972E-001; 1.0000E+000; 4.5908E-001; 1.0000E+000; 4.6692E-001; 1.0000E+000; 4.5906E-001; 1.0000E+000; 4.5248E-001; 1.0000E+000; 4.4850E-001; 1.0000E+000; 4.4179E-001;
 2.0000E+000; 1.0292E-001; 2.0000E+000; 4.5015E-001; 2.0000E+000; 4.6982E-001; 2.0000E+000; 4.5952E-001; 2.0000E+000; 4.5251E-001; 2.0000E+000; 4.4851E-001; 2.0000E+000; 4.0001E-001;
 3.0000E+000; 7.3026E-002; 3.0000E+000; 4.6318E-001; 3.0000E+000; 4.7740E-001; 3.0000E+000; 4.6156E-001; 3.0000E+000; 4.5287E-001; 3.0000E+000; 4.4855E-001; 3.0000E+000; 3.6789E-001;
 4.0000E+000; 5.7670E-002; 4.0000E+000; 4.8598E-001; 4.0000E+000; 4.8695E-001; 4.0000E+000; 4.6499E-001; 4.0000E+000; 4.5378E-001; 4.0000E+000; 4.4873E-001; 4.0000E+000; 3.4331E-001;
 5.0000E+000; 4.6152E-002; 5.0000E+000; 5.0983E-001; 5.0000E+000; 4.9684E-001; 5.0000E+000; 4.6939E-001; 5.0000E+000; 4.5532E-001; 5.0000E+000; 4.4915E-001; 5.0000E+000; 3.2446E-001;
 6.0000E+000; 3.6910E-002; 6.0000E+000; 5.3231E-001; 6.0000E+000; 5.0647E-001; 6.0000E+000; 4.7444E-001; 6.0000E+000; 4.5744E-001; 6.0000E+000; 4.4987E-001; 6.0000E+000; 3.0991E-001;
 7.0000E+000; 2.9537E-002; 7.0000E+000; 5.5293E-001; 7.0000E+000; 5.1568E-001; 7.0000E+000; 4.7988E-001; 7.0000E+000; 4.6003E-001; 7.0000E+000; 4.5090E-001; 7.0000E+000; 2.9859E-001;
 8.0000E+000; 2.3707E-002; 8.0000E+000; 5.7174E-001; 8.0000E+000; 5.2445E-001; 8.0000E+000; 4.8549E-001; 8.0000E+000; 4.6304E-001; 8.0000E+000; 4.5224E-001; 8.0000E+000; 2.8969E-001;
 9.0000E+000; 1.9161E-002; 9.0000E+000; 5.8924E-001; 9.0000E+000; 5.3283E-001; 9.0000E+000; 4.9114E-001; 9.0000E+000; 4.6639E-001; 9.0000E+000; 4.5386E-001; 9.0000E+000; 2.8265E-001;
 1.0000E+001; 1.5571E-002; 1.0000E+001; 6.0577E-001; 1.0000E+001; 5.4086E-001; 1.0000E+001; 4.9677E-001; 1.0000E+001; 4.7003E-001; 1.0000E+001; 4.5573E-001; 1.0000E+001; 2.7702E-001;
 1.1000E+001; 1.2685E-002; 1.1000E+001; 6.2111E-001; 1.1000E+001; 5.4855E-001; 1.1000E+001; 5.0234E-001; 1.1000E+001; 4.7386E-001; 1.1000E+001; 4.5785E-001; 1.1000E+001; 2.7248E-001;
 1.2000E+001; 1.0364E-002; 1.2000E+001; 6.3537E-001; 1.2000E+001; 5.5591E-001; 1.2000E+001; 5.0785E-001; 1.2000E+001; 4.7777E-001; 1.2000E+001; 4.6019E-001; 1.2000E+001; 2.6879E-001;
 1.3000E+001; 8.5004E-003; 1.3000E+001; 6.4874E-001; 1.3000E+001; 5.6298E-001; 1.3000E+001; 5.1328E-001; 1.3000E+001; 4.8171E-001; 1.3000E+001; 4.6277E-001; 1.3000E+001; 2.6576E-001;
 1.4000E+001; 7.0016E-003; 1.4000E+001; 6.6139E-001; 1.4000E+001; 5.6977E-001; 1.4000E+001; 5.1864E-001; 1.4000E+001; 4.8567E-001; 1.4000E+001; 4.6552E-001; 1.4000E+001; 2.6324E-001;
 1.5000E+001; 5.7936E-003; 1.5000E+001; 6.7345E-001; 1.5000E+001; 5.7630E-001; 1.5000E+001; 5.2391E-001; 1.5000E+001; 4.8964E-001; 1.5000E+001; 4.6836E-001; 1.5000E+001; 2.6113E-001;
 1.6000E+001; 4.8175E-003; 1.6000E+001; 6.8505E-001; 1.6000E+001; 5.8258E-001; 1.6000E+001; 5.2910E-001; 1.6000E+001; 4.9362E-001; 1.6000E+001; 4.7124E-001; 1.6000E+001; 2.5932E-001;
 1.7000E+001; 4.0265E-003; 1.7000E+001; 6.9628E-001; 1.7000E+001; 5.8863E-001; 1.7000E+001; 5.3421E-001; 1.7000E+001; 4.9760E-001; 1.7000E+001; 4.7415E-001; 1.7000E+001; 2.5774E-001;
 1.8000E+001; 3.3840E-003; 1.8000E+001; 7.0720E-001; 1.8000E+001; 5.9446E-001; 1.8000E+001; 5.3923E-001; 1.8000E+001; 5.0158E-001; 1.8000E+001; 4.7708E-001; 1.8000E+001; 2.5633E-001;
 1.9000E+001; 2.8614E-003; 1.9000E+001; 7.1785E-001; 1.9000E+001; 6.0012E-001; 1.9000E+001; 5.4417E-001; 1.9000E+001; 5.0555E-001; 1.9000E+001; 4.8003E-001; 1.9000E+001; 2.5503E-001;
 2.0000E+001; 2.4367E-003; 2.0000E+001; 7.2831E-001; 2.0000E+001; 6.0564E-001; 2.0000E+001; 5.4902E-001; 2.0000E+001; 5.0950E-001; 2.0000E+001; 4.8301E-001; 2.0000E+001; 2.5379E-001;
 2.1000E+001; 2.0933E-003; 2.1000E+001; 7.3864E-001; 2.1000E+001; 6.1106E-001; 2.1000E+001; 5.5379E-001; 2.1000E+001; 5.1344E-001; 2.1000E+001; 4.8602E-001; 2.1000E+001; 2.5257E-001;
 2.2000E+001; 1.8186E-003; 2.2000E+001; 7.4891E-001; 2.2000E+001; 6.1645E-001; 2.2000E+001; 5.5848E-001; 2.2000E+001; 5.1735E-001; 2.2000E+001; 4.8905E-001; 2.2000E+001; 2.5135E-001;
 2.3000E+001; 1.6030E-003; 2.3000E+001; 7.5917E-001; 2.3000E+001; 6.2188E-001; 2.3000E+001; 5.6308E-001; 2.3000E+001; 5.2123E-001; 2.3000E+001; 4.9209E-001; 2.3000E+001; 2.5008E-001;
 2.4000E+001; 1.4375E-003; 2.4000E+001; 7.6927E-001; 2.4000E+001; 6.2736E-001; 2.4000E+001; 5.6761E-001; 2.4000E+001; 5.2508E-001; 2.4000E+001; 4.9514E-001; 2.4000E+001; 2.4874E-001;
 2.5000E+001; 1.3117E-003; 2.5000E+001; 7.7878E-001; 2.5000E+001; 6.3286E-001; 2.5000E+001; 5.7205E-001; 2.5000E+001; 5.2890E-001; 2.5000E+001; 4.9820E-001; 2.5000E+001; 2.4730E-001;
