Time(min)   ;SW_00mm     ;Time(min)   ;SW_10mm     ;Time(min)   ;SW_20mm     ;Time(min)   ;SW_30mm     ;Time(min)   ;SW_40mm     ;Time(min)   ;SW_50mm     ;Time(min)   ;SW_120mm    ;
 0.0000E+000; 2.4197E-001; 0.0000E+000; 2.1803E-001; 0.0000E+000; 2.0145E-001; 0.0000E+000; 1.8971E-001; 0.0000E+000; 1.8188E-001; 0.0000E+000; 1.7737E-001; 0.0000E+000; 2.4197E-001;
 1.0000E+000; 1.1214E-001; 1.0000E+000; 2.0286E-001; 1.0000E+000; 2.0039E-001; 1.0000E+000; 1.8964E-001; 1.0000E+000; 1.8187E-001; 1.0000E+000; 1.7737E-001; 1.0000E+000; 2.1465E-001;
 2.0000E+000; 7.6161E-002; 2.0000E+000; 1.9058E-001; 2.0000E+000; 1.9952E-001; 2.0000E+000; 1.8958E-001; 2.0000E+000; 1.8187E-001; 2.0000E+000; 1.7737E-001; 2.0000E+000; 1.9664E-001;
 3.0000E+000; 6.4993E-002; 3.0000E+000; 1.8811E-001; 3.0000E+000; 1.9947E-001; 3.0000E+000; 1.8959E-001; 3.0000E+000; 1.8187E-001; 3.0000E+000; 1.7737E-001; 3.0000E+000; 1.8385E-001;
 4.0000E+000; 5.8544E-002; 4.0000E+000; 1.9078E-001; 4.0000E+000; 1.9986E-001; 4.0000E+000; 1.8963E-001; 4.0000E+000; 1.8187E-001; 4.0000E+000; 1.7737E-001; 4.0000E+000; 1.7458E-001;
 5.0000E+000; 5.3497E-002; 5.0000E+000; 1.9502E-001; 5.0000E+000; 2.0033E-001; 5.0000E+000; 1.8971E-001; 5.0000E+000; 1.8188E-001; 5.0000E+000; 1.7737E-001; 5.0000E+000; 1.6774E-001;
 6.0000E+000; 4.9217E-002; 6.0000E+000; 1.9960E-001; 6.0000E+000; 2.0077E-001; 6.0000E+000; 1.8982E-001; 6.0000E+000; 1.8190E-001; 6.0000E+000; 1.7738E-001; 6.0000E+000; 1.6261E-001;
 7.0000E+000; 4.5523E-002; 7.0000E+000; 2.0413E-001; 7.0000E+000; 2.0116E-001; 7.0000E+000; 1.8996E-001; 7.0000E+000; 1.8192E-001; 7.0000E+000; 1.7738E-001; 7.0000E+000; 1.5869E-001;
 8.0000E+000; 4.2312E-002; 8.0000E+000; 2.0845E-001; 8.0000E+000; 2.0149E-001; 8.0000E+000; 1.9009E-001; 8.0000E+000; 1.8197E-001; 8.0000E+000; 1.7739E-001; 8.0000E+000; 1.5565E-001;
 9.0000E+000; 3.9513E-002; 9.0000E+000; 2.1263E-001; 9.0000E+000; 2.0179E-001; 9.0000E+000; 1.9019E-001; 9.0000E+000; 1.8206E-001; 9.0000E+000; 1.7740E-001; 9.0000E+000; 1.5327E-001;
 1.0000E+001; 3.7045E-002; 1.0000E+001; 2.1672E-001; 1.0000E+001; 2.0206E-001; 1.0000E+001; 1.9026E-001; 1.0000E+001; 1.8217E-001; 1.0000E+001; 1.7743E-001; 1.0000E+001; 1.5138E-001;
 1.1000E+001; 3.4841E-002; 1.1000E+001; 2.2060E-001; 1.1000E+001; 2.0229E-001; 1.1000E+001; 1.9031E-001; 1.1000E+001; 1.8229E-001; 1.1000E+001; 1.7746E-001; 1.1000E+001; 1.4986E-001;
 1.2000E+001; 3.2862E-002; 1.2000E+001; 2.2427E-001; 1.2000E+001; 2.0248E-001; 1.2000E+001; 1.9034E-001; 1.2000E+001; 1.8239E-001; 1.2000E+001; 1.7754E-001; 1.2000E+001; 1.4864E-001;
 1.3000E+001; 3.1079E-002; 1.3000E+001; 2.2777E-001; 1.3000E+001; 2.0265E-001; 1.3000E+001; 1.9036E-001; 1.3000E+001; 1.8245E-001; 1.3000E+001; 1.7765E-001; 1.3000E+001; 1.4763E-001;
 1.4000E+001; 2.9466E-002; 1.4000E+001; 2.3116E-001; 1.4000E+001; 2.0277E-001; 1.4000E+001; 1.9037E-001; 1.4000E+001; 1.8250E-001; 1.4000E+001; 1.7777E-001; 1.4000E+001; 1.4680E-001;
 1.5000E+001; 2.8001E-002; 1.5000E+001; 2.3447E-001; 1.5000E+001; 2.0287E-001; 1.5000E+001; 1.9037E-001; 1.5000E+001; 1.8253E-001; 1.5000E+001; 1.7788E-001; 1.5000E+001; 1.4609E-001;
