Time(min)   ;SW_00mm     ;Time(min)   ;SW_10mm     ;Time(min)   ;SW_20mm     ;Time(min)   ;SW_30mm     ;Time(min)   ;SW_40mm     ;Time(min)   ;SW_50mm     ;Time(min)   ;SW_120mm    ;
 0.0000E+000; 2.4201E-001; 0.0000E+000; 2.3098E-001; 0.0000E+000; 2.2326E-001; 0.0000E+000; 2.1746E-001; 0.0000E+000; 2.1345E-001; 0.0000E+000; 2.1109E-001; 0.0000E+000; 2.4201E-001;
 1.0000E+000; 1.1328E-001; 1.0000E+000; 2.1548E-001; 1.0000E+000; 2.2215E-001; 1.0000E+000; 2.1739E-001; 1.0000E+000; 2.1345E-001; 1.0000E+000; 2.1109E-001; 1.0000E+000; 2.1503E-001;
 2.0000E+000; 7.7771E-002; 2.0000E+000; 2.0597E-001; 2.0000E+000; 2.2150E-001; 2.0000E+000; 2.1735E-001; 2.0000E+000; 2.1344E-001; 2.0000E+000; 2.1109E-001; 2.0000E+000; 1.9727E-001;
 3.0000E+000; 6.6096E-002; 3.0000E+000; 2.0765E-001; 3.0000E+000; 2.2181E-001; 3.0000E+000; 2.1738E-001; 3.0000E+000; 2.1345E-001; 3.0000E+000; 2.1109E-001; 3.0000E+000; 1.8468E-001;
 4.0000E+000; 5.8618E-002; 4.0000E+000; 2.1304E-001; 4.0000E+000; 2.2241E-001; 4.0000E+000; 2.1744E-001; 4.0000E+000; 2.1345E-001; 4.0000E+000; 2.1109E-001; 4.0000E+000; 1.7558E-001;
 5.0000E+000; 5.2699E-002; 5.0000E+000; 2.1902E-001; 5.0000E+000; 2.2301E-001; 5.0000E+000; 2.1751E-001; 5.0000E+000; 2.1346E-001; 5.0000E+000; 2.1109E-001; 5.0000E+000; 1.6888E-001;
 6.0000E+000; 4.7815E-002; 6.0000E+000; 2.2481E-001; 6.0000E+000; 2.2352E-001; 6.0000E+000; 2.1760E-001; 6.0000E+000; 2.1348E-001; 6.0000E+000; 2.1110E-001; 6.0000E+000; 1.6387E-001;
 7.0000E+000; 4.3728E-002; 7.0000E+000; 2.3021E-001; 7.0000E+000; 2.2394E-001; 7.0000E+000; 2.1771E-001; 7.0000E+000; 2.1350E-001; 7.0000E+000; 2.1110E-001; 7.0000E+000; 1.6005E-001;
 8.0000E+000; 4.0272E-002; 8.0000E+000; 2.3519E-001; 8.0000E+000; 2.2427E-001; 8.0000E+000; 2.1783E-001; 8.0000E+000; 2.1353E-001; 8.0000E+000; 2.1111E-001; 8.0000E+000; 1.5711E-001;
 9.0000E+000; 3.7347E-002; 9.0000E+000; 2.4006E-001; 9.0000E+000; 2.2455E-001; 9.0000E+000; 2.1792E-001; 9.0000E+000; 2.1358E-001; 9.0000E+000; 2.1112E-001; 9.0000E+000; 1.5481E-001;
 1.0000E+001; 3.4815E-002; 1.0000E+001; 2.4493E-001; 1.0000E+001; 2.2477E-001; 1.0000E+001; 2.1800E-001; 1.0000E+001; 2.1365E-001; 1.0000E+001; 2.1113E-001; 1.0000E+001; 1.5300E-001;
 1.1000E+001; 3.2585E-002; 1.1000E+001; 2.4966E-001; 1.1000E+001; 2.2494E-001; 1.1000E+001; 2.1805E-001; 1.1000E+001; 2.1374E-001; 1.1000E+001; 2.1116E-001; 1.1000E+001; 1.5155E-001;
 1.2000E+001; 3.0610E-002; 1.2000E+001; 2.5433E-001; 1.2000E+001; 2.2507E-001; 1.2000E+001; 2.1807E-001; 1.2000E+001; 2.1382E-001; 1.2000E+001; 2.1119E-001; 1.2000E+001; 1.5037E-001;
 1.3000E+001; 2.8855E-002; 1.3000E+001; 2.5900E-001; 1.3000E+001; 2.2515E-001; 1.3000E+001; 2.1809E-001; 1.3000E+001; 2.1389E-001; 1.3000E+001; 2.1124E-001; 1.3000E+001; 1.4941E-001;
 1.4000E+001; 2.7289E-002; 1.4000E+001; 2.6376E-001; 1.4000E+001; 2.2519E-001; 1.4000E+001; 2.1808E-001; 1.4000E+001; 2.1394E-001; 1.4000E+001; 2.1131E-001; 1.4000E+001; 1.4861E-001;
 1.5000E+001; 2.5891E-002; 1.5000E+001; 2.6865E-001; 1.5000E+001; 2.2518E-001; 1.5000E+001; 2.1807E-001; 1.5000E+001; 2.1398E-001; 1.5000E+001; 2.1138E-001; 1.5000E+001; 1.4794E-001;
 1.6000E+001; 2.4642E-002; 1.6000E+001; 2.7375E-001; 1.6000E+001; 2.2515E-001; 1.6000E+001; 2.1805E-001; 1.6000E+001; 2.1400E-001; 1.6000E+001; 2.1145E-001; 1.6000E+001; 1.4736E-001;
 1.7000E+001; 2.3533E-002; 1.7000E+001; 2.7908E-001; 1.7000E+001; 2.2511E-001; 1.7000E+001; 2.1803E-001; 1.7000E+001; 2.1400E-001; 1.7000E+001; 2.1151E-001; 1.7000E+001; 1.4684E-001;
 1.8000E+001; 2.2556E-002; 1.8000E+001; 2.8462E-001; 1.8000E+001; 2.2509E-001; 1.8000E+001; 2.1800E-001; 1.8000E+001; 2.1400E-001; 1.8000E+001; 2.1155E-001; 1.8000E+001; 1.4637E-001;
 1.9000E+001; 2.1705E-002; 1.9000E+001; 2.9015E-001; 1.9000E+001; 2.2512E-001; 1.9000E+001; 2.1798E-001; 1.9000E+001; 2.1399E-001; 1.9000E+001; 2.1158E-001; 1.9000E+001; 1.4592E-001;
 2.0000E+001; 2.0969E-002; 2.0000E+001; 2.9515E-001; 2.0000E+001; 2.2517E-001; 2.0000E+001; 2.1798E-001; 2.0000E+001; 2.1398E-001; 2.0000E+001; 2.1159E-001; 2.0000E+001; 1.4549E-001;
 2.1000E+001; 2.0330E-002; 2.1000E+001; 2.9872E-001; 2.1000E+001; 2.2524E-001; 2.1000E+001; 2.1800E-001; 2.1000E+001; 2.1396E-001; 2.1000E+001; 2.1160E-001; 2.1000E+001; 1.4506E-001;
 2.2000E+001; 1.9764E-002; 2.2000E+001; 2.9996E-001; 2.2000E+001; 2.2530E-001; 2.2000E+001; 2.1805E-001; 2.2000E+001; 2.1394E-001; 2.2000E+001; 2.1160E-001; 2.2000E+001; 1.4461E-001;
 2.3000E+001; 1.9252E-002; 2.3000E+001; 2.9839E-001; 2.3000E+001; 2.2538E-001; 2.3000E+001; 2.1812E-001; 2.3000E+001; 2.1393E-001; 2.3000E+001; 2.1159E-001; 2.3000E+001; 1.4414E-001;
 2.4000E+001; 1.8779E-002; 2.4000E+001; 2.9411E-001; 2.4000E+001; 2.2553E-001; 2.4000E+001; 2.1823E-001; 2.4000E+001; 2.1392E-001; 2.4000E+001; 2.1158E-001; 2.4000E+001; 1.4364E-001;
 2.5000E+001; 1.8335E-002; 2.5000E+001; 2.8751E-001; 2.5000E+001; 2.2579E-001; 2.5000E+001; 2.1836E-001; 2.5000E+001; 2.1393E-001; 2.5000E+001; 2.1157E-001; 2.5000E+001; 1.4309E-001;
 2.6000E+001; 1.7912E-002; 2.6000E+001; 2.7903E-001; 2.6000E+001; 2.2620E-001; 2.6000E+001; 2.1851E-001; 2.6000E+001; 2.1395E-001; 2.6000E+001; 2.1156E-001; 2.6000E+001; 1.4250E-001;
 2.7000E+001; 1.7506E-002; 2.7000E+001; 2.6899E-001; 2.7000E+001; 2.2678E-001; 2.7000E+001; 2.1868E-001; 2.7000E+001; 2.1399E-001; 2.7000E+001; 2.1155E-001; 2.7000E+001; 1.4186E-001;
 2.8000E+001; 1.7113E-002; 2.8000E+001; 2.5757E-001; 2.8000E+001; 2.2752E-001; 2.8000E+001; 2.1889E-001; 2.8000E+001; 2.1404E-001; 2.8000E+001; 2.1154E-001; 2.8000E+001; 1.4116E-001;
 2.9000E+001; 1.6731E-002; 2.9000E+001; 2.4487E-001; 2.9000E+001; 2.2842E-001; 2.9000E+001; 2.1913E-001; 2.9000E+001; 2.1411E-001; 2.9000E+001; 2.1154E-001; 2.9000E+001; 1.4040E-001;
 3.0000E+001; 1.6361E-002; 3.0000E+001; 2.3095E-001; 3.0000E+001; 2.2948E-001; 3.0000E+001; 2.1941E-001; 3.0000E+001; 2.1420E-001; 3.0000E+001; 2.1155E-001; 3.0000E+001; 1.3958E-001;
 3.1000E+001; 1.6002E-002; 3.1000E+001; 2.1590E-001; 3.1000E+001; 2.3070E-001; 3.1000E+001; 2.1972E-001; 3.1000E+001; 2.1429E-001; 3.1000E+001; 2.1156E-001; 3.1000E+001; 1.3870E-001;
 3.2000E+001; 1.5654E-002; 3.2000E+001; 1.9997E-001; 3.2000E+001; 2.3210E-001; 3.2000E+001; 2.2005E-001; 3.2000E+001; 2.1440E-001; 3.2000E+001; 2.1158E-001; 3.2000E+001; 1.3775E-001;
 3.3000E+001; 1.5319E-002; 3.3000E+001; 1.8355E-001; 3.3000E+001; 2.3370E-001; 3.3000E+001; 2.2042E-001; 3.3000E+001; 2.1451E-001; 3.3000E+001; 2.1161E-001; 3.3000E+001; 1.3674E-001;
 3.4000E+001; 1.4998E-002; 3.4000E+001; 1.6727E-001; 3.4000E+001; 2.3555E-001; 3.4000E+001; 2.2083E-001; 3.4000E+001; 2.1463E-001; 3.4000E+001; 2.1164E-001; 3.4000E+001; 1.3566E-001;
 3.5000E+001; 1.4690E-002; 3.5000E+001; 1.5179E-001; 3.5000E+001; 2.3769E-001; 3.5000E+001; 2.2127E-001; 3.5000E+001; 2.1475E-001; 3.5000E+001; 2.1168E-001; 3.5000E+001; 1.3453E-001;
 3.6000E+001; 1.4397E-002; 3.6000E+001; 1.3766E-001; 3.6000E+001; 2.4014E-001; 3.6000E+001; 2.2174E-001; 3.6000E+001; 2.1488E-001; 3.6000E+001; 2.1173E-001; 3.6000E+001; 1.3334E-001;
 3.7000E+001; 1.4116E-002; 3.7000E+001; 1.2515E-001; 3.7000E+001; 2.4288E-001; 3.7000E+001; 2.2224E-001; 3.7000E+001; 2.1500E-001; 3.7000E+001; 2.1178E-001; 3.7000E+001; 1.3210E-001;
 3.8000E+001; 1.3847E-002; 3.8000E+001; 1.1425E-001; 3.8000E+001; 2.4587E-001; 3.8000E+001; 2.2277E-001; 3.8000E+001; 2.1513E-001; 3.8000E+001; 2.1184E-001; 3.8000E+001; 1.3080E-001;
 3.9000E+001; 1.3589E-002; 3.9000E+001; 1.0479E-001; 3.9000E+001; 2.4902E-001; 3.9000E+001; 2.2331E-001; 3.9000E+001; 2.1527E-001; 3.9000E+001; 2.1190E-001; 3.9000E+001; 1.2946E-001;
 4.0000E+001; 1.3340E-002; 4.0000E+001; 9.6559E-002; 4.0000E+001; 2.5226E-001; 4.0000E+001; 2.2387E-001; 4.0000E+001; 2.1541E-001; 4.0000E+001; 2.1197E-001; 4.0000E+001; 1.2808E-001;
