Time(min)   ;HR_00mm     ;Time(min)   ;HR_10mm     ;Time(min)   ;HR_20mm     ;Time(min)   ;HR_30mm     ;Time(min)   ;HR_40mm     ;Time(min)   ;HR_50mm     ;Time(min)   ;HR_120mm    ;
 0.0000E+000; 4.9864E-001; 0.0000E+000; 4.3763E-001; 0.0000E+000; 4.0771E-001; 0.0000E+000; 3.9054E-001; 0.0000E+000; 3.7927E-001; 0.0000E+000; 3.7210E-001; 0.0000E+000; 4.9864E-001;
 1.0000E+000; 2.0757E-001; 1.0000E+000; 4.1319E-001; 1.0000E+000; 4.0556E-001; 1.0000E+000; 3.9035E-001; 1.0000E+000; 3.7926E-001; 1.0000E+000; 3.7210E-001; 1.0000E+000; 4.3945E-001;
 2.0000E+000; 9.1643E-002; 2.0000E+000; 3.9829E-001; 2.0000E+000; 4.0812E-001; 2.0000E+000; 3.9081E-001; 2.0000E+000; 3.7929E-001; 2.0000E+000; 3.7210E-001; 2.0000E+000; 3.9612E-001;
 3.0000E+000; 6.3282E-002; 3.0000E+000; 3.9901E-001; 3.0000E+000; 4.1515E-001; 3.0000E+000; 3.9287E-001; 3.0000E+000; 3.7966E-001; 3.0000E+000; 3.7214E-001; 3.0000E+000; 3.6296E-001;
 4.0000E+000; 5.1482E-002; 4.0000E+000; 4.1242E-001; 4.0000E+000; 4.2446E-001; 4.0000E+000; 3.9644E-001; 4.0000E+000; 3.8061E-001; 4.0000E+000; 3.7234E-001; 4.0000E+000; 3.3775E-001;
 5.0000E+000; 4.3723E-002; 5.0000E+000; 4.3122E-001; 5.0000E+000; 4.3445E-001; 5.0000E+000; 4.0113E-001; 5.0000E+000; 3.8224E-001; 5.0000E+000; 3.7278E-001; 5.0000E+000; 3.1856E-001;
 6.0000E+000; 3.7286E-002; 6.0000E+000; 4.5092E-001; 6.0000E+000; 4.4437E-001; 6.0000E+000; 4.0656E-001; 6.0000E+000; 3.8449E-001; 6.0000E+000; 3.7354E-001; 6.0000E+000; 3.0385E-001;
 7.0000E+000; 3.1721E-002; 7.0000E+000; 4.7004E-001; 7.0000E+000; 4.5394E-001; 7.0000E+000; 4.1237E-001; 7.0000E+000; 3.8727E-001; 7.0000E+000; 3.7463E-001; 7.0000E+000; 2.9249E-001;
 8.0000E+000; 2.6947E-002; 8.0000E+000; 4.8814E-001; 8.0000E+000; 4.6310E-001; 8.0000E+000; 4.1832E-001; 8.0000E+000; 3.9055E-001; 8.0000E+000; 3.7605E-001; 8.0000E+000; 2.8363E-001;
 9.0000E+000; 2.2971E-002; 9.0000E+000; 5.0575E-001; 9.0000E+000; 4.7188E-001; 9.0000E+000; 4.2427E-001; 9.0000E+000; 3.9423E-001; 9.0000E+000; 3.7778E-001; 9.0000E+000; 2.7666E-001;
 1.0000E+001; 1.9619E-002; 1.0000E+001; 5.2307E-001; 1.0000E+001; 4.8033E-001; 1.0000E+001; 4.3017E-001; 1.0000E+001; 3.9818E-001; 1.0000E+001; 3.7982E-001; 1.0000E+001; 2.7112E-001;
 1.1000E+001; 1.6725E-002; 1.1000E+001; 5.3949E-001; 1.1000E+001; 4.8840E-001; 1.1000E+001; 4.3599E-001; 1.1000E+001; 4.0223E-001; 1.1000E+001; 3.8220E-001; 1.1000E+001; 2.6668E-001;
 1.2000E+001; 1.4241E-002; 1.2000E+001; 5.5492E-001; 1.2000E+001; 4.9614E-001; 1.2000E+001; 4.4173E-001; 1.2000E+001; 4.0629E-001; 1.2000E+001; 3.8491E-001; 1.2000E+001; 2.6309E-001;
