Time(min)   ;HR_00mm     ;Time(min)   ;HR_10mm     ;Time(min)   ;HR_20mm     ;Time(min)   ;HR_30mm     ;Time(min)   ;HR_40mm     ;Time(min)   ;HR_50mm     ;Time(min)   ;HR_120mm    ;
 0.0000E+000; 4.9874E-001; 0.0000E+000; 4.7845E-001; 0.0000E+000; 4.6410E-001; 0.0000E+000; 4.5396E-001; 0.0000E+000; 4.4717E-001; 0.0000E+000; 4.4324E-001; 0.0000E+000; 4.9874E-001;
 1.0000E+000; 2.1872E-001; 1.0000E+000; 4.5545E-001; 1.0000E+000; 4.6208E-001; 1.0000E+000; 4.5378E-001; 1.0000E+000; 4.4715E-001; 1.0000E+000; 4.4324E-001; 1.0000E+000; 4.4162E-001;
 2.0000E+000; 1.0160E-001; 2.0000E+000; 4.4511E-001; 2.0000E+000; 4.6487E-001; 2.0000E+000; 4.5424E-001; 2.0000E+000; 4.4719E-001; 2.0000E+000; 4.4324E-001; 2.0000E+000; 3.9968E-001;
 3.0000E+000; 7.1962E-002; 3.0000E+000; 4.5590E-001; 3.0000E+000; 4.7232E-001; 3.0000E+000; 4.5627E-001; 3.0000E+000; 4.4754E-001; 3.0000E+000; 4.4329E-001; 3.0000E+000; 3.6743E-001;
 4.0000E+000; 5.7323E-002; 4.0000E+000; 4.7737E-001; 4.0000E+000; 4.8183E-001; 4.0000E+000; 4.5971E-001; 4.0000E+000; 4.4846E-001; 4.0000E+000; 4.4347E-001; 4.0000E+000; 3.4275E-001;
 5.0000E+000; 4.6432E-002; 5.0000E+000; 5.0059E-001; 5.0000E+000; 4.9172E-001; 5.0000E+000; 4.6414E-001; 5.0000E+000; 4.5001E-001; 5.0000E+000; 4.4389E-001; 5.0000E+000; 3.2383E-001;
 6.0000E+000; 3.7584E-002; 6.0000E+000; 5.2275E-001; 6.0000E+000; 5.0137E-001; 6.0000E+000; 4.6923E-001; 6.0000E+000; 4.5214E-001; 6.0000E+000; 4.4462E-001; 6.0000E+000; 3.0921E-001;
 7.0000E+000; 3.0415E-002; 7.0000E+000; 5.4325E-001; 7.0000E+000; 5.1062E-001; 7.0000E+000; 4.7470E-001; 7.0000E+000; 4.5475E-001; 7.0000E+000; 4.4566E-001; 7.0000E+000; 2.9783E-001;
 8.0000E+000; 2.4664E-002; 8.0000E+000; 5.6202E-001; 8.0000E+000; 5.1942E-001; 8.0000E+000; 4.8035E-001; 8.0000E+000; 4.5777E-001; 8.0000E+000; 4.4700E-001; 8.0000E+000; 2.8889E-001;
 9.0000E+000; 2.0137E-002; 9.0000E+000; 5.7966E-001; 9.0000E+000; 5.2784E-001; 9.0000E+000; 4.8603E-001; 9.0000E+000; 4.6115E-001; 9.0000E+000; 4.4863E-001; 9.0000E+000; 2.8181E-001;
 1.0000E+001; 1.6524E-002; 1.0000E+001; 5.9656E-001; 1.0000E+001; 5.3592E-001; 1.0000E+001; 4.9167E-001; 1.0000E+001; 4.6482E-001; 1.0000E+001; 4.5051E-001; 1.0000E+001; 2.7614E-001;
 1.1000E+001; 1.3568E-002; 1.1000E+001; 6.1229E-001; 1.1000E+001; 5.4364E-001; 1.1000E+001; 4.9726E-001; 1.1000E+001; 4.6868E-001; 1.1000E+001; 4.5264E-001; 1.1000E+001; 2.7157E-001;
 1.2000E+001; 1.1156E-002; 1.2000E+001; 6.2693E-001; 1.2000E+001; 5.5105E-001; 1.2000E+001; 5.0277E-001; 1.2000E+001; 4.7260E-001; 1.2000E+001; 4.5500E-001; 1.2000E+001; 2.6786E-001;
 1.3000E+001; 9.1935E-003; 1.3000E+001; 6.4064E-001; 1.3000E+001; 5.5815E-001; 1.3000E+001; 5.0821E-001; 1.3000E+001; 4.7656E-001; 1.3000E+001; 4.5761E-001; 1.3000E+001; 2.6480E-001;
 1.4000E+001; 7.5984E-003; 1.4000E+001; 6.5358E-001; 1.4000E+001; 5.6498E-001; 1.4000E+001; 5.1357E-001; 1.4000E+001; 4.8052E-001; 1.4000E+001; 4.6039E-001; 1.4000E+001; 2.6227E-001;
 1.5000E+001; 6.3016E-003; 1.5000E+001; 6.6590E-001; 1.5000E+001; 5.7154E-001; 1.5000E+001; 5.1885E-001; 1.5000E+001; 4.8449E-001; 1.5000E+001; 4.6325E-001; 1.5000E+001; 2.6014E-001;
 1.6000E+001; 5.2460E-003; 1.6000E+001; 6.7772E-001; 1.6000E+001; 5.7785E-001; 1.6000E+001; 5.2404E-001; 1.6000E+001; 4.8847E-001; 1.6000E+001; 4.6614E-001; 1.6000E+001; 2.5831E-001;
 1.7000E+001; 4.3853E-003; 1.7000E+001; 6.8915E-001; 1.7000E+001; 5.8393E-001; 1.7000E+001; 5.2915E-001; 1.7000E+001; 4.9245E-001; 1.7000E+001; 4.6904E-001; 1.7000E+001; 2.5672E-001;
 1.8000E+001; 3.6824E-003; 1.8000E+001; 7.0027E-001; 1.8000E+001; 5.8979E-001; 1.8000E+001; 5.3417E-001; 1.8000E+001; 4.9643E-001; 1.8000E+001; 4.7197E-001; 1.8000E+001; 2.5530E-001;
 1.9000E+001; 3.1077E-003; 1.9000E+001; 7.1112E-001; 1.9000E+001; 5.9545E-001; 1.9000E+001; 5.3910E-001; 1.9000E+001; 5.0040E-001; 1.9000E+001; 4.7492E-001; 1.9000E+001; 2.5399E-001;
 2.0000E+001; 2.6379E-003; 2.0000E+001; 7.2176E-001; 2.0000E+001; 6.0096E-001; 2.0000E+001; 5.4396E-001; 2.0000E+001; 5.0435E-001; 2.0000E+001; 4.7790E-001; 2.0000E+001; 2.5275E-001;
 2.1000E+001; 2.2552E-003; 2.1000E+001; 7.3226E-001; 2.1000E+001; 6.0634E-001; 2.1000E+001; 5.4872E-001; 2.1000E+001; 5.0829E-001; 2.1000E+001; 4.8091E-001; 2.1000E+001; 2.5153E-001;
 2.2000E+001; 1.9461E-003; 2.2000E+001; 7.4270E-001; 2.2000E+001; 6.1165E-001; 2.2000E+001; 5.5341E-001; 2.2000E+001; 5.1220E-001; 2.2000E+001; 4.8393E-001; 2.2000E+001; 2.5030E-001;
 2.3000E+001; 1.7005E-003; 2.3000E+001; 7.5315E-001; 2.3000E+001; 6.1699E-001; 2.3000E+001; 5.5801E-001; 2.3000E+001; 5.1609E-001; 2.3000E+001; 4.8698E-001; 2.3000E+001; 2.4903E-001;
 2.4000E+001; 1.5102E-003; 2.4000E+001; 7.6360E-001; 2.4000E+001; 6.2242E-001; 2.4000E+001; 5.6253E-001; 2.4000E+001; 5.1994E-001; 2.4000E+001; 4.9003E-001; 2.4000E+001; 2.4769E-001;
 2.5000E+001; 1.3663E-003; 2.5000E+001; 7.7378E-001; 2.5000E+001; 6.2793E-001; 2.5000E+001; 5.6697E-001; 2.5000E+001; 5.2376E-001; 2.5000E+001; 4.9309E-001; 2.5000E+001; 2.4625E-001;
 2.6000E+001; 1.2575E-003; 2.6000E+001; 7.8307E-001; 2.6000E+001; 6.3347E-001; 2.6000E+001; 5.7133E-001; 2.6000E+001; 5.2754E-001; 2.6000E+001; 4.9615E-001; 2.6000E+001; 2.4470E-001;
