Time(min)   ;SW_00mm     ;Time(min)   ;SW_10mm     ;Time(min)   ;SW_20mm     ;Time(min)   ;SW_30mm     ;Time(min)   ;SW_40mm     ;Time(min)   ;SW_50mm     ;Time(min)   ;SW_120mm    ;
 0.0000E+000; 2.4202E-001; 0.0000E+000; 2.2970E-001; 0.0000E+000; 2.2152E-001; 0.0000E+000; 2.1563E-001; 0.0000E+000; 2.1164E-001; 0.0000E+000; 2.0931E-001; 0.0000E+000; 2.4202E-001;
 1.0000E+000; 1.1315E-001; 1.0000E+000; 2.1422E-001; 1.0000E+000; 2.2041E-001; 1.0000E+000; 2.1555E-001; 1.0000E+000; 2.1163E-001; 1.0000E+000; 2.0931E-001; 1.0000E+000; 2.1500E-001;
 2.0000E+000; 7.7562E-002; 2.0000E+000; 2.0426E-001; 2.0000E+000; 2.1974E-001; 2.0000E+000; 2.1551E-001; 2.0000E+000; 2.1163E-001; 2.0000E+000; 2.0931E-001; 2.0000E+000; 1.9720E-001;
 3.0000E+000; 6.5983E-002; 3.0000E+000; 2.0543E-001; 3.0000E+000; 2.2001E-001; 3.0000E+000; 2.1554E-001; 3.0000E+000; 2.1163E-001; 3.0000E+000; 2.0932E-001; 3.0000E+000; 1.8458E-001;
 4.0000E+000; 5.8649E-002; 4.0000E+000; 2.1052E-001; 4.0000E+000; 2.2061E-001; 4.0000E+000; 2.1560E-001; 4.0000E+000; 2.1164E-001; 4.0000E+000; 2.0932E-001; 4.0000E+000; 1.7545E-001;
 5.0000E+000; 5.2839E-002; 5.0000E+000; 2.1631E-001; 5.0000E+000; 2.2121E-001; 5.0000E+000; 2.1568E-001; 5.0000E+000; 2.1165E-001; 5.0000E+000; 2.0932E-001; 5.0000E+000; 1.6872E-001;
 6.0000E+000; 4.8025E-002; 6.0000E+000; 2.2199E-001; 6.0000E+000; 2.2174E-001; 6.0000E+000; 2.1577E-001; 6.0000E+000; 2.1166E-001; 6.0000E+000; 2.0932E-001; 6.0000E+000; 1.6368E-001;
 7.0000E+000; 4.3980E-002; 7.0000E+000; 2.2730E-001; 7.0000E+000; 2.2217E-001; 7.0000E+000; 2.1588E-001; 7.0000E+000; 2.1169E-001; 7.0000E+000; 2.0933E-001; 7.0000E+000; 1.5985E-001;
 8.0000E+000; 4.0549E-002; 8.0000E+000; 2.3220E-001; 8.0000E+000; 2.2251E-001; 8.0000E+000; 2.1599E-001; 8.0000E+000; 2.1172E-001; 8.0000E+000; 2.0933E-001; 8.0000E+000; 1.5689E-001;
 9.0000E+000; 3.7666E-002; 9.0000E+000; 2.3728E-001; 9.0000E+000; 2.2282E-001; 9.0000E+000; 2.1610E-001; 9.0000E+000; 2.1176E-001; 9.0000E+000; 2.0934E-001; 9.0000E+000; 1.5457E-001;
 1.0000E+001; 3.5163E-002; 1.0000E+001; 2.4269E-001; 1.0000E+001; 2.2309E-001; 1.0000E+001; 2.1618E-001; 1.0000E+001; 2.1183E-001; 1.0000E+001; 2.0936E-001; 1.0000E+001; 1.5274E-001;
 1.1000E+001; 3.2923E-002; 1.1000E+001; 2.4808E-001; 1.1000E+001; 2.2330E-001; 1.1000E+001; 2.1625E-001; 1.1000E+001; 2.1191E-001; 1.1000E+001; 2.0938E-001; 1.1000E+001; 1.5128E-001;
 1.2000E+001; 3.0914E-002; 1.2000E+001; 2.5347E-001; 1.2000E+001; 2.2347E-001; 1.2000E+001; 2.1629E-001; 1.2000E+001; 2.1200E-001; 1.2000E+001; 2.0942E-001; 1.2000E+001; 1.5010E-001;
 1.3000E+001; 2.9112E-002; 1.3000E+001; 2.5897E-001; 1.3000E+001; 2.2358E-001; 1.3000E+001; 2.1631E-001; 1.3000E+001; 2.1208E-001; 1.3000E+001; 2.0946E-001; 1.3000E+001; 1.4913E-001;
 1.4000E+001; 2.7497E-002; 1.4000E+001; 2.6466E-001; 1.4000E+001; 2.2362E-001; 1.4000E+001; 2.1631E-001; 1.4000E+001; 2.1214E-001; 1.4000E+001; 2.0952E-001; 1.4000E+001; 1.4833E-001;
 1.5000E+001; 2.6053E-002; 1.5000E+001; 2.7057E-001; 1.5000E+001; 2.2360E-001; 1.5000E+001; 2.1631E-001; 1.5000E+001; 2.1219E-001; 1.5000E+001; 2.0959E-001; 1.5000E+001; 1.4765E-001;
 1.6000E+001; 2.4771E-002; 1.6000E+001; 2.7673E-001; 1.6000E+001; 2.2353E-001; 1.6000E+001; 2.1629E-001; 1.6000E+001; 2.1222E-001; 1.6000E+001; 2.0966E-001; 1.6000E+001; 1.4706E-001;
 1.7000E+001; 2.3646E-002; 1.7000E+001; 2.8305E-001; 1.7000E+001; 2.2340E-001; 1.7000E+001; 2.1627E-001; 1.7000E+001; 2.1223E-001; 1.7000E+001; 2.0971E-001; 1.7000E+001; 1.4654E-001;
 1.8000E+001; 2.2680E-002; 1.8000E+001; 2.8916E-001; 1.8000E+001; 2.2327E-001; 1.8000E+001; 2.1626E-001; 1.8000E+001; 2.1224E-001; 1.8000E+001; 2.0976E-001; 1.8000E+001; 1.4607E-001;
 1.9000E+001; 2.1863E-002; 1.9000E+001; 2.9427E-001; 1.9000E+001; 2.2314E-001; 1.9000E+001; 2.1625E-001; 1.9000E+001; 2.1224E-001; 1.9000E+001; 2.0980E-001; 1.9000E+001; 1.4563E-001;
 2.0000E+001; 2.1174E-002; 2.0000E+001; 2.9712E-001; 2.0000E+001; 2.2300E-001; 2.0000E+001; 2.1626E-001; 2.0000E+001; 2.1223E-001; 2.0000E+001; 2.0982E-001; 2.0000E+001; 1.4519E-001;
 2.1000E+001; 2.0580E-002; 2.1000E+001; 2.9663E-001; 2.1000E+001; 2.2289E-001; 2.1000E+001; 2.1631E-001; 2.1000E+001; 2.1223E-001; 2.1000E+001; 2.0983E-001; 2.1000E+001; 1.4476E-001;
 2.2000E+001; 2.0045E-002; 2.2000E+001; 2.9247E-001; 2.2000E+001; 2.2285E-001; 2.2000E+001; 2.1639E-001; 2.2000E+001; 2.1224E-001; 2.2000E+001; 2.0984E-001; 2.2000E+001; 1.4432E-001;
