Time(min)   ;HYD_00mm    ;Time(min)   ;HYD_10mm    ;Time(min)   ;HYD_20mm    ;Time(min)   ;HYD_30mm    ;Time(min)   ;HYD_40mm    ;Time(min)   ;HYD_50mm    ;Time(min)   ;HYD_120mm   ;
 0.0000E+000; 8.9432E-001; 0.0000E+000; 8.1532E-001; 0.0000E+000; 7.6516E-001; 0.0000E+000; 7.2930E-001; 0.0000E+000; 7.0489E-001; 0.0000E+000; 6.9073E-001; 0.0000E+000; 8.9432E-001;
 1.0000E+000; 8.9432E-001; 1.0000E+000; 8.1532E-001; 1.0000E+000; 7.6516E-001; 1.0000E+000; 7.2930E-001; 1.0000E+000; 7.0489E-001; 1.0000E+000; 6.9073E-001; 1.0000E+000; 8.9432E-001;
 2.0000E+000; 8.9432E-001; 2.0000E+000; 8.1532E-001; 2.0000E+000; 7.6516E-001; 2.0000E+000; 7.2930E-001; 2.0000E+000; 7.0489E-001; 2.0000E+000; 6.9073E-001; 2.0000E+000; 8.9432E-001;
 3.0000E+000; 8.9432E-001; 3.0000E+000; 8.1532E-001; 3.0000E+000; 7.6516E-001; 3.0000E+000; 7.2930E-001; 3.0000E+000; 7.0489E-001; 3.0000E+000; 6.9073E-001; 3.0000E+000; 8.9432E-001;
 4.0000E+000; 8.9433E-001; 4.0000E+000; 8.1532E-001; 4.0000E+000; 7.6516E-001; 4.0000E+000; 7.2930E-001; 4.0000E+000; 7.0490E-001; 4.0000E+000; 6.9073E-001; 4.0000E+000; 8.9432E-001;
 5.0000E+000; 8.9433E-001; 5.0000E+000; 8.1533E-001; 5.0000E+000; 7.6517E-001; 5.0000E+000; 7.2931E-001; 5.0000E+000; 7.0490E-001; 5.0000E+000; 6.9074E-001; 5.0000E+000; 8.9432E-001;
 6.0000E+000; 8.9433E-001; 6.0000E+000; 8.1533E-001; 6.0000E+000; 7.6517E-001; 6.0000E+000; 7.2931E-001; 6.0000E+000; 7.0490E-001; 6.0000E+000; 6.9074E-001; 6.0000E+000; 8.9432E-001;
 7.0000E+000; 8.9433E-001; 7.0000E+000; 8.1534E-001; 7.0000E+000; 7.6517E-001; 7.0000E+000; 7.2931E-001; 7.0000E+000; 7.0490E-001; 7.0000E+000; 6.9074E-001; 7.0000E+000; 8.9432E-001;
 8.0000E+000; 8.9433E-001; 8.0000E+000; 8.1535E-001; 8.0000E+000; 7.6517E-001; 8.0000E+000; 7.2931E-001; 8.0000E+000; 7.0490E-001; 8.0000E+000; 6.9074E-001; 8.0000E+000; 8.9432E-001;
 9.0000E+000; 8.9434E-001; 9.0000E+000; 8.1537E-001; 9.0000E+000; 7.6518E-001; 9.0000E+000; 7.2931E-001; 9.0000E+000; 7.0490E-001; 9.0000E+000; 6.9074E-001; 9.0000E+000; 8.9432E-001;
 1.0000E+001; 8.9434E-001; 1.0000E+001; 8.1540E-001; 1.0000E+001; 7.6518E-001; 1.0000E+001; 7.2931E-001; 1.0000E+001; 7.0490E-001; 1.0000E+001; 6.9074E-001; 1.0000E+001; 8.9432E-001;
 1.1000E+001; 8.9434E-001; 1.1000E+001; 8.1544E-001; 1.1000E+001; 7.6519E-001; 1.1000E+001; 7.2931E-001; 1.1000E+001; 7.0490E-001; 1.1000E+001; 6.9074E-001; 1.1000E+001; 8.9432E-001;
 1.2000E+001; 8.9435E-001; 1.2000E+001; 8.1550E-001; 1.2000E+001; 7.6520E-001; 1.2000E+001; 7.2932E-001; 1.2000E+001; 7.0490E-001; 1.2000E+001; 6.9074E-001; 1.2000E+001; 8.9432E-001;
 1.3000E+001; 8.9435E-001; 1.3000E+001; 8.1558E-001; 1.3000E+001; 7.6522E-001; 1.3000E+001; 7.2932E-001; 1.3000E+001; 7.0490E-001; 1.3000E+001; 6.9074E-001; 1.3000E+001; 8.9432E-001;
 1.4000E+001; 8.9436E-001; 1.4000E+001; 8.1568E-001; 1.4000E+001; 7.6524E-001; 1.4000E+001; 7.2933E-001; 1.4000E+001; 7.0491E-001; 1.4000E+001; 6.9074E-001; 1.4000E+001; 8.9432E-001;
 1.5000E+001; 8.9437E-001; 1.5000E+001; 8.1583E-001; 1.5000E+001; 7.6526E-001; 1.5000E+001; 7.2933E-001; 1.5000E+001; 7.0491E-001; 1.5000E+001; 6.9074E-001; 1.5000E+001; 8.9432E-001;
 1.6000E+001; 8.9437E-001; 1.6000E+001; 8.1601E-001; 1.6000E+001; 7.6529E-001; 1.6000E+001; 7.2934E-001; 1.6000E+001; 7.0491E-001; 1.6000E+001; 6.9074E-001; 1.6000E+001; 8.9432E-001;
 1.7000E+001; 8.9438E-001; 1.7000E+001; 8.1626E-001; 1.7000E+001; 7.6533E-001; 1.7000E+001; 7.2935E-001; 1.7000E+001; 7.0491E-001; 1.7000E+001; 6.9075E-001; 1.7000E+001; 8.9432E-001;
 1.8000E+001; 8.9439E-001; 1.8000E+001; 8.1657E-001; 1.8000E+001; 7.6537E-001; 1.8000E+001; 7.2936E-001; 1.8000E+001; 7.0492E-001; 1.8000E+001; 6.9075E-001; 1.8000E+001; 8.9432E-001;
 1.9000E+001; 8.9440E-001; 1.9000E+001; 8.1698E-001; 1.9000E+001; 7.6542E-001; 1.9000E+001; 7.2937E-001; 1.9000E+001; 7.0492E-001; 1.9000E+001; 6.9075E-001; 1.9000E+001; 8.9432E-001;
 2.0000E+001; 8.9441E-001; 2.0000E+001; 8.1749E-001; 2.0000E+001; 7.6549E-001; 2.0000E+001; 7.2939E-001; 2.0000E+001; 7.0493E-001; 2.0000E+001; 6.9075E-001; 2.0000E+001; 8.9432E-001;
