Time(min)   ;PG_00mm(MPa);Time(min)   ;PG_10mm(MPa);Time(min)   ;PG_20mm(MPa);Time(min)   ;PG_30mm(MPa);Time(min)   ;PG_40mm(MPa);Time(min)   ;PG_50mm(MPa);Time(min)   ;PG_120mm(MPa;
 0.0000E+000; 1.0132E-001; 0.0000E+000; 9.9963E-002; 0.0000E+000; 9.9054E-002; 0.0000E+000; 9.8451E-002; 0.0000E+000; 9.8068E-002; 0.0000E+000; 9.7856E-002; 0.0000E+000; 1.0132E-001;
 1.0000E+000; 1.0132E-001; 1.0000E+000; 8.8479E-002; 1.0000E+000; 9.8823E-002; 1.0000E+000; 9.8443E-002; 1.0000E+000; 9.8067E-002; 1.0000E+000; 9.7856E-002; 1.0000E+000; 1.0132E-001;
 2.0000E+000; 1.0132E-001; 2.0000E+000; 8.1964E-002; 2.0000E+000; 9.6611E-002; 2.0000E+000; 9.8331E-002; 2.0000E+000; 9.8059E-002; 2.0000E+000; 9.7855E-002; 2.0000E+000; 1.0132E-001;
 3.0000E+000; 1.0132E-001; 3.0000E+000; 9.6154E-002; 3.0000E+000; 8.8545E-002; 3.0000E+000; 9.7802E-002; 3.0000E+000; 9.7998E-002; 3.0000E+000; 9.7848E-002; 3.0000E+000; 1.0132E-001;
 4.0000E+000; 1.0132E-001; 4.0000E+000; 1.1427E-001; 4.0000E+000; 8.0344E-002; 4.0000E+000; 9.5588E-002; 4.0000E+000; 9.7801E-002; 4.0000E+000; 9.7815E-002; 4.0000E+000; 1.0132E-001;
 5.0000E+000; 1.0132E-001; 5.0000E+000; 1.3327E-001; 5.0000E+000; 7.5445E-002; 5.0000E+000; 9.0442E-002; 5.0000E+000; 9.7238E-002; 5.0000E+000; 9.7730E-002; 5.0000E+000; 1.0132E-001;
 6.0000E+000; 1.0132E-001; 6.0000E+000; 1.5320E-001; 6.0000E+000; 7.3759E-002; 6.0000E+000; 8.2451E-002; 6.0000E+000; 9.5814E-002; 6.0000E+000; 9.7542E-002; 6.0000E+000; 1.0132E-001;
 7.0000E+000; 1.0132E-001; 7.0000E+000; 1.7452E-001; 7.0000E+000; 7.4556E-002; 7.0000E+000; 7.3278E-002; 7.0000E+000; 9.2813E-002; 7.0000E+000; 9.7138E-002; 7.0000E+000; 1.0132E-001;
 8.0000E+000; 1.0132E-001; 8.0000E+000; 1.9766E-001; 8.0000E+000; 7.7295E-002; 8.0000E+000; 6.5072E-002; 8.0000E+000; 8.7488E-002; 8.0000E+000; 9.6304E-002; 8.0000E+000; 1.0132E-001;
 9.0000E+000; 1.0132E-001; 9.0000E+000; 2.2327E-001; 9.0000E+000; 8.1668E-002; 9.0000E+000; 5.9038E-002; 9.0000E+000; 7.9574E-002; 9.0000E+000; 9.4677E-002; 9.0000E+000; 1.0132E-001;
 1.0000E+001; 1.0132E-001; 1.0000E+001; 2.5222E-001; 1.0000E+001; 8.7614E-002; 1.0000E+001; 5.5326E-002; 1.0000E+001; 6.9943E-002; 1.0000E+001; 9.1725E-002; 1.0000E+001; 1.0132E-001;
 1.1000E+001; 1.0132E-001; 1.1000E+001; 2.8507E-001; 1.1000E+001; 9.5191E-002; 1.1000E+001; 5.3653E-002; 1.1000E+001; 6.0479E-002; 1.1000E+001; 8.6815E-002; 1.1000E+001; 1.0132E-001;
 1.2000E+001; 1.0132E-001; 1.2000E+001; 3.2238E-001; 1.2000E+001; 1.0451E-001; 1.2000E+001; 5.3670E-002; 1.2000E+001; 5.2792E-002; 1.2000E+001; 7.9541E-002; 1.2000E+001; 1.0132E-001;
