Time(min)   ;SW_00mm     ;Time(min)   ;SW_10mm     ;Time(min)   ;SW_20mm     ;Time(min)   ;SW_30mm     ;Time(min)   ;SW_40mm     ;Time(min)   ;SW_50mm     ;Time(min)   ;SW_120mm    ;
 0.0000E+000; 2.4203E-001; 0.0000E+000; 2.1953E-001; 0.0000E+000; 2.0488E-001; 0.0000E+000; 1.9480E-001; 0.0000E+000; 1.8816E-001; 0.0000E+000; 1.8438E-001; 0.0000E+000; 2.4203E-001;
 1.0000E+000; 1.1215E-001; 1.0000E+000; 2.0429E-001; 1.0000E+000; 2.0381E-001; 1.0000E+000; 1.9472E-001; 1.0000E+000; 1.8816E-001; 1.0000E+000; 1.8438E-001; 1.0000E+000; 2.1470E-001;
 2.0000E+000; 7.6083E-002; 2.0000E+000; 1.9171E-001; 2.0000E+000; 2.0290E-001; 2.0000E+000; 1.9466E-001; 2.0000E+000; 1.8816E-001; 2.0000E+000; 1.8438E-001; 2.0000E+000; 1.9668E-001;
 3.0000E+000; 6.4913E-002; 3.0000E+000; 1.8880E-001; 3.0000E+000; 2.0282E-001; 3.0000E+000; 1.9467E-001; 3.0000E+000; 1.8816E-001; 3.0000E+000; 1.8438E-001; 3.0000E+000; 1.8387E-001;
 4.0000E+000; 5.8540E-002; 4.0000E+000; 1.9120E-001; 4.0000E+000; 2.0320E-001; 4.0000E+000; 1.9471E-001; 4.0000E+000; 1.8816E-001; 4.0000E+000; 1.8438E-001; 4.0000E+000; 1.7459E-001;
 5.0000E+000; 5.3574E-002; 5.0000E+000; 1.9527E-001; 5.0000E+000; 2.0367E-001; 5.0000E+000; 1.9478E-001; 5.0000E+000; 1.8817E-001; 5.0000E+000; 1.8438E-001; 5.0000E+000; 1.6773E-001;
 6.0000E+000; 4.9356E-002; 6.0000E+000; 1.9973E-001; 6.0000E+000; 2.0411E-001; 6.0000E+000; 1.9490E-001; 6.0000E+000; 1.8819E-001; 6.0000E+000; 1.8438E-001; 6.0000E+000; 1.6258E-001;
 7.0000E+000; 4.5706E-002; 7.0000E+000; 2.0417E-001; 7.0000E+000; 2.0451E-001; 7.0000E+000; 1.9503E-001; 7.0000E+000; 1.8821E-001; 7.0000E+000; 1.8439E-001; 7.0000E+000; 1.5865E-001;
 8.0000E+000; 4.2526E-002; 8.0000E+000; 2.0842E-001; 8.0000E+000; 2.0485E-001; 8.0000E+000; 1.9517E-001; 8.0000E+000; 1.8826E-001; 8.0000E+000; 1.8440E-001; 8.0000E+000; 1.5560E-001;
 9.0000E+000; 3.9761E-002; 9.0000E+000; 2.1268E-001; 9.0000E+000; 2.0517E-001; 9.0000E+000; 1.9527E-001; 9.0000E+000; 1.8833E-001; 9.0000E+000; 1.8441E-001; 9.0000E+000; 1.5321E-001;
 1.0000E+001; 3.7323E-002; 1.0000E+001; 2.1706E-001; 1.0000E+001; 2.0547E-001; 1.0000E+001; 1.9535E-001; 1.0000E+001; 1.8845E-001; 1.0000E+001; 1.8443E-001; 1.0000E+001; 1.5131E-001;
 1.1000E+001; 3.5123E-002; 1.1000E+001; 2.2129E-001; 1.1000E+001; 2.0573E-001; 1.1000E+001; 1.9541E-001; 1.1000E+001; 1.8857E-001; 1.1000E+001; 1.8446E-001; 1.1000E+001; 1.4979E-001;
 1.2000E+001; 3.3130E-002; 1.2000E+001; 2.2536E-001; 1.2000E+001; 2.0595E-001; 1.2000E+001; 1.9544E-001; 1.2000E+001; 1.8867E-001; 1.2000E+001; 1.8453E-001; 1.2000E+001; 1.4856E-001;
 1.3000E+001; 3.1322E-002; 1.3000E+001; 2.2928E-001; 1.3000E+001; 2.0614E-001; 1.3000E+001; 1.9547E-001; 1.3000E+001; 1.8874E-001; 1.3000E+001; 1.8463E-001; 1.3000E+001; 1.4755E-001;
 1.4000E+001; 2.9677E-002; 1.4000E+001; 2.3311E-001; 1.4000E+001; 2.0629E-001; 1.4000E+001; 1.9548E-001; 1.4000E+001; 1.8879E-001; 1.4000E+001; 1.8476E-001; 1.4000E+001; 1.4670E-001;
 1.5000E+001; 2.8176E-002; 1.5000E+001; 2.3692E-001; 1.5000E+001; 2.0641E-001; 1.5000E+001; 1.9548E-001; 1.5000E+001; 1.8882E-001; 1.5000E+001; 1.8487E-001; 1.5000E+001; 1.4600E-001;
 1.6000E+001; 2.6804E-002; 1.6000E+001; 2.4076E-001; 1.6000E+001; 2.0649E-001; 1.6000E+001; 1.9547E-001; 1.6000E+001; 1.8884E-001; 1.6000E+001; 1.8495E-001; 1.6000E+001; 1.4539E-001;
 1.7000E+001; 2.5546E-002; 1.7000E+001; 2.4470E-001; 1.7000E+001; 2.0653E-001; 1.7000E+001; 1.9546E-001; 1.7000E+001; 1.8885E-001; 1.7000E+001; 1.8500E-001; 1.7000E+001; 1.4485E-001;
 1.8000E+001; 2.4391E-002; 1.8000E+001; 2.4879E-001; 1.8000E+001; 2.0654E-001; 1.8000E+001; 1.9544E-001; 1.8000E+001; 1.8885E-001; 1.8000E+001; 1.8504E-001; 1.8000E+001; 1.4437E-001;
 1.9000E+001; 2.3329E-002; 1.9000E+001; 2.5306E-001; 1.9000E+001; 2.0652E-001; 1.9000E+001; 1.9541E-001; 1.9000E+001; 1.8885E-001; 1.9000E+001; 1.8506E-001; 1.9000E+001; 1.4391E-001;
 2.0000E+001; 2.2352E-002; 2.0000E+001; 2.5760E-001; 2.0000E+001; 2.0649E-001; 2.0000E+001; 1.9537E-001; 2.0000E+001; 1.8884E-001; 2.0000E+001; 1.8508E-001; 2.0000E+001; 1.4348E-001;
 2.1000E+001; 2.1455E-002; 2.1000E+001; 2.6246E-001; 2.1000E+001; 2.0646E-001; 2.1000E+001; 1.9533E-001; 2.1000E+001; 1.8882E-001; 2.1000E+001; 1.8508E-001; 2.1000E+001; 1.4305E-001;
 2.2000E+001; 2.0636E-002; 2.2000E+001; 2.6776E-001; 2.2000E+001; 2.0647E-001; 2.2000E+001; 1.9529E-001; 2.2000E+001; 1.8881E-001; 2.2000E+001; 1.8508E-001; 2.2000E+001; 1.4261E-001;
 2.3000E+001; 1.9895E-002; 2.3000E+001; 2.7364E-001; 2.3000E+001; 2.0655E-001; 2.3000E+001; 1.9524E-001; 2.3000E+001; 1.8878E-001; 2.3000E+001; 1.8508E-001; 2.3000E+001; 1.4214E-001;
 2.4000E+001; 1.9233E-002; 2.4000E+001; 2.8015E-001; 2.4000E+001; 2.0674E-001; 2.4000E+001; 1.9518E-001; 2.4000E+001; 1.8875E-001; 2.4000E+001; 1.8507E-001; 2.4000E+001; 1.4165E-001;
 2.5000E+001; 1.8649E-002; 2.5000E+001; 2.8713E-001; 2.5000E+001; 2.0704E-001; 2.5000E+001; 1.9512E-001; 2.5000E+001; 1.8872E-001; 2.5000E+001; 1.8506E-001; 2.5000E+001; 1.4112E-001;
 2.6000E+001; 1.8133E-002; 2.6000E+001; 2.9391E-001; 2.6000E+001; 2.0744E-001; 2.6000E+001; 1.9505E-001; 2.6000E+001; 1.8868E-001; 2.6000E+001; 1.8504E-001; 2.6000E+001; 1.4055E-001;
 2.7000E+001; 1.7669E-002; 2.7000E+001; 2.9939E-001; 2.7000E+001; 2.0787E-001; 2.7000E+001; 1.9499E-001; 2.7000E+001; 1.8864E-001; 2.7000E+001; 1.8502E-001; 2.7000E+001; 1.3993E-001;
 2.8000E+001; 1.7243E-002; 2.8000E+001; 3.0242E-001; 2.8000E+001; 2.0826E-001; 2.8000E+001; 1.9495E-001; 2.8000E+001; 1.8860E-001; 2.8000E+001; 1.8500E-001; 2.8000E+001; 1.3925E-001;
 2.9000E+001; 1.6845E-002; 2.9000E+001; 3.0234E-001; 2.9000E+001; 2.0861E-001; 2.9000E+001; 1.9496E-001; 2.9000E+001; 1.8856E-001; 2.9000E+001; 1.8497E-001; 2.9000E+001; 1.3852E-001;
 3.0000E+001; 1.6471E-002; 3.0000E+001; 2.9910E-001; 3.0000E+001; 2.0892E-001; 3.0000E+001; 1.9503E-001; 3.0000E+001; 1.8853E-001; 3.0000E+001; 1.8495E-001; 3.0000E+001; 1.3772E-001;
 3.1000E+001; 1.6117E-002; 3.1000E+001; 2.9304E-001; 3.1000E+001; 2.0923E-001; 3.1000E+001; 1.9517E-001; 3.1000E+001; 1.8851E-001; 3.1000E+001; 1.8492E-001; 3.1000E+001; 1.3686E-001;
