Time(min)   ;SW_00mm     ;Time(min)   ;SW_10mm     ;Time(min)   ;SW_20mm     ;Time(min)   ;SW_30mm     ;Time(min)   ;SW_40mm     ;Time(min)   ;SW_50mm     ;Time(min)   ;SW_120mm    ;
 0.0000E+000; 2.4196E-001; 0.0000E+000; 2.2704E-001; 0.0000E+000; 2.1632E-001; 0.0000E+000; 2.0834E-001; 0.0000E+000; 2.0283E-001; 0.0000E+000; 1.9960E-001; 0.0000E+000; 2.4196E-001;
 1.0000E+000; 1.1294E-001; 1.0000E+000; 2.1160E-001; 1.0000E+000; 2.1522E-001; 1.0000E+000; 2.0827E-001; 1.0000E+000; 2.0283E-001; 1.0000E+000; 1.9959E-001; 1.0000E+000; 2.1489E-001;
 2.0000E+000; 7.7280E-002; 2.0000E+000; 2.0110E-001; 2.0000E+000; 2.1449E-001; 2.0000E+000; 2.0822E-001; 2.0000E+000; 2.0283E-001; 2.0000E+000; 1.9959E-001; 2.0000E+000; 1.9706E-001;
 3.0000E+000; 6.5818E-002; 3.0000E+000; 2.0156E-001; 3.0000E+000; 2.1469E-001; 3.0000E+000; 2.0824E-001; 3.0000E+000; 2.0283E-001; 3.0000E+000; 1.9960E-001; 3.0000E+000; 1.8440E-001;
 4.0000E+000; 5.8670E-002; 4.0000E+000; 2.0621E-001; 4.0000E+000; 2.1524E-001; 4.0000E+000; 2.0830E-001; 4.0000E+000; 2.0283E-001; 4.0000E+000; 1.9960E-001; 4.0000E+000; 1.7524E-001;
 5.0000E+000; 5.3004E-002; 5.0000E+000; 2.1173E-001; 5.0000E+000; 2.1581E-001; 5.0000E+000; 2.0837E-001; 5.0000E+000; 2.0284E-001; 5.0000E+000; 1.9960E-001; 5.0000E+000; 1.6850E-001;
 6.0000E+000; 4.8283E-002; 6.0000E+000; 2.1723E-001; 6.0000E+000; 2.1631E-001; 6.0000E+000; 2.0847E-001; 6.0000E+000; 2.0286E-001; 6.0000E+000; 1.9960E-001; 6.0000E+000; 1.6343E-001;
 7.0000E+000; 4.4296E-002; 7.0000E+000; 2.2242E-001; 7.0000E+000; 2.1672E-001; 7.0000E+000; 2.0859E-001; 7.0000E+000; 2.0288E-001; 7.0000E+000; 1.9961E-001; 7.0000E+000; 1.5958E-001;
 8.0000E+000; 4.0897E-002; 8.0000E+000; 2.2725E-001; 8.0000E+000; 2.1707E-001; 8.0000E+000; 2.0872E-001; 8.0000E+000; 2.0292E-001; 8.0000E+000; 1.9961E-001; 8.0000E+000; 1.5660E-001;
 9.0000E+000; 3.7987E-002; 9.0000E+000; 2.3188E-001; 9.0000E+000; 2.1736E-001; 9.0000E+000; 2.0882E-001; 9.0000E+000; 2.0298E-001; 9.0000E+000; 1.9962E-001; 9.0000E+000; 1.5427E-001;
 1.0000E+001; 3.5456E-002; 1.0000E+001; 2.3639E-001; 1.0000E+001; 2.1760E-001; 1.0000E+001; 2.0889E-001; 1.0000E+001; 2.0306E-001; 1.0000E+001; 1.9964E-001; 1.0000E+001; 1.5243E-001;
 1.1000E+001; 3.3224E-002; 1.1000E+001; 2.4071E-001; 1.1000E+001; 2.1779E-001; 1.1000E+001; 2.0894E-001; 1.1000E+001; 2.0316E-001; 1.1000E+001; 1.9967E-001; 1.1000E+001; 1.5095E-001;
 1.2000E+001; 3.1243E-002; 1.2000E+001; 2.4490E-001; 1.2000E+001; 2.1794E-001; 1.2000E+001; 2.0897E-001; 1.2000E+001; 2.0326E-001; 1.2000E+001; 1.9971E-001; 1.2000E+001; 1.4976E-001;
 1.3000E+001; 2.9478E-002; 1.3000E+001; 2.4903E-001; 1.3000E+001; 2.1805E-001; 1.3000E+001; 2.0898E-001; 1.3000E+001; 2.0333E-001; 1.3000E+001; 1.9978E-001; 1.3000E+001; 1.4878E-001;
 1.4000E+001; 2.7897E-002; 1.4000E+001; 2.5317E-001; 1.4000E+001; 2.1812E-001; 1.4000E+001; 2.0898E-001; 1.4000E+001; 2.0338E-001; 1.4000E+001; 1.9987E-001; 1.4000E+001; 1.4797E-001;
 1.5000E+001; 2.6476E-002; 1.5000E+001; 2.5739E-001; 1.5000E+001; 2.1815E-001; 1.5000E+001; 2.0897E-001; 1.5000E+001; 2.0341E-001; 1.5000E+001; 1.9995E-001; 1.5000E+001; 1.4729E-001;
 1.6000E+001; 2.5193E-002; 1.6000E+001; 2.6175E-001; 1.6000E+001; 2.1815E-001; 1.6000E+001; 2.0895E-001; 1.6000E+001; 2.0343E-001; 1.6000E+001; 2.0003E-001; 1.6000E+001; 1.4670E-001;
 1.7000E+001; 2.4035E-002; 1.7000E+001; 2.6630E-001; 1.7000E+001; 2.1813E-001; 1.7000E+001; 2.0893E-001; 1.7000E+001; 2.0343E-001; 1.7000E+001; 2.0009E-001; 1.7000E+001; 1.4618E-001;
 1.8000E+001; 2.2990E-002; 1.8000E+001; 2.7111E-001; 1.8000E+001; 2.1813E-001; 1.8000E+001; 2.0890E-001; 1.8000E+001; 2.0343E-001; 1.8000E+001; 2.0013E-001; 1.8000E+001; 1.4571E-001;
