Time(min)   ;HYD_00mm    ;Time(min)   ;HYD_10mm    ;Time(min)   ;HYD_20mm    ;Time(min)   ;HYD_30mm    ;Time(min)   ;HYD_40mm    ;Time(min)   ;HYD_50mm    ;Time(min)   ;HYD_120mm   ;
 0.0000E+000; 8.9398E-001; 0.0000E+000; 8.1672E-001; 0.0000E+000; 7.6762E-001; 0.0000E+000; 7.3494E-001; 0.0000E+000; 7.1399E-001; 0.0000E+000; 7.0223E-001; 0.0000E+000; 8.9398E-001;
 1.0000E+000; 8.9398E-001; 1.0000E+000; 8.1672E-001; 1.0000E+000; 7.6762E-001; 1.0000E+000; 7.3494E-001; 1.0000E+000; 7.1399E-001; 1.0000E+000; 7.0223E-001; 1.0000E+000; 8.9398E-001;
 2.0000E+000; 8.9398E-001; 2.0000E+000; 8.1672E-001; 2.0000E+000; 7.6762E-001; 2.0000E+000; 7.3494E-001; 2.0000E+000; 7.1399E-001; 2.0000E+000; 7.0223E-001; 2.0000E+000; 8.9398E-001;
 3.0000E+000; 8.9399E-001; 3.0000E+000; 8.1672E-001; 3.0000E+000; 7.6762E-001; 3.0000E+000; 7.3494E-001; 3.0000E+000; 7.1399E-001; 3.0000E+000; 7.0223E-001; 3.0000E+000; 8.9398E-001;
 4.0000E+000; 8.9399E-001; 4.0000E+000; 8.1672E-001; 4.0000E+000; 7.6762E-001; 4.0000E+000; 7.3494E-001; 4.0000E+000; 7.1399E-001; 4.0000E+000; 7.0223E-001; 4.0000E+000; 8.9398E-001;
 5.0000E+000; 8.9399E-001; 5.0000E+000; 8.1673E-001; 5.0000E+000; 7.6762E-001; 5.0000E+000; 7.3494E-001; 5.0000E+000; 7.1399E-001; 5.0000E+000; 7.0223E-001; 5.0000E+000; 8.9398E-001;
 6.0000E+000; 8.9399E-001; 6.0000E+000; 8.1673E-001; 6.0000E+000; 7.6762E-001; 6.0000E+000; 7.3494E-001; 6.0000E+000; 7.1399E-001; 6.0000E+000; 7.0223E-001; 6.0000E+000; 8.9398E-001;
 7.0000E+000; 8.9399E-001; 7.0000E+000; 8.1674E-001; 7.0000E+000; 7.6763E-001; 7.0000E+000; 7.3494E-001; 7.0000E+000; 7.1400E-001; 7.0000E+000; 7.0223E-001; 7.0000E+000; 8.9398E-001;
 8.0000E+000; 8.9399E-001; 8.0000E+000; 8.1676E-001; 8.0000E+000; 7.6763E-001; 8.0000E+000; 7.3494E-001; 8.0000E+000; 7.1400E-001; 8.0000E+000; 7.0223E-001; 8.0000E+000; 8.9398E-001;
 9.0000E+000; 8.9400E-001; 9.0000E+000; 8.1678E-001; 9.0000E+000; 7.6764E-001; 9.0000E+000; 7.3494E-001; 9.0000E+000; 7.1400E-001; 9.0000E+000; 7.0223E-001; 9.0000E+000; 8.9398E-001;
