Time(min)   ;HYD_00mm    ;Time(min)   ;HYD_10mm    ;Time(min)   ;HYD_20mm    ;Time(min)   ;HYD_30mm    ;Time(min)   ;HYD_40mm    ;Time(min)   ;HYD_50mm    ;Time(min)   ;HYD_120mm   ;
 0.0000E+000; 8.9338E-001; 0.0000E+000; 8.6730E-001; 0.0000E+000; 8.4969E-001; 0.0000E+000; 8.3630E-001; 0.0000E+000; 8.2689E-001; 0.0000E+000; 8.2129E-001; 0.0000E+000; 8.9338E-001;
 1.0000E+000; 8.9338E-001; 1.0000E+000; 8.6730E-001; 1.0000E+000; 8.4969E-001; 1.0000E+000; 8.3630E-001; 1.0000E+000; 8.2689E-001; 1.0000E+000; 8.2129E-001; 1.0000E+000; 8.9338E-001;
 2.0000E+000; 8.9338E-001; 2.0000E+000; 8.6730E-001; 2.0000E+000; 8.4969E-001; 2.0000E+000; 8.3630E-001; 2.0000E+000; 8.2689E-001; 2.0000E+000; 8.2129E-001; 2.0000E+000; 8.9338E-001;
 3.0000E+000; 8.9338E-001; 3.0000E+000; 8.6730E-001; 3.0000E+000; 8.4969E-001; 3.0000E+000; 8.3630E-001; 3.0000E+000; 8.2689E-001; 3.0000E+000; 8.2129E-001; 3.0000E+000; 8.9338E-001;
 4.0000E+000; 8.9338E-001; 4.0000E+000; 8.6730E-001; 4.0000E+000; 8.4969E-001; 4.0000E+000; 8.3630E-001; 4.0000E+000; 8.2689E-001; 4.0000E+000; 8.2129E-001; 4.0000E+000; 8.9338E-001;
 5.0000E+000; 8.9338E-001; 5.0000E+000; 8.6731E-001; 5.0000E+000; 8.4970E-001; 5.0000E+000; 8.3630E-001; 5.0000E+000; 8.2689E-001; 5.0000E+000; 8.2129E-001; 5.0000E+000; 8.9338E-001;
 6.0000E+000; 8.9338E-001; 6.0000E+000; 8.6731E-001; 6.0000E+000; 8.4970E-001; 6.0000E+000; 8.3630E-001; 6.0000E+000; 8.2689E-001; 6.0000E+000; 8.2129E-001; 6.0000E+000; 8.9338E-001;
 7.0000E+000; 8.9338E-001; 7.0000E+000; 8.6733E-001; 7.0000E+000; 8.4970E-001; 7.0000E+000; 8.3630E-001; 7.0000E+000; 8.2689E-001; 7.0000E+000; 8.2129E-001; 7.0000E+000; 8.9338E-001;
 8.0000E+000; 8.9339E-001; 8.0000E+000; 8.6734E-001; 8.0000E+000; 8.4970E-001; 8.0000E+000; 8.3630E-001; 8.0000E+000; 8.2689E-001; 8.0000E+000; 8.2129E-001; 8.0000E+000; 8.9338E-001;
 9.0000E+000; 8.9339E-001; 9.0000E+000; 8.6738E-001; 9.0000E+000; 8.4971E-001; 9.0000E+000; 8.3630E-001; 9.0000E+000; 8.2689E-001; 9.0000E+000; 8.2129E-001; 9.0000E+000; 8.9338E-001;
 1.0000E+001; 8.9339E-001; 1.0000E+001; 8.6742E-001; 1.0000E+001; 8.4971E-001; 1.0000E+001; 8.3630E-001; 1.0000E+001; 8.2689E-001; 1.0000E+001; 8.2129E-001; 1.0000E+001; 8.9338E-001;
 1.1000E+001; 8.9340E-001; 1.1000E+001; 8.6749E-001; 1.1000E+001; 8.4972E-001; 1.1000E+001; 8.3631E-001; 1.1000E+001; 8.2689E-001; 1.1000E+001; 8.2129E-001; 1.1000E+001; 8.9338E-001;
 1.2000E+001; 8.9340E-001; 1.2000E+001; 8.6759E-001; 1.2000E+001; 8.4973E-001; 1.2000E+001; 8.3631E-001; 1.2000E+001; 8.2689E-001; 1.2000E+001; 8.2129E-001; 1.2000E+001; 8.9338E-001;
 1.3000E+001; 8.9341E-001; 1.3000E+001; 8.6773E-001; 1.3000E+001; 8.4974E-001; 1.3000E+001; 8.3631E-001; 1.3000E+001; 8.2690E-001; 1.3000E+001; 8.2129E-001; 1.3000E+001; 8.9338E-001;
 1.4000E+001; 8.9341E-001; 1.4000E+001; 8.6793E-001; 1.4000E+001; 8.4976E-001; 1.4000E+001; 8.3632E-001; 1.4000E+001; 8.2690E-001; 1.4000E+001; 8.2129E-001; 1.4000E+001; 8.9338E-001;
 1.5000E+001; 8.9342E-001; 1.5000E+001; 8.6819E-001; 1.5000E+001; 8.4978E-001; 1.5000E+001; 8.3632E-001; 1.5000E+001; 8.2690E-001; 1.5000E+001; 8.2130E-001; 1.5000E+001; 8.9338E-001;
 1.6000E+001; 8.9343E-001; 1.6000E+001; 8.6856E-001; 1.6000E+001; 8.4981E-001; 1.6000E+001; 8.3633E-001; 1.6000E+001; 8.2690E-001; 1.6000E+001; 8.2130E-001; 1.6000E+001; 8.9338E-001;
 1.7000E+001; 8.9344E-001; 1.7000E+001; 8.6903E-001; 1.7000E+001; 8.4984E-001; 1.7000E+001; 8.3633E-001; 1.7000E+001; 8.2690E-001; 1.7000E+001; 8.2130E-001; 1.7000E+001; 8.9338E-001;
 1.8000E+001; 8.9345E-001; 1.8000E+001; 8.6964E-001; 1.8000E+001; 8.4988E-001; 1.8000E+001; 8.3634E-001; 1.8000E+001; 8.2691E-001; 1.8000E+001; 8.2130E-001; 1.8000E+001; 8.9338E-001;
 1.9000E+001; 8.9346E-001; 1.9000E+001; 8.7038E-001; 1.9000E+001; 8.4994E-001; 1.9000E+001; 8.3635E-001; 1.9000E+001; 8.2691E-001; 1.9000E+001; 8.2130E-001; 1.9000E+001; 8.9338E-001;
 2.0000E+001; 8.9348E-001; 2.0000E+001; 8.7125E-001; 2.0000E+001; 8.5000E-001; 2.0000E+001; 8.3637E-001; 2.0000E+001; 8.2691E-001; 2.0000E+001; 8.2130E-001; 2.0000E+001; 8.9338E-001;
 2.1000E+001; 8.9349E-001; 2.1000E+001; 8.7221E-001; 2.1000E+001; 8.5007E-001; 2.1000E+001; 8.3638E-001; 2.1000E+001; 8.2692E-001; 2.1000E+001; 8.2130E-001; 2.1000E+001; 8.9338E-001;
 2.2000E+001; 8.9351E-001; 2.2000E+001; 8.7325E-001; 2.2000E+001; 8.5017E-001; 2.2000E+001; 8.3640E-001; 2.2000E+001; 8.2692E-001; 2.2000E+001; 8.2131E-001; 2.2000E+001; 8.9338E-001;
 2.3000E+001; 8.9352E-001; 2.3000E+001; 8.7431E-001; 2.3000E+001; 8.5027E-001; 2.3000E+001; 8.3642E-001; 2.3000E+001; 8.2693E-001; 2.3000E+001; 8.2131E-001; 2.3000E+001; 8.9338E-001;
 2.4000E+001; 8.9354E-001; 2.4000E+001; 8.7537E-001; 2.4000E+001; 8.5040E-001; 2.4000E+001; 8.3645E-001; 2.4000E+001; 8.2694E-001; 2.4000E+001; 8.2131E-001; 2.4000E+001; 8.9338E-001;
 2.5000E+001; 8.9356E-001; 2.5000E+001; 8.7639E-001; 2.5000E+001; 8.5056E-001; 2.5000E+001; 8.3648E-001; 2.5000E+001; 8.2694E-001; 2.5000E+001; 8.2131E-001; 2.5000E+001; 8.9338E-001;
 2.6000E+001; 8.9358E-001; 2.6000E+001; 8.7734E-001; 2.6000E+001; 8.5074E-001; 2.6000E+001; 8.3651E-001; 2.6000E+001; 8.2695E-001; 2.6000E+001; 8.2132E-001; 2.6000E+001; 8.9338E-001;
 2.7000E+001; 8.9360E-001; 2.7000E+001; 8.7818E-001; 2.7000E+001; 8.5096E-001; 2.7000E+001; 8.3656E-001; 2.7000E+001; 8.2696E-001; 2.7000E+001; 8.2132E-001; 2.7000E+001; 8.9338E-001;
 2.8000E+001; 8.9363E-001; 2.8000E+001; 8.7890E-001; 2.8000E+001; 8.5122E-001; 2.8000E+001; 8.3661E-001; 2.8000E+001; 8.2698E-001; 2.8000E+001; 8.2133E-001; 2.8000E+001; 8.9338E-001;
 2.9000E+001; 8.9365E-001; 2.9000E+001; 8.7949E-001; 2.9000E+001; 8.5153E-001; 2.9000E+001; 8.3666E-001; 2.9000E+001; 8.2699E-001; 2.9000E+001; 8.2133E-001; 2.9000E+001; 8.9338E-001;
 3.0000E+001; 8.9368E-001; 3.0000E+001; 8.7996E-001; 3.0000E+001; 8.5190E-001; 3.0000E+001; 8.3673E-001; 3.0000E+001; 8.2701E-001; 3.0000E+001; 8.2134E-001; 3.0000E+001; 8.9338E-001;
 3.1000E+001; 8.9371E-001; 3.1000E+001; 8.8033E-001; 3.1000E+001; 8.5234E-001; 3.1000E+001; 8.3680E-001; 3.1000E+001; 8.2703E-001; 3.1000E+001; 8.2134E-001; 3.1000E+001; 8.9338E-001;
 3.2000E+001; 8.9373E-001; 3.2000E+001; 8.8061E-001; 3.2000E+001; 8.5286E-001; 3.2000E+001; 8.3689E-001; 3.2000E+001; 8.2705E-001; 3.2000E+001; 8.2135E-001; 3.2000E+001; 8.9338E-001;
