Time(min)   ;HYD_00mm    ;Time(min)   ;HYD_10mm    ;Time(min)   ;HYD_20mm    ;Time(min)   ;HYD_30mm    ;Time(min)   ;HYD_40mm    ;Time(min)   ;HYD_50mm    ;Time(min)   ;HYD_120mm   ;
 0.0000E+000; 8.9441E-001; 0.0000E+000; 8.0597E-001; 0.0000E+000; 7.5360E-001; 0.0000E+000; 7.1810E-001; 0.0000E+000; 6.9450E-001; 0.0000E+000; 6.8090E-001; 0.0000E+000; 8.9441E-001;
 1.0000E+000; 8.9441E-001; 1.0000E+000; 8.0597E-001; 1.0000E+000; 7.5360E-001; 1.0000E+000; 7.1810E-001; 1.0000E+000; 6.9450E-001; 1.0000E+000; 6.8090E-001; 1.0000E+000; 8.9441E-001;
 2.0000E+000; 8.9441E-001; 2.0000E+000; 8.0597E-001; 2.0000E+000; 7.5360E-001; 2.0000E+000; 7.1810E-001; 2.0000E+000; 6.9450E-001; 2.0000E+000; 6.8090E-001; 2.0000E+000; 8.9441E-001;
 3.0000E+000; 8.9441E-001; 3.0000E+000; 8.0598E-001; 3.0000E+000; 7.5360E-001; 3.0000E+000; 7.1810E-001; 3.0000E+000; 6.9450E-001; 3.0000E+000; 6.8090E-001; 3.0000E+000; 8.9441E-001;
 4.0000E+000; 8.9441E-001; 4.0000E+000; 8.0598E-001; 4.0000E+000; 7.5360E-001; 4.0000E+000; 7.1810E-001; 4.0000E+000; 6.9450E-001; 4.0000E+000; 6.8090E-001; 4.0000E+000; 8.9441E-001;
 5.0000E+000; 8.9441E-001; 5.0000E+000; 8.0598E-001; 5.0000E+000; 7.5361E-001; 5.0000E+000; 7.1810E-001; 5.0000E+000; 6.9450E-001; 5.0000E+000; 6.8090E-001; 5.0000E+000; 8.9441E-001;
 6.0000E+000; 8.9441E-001; 6.0000E+000; 8.0599E-001; 6.0000E+000; 7.5361E-001; 6.0000E+000; 7.1810E-001; 6.0000E+000; 6.9450E-001; 6.0000E+000; 6.8091E-001; 6.0000E+000; 8.9441E-001;
 7.0000E+000; 8.9441E-001; 7.0000E+000; 8.0599E-001; 7.0000E+000; 7.5361E-001; 7.0000E+000; 7.1810E-001; 7.0000E+000; 6.9450E-001; 7.0000E+000; 6.8091E-001; 7.0000E+000; 8.9441E-001;
 8.0000E+000; 8.9442E-001; 8.0000E+000; 8.0601E-001; 8.0000E+000; 7.5361E-001; 8.0000E+000; 7.1811E-001; 8.0000E+000; 6.9450E-001; 8.0000E+000; 6.8091E-001; 8.0000E+000; 8.9441E-001;
 9.0000E+000; 8.9442E-001; 9.0000E+000; 8.0602E-001; 9.0000E+000; 7.5362E-001; 9.0000E+000; 7.1811E-001; 9.0000E+000; 6.9450E-001; 9.0000E+000; 6.8091E-001; 9.0000E+000; 8.9441E-001;
 1.0000E+001; 8.9442E-001; 1.0000E+001; 8.0605E-001; 1.0000E+001; 7.5362E-001; 1.0000E+001; 7.1811E-001; 1.0000E+001; 6.9450E-001; 1.0000E+001; 6.8091E-001; 1.0000E+001; 8.9441E-001;
 1.1000E+001; 8.9443E-001; 1.1000E+001; 8.0609E-001; 1.1000E+001; 7.5363E-001; 1.1000E+001; 7.1811E-001; 1.1000E+001; 6.9450E-001; 1.1000E+001; 6.8091E-001; 1.1000E+001; 8.9441E-001;
