Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 0.0000E+000; 2.0013E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0013E+001;
 1.0000E+000; 6.3222E+001; 1.0000E+000; 2.6073E+001; 1.0000E+000; 2.0259E+001; 1.0000E+000; 2.0014E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 1.9337E+001;
 2.0000E+000; 8.0494E+001; 2.0000E+000; 3.7014E+001; 2.0000E+000; 2.3058E+001; 2.0000E+000; 2.0358E+001; 2.0000E+000; 2.0040E+001; 2.0000E+000; 2.0016E+001; 2.0000E+000; 1.9222E+001;
 3.0000E+000; 9.2749E+001; 3.0000E+000; 4.6994E+001; 3.0000E+000; 2.7443E+001; 3.0000E+000; 2.1518E+001; 3.0000E+000; 2.0240E+001; 3.0000E+000; 2.0040E+001; 3.0000E+000; 1.9194E+001;
 4.0000E+000; 1.0239E+002; 4.0000E+000; 5.5752E+001; 4.0000E+000; 3.2419E+001; 4.0000E+000; 2.3428E+001; 4.0000E+000; 2.0756E+001; 4.0000E+000; 2.0143E+001; 4.0000E+000; 1.9204E+001;
 5.0000E+000; 1.1063E+002; 5.0000E+000; 6.3498E+001; 5.0000E+000; 3.7512E+001; 5.0000E+000; 2.5864E+001; 5.0000E+000; 2.1626E+001; 5.0000E+000; 2.0381E+001; 5.0000E+000; 1.9231E+001;
 6.0000E+000; 1.1805E+002; 6.0000E+000; 7.0491E+001; 6.0000E+000; 4.2526E+001; 6.0000E+000; 2.8631E+001; 6.0000E+000; 2.2818E+001; 6.0000E+000; 2.0788E+001; 6.0000E+000; 1.9264E+001;
 7.0000E+000; 1.2495E+002; 7.0000E+000; 7.6931E+001; 7.0000E+000; 4.7395E+001; 7.0000E+000; 3.1592E+001; 7.0000E+000; 2.4277E+001; 7.0000E+000; 2.1373E+001; 7.0000E+000; 1.9299E+001;
 8.0000E+000; 1.3145E+002; 8.0000E+000; 8.2956E+001; 8.0000E+000; 5.2109E+001; 8.0000E+000; 3.4662E+001; 8.0000E+000; 2.5944E+001; 8.0000E+000; 2.2129E+001; 8.0000E+000; 1.9334E+001;
 9.0000E+000; 1.3764E+002; 9.0000E+000; 8.8657E+001; 9.0000E+000; 5.6675E+001; 9.0000E+000; 3.7789E+001; 9.0000E+000; 2.7772E+001; 9.0000E+000; 2.3039E+001; 9.0000E+000; 1.9368E+001;
 1.0000E+001; 1.4358E+002; 1.0000E+001; 9.4093E+001; 1.0000E+001; 6.1106E+001; 1.0000E+001; 4.0939E+001; 1.0000E+001; 2.9722E+001; 1.0000E+001; 2.4085E+001; 1.0000E+001; 1.9399E+001;
 1.1000E+001; 1.4930E+002; 1.1000E+001; 9.9310E+001; 1.1000E+001; 6.5414E+001; 1.1000E+001; 4.4095E+001; 1.1000E+001; 3.1765E+001; 1.1000E+001; 2.5249E+001; 1.1000E+001; 1.9429E+001;
 1.2000E+001; 1.5483E+002; 1.2000E+001; 1.0434E+002; 1.2000E+001; 6.9613E+001; 1.2000E+001; 4.7243E+001; 1.2000E+001; 3.3877E+001; 1.2000E+001; 2.6515E+001; 1.2000E+001; 1.9458E+001;
 1.3000E+001; 1.6018E+002; 1.3000E+001; 1.0921E+002; 1.3000E+001; 7.3713E+001; 1.3000E+001; 5.0377E+001; 1.3000E+001; 3.6044E+001; 1.3000E+001; 2.7866E+001; 1.3000E+001; 1.9486E+001;
 1.4000E+001; 1.6536E+002; 1.4000E+001; 1.1393E+002; 1.4000E+001; 7.7720E+001; 1.4000E+001; 5.3491E+001; 1.4000E+001; 3.8251E+001; 1.4000E+001; 2.9290E+001; 1.4000E+001; 1.9516E+001;
