Time(min)   ;PG_00mm(MPa);Time(min)   ;PG_10mm(MPa);Time(min)   ;PG_20mm(MPa);Time(min)   ;PG_30mm(MPa);Time(min)   ;PG_40mm(MPa);Time(min)   ;PG_50mm(MPa);Time(min)   ;PG_120mm(MPa;
 0.0000E+000; 1.0132E-001; 0.0000E+000; 9.7690E-002; 0.0000E+000; 9.5122E-002; 0.0000E+000; 9.3356E-002; 0.0000E+000; 9.2209E-002; 0.0000E+000; 9.1564E-002; 0.0000E+000; 1.0132E-001;
 1.0000E+000; 1.0132E-001; 1.0000E+000; 8.5220E-002; 1.0000E+000; 9.4724E-002; 1.0000E+000; 9.3342E-002; 1.0000E+000; 9.2208E-002; 1.0000E+000; 9.1564E-002; 1.0000E+000; 1.0132E-001;
 2.0000E+000; 1.0132E-001; 2.0000E+000; 7.7237E-002; 2.0000E+000; 9.2571E-002; 2.0000E+000; 9.3196E-002; 2.0000E+000; 9.2198E-002; 2.0000E+000; 9.1564E-002; 2.0000E+000; 1.0132E-001;
 3.0000E+000; 1.0132E-001; 3.0000E+000; 9.2211E-002; 3.0000E+000; 8.3461E-002; 3.0000E+000; 9.2689E-002; 3.0000E+000; 9.2124E-002; 3.0000E+000; 9.1555E-002; 3.0000E+000; 1.0132E-001;
 4.0000E+000; 1.0132E-001; 4.0000E+000; 1.1070E-001; 4.0000E+000; 7.4709E-002; 4.0000E+000; 9.0438E-002; 4.0000E+000; 9.1908E-002; 4.0000E+000; 9.1516E-002; 4.0000E+000; 1.0132E-001;
 5.0000E+000; 1.0132E-001; 5.0000E+000; 1.2889E-001; 5.0000E+000; 7.0072E-002; 5.0000E+000; 8.4549E-002; 5.0000E+000; 9.1376E-002; 5.0000E+000; 9.1418E-002; 5.0000E+000; 1.0132E-001;
 6.0000E+000; 1.0132E-001; 6.0000E+000; 1.4695E-001; 6.0000E+000; 6.8548E-002; 6.0000E+000; 7.5286E-002; 6.0000E+000; 8.9970E-002; 6.0000E+000; 9.1224E-002; 6.0000E+000; 1.0132E-001;
 7.0000E+000; 1.0132E-001; 7.0000E+000; 1.6546E-001; 7.0000E+000; 6.9093E-002; 7.0000E+000; 6.5228E-002; 7.0000E+000; 8.6613E-002; 7.0000E+000; 9.0847E-002; 7.0000E+000; 1.0132E-001;
 8.0000E+000; 1.0132E-001; 8.0000E+000; 1.8486E-001; 8.0000E+000; 7.1127E-002; 8.0000E+000; 5.6836E-002; 8.0000E+000; 8.0046E-002; 8.0000E+000; 9.0067E-002; 8.0000E+000; 1.0132E-001;
 9.0000E+000; 1.0132E-001; 9.0000E+000; 2.0560E-001; 9.0000E+000; 7.4348E-002; 9.0000E+000; 5.0905E-002; 9.0000E+000; 7.0066E-002; 9.0000E+000; 8.8378E-002; 9.0000E+000; 1.0132E-001;
 1.0000E+001; 1.0132E-001; 1.0000E+001; 2.2833E-001; 1.0000E+001; 7.8653E-002; 1.0000E+001; 4.7212E-002; 1.0000E+001; 5.8679E-002; 1.0000E+001; 8.4808E-002; 1.0000E+001; 1.0132E-001;
 1.1000E+001; 1.0132E-001; 1.1000E+001; 2.5348E-001; 1.1000E+001; 8.4061E-002; 1.1000E+001; 4.5297E-002; 1.1000E+001; 4.8670E-002; 1.1000E+001; 7.8031E-002; 1.1000E+001; 1.0132E-001;
 1.2000E+001; 1.0132E-001; 1.2000E+001; 2.8136E-001; 1.2000E+001; 9.0603E-002; 1.2000E+001; 4.4754E-002; 1.2000E+001; 4.1288E-002; 1.2000E+001; 6.7536E-002; 1.2000E+001; 1.0132E-001;
 1.3000E+001; 1.0132E-001; 1.3000E+001; 3.1239E-001; 1.3000E+001; 9.8330E-002; 1.3000E+001; 4.5290E-002; 1.3000E+001; 3.6387E-002; 1.3000E+001; 5.5280E-002; 1.3000E+001; 1.0132E-001;
 1.4000E+001; 1.0132E-001; 1.4000E+001; 3.4699E-001; 1.4000E+001; 1.0734E-001; 1.4000E+001; 4.6724E-002; 1.4000E+001; 3.3375E-002; 1.4000E+001; 4.4450E-002; 1.4000E+001; 1.0132E-001;
 1.5000E+001; 1.0132E-001; 1.5000E+001; 3.8532E-001; 1.5000E+001; 1.1772E-001; 1.5000E+001; 4.8953E-002; 1.5000E+001; 3.1719E-002; 1.5000E+001; 3.6488E-002; 1.5000E+001; 1.0132E-001;
 1.6000E+001; 1.0132E-001; 1.6000E+001; 4.2761E-001; 1.6000E+001; 1.2957E-001; 1.6000E+001; 5.1916E-002; 1.6000E+001; 3.1040E-002; 1.6000E+001; 3.1154E-002; 1.6000E+001; 1.0132E-001;
 1.7000E+001; 1.0132E-001; 1.7000E+001; 4.7413E-001; 1.7000E+001; 1.4301E-001; 1.7000E+001; 5.5590E-002; 1.7000E+001; 3.1095E-002; 1.7000E+001; 2.7743E-002; 1.7000E+001; 1.0132E-001;
 1.8000E+001; 1.0132E-001; 1.8000E+001; 5.2498E-001; 1.8000E+001; 1.5820E-001; 1.8000E+001; 5.9986E-002; 1.8000E+001; 3.1738E-002; 1.8000E+001; 2.5647E-002; 1.8000E+001; 1.0132E-001;
 1.9000E+001; 1.0132E-001; 1.9000E+001; 5.8052E-001; 1.9000E+001; 1.7533E-001; 1.9000E+001; 6.5143E-002; 1.9000E+001; 3.2887E-002; 1.9000E+001; 2.4457E-002; 1.9000E+001; 1.0132E-001;
 2.0000E+001; 1.0132E-001; 2.0000E+001; 6.4102E-001; 2.0000E+001; 1.9462E-001; 2.0000E+001; 7.1110E-002; 2.0000E+001; 3.4497E-002; 2.0000E+001; 2.3920E-002; 2.0000E+001; 1.0132E-001;
 2.1000E+001; 1.0132E-001; 2.1000E+001; 7.0674E-001; 2.1000E+001; 2.1631E-001; 2.1000E+001; 7.7959E-002; 2.1000E+001; 3.6552E-002; 2.1000E+001; 2.3879E-002; 2.1000E+001; 1.0132E-001;
