Time(min)   ;PG_00mm(MPa);Time(min)   ;PG_10mm(MPa);Time(min)   ;PG_20mm(MPa);Time(min)   ;PG_30mm(MPa);Time(min)   ;PG_40mm(MPa);Time(min)   ;PG_50mm(MPa);Time(min)   ;PG_120mm(MPa;
 0.0000E+000; 1.0132E-001; 0.0000E+000; 9.9289E-002; 0.0000E+000; 9.7823E-002; 0.0000E+000; 9.6791E-002; 0.0000E+000; 9.6108E-002; 0.0000E+000; 9.5719E-002; 0.0000E+000; 1.0132E-001;
 1.0000E+000; 1.0132E-001; 1.0000E+000; 8.7439E-002; 1.0000E+000; 9.7527E-002; 1.0000E+000; 9.6781E-002; 1.0000E+000; 9.6107E-002; 1.0000E+000; 9.5719E-002; 1.0000E+000; 1.0132E-001;
 2.0000E+000; 1.0132E-001; 2.0000E+000; 8.0294E-002; 2.0000E+000; 9.5364E-002; 2.0000E+000; 9.6656E-002; 2.0000E+000; 9.6098E-002; 2.0000E+000; 9.5718E-002; 2.0000E+000; 1.0132E-001;
 3.0000E+000; 1.0132E-001; 3.0000E+000; 9.4773E-002; 3.0000E+000; 8.6883E-002; 3.0000E+000; 9.6149E-002; 3.0000E+000; 9.6032E-002; 3.0000E+000; 9.5710E-002; 3.0000E+000; 1.0132E-001;
 4.0000E+000; 1.0132E-001; 4.0000E+000; 1.1304E-001; 4.0000E+000; 7.8359E-002; 4.0000E+000; 9.3949E-002; 4.0000E+000; 9.5833E-002; 4.0000E+000; 9.5675E-002; 4.0000E+000; 1.0132E-001;
 5.0000E+000; 1.0132E-001; 5.0000E+000; 1.3176E-001; 5.0000E+000; 7.3453E-002; 5.0000E+000; 8.8525E-002; 5.0000E+000; 9.5297E-002; 5.0000E+000; 9.5587E-002; 5.0000E+000; 1.0132E-001;
 6.0000E+000; 1.0132E-001; 6.0000E+000; 1.5106E-001; 6.0000E+000; 7.1771E-002; 6.0000E+000; 7.9970E-002; 6.0000E+000; 9.3909E-002; 6.0000E+000; 9.5402E-002; 6.0000E+000; 1.0132E-001;
 7.0000E+000; 1.0132E-001; 7.0000E+000; 1.7142E-001; 7.0000E+000; 7.2454E-002; 7.0000E+000; 7.0301E-002; 7.0000E+000; 9.0807E-002; 7.0000E+000; 9.5022E-002; 7.0000E+000; 1.0132E-001;
 8.0000E+000; 1.0132E-001; 8.0000E+000; 1.9329E-001; 8.0000E+000; 7.4928E-002; 8.0000E+000; 6.1890E-002; 8.0000E+000; 8.5028E-002; 8.0000E+000; 9.4234E-002; 8.0000E+000; 1.0132E-001;
 9.0000E+000; 1.0132E-001; 9.0000E+000; 2.1719E-001; 9.0000E+000; 7.8877E-002; 9.0000E+000; 5.5829E-002; 9.0000E+000; 7.6261E-002; 9.0000E+000; 9.2624E-002; 9.0000E+000; 1.0132E-001;
 1.0000E+001; 1.0132E-001; 1.0000E+001; 2.4387E-001; 1.0000E+001; 8.4207E-002; 1.0000E+001; 5.2101E-002; 1.0000E+001; 6.5761E-002; 1.0000E+001; 8.9502E-002; 1.0000E+001; 1.0132E-001;
 1.1000E+001; 1.0132E-001; 1.1000E+001; 2.7381E-001; 1.1000E+001; 9.0945E-002; 1.1000E+001; 5.0327E-002; 1.1000E+001; 5.5864E-002; 1.1000E+001; 8.3978E-002; 1.1000E+001; 1.0132E-001;
 1.2000E+001; 1.0132E-001; 1.2000E+001; 3.0741E-001; 1.2000E+001; 9.9146E-002; 1.2000E+001; 5.0112E-002; 1.2000E+001; 4.8152E-002; 1.2000E+001; 7.5511E-002; 1.2000E+001; 1.0132E-001;
 1.3000E+001; 1.0132E-001; 1.3000E+001; 3.4528E-001; 1.3000E+001; 1.0892E-001; 1.3000E+001; 5.1163E-002; 1.3000E+001; 4.2869E-002; 1.3000E+001; 6.4917E-002; 1.3000E+001; 1.0132E-001;
 1.4000E+001; 1.0132E-001; 1.4000E+001; 3.8799E-001; 1.4000E+001; 1.2047E-001; 1.4000E+001; 5.3317E-002; 1.4000E+001; 3.9623E-002; 1.4000E+001; 5.4399E-002; 1.4000E+001; 1.0132E-001;
 1.5000E+001; 1.0132E-001; 1.5000E+001; 4.3579E-001; 1.5000E+001; 1.3398E-001; 1.5000E+001; 5.6490E-002; 1.5000E+001; 3.7933E-002; 1.5000E+001; 4.5834E-002; 1.5000E+001; 1.0132E-001;
 1.6000E+001; 1.0132E-001; 1.6000E+001; 4.8904E-001; 1.6000E+001; 1.4965E-001; 1.6000E+001; 6.0647E-002; 1.6000E+001; 3.7421E-002; 1.6000E+001; 3.9698E-002; 1.6000E+001; 1.0132E-001;
 1.7000E+001; 1.0132E-001; 1.7000E+001; 5.4804E-001; 1.7000E+001; 1.6774E-001; 1.7000E+001; 6.5804E-002; 1.7000E+001; 3.7832E-002; 1.7000E+001; 3.5644E-002; 1.7000E+001; 1.0132E-001;
 1.8000E+001; 1.0132E-001; 1.8000E+001; 6.1276E-001; 1.8000E+001; 1.8871E-001; 1.8000E+001; 7.2044E-002; 1.8000E+001; 3.9021E-002; 1.8000E+001; 3.3161E-002; 1.8000E+001; 1.0132E-001;
 1.9000E+001; 1.0132E-001; 1.9000E+001; 6.8355E-001; 1.9000E+001; 2.1297E-001; 1.9000E+001; 7.9483E-002; 1.9000E+001; 4.0918E-002; 1.9000E+001; 3.1834E-002; 1.9000E+001; 1.0132E-001;
 2.0000E+001; 1.0132E-001; 2.0000E+001; 7.6046E-001; 2.0000E+001; 2.4104E-001; 2.0000E+001; 8.8265E-002; 2.0000E+001; 4.3498E-002; 2.0000E+001; 3.1381E-002; 2.0000E+001; 1.0132E-001;
 2.1000E+001; 1.0132E-001; 2.1000E+001; 8.4326E-001; 2.1000E+001; 2.7352E-001; 2.1000E+001; 9.8580E-002; 2.1000E+001; 4.6771E-002; 2.1000E+001; 3.1622E-002; 2.1000E+001; 1.0132E-001;
 2.2000E+001; 1.0132E-001; 2.2000E+001; 9.3144E-001; 2.2000E+001; 3.1117E-001; 2.2000E+001; 1.1067E-001; 2.2000E+001; 5.0779E-002; 2.2000E+001; 3.2451E-002; 2.2000E+001; 1.0132E-001;
 2.3000E+001; 1.0132E-001; 2.3000E+001; 1.0239E+000; 2.3000E+001; 3.5481E-001; 2.3000E+001; 1.2488E-001; 2.3000E+001; 5.5604E-002; 2.3000E+001; 3.3815E-002; 2.3000E+001; 1.0132E-001;
 2.4000E+001; 1.0132E-001; 2.4000E+001; 1.1190E+000; 2.4000E+001; 4.0495E-001; 2.4000E+001; 1.4157E-001; 2.4000E+001; 6.1347E-002; 2.4000E+001; 3.5698E-002; 2.4000E+001; 1.0132E-001;
 2.5000E+001; 1.0132E-001; 2.5000E+001; 1.2144E+000; 2.5000E+001; 4.6171E-001; 2.5000E+001; 1.6108E-001; 2.5000E+001; 6.8115E-002; 2.5000E+001; 3.8100E-002; 2.5000E+001; 1.0132E-001;
 2.6000E+001; 1.0132E-001; 2.6000E+001; 1.3066E+000; 2.6000E+001; 5.2439E-001; 2.6000E+001; 1.8377E-001; 2.6000E+001; 7.6024E-002; 2.6000E+001; 4.1034E-002; 2.6000E+001; 1.0132E-001;
 2.7000E+001; 1.0132E-001; 2.7000E+001; 1.3926E+000; 2.7000E+001; 5.9112E-001; 2.7000E+001; 2.0988E-001; 2.7000E+001; 8.5183E-002; 2.7000E+001; 4.4518E-002; 2.7000E+001; 1.0132E-001;
 2.8000E+001; 1.0132E-001; 2.8000E+001; 1.4701E+000; 2.8000E+001; 6.5877E-001; 2.8000E+001; 2.3964E-001; 2.8000E+001; 9.5711E-002; 2.8000E+001; 4.8575E-002; 2.8000E+001; 1.0132E-001;
 2.9000E+001; 1.0132E-001; 2.9000E+001; 1.5387E+000; 2.9000E+001; 7.2467E-001; 2.9000E+001; 2.7282E-001; 2.9000E+001; 1.0769E-001; 2.9000E+001; 5.3232E-002; 2.9000E+001; 1.0132E-001;
 3.0000E+001; 1.0132E-001; 3.0000E+001; 1.5992E+000; 3.0000E+001; 7.8678E-001; 3.0000E+001; 3.0885E-001; 3.0000E+001; 1.2115E-001; 3.0000E+001; 5.8500E-002; 3.0000E+001; 1.0132E-001;
 3.1000E+001; 1.0132E-001; 3.1000E+001; 1.6529E+000; 3.1000E+001; 8.4405E-001; 3.1000E+001; 3.4695E-001; 3.1000E+001; 1.3604E-001; 3.1000E+001; 6.4380E-002; 3.1000E+001; 1.0132E-001;
 3.2000E+001; 1.0132E-001; 3.2000E+001; 1.7011E+000; 3.2000E+001; 8.9627E-001; 3.2000E+001; 3.8620E-001; 3.2000E+001; 1.5230E-001; 3.2000E+001; 7.0868E-002; 3.2000E+001; 1.0132E-001;
 3.3000E+001; 1.0132E-001; 3.3000E+001; 1.7449E+000; 3.3000E+001; 9.4370E-001; 3.3000E+001; 4.2574E-001; 3.3000E+001; 1.6983E-001; 3.3000E+001; 7.7954E-002; 3.3000E+001; 1.0132E-001;
 3.4000E+001; 1.0132E-001; 3.4000E+001; 1.7850E+000; 3.4000E+001; 9.8677E-001; 3.4000E+001; 4.6482E-001; 3.4000E+001; 1.8857E-001; 3.4000E+001; 8.5645E-002; 3.4000E+001; 1.0132E-001;
 3.5000E+001; 1.0132E-001; 3.5000E+001; 1.8220E+000; 3.5000E+001; 1.0262E+000; 3.5000E+001; 5.0275E-001; 3.5000E+001; 2.0834E-001; 3.5000E+001; 9.3935E-002; 3.5000E+001; 1.0132E-001;
 3.6000E+001; 1.0132E-001; 3.6000E+001; 1.8560E+000; 3.6000E+001; 1.0628E+000; 3.6000E+001; 5.3916E-001; 3.6000E+001; 2.2888E-001; 3.6000E+001; 1.0279E-001; 3.6000E+001; 1.0132E-001;
