Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 0.0000E+000; 2.0013E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0013E+001;
 1.0000E+000; 6.3260E+001; 1.0000E+000; 2.6079E+001; 1.0000E+000; 2.0260E+001; 1.0000E+000; 2.0014E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 1.9338E+001;
 2.0000E+000; 8.0594E+001; 2.0000E+000; 3.7043E+001; 2.0000E+000; 2.3065E+001; 2.0000E+000; 2.0359E+001; 2.0000E+000; 2.0041E+001; 2.0000E+000; 2.0016E+001; 2.0000E+000; 1.9223E+001;
 3.0000E+000; 9.2890E+001; 3.0000E+000; 4.7060E+001; 3.0000E+000; 2.7462E+001; 3.0000E+000; 2.1523E+001; 3.0000E+000; 2.0241E+001; 3.0000E+000; 2.0041E+001; 3.0000E+000; 1.9197E+001;
 4.0000E+000; 1.0251E+002; 4.0000E+000; 5.5850E+001; 4.0000E+000; 3.2455E+001; 4.0000E+000; 2.3439E+001; 4.0000E+000; 2.0759E+001; 4.0000E+000; 2.0144E+001; 4.0000E+000; 1.9208E+001;
 5.0000E+000; 1.1067E+002; 5.0000E+000; 6.3607E+001; 5.0000E+000; 3.7564E+001; 5.0000E+000; 2.5884E+001; 5.0000E+000; 2.1633E+001; 5.0000E+000; 2.0383E+001; 5.0000E+000; 1.9235E+001;
 6.0000E+000; 1.1797E+002; 6.0000E+000; 7.0586E+001; 6.0000E+000; 4.2588E+001; 6.0000E+000; 2.8660E+001; 6.0000E+000; 2.2830E+001; 6.0000E+000; 2.0792E+001; 6.0000E+000; 1.9270E+001;
 7.0000E+000; 1.2473E+002; 7.0000E+000; 7.6990E+001; 7.0000E+000; 4.7458E+001; 7.0000E+000; 3.1629E+001; 7.0000E+000; 2.4293E+001; 7.0000E+000; 2.1380E+001; 7.0000E+000; 1.9306E+001;
 8.0000E+000; 1.3109E+002; 8.0000E+000; 8.2963E+001; 8.0000E+000; 5.2162E+001; 8.0000E+000; 3.4703E+001; 8.0000E+000; 2.5966E+001; 8.0000E+000; 2.2138E+001; 8.0000E+000; 1.9341E+001;
 9.0000E+000; 1.3714E+002; 9.0000E+000; 8.8601E+001; 9.0000E+000; 5.6709E+001; 9.0000E+000; 3.7828E+001; 9.0000E+000; 2.7798E+001; 9.0000E+000; 2.3052E+001; 9.0000E+000; 1.9375E+001;
 1.0000E+001; 1.4295E+002; 1.0000E+001; 9.3969E+001; 1.0000E+001; 6.1112E+001; 1.0000E+001; 4.0973E+001; 1.0000E+001; 2.9750E+001; 1.0000E+001; 2.4101E+001; 1.0000E+001; 1.9408E+001;
 1.1000E+001; 1.4855E+002; 1.1000E+001; 9.9114E+001; 1.1000E+001; 6.5388E+001; 1.1000E+001; 4.4118E+001; 1.1000E+001; 3.1792E+001; 1.1000E+001; 2.5268E+001; 1.1000E+001; 1.9438E+001;
 1.2000E+001; 1.5396E+002; 1.2000E+001; 1.0407E+002; 1.2000E+001; 6.9550E+001; 1.2000E+001; 4.7252E+001; 1.2000E+001; 3.3902E+001; 1.2000E+001; 2.6535E+001; 1.2000E+001; 1.9468E+001;
 1.3000E+001; 1.5921E+002; 1.3000E+001; 1.0887E+002; 1.3000E+001; 7.3609E+001; 1.3000E+001; 5.0368E+001; 1.3000E+001; 3.6062E+001; 1.3000E+001; 2.7887E+001; 1.3000E+001; 1.9497E+001;
 1.4000E+001; 1.6430E+002; 1.4000E+001; 1.1353E+002; 1.4000E+001; 7.7575E+001; 1.4000E+001; 5.3461E+001; 1.4000E+001; 3.8261E+001; 1.4000E+001; 2.9309E+001; 1.4000E+001; 1.9527E+001;
 1.5000E+001; 1.6924E+002; 1.5000E+001; 1.1805E+002; 1.5000E+001; 8.1456E+001; 1.5000E+001; 5.6530E+001; 1.5000E+001; 4.0489E+001; 1.5000E+001; 3.0791E+001; 1.5000E+001; 1.9559E+001;
 1.6000E+001; 1.7403E+002; 1.6000E+001; 1.2246E+002; 1.6000E+001; 8.5257E+001; 1.6000E+001; 5.9572E+001; 1.6000E+001; 4.2739E+001; 1.6000E+001; 3.2325E+001; 1.6000E+001; 1.9596E+001;
 1.7000E+001; 1.7869E+002; 1.7000E+001; 1.2675E+002; 1.7000E+001; 8.8985E+001; 1.7000E+001; 6.2586E+001; 1.7000E+001; 4.5004E+001; 1.7000E+001; 3.3902E+001; 1.7000E+001; 1.9637E+001;
 1.8000E+001; 1.8320E+002; 1.8000E+001; 1.3093E+002; 1.8000E+001; 9.2641E+001; 1.8000E+001; 6.5572E+001; 1.8000E+001; 4.7280E+001; 1.8000E+001; 3.5518E+001; 1.8000E+001; 1.9685E+001;
 1.9000E+001; 1.8759E+002; 1.9000E+001; 1.3500E+002; 1.9000E+001; 9.6229E+001; 1.9000E+001; 6.8528E+001; 1.9000E+001; 4.9563E+001; 1.9000E+001; 3.7166E+001; 1.9000E+001; 1.9741E+001;
 2.0000E+001; 1.9185E+002; 2.0000E+001; 1.3898E+002; 2.0000E+001; 9.9751E+001; 2.0000E+001; 7.1455E+001; 2.0000E+001; 5.1849E+001; 2.0000E+001; 3.8842E+001; 2.0000E+001; 1.9807E+001;
 2.1000E+001; 1.9599E+002; 2.1000E+001; 1.4285E+002; 2.1000E+001; 1.0321E+002; 2.1000E+001; 7.4351E+001; 2.1000E+001; 5.4136E+001; 2.1000E+001; 4.0542E+001; 2.1000E+001; 1.9884E+001;
 2.2000E+001; 2.0001E+002; 2.2000E+001; 1.4663E+002; 2.2000E+001; 1.0661E+002; 2.2000E+001; 7.7217E+001; 2.2000E+001; 5.6420E+001; 2.2000E+001; 4.2262E+001; 2.2000E+001; 1.9974E+001;
 2.3000E+001; 2.0392E+002; 2.3000E+001; 1.5032E+002; 2.3000E+001; 1.0994E+002; 2.3000E+001; 8.0051E+001; 2.3000E+001; 5.8700E+001; 2.3000E+001; 4.3999E+001; 2.3000E+001; 2.0076E+001;
 2.4000E+001; 2.0771E+002; 2.4000E+001; 1.5391E+002; 2.4000E+001; 1.1321E+002; 2.4000E+001; 8.2852E+001; 2.4000E+001; 6.0974E+001; 2.4000E+001; 4.5750E+001; 2.4000E+001; 2.0194E+001;
 2.5000E+001; 2.1140E+002; 2.5000E+001; 1.5742E+002; 2.5000E+001; 1.1643E+002; 2.5000E+001; 8.5622E+001; 2.5000E+001; 6.3240E+001; 2.5000E+001; 4.7512E+001; 2.5000E+001; 2.0327E+001;
 2.6000E+001; 2.1497E+002; 2.6000E+001; 1.6083E+002; 2.6000E+001; 1.1959E+002; 2.6000E+001; 8.8358E+001; 2.6000E+001; 6.5496E+001; 2.6000E+001; 4.9283E+001; 2.6000E+001; 2.0476E+001;
 2.7000E+001; 2.1843E+002; 2.7000E+001; 1.6414E+002; 2.7000E+001; 1.2268E+002; 2.7000E+001; 9.1062E+001; 2.7000E+001; 6.7741E+001; 2.7000E+001; 5.1062E+001; 2.7000E+001; 2.0642E+001;
 2.8000E+001; 2.2177E+002; 2.8000E+001; 1.6737E+002; 2.8000E+001; 1.2572E+002; 2.8000E+001; 9.3732E+001; 2.8000E+001; 6.9974E+001; 2.8000E+001; 5.2845E+001; 2.8000E+001; 2.0826E+001;
 2.9000E+001; 2.2500E+002; 2.9000E+001; 1.7051E+002; 2.9000E+001; 1.2870E+002; 2.9000E+001; 9.6367E+001; 2.9000E+001; 7.2193E+001; 2.9000E+001; 5.4631E+001; 2.9000E+001; 2.1028E+001;
 3.0000E+001; 2.2809E+002; 3.0000E+001; 1.7355E+002; 3.0000E+001; 1.3162E+002; 3.0000E+001; 9.8968E+001; 3.0000E+001; 7.4397E+001; 3.0000E+001; 5.6419E+001; 3.0000E+001; 2.1249E+001;
 3.1000E+001; 2.3107E+002; 3.1000E+001; 1.7652E+002; 3.1000E+001; 1.3448E+002; 3.1000E+001; 1.0153E+002; 3.1000E+001; 7.6586E+001; 3.1000E+001; 5.8207E+001; 3.1000E+001; 2.1488E+001;
 3.2000E+001; 2.3395E+002; 3.2000E+001; 1.7939E+002; 3.2000E+001; 1.3728E+002; 3.2000E+001; 1.0407E+002; 3.2000E+001; 7.8758E+001; 3.2000E+001; 5.9994E+001; 3.2000E+001; 2.1746E+001;
 3.3000E+001; 2.3673E+002; 3.3000E+001; 1.8219E+002; 3.3000E+001; 1.4002E+002; 3.3000E+001; 1.0656E+002; 3.3000E+001; 8.0913E+001; 3.3000E+001; 6.1778E+001; 3.3000E+001; 2.2023E+001;
 3.4000E+001; 2.3942E+002; 3.4000E+001; 1.8492E+002; 3.4000E+001; 1.4270E+002; 3.4000E+001; 1.0902E+002; 3.4000E+001; 8.3050E+001; 3.4000E+001; 6.3559E+001; 3.4000E+001; 2.2319E+001;
 3.5000E+001; 2.4203E+002; 3.5000E+001; 1.8758E+002; 3.5000E+001; 1.4532E+002; 3.5000E+001; 1.1144E+002; 3.5000E+001; 8.5167E+001; 3.5000E+001; 6.5335E+001; 3.5000E+001; 2.2633E+001;
 3.6000E+001; 2.4457E+002; 3.6000E+001; 1.9018E+002; 3.6000E+001; 1.4789E+002; 3.6000E+001; 1.1382E+002; 3.6000E+001; 8.7265E+001; 3.6000E+001; 6.7105E+001; 3.6000E+001; 2.2966E+001;
 3.7000E+001; 2.4705E+002; 3.7000E+001; 1.9271E+002; 3.7000E+001; 1.5041E+002; 3.7000E+001; 1.1617E+002; 3.7000E+001; 8.9343E+001; 3.7000E+001; 6.8868E+001; 3.7000E+001; 2.3318E+001;
 3.8000E+001; 2.4946E+002; 3.8000E+001; 1.9518E+002; 3.8000E+001; 1.5287E+002; 3.8000E+001; 1.1848E+002; 3.8000E+001; 9.1399E+001; 3.8000E+001; 7.0624E+001; 3.8000E+001; 2.3687E+001;
 3.9000E+001; 2.5181E+002; 3.9000E+001; 1.9760E+002; 3.9000E+001; 1.5528E+002; 3.9000E+001; 1.2076E+002; 3.9000E+001; 9.3435E+001; 3.9000E+001; 7.2371E+001; 3.9000E+001; 2.4074E+001;
 4.0000E+001; 2.5411E+002; 4.0000E+001; 1.9996E+002; 4.0000E+001; 1.5765E+002; 4.0000E+001; 1.2299E+002; 4.0000E+001; 9.5449E+001; 4.0000E+001; 7.4110E+001; 4.0000E+001; 2.4479E+001;
 4.1000E+001; 2.5635E+002; 4.1000E+001; 2.0227E+002; 4.1000E+001; 1.5996E+002; 4.1000E+001; 1.2520E+002; 4.1000E+001; 9.7442E+001; 4.1000E+001; 7.5839E+001; 4.1000E+001; 2.4900E+001;
 4.2000E+001; 2.5855E+002; 4.2000E+001; 2.0453E+002; 4.2000E+001; 1.6224E+002; 4.2000E+001; 1.2737E+002; 4.2000E+001; 9.9412E+001; 4.2000E+001; 7.7558E+001; 4.2000E+001; 2.5339E+001;
 4.3000E+001; 2.6070E+002; 4.3000E+001; 2.0675E+002; 4.3000E+001; 1.6446E+002; 4.3000E+001; 1.2950E+002; 4.3000E+001; 1.0136E+002; 4.3000E+001; 7.9266E+001; 4.3000E+001; 2.5793E+001;
 4.4000E+001; 2.6281E+002; 4.4000E+001; 2.0894E+002; 4.4000E+001; 1.6665E+002; 4.4000E+001; 1.3161E+002; 4.4000E+001; 1.0329E+002; 4.4000E+001; 8.0963E+001; 4.4000E+001; 2.6263E+001;
 4.5000E+001; 2.6487E+002; 4.5000E+001; 2.1109E+002; 4.5000E+001; 1.6879E+002; 4.5000E+001; 1.3368E+002; 4.5000E+001; 1.0519E+002; 4.5000E+001; 8.2649E+001; 4.5000E+001; 2.6749E+001;
 4.6000E+001; 2.6689E+002; 4.6000E+001; 2.1320E+002; 4.6000E+001; 1.7090E+002; 4.6000E+001; 1.3572E+002; 4.6000E+001; 1.0708E+002; 4.6000E+001; 8.4323E+001; 4.6000E+001; 2.7250E+001;
 4.7000E+001; 2.6888E+002; 4.7000E+001; 2.1529E+002; 4.7000E+001; 1.7297E+002; 4.7000E+001; 1.3773E+002; 4.7000E+001; 1.0894E+002; 4.7000E+001; 8.5985E+001; 4.7000E+001; 2.7766E+001;
 4.8000E+001; 2.7083E+002; 4.8000E+001; 2.1735E+002; 4.8000E+001; 1.7500E+002; 4.8000E+001; 1.3971E+002; 4.8000E+001; 1.1078E+002; 4.8000E+001; 8.7636E+001; 4.8000E+001; 2.8297E+001;
 4.9000E+001; 2.7274E+002; 4.9000E+001; 2.1938E+002; 4.9000E+001; 1.7700E+002; 4.9000E+001; 1.4166E+002; 4.9000E+001; 1.1261E+002; 4.9000E+001; 8.9274E+001; 4.9000E+001; 2.8841E+001;
 5.0000E+001; 2.7463E+002; 5.0000E+001; 2.2138E+002; 5.0000E+001; 1.7896E+002; 5.0000E+001; 1.4359E+002; 5.0000E+001; 1.1441E+002; 5.0000E+001; 9.0901E+001; 5.0000E+001; 2.9399E+001;
 5.1000E+001; 2.7648E+002; 5.1000E+001; 2.2336E+002; 5.1000E+001; 1.8089E+002; 5.1000E+001; 1.4548E+002; 5.1000E+001; 1.1619E+002; 5.1000E+001; 9.2515E+001; 5.1000E+001; 2.9971E+001;
 5.2000E+001; 2.7830E+002; 5.2000E+001; 2.2530E+002; 5.2000E+001; 1.8279E+002; 5.2000E+001; 1.4736E+002; 5.2000E+001; 1.1796E+002; 5.2000E+001; 9.4118E+001; 5.2000E+001; 3.0555E+001;
 5.3000E+001; 2.8009E+002; 5.3000E+001; 2.2721E+002; 5.3000E+001; 1.8466E+002; 5.3000E+001; 1.4920E+002; 5.3000E+001; 1.1970E+002; 5.3000E+001; 9.5709E+001; 5.3000E+001; 3.1152E+001;
 5.4000E+001; 2.8185E+002; 5.4000E+001; 2.2910E+002; 5.4000E+001; 1.8650E+002; 5.4000E+001; 1.5103E+002; 5.4000E+001; 1.2143E+002; 5.4000E+001; 9.7287E+001; 5.4000E+001; 3.1760E+001;
 5.5000E+001; 2.8358E+002; 5.5000E+001; 2.3096E+002; 5.5000E+001; 1.8831E+002; 5.5000E+001; 1.5282E+002; 5.5000E+001; 1.2313E+002; 5.5000E+001; 9.8855E+001; 5.5000E+001; 3.2380E+001;
 5.6000E+001; 2.8528E+002; 5.6000E+001; 2.3278E+002; 5.6000E+001; 1.9009E+002; 5.6000E+001; 1.5460E+002; 5.6000E+001; 1.2482E+002; 5.6000E+001; 1.0041E+002; 5.6000E+001; 3.3012E+001;
 5.7000E+001; 2.8695E+002; 5.7000E+001; 2.3458E+002; 5.7000E+001; 1.9185E+002; 5.7000E+001; 1.5635E+002; 5.7000E+001; 1.2650E+002; 5.7000E+001; 1.0195E+002; 5.7000E+001; 3.3654E+001;
 5.8000E+001; 2.8859E+002; 5.8000E+001; 2.3636E+002; 5.8000E+001; 1.9358E+002; 5.8000E+001; 1.5808E+002; 5.8000E+001; 1.2815E+002; 5.8000E+001; 1.0349E+002; 5.8000E+001; 3.4306E+001;
 5.9000E+001; 2.9021E+002; 5.9000E+001; 2.3811E+002; 5.9000E+001; 1.9529E+002; 5.9000E+001; 1.5979E+002; 5.9000E+001; 1.2979E+002; 5.9000E+001; 1.0501E+002; 5.9000E+001; 3.4968E+001;
 6.0000E+001; 2.9181E+002; 6.0000E+001; 2.3983E+002; 6.0000E+001; 1.9698E+002; 6.0000E+001; 1.6148E+002; 6.0000E+001; 1.3141E+002; 6.0000E+001; 1.0652E+002; 6.0000E+001; 3.5639E+001;
 6.1000E+001; 2.9338E+002; 6.1000E+001; 2.4153E+002; 6.1000E+001; 1.9864E+002; 6.1000E+001; 1.6314E+002; 6.1000E+001; 1.3302E+002; 6.1000E+001; 1.0802E+002; 6.1000E+001; 3.6319E+001;
