Time(min)   ;PG_00mm(MPa);Time(min)   ;PG_10mm(MPa);Time(min)   ;PG_20mm(MPa);Time(min)   ;PG_30mm(MPa);Time(min)   ;PG_40mm(MPa);Time(min)   ;PG_50mm(MPa);Time(min)   ;PG_120mm(MPa;
 0.0000E+000; 1.0132E-001; 0.0000E+000; 9.9642E-002; 0.0000E+000; 9.8424E-002; 0.0000E+000; 9.7563E-002; 0.0000E+000; 9.6991E-002; 0.0000E+000; 9.6664E-002; 0.0000E+000; 1.0132E-001;
 1.0000E+000; 1.0132E-001; 1.0000E+000; 8.7974E-002; 1.0000E+000; 9.8160E-002; 1.0000E+000; 9.7554E-002; 1.0000E+000; 9.6990E-002; 1.0000E+000; 9.6664E-002; 1.0000E+000; 1.0132E-001;
 2.0000E+000; 1.0132E-001; 2.0000E+000; 8.1201E-002; 2.0000E+000; 9.5961E-002; 2.0000E+000; 9.7434E-002; 2.0000E+000; 9.6981E-002; 2.0000E+000; 9.6663E-002; 2.0000E+000; 1.0132E-001;
 3.0000E+000; 1.0132E-001; 3.0000E+000; 9.5535E-002; 3.0000E+000; 8.7679E-002; 3.0000E+000; 9.6917E-002; 3.0000E+000; 9.6917E-002; 3.0000E+000; 9.6655E-002; 3.0000E+000; 1.0132E-001;
 4.0000E+000; 1.0132E-001; 4.0000E+000; 1.1374E-001; 4.0000E+000; 7.9306E-002; 4.0000E+000; 9.4707E-002; 4.0000E+000; 9.6719E-002; 4.0000E+000; 9.6621E-002; 4.0000E+000; 1.0132E-001;
 5.0000E+000; 1.0132E-001; 5.0000E+000; 1.3266E-001; 5.0000E+000; 7.4403E-002; 5.0000E+000; 8.9400E-002; 5.0000E+000; 9.6173E-002; 5.0000E+000; 9.6534E-002; 5.0000E+000; 1.0132E-001;
 6.0000E+000; 1.0132E-001; 6.0000E+000; 1.5238E-001; 6.0000E+000; 7.2737E-002; 6.0000E+000; 8.1085E-002; 6.0000E+000; 9.4772E-002; 6.0000E+000; 9.6349E-002; 6.0000E+000; 1.0132E-001;
 7.0000E+000; 1.0132E-001; 7.0000E+000; 1.7338E-001; 7.0000E+000; 7.3514E-002; 7.0000E+000; 7.1630E-002; 7.0000E+000; 9.1715E-002; 7.0000E+000; 9.5962E-002; 7.0000E+000; 1.0132E-001;
 8.0000E+000; 1.0132E-001; 8.0000E+000; 1.9610E-001; 8.0000E+000; 7.6175E-002; 8.0000E+000; 6.3323E-002; 8.0000E+000; 8.6134E-002; 8.0000E+000; 9.5160E-002; 8.0000E+000; 1.0132E-001;
 9.0000E+000; 1.0132E-001; 9.0000E+000; 2.2109E-001; 9.0000E+000; 8.0403E-002; 9.0000E+000; 5.7310E-002; 9.0000E+000; 7.7737E-002; 9.0000E+000; 9.3552E-002; 9.0000E+000; 1.0132E-001;
 1.0000E+001; 1.0132E-001; 1.0000E+001; 2.4915E-001; 1.0000E+001; 8.6119E-002; 1.0000E+001; 5.3639E-002; 1.0000E+001; 6.7619E-002; 1.0000E+001; 9.0517E-002; 1.0000E+001; 1.0132E-001;
 1.1000E+001; 1.0132E-001; 1.1000E+001; 2.8076E-001; 1.1000E+001; 9.3354E-002; 1.1000E+001; 5.1965E-002; 1.1000E+001; 5.7928E-002; 1.1000E+001; 8.5280E-002; 1.1000E+001; 1.0132E-001;
 1.2000E+001; 1.0132E-001; 1.2000E+001; 3.1637E-001; 1.2000E+001; 1.0218E-001; 1.2000E+001; 5.1905E-002; 1.2000E+001; 5.0258E-002; 1.2000E+001; 7.7364E-002; 1.2000E+001; 1.0132E-001;
 1.3000E+001; 1.0132E-001; 1.3000E+001; 3.5665E-001; 1.3000E+001; 1.1273E-001; 1.3000E+001; 5.3175E-002; 1.3000E+001; 4.4956E-002; 1.3000E+001; 6.7395E-002; 1.3000E+001; 1.0132E-001;
 1.4000E+001; 1.0132E-001; 1.4000E+001; 4.0220E-001; 1.4000E+001; 1.2528E-001; 1.4000E+001; 5.5625E-002; 1.4000E+001; 4.1707E-002; 1.4000E+001; 5.7257E-002; 1.4000E+001; 1.0132E-001;
