Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 0.0000E+000; 2.0013E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0013E+001;
 1.0000E+000; 6.3235E+001; 1.0000E+000; 2.6075E+001; 1.0000E+000; 2.0260E+001; 1.0000E+000; 2.0014E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 1.9337E+001;
 2.0000E+000; 8.0528E+001; 2.0000E+000; 3.7024E+001; 2.0000E+000; 2.3061E+001; 2.0000E+000; 2.0358E+001; 2.0000E+000; 2.0040E+001; 2.0000E+000; 2.0016E+001; 2.0000E+000; 1.9222E+001;
 3.0000E+000; 9.2796E+001; 3.0000E+000; 4.7017E+001; 3.0000E+000; 2.7450E+001; 3.0000E+000; 2.1520E+001; 3.0000E+000; 2.0240E+001; 3.0000E+000; 2.0041E+001; 3.0000E+000; 1.9195E+001;
 4.0000E+000; 1.0243E+002; 4.0000E+000; 5.5785E+001; 4.0000E+000; 3.2432E+001; 4.0000E+000; 2.3432E+001; 4.0000E+000; 2.0757E+001; 4.0000E+000; 2.0143E+001; 4.0000E+000; 1.9206E+001;
 5.0000E+000; 1.1064E+002; 5.0000E+000; 6.3535E+001; 5.0000E+000; 3.7530E+001; 5.0000E+000; 2.5871E+001; 5.0000E+000; 2.1629E+001; 5.0000E+000; 2.0382E+001; 5.0000E+000; 1.9232E+001;
 6.0000E+000; 1.1802E+002; 6.0000E+000; 7.0522E+001; 6.0000E+000; 4.2547E+001; 6.0000E+000; 2.8641E+001; 6.0000E+000; 2.2822E+001; 6.0000E+000; 2.0790E+001; 6.0000E+000; 1.9266E+001;
 7.0000E+000; 1.2486E+002; 7.0000E+000; 7.6948E+001; 7.0000E+000; 4.7416E+001; 7.0000E+000; 3.1605E+001; 7.0000E+000; 2.4282E+001; 7.0000E+000; 2.1376E+001; 7.0000E+000; 1.9302E+001;
 8.0000E+000; 1.3131E+002; 8.0000E+000; 8.2953E+001; 8.0000E+000; 5.2126E+001; 8.0000E+000; 3.4676E+001; 8.0000E+000; 2.5951E+001; 8.0000E+000; 2.2132E+001; 8.0000E+000; 1.9337E+001;
 9.0000E+000; 1.3746E+002; 9.0000E+000; 8.8631E+001; 9.0000E+000; 5.6684E+001; 9.0000E+000; 3.7801E+001; 9.0000E+000; 2.7781E+001; 9.0000E+000; 2.3043E+001; 9.0000E+000; 1.9370E+001;
 1.0000E+001; 1.4335E+002; 1.0000E+001; 9.4042E+001; 1.0000E+001; 6.1105E+001; 1.0000E+001; 4.0950E+001; 1.0000E+001; 2.9731E+001; 1.0000E+001; 2.4090E+001; 1.0000E+001; 1.9402E+001;
 1.1000E+001; 1.4902E+002; 1.1000E+001; 9.9234E+001; 1.1000E+001; 6.5401E+001; 1.1000E+001; 4.4101E+001; 1.1000E+001; 3.1774E+001; 1.1000E+001; 2.5256E+001; 1.1000E+001; 1.9432E+001;
 1.2000E+001; 1.5451E+002; 1.2000E+001; 1.0424E+002; 1.2000E+001; 6.9587E+001; 1.2000E+001; 4.7244E+001; 1.2000E+001; 3.3885E+001; 1.2000E+001; 2.6522E+001; 1.2000E+001; 1.9461E+001;
 1.3000E+001; 1.5983E+002; 1.3000E+001; 1.0908E+002; 1.3000E+001; 7.3671E+001; 1.3000E+001; 5.0371E+001; 1.3000E+001; 3.6049E+001; 1.3000E+001; 2.7873E+001; 1.3000E+001; 1.9490E+001;
 1.4000E+001; 1.6497E+002; 1.4000E+001; 1.1378E+002; 1.4000E+001; 7.7664E+001; 1.4000E+001; 5.3478E+001; 1.4000E+001; 3.8253E+001; 1.4000E+001; 2.9296E+001; 1.4000E+001; 1.9520E+001;
 1.5000E+001; 1.6997E+002; 1.5000E+001; 1.1835E+002; 1.5000E+001; 8.1572E+001; 1.5000E+001; 5.6561E+001; 1.5000E+001; 4.0487E+001; 1.5000E+001; 3.0780E+001; 1.5000E+001; 1.9552E+001;
 1.6000E+001; 1.7480E+002; 1.6000E+001; 1.2279E+002; 1.6000E+001; 8.5401E+001; 1.6000E+001; 5.9619E+001; 1.6000E+001; 4.2745E+001; 1.6000E+001; 3.2316E+001; 1.6000E+001; 1.9588E+001;
 1.7000E+001; 1.7949E+002; 1.7000E+001; 1.2711E+002; 1.7000E+001; 8.9155E+001; 1.7000E+001; 6.2649E+001; 1.7000E+001; 4.5018E+001; 1.7000E+001; 3.3898E+001; 1.7000E+001; 1.9629E+001;
 1.8000E+001; 1.8404E+002; 1.8000E+001; 1.3131E+002; 1.8000E+001; 9.2836E+001; 1.8000E+001; 6.5652E+001; 1.8000E+001; 4.7304E+001; 1.8000E+001; 3.5518E+001; 1.8000E+001; 1.9677E+001;
 1.9000E+001; 1.8846E+002; 1.9000E+001; 1.3541E+002; 1.9000E+001; 9.6448E+001; 1.9000E+001; 6.8625E+001; 1.9000E+001; 4.9597E+001; 1.9000E+001; 3.7171E+001; 1.9000E+001; 1.9732E+001;
 2.0000E+001; 1.9274E+002; 2.0000E+001; 1.3941E+002; 2.0000E+001; 9.9992E+001; 2.0000E+001; 7.1569E+001; 2.0000E+001; 5.1893E+001; 2.0000E+001; 3.8852E+001; 2.0000E+001; 1.9798E+001;
 2.1000E+001; 1.9689E+002; 2.1000E+001; 1.4330E+002; 2.1000E+001; 1.0347E+002; 2.1000E+001; 7.4481E+001; 2.1000E+001; 5.4190E+001; 2.1000E+001; 4.0558E+001; 2.1000E+001; 1.9875E+001;
 2.2000E+001; 2.0092E+002; 2.2000E+001; 1.4708E+002; 2.2000E+001; 1.0688E+002; 2.2000E+001; 7.7362E+001; 2.2000E+001; 5.6485E+001; 2.2000E+001; 4.2285E+001; 2.2000E+001; 1.9963E+001;
 2.3000E+001; 2.0482E+002; 2.3000E+001; 1.5077E+002; 2.3000E+001; 1.1023E+002; 2.3000E+001; 8.0210E+001; 2.3000E+001; 5.8776E+001; 2.3000E+001; 4.4028E+001; 2.3000E+001; 2.0066E+001;
 2.4000E+001; 2.0861E+002; 2.4000E+001; 1.5436E+002; 2.4000E+001; 1.1352E+002; 2.4000E+001; 8.3025E+001; 2.4000E+001; 6.1060E+001; 2.4000E+001; 4.5786E+001; 2.4000E+001; 2.0183E+001;
 2.5000E+001; 2.1227E+002; 2.5000E+001; 1.5785E+002; 2.5000E+001; 1.1674E+002; 2.5000E+001; 8.5807E+001; 2.5000E+001; 6.3336E+001; 2.5000E+001; 4.7555E+001; 2.5000E+001; 2.0315E+001;
 2.6000E+001; 2.1581E+002; 2.6000E+001; 1.6124E+002; 2.6000E+001; 1.1991E+002; 2.6000E+001; 8.8554E+001; 2.6000E+001; 6.5602E+001; 2.6000E+001; 4.9334E+001; 2.6000E+001; 2.0464E+001;
 2.7000E+001; 2.1921E+002; 2.7000E+001; 1.6453E+002; 2.7000E+001; 1.2300E+002; 2.7000E+001; 9.1266E+001; 2.7000E+001; 6.7856E+001; 2.7000E+001; 5.1119E+001; 2.7000E+001; 2.0629E+001;
 2.8000E+001; 2.2248E+002; 2.8000E+001; 1.6772E+002; 2.8000E+001; 1.2604E+002; 2.8000E+001; 9.3943E+001; 2.8000E+001; 7.0097E+001; 2.8000E+001; 5.2908E+001; 2.8000E+001; 2.0812E+001;
 2.9000E+001; 2.2562E+002; 2.9000E+001; 1.7082E+002; 2.9000E+001; 1.2901E+002; 2.9000E+001; 9.6584E+001; 2.9000E+001; 7.2323E+001; 2.9000E+001; 5.4701E+001; 2.9000E+001; 2.1014E+001;
 3.0000E+001; 2.2863E+002; 3.0000E+001; 1.7384E+002; 3.0000E+001; 1.3191E+002; 3.0000E+001; 9.9188E+001; 3.0000E+001; 7.4534E+001; 3.0000E+001; 5.6495E+001; 3.0000E+001; 2.1233E+001;
 3.1000E+001; 2.3154E+002; 3.1000E+001; 1.7676E+002; 3.1000E+001; 1.3476E+002; 3.1000E+001; 1.0175E+002; 3.1000E+001; 7.6728E+001; 3.1000E+001; 5.8289E+001; 3.1000E+001; 2.1472E+001;
 3.2000E+001; 2.3436E+002; 3.2000E+001; 1.7961E+002; 3.2000E+001; 1.3754E+002; 3.2000E+001; 1.0428E+002; 3.2000E+001; 7.8904E+001; 3.2000E+001; 6.0080E+001; 3.2000E+001; 2.1729E+001;
 3.3000E+001; 2.3708E+002; 3.3000E+001; 1.8238E+002; 3.3000E+001; 1.4025E+002; 3.3000E+001; 1.0677E+002; 3.3000E+001; 8.1062E+001; 3.3000E+001; 6.1869E+001; 3.3000E+001; 2.2004E+001;
 3.4000E+001; 2.3973E+002; 3.4000E+001; 1.8508E+002; 3.4000E+001; 1.4291E+002; 3.4000E+001; 1.0922E+002; 3.4000E+001; 8.3199E+001; 3.4000E+001; 6.3654E+001; 3.4000E+001; 2.2299E+001;
 3.5000E+001; 2.4230E+002; 3.5000E+001; 1.8771E+002; 3.5000E+001; 1.4551E+002; 3.5000E+001; 1.1163E+002; 3.5000E+001; 8.5317E+001; 3.5000E+001; 6.5432E+001; 3.5000E+001; 2.2613E+001;
 3.6000E+001; 2.4481E+002; 3.6000E+001; 1.9027E+002; 3.6000E+001; 1.4806E+002; 3.6000E+001; 1.1401E+002; 3.6000E+001; 8.7413E+001; 3.6000E+001; 6.7205E+001; 3.6000E+001; 2.2945E+001;
 3.7000E+001; 2.4725E+002; 3.7000E+001; 1.9278E+002; 3.7000E+001; 1.5055E+002; 3.7000E+001; 1.1634E+002; 3.7000E+001; 8.9488E+001; 3.7000E+001; 6.8970E+001; 3.7000E+001; 2.3295E+001;
 3.8000E+001; 2.4963E+002; 3.8000E+001; 1.9522E+002; 3.8000E+001; 1.5299E+002; 3.8000E+001; 1.1864E+002; 3.8000E+001; 9.1540E+001; 3.8000E+001; 7.0726E+001; 3.8000E+001; 2.3664E+001;
 3.9000E+001; 2.5196E+002; 3.9000E+001; 1.9761E+002; 3.9000E+001; 1.5538E+002; 3.9000E+001; 1.2090E+002; 3.9000E+001; 9.3571E+001; 3.9000E+001; 7.2473E+001; 3.9000E+001; 2.4051E+001;
 4.0000E+001; 2.5424E+002; 4.0000E+001; 1.9995E+002; 4.0000E+001; 1.5773E+002; 4.0000E+001; 1.2312E+002; 4.0000E+001; 9.5578E+001; 4.0000E+001; 7.4211E+001; 4.0000E+001; 2.4455E+001;
 4.1000E+001; 2.5647E+002; 4.1000E+001; 2.0224E+002; 4.1000E+001; 1.6002E+002; 4.1000E+001; 1.2531E+002; 4.1000E+001; 9.7564E+001; 4.1000E+001; 7.5938E+001; 4.1000E+001; 2.4877E+001;
 4.2000E+001; 2.5865E+002; 4.2000E+001; 2.0450E+002; 4.2000E+001; 1.6227E+002; 4.2000E+001; 1.2747E+002; 4.2000E+001; 9.9527E+001; 4.2000E+001; 7.7654E+001; 4.2000E+001; 2.5315E+001;
 4.3000E+001; 2.6078E+002; 4.3000E+001; 2.0671E+002; 4.3000E+001; 1.6448E+002; 4.3000E+001; 1.2959E+002; 4.3000E+001; 1.0147E+002; 4.3000E+001; 7.9359E+001; 4.3000E+001; 2.5771E+001;
 4.4000E+001; 2.6288E+002; 4.4000E+001; 2.0889E+002; 4.4000E+001; 1.6665E+002; 4.4000E+001; 1.3168E+002; 4.4000E+001; 1.0339E+002; 4.4000E+001; 8.1053E+001; 4.4000E+001; 2.6242E+001;
 4.5000E+001; 2.6493E+002; 4.5000E+001; 2.1104E+002; 4.5000E+001; 1.6878E+002; 4.5000E+001; 1.3373E+002; 4.5000E+001; 1.0528E+002; 4.5000E+001; 8.2735E+001; 4.5000E+001; 2.6729E+001;
 4.6000E+001; 2.6694E+002; 4.6000E+001; 2.1316E+002; 4.6000E+001; 1.7087E+002; 4.6000E+001; 1.3576E+002; 4.6000E+001; 1.0716E+002; 4.6000E+001; 8.4404E+001; 4.6000E+001; 2.7231E+001;
 4.7000E+001; 2.6892E+002; 4.7000E+001; 2.1525E+002; 4.7000E+001; 1.7292E+002; 4.7000E+001; 1.3776E+002; 4.7000E+001; 1.0901E+002; 4.7000E+001; 8.6062E+001; 4.7000E+001; 2.7749E+001;
 4.8000E+001; 2.7086E+002; 4.8000E+001; 2.1731E+002; 4.8000E+001; 1.7494E+002; 4.8000E+001; 1.3973E+002; 4.8000E+001; 1.1085E+002; 4.8000E+001; 8.7707E+001; 4.8000E+001; 2.8281E+001;
 4.9000E+001; 2.7277E+002; 4.9000E+001; 2.1933E+002; 4.9000E+001; 1.7692E+002; 4.9000E+001; 1.4167E+002; 4.9000E+001; 1.1266E+002; 4.9000E+001; 8.9341E+001; 4.9000E+001; 2.8827E+001;
 5.0000E+001; 2.7465E+002; 5.0000E+001; 2.2133E+002; 5.0000E+001; 1.7887E+002; 5.0000E+001; 1.4358E+002; 5.0000E+001; 1.1445E+002; 5.0000E+001; 9.0962E+001; 5.0000E+001; 2.9386E+001;
 5.1000E+001; 2.7649E+002; 5.1000E+001; 2.2330E+002; 5.1000E+001; 1.8078E+002; 5.1000E+001; 1.4547E+002; 5.1000E+001; 1.1623E+002; 5.1000E+001; 9.2571E+001; 5.1000E+001; 2.9959E+001;
 5.2000E+001; 2.7830E+002; 5.2000E+001; 2.2524E+002; 5.2000E+001; 1.8267E+002; 5.2000E+001; 1.4733E+002; 5.2000E+001; 1.1798E+002; 5.2000E+001; 9.4168E+001; 5.2000E+001; 3.0545E+001;
 5.3000E+001; 2.8008E+002; 5.3000E+001; 2.2715E+002; 5.3000E+001; 1.8453E+002; 5.3000E+001; 1.4917E+002; 5.3000E+001; 1.1972E+002; 5.3000E+001; 9.5754E+001; 5.3000E+001; 3.1142E+001;
 5.4000E+001; 2.8183E+002; 5.4000E+001; 2.2902E+002; 5.4000E+001; 1.8635E+002; 5.4000E+001; 1.5098E+002; 5.4000E+001; 1.2144E+002; 5.4000E+001; 9.7327E+001; 5.4000E+001; 3.1752E+001;
 5.5000E+001; 2.8355E+002; 5.5000E+001; 2.3087E+002; 5.5000E+001; 1.8815E+002; 5.5000E+001; 1.5277E+002; 5.5000E+001; 1.2314E+002; 5.5000E+001; 9.8889E+001; 5.5000E+001; 3.2373E+001;
 5.6000E+001; 2.8524E+002; 5.6000E+001; 2.3269E+002; 5.6000E+001; 1.8992E+002; 5.6000E+001; 1.5454E+002; 5.6000E+001; 1.2482E+002; 5.6000E+001; 1.0044E+002; 5.6000E+001; 3.3006E+001;
 5.7000E+001; 2.8690E+002; 5.7000E+001; 2.3449E+002; 5.7000E+001; 1.9167E+002; 5.7000E+001; 1.5628E+002; 5.7000E+001; 1.2649E+002; 5.7000E+001; 1.0198E+002; 5.7000E+001; 3.3648E+001;
 5.8000E+001; 2.8854E+002; 5.8000E+001; 2.3626E+002; 5.8000E+001; 1.9339E+002; 5.8000E+001; 1.5800E+002; 5.8000E+001; 1.2813E+002; 5.8000E+001; 1.0350E+002; 5.8000E+001; 3.4301E+001;
 5.9000E+001; 2.9015E+002; 5.9000E+001; 2.3800E+002; 5.9000E+001; 1.9509E+002; 5.9000E+001; 1.5970E+002; 5.9000E+001; 1.2977E+002; 5.9000E+001; 1.0502E+002; 5.9000E+001; 3.4964E+001;
 6.0000E+001; 2.9174E+002; 6.0000E+001; 2.3972E+002; 6.0000E+001; 1.9677E+002; 6.0000E+001; 1.6138E+002; 6.0000E+001; 1.3138E+002; 6.0000E+001; 1.0653E+002; 6.0000E+001; 3.5636E+001;
 6.1000E+001; 2.9331E+002; 6.1000E+001; 2.4141E+002; 6.1000E+001; 1.9843E+002; 6.1000E+001; 1.6304E+002; 6.1000E+001; 1.3298E+002; 6.1000E+001; 1.0802E+002; 6.1000E+001; 3.6316E+001;
 6.2000E+001; 2.9485E+002; 6.2000E+001; 2.4309E+002; 6.2000E+001; 2.0007E+002; 6.2000E+001; 1.6468E+002; 6.2000E+001; 1.3456E+002; 6.2000E+001; 1.0950E+002; 6.2000E+001; 3.7005E+001;
 6.3000E+001; 2.9637E+002; 6.3000E+001; 2.4474E+002; 6.3000E+001; 2.0169E+002; 6.3000E+001; 1.6630E+002; 6.3000E+001; 1.3613E+002; 6.3000E+001; 1.1097E+002; 6.3000E+001; 3.7702E+001;
 6.4000E+001; 2.9788E+002; 6.4000E+001; 2.4637E+002; 6.4000E+001; 2.0329E+002; 6.4000E+001; 1.6790E+002; 6.4000E+001; 1.3768E+002; 6.4000E+001; 1.1244E+002; 6.4000E+001; 3.8407E+001;
 6.5000E+001; 2.9936E+002; 6.5000E+001; 2.4798E+002; 6.5000E+001; 2.0487E+002; 6.5000E+001; 1.6948E+002; 6.5000E+001; 1.3922E+002; 6.5000E+001; 1.1389E+002; 6.5000E+001; 3.9119E+001;
 6.6000E+001; 3.0082E+002; 6.6000E+001; 2.4956E+002; 6.6000E+001; 2.0644E+002; 6.6000E+001; 1.7104E+002; 6.6000E+001; 1.4075E+002; 6.6000E+001; 1.1533E+002; 6.6000E+001; 3.9838E+001;
