Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 2.4000E+001; 2.0984E+002; 2.4000E+001; 1.5497E+002; 2.4000E+001; 1.1397E+002; 2.4000E+001; 8.3294E+001; 2.4000E+001; 6.1200E+001; 2.4000E+001; 4.5848E+001; 2.4000E+001; 2.0164E+001;
 2.5000E+001; 2.1341E+002; 2.5000E+001; 1.5842E+002; 2.5000E+001; 1.1720E+002; 2.5000E+001; 8.6090E+001; 2.5000E+001; 6.3490E+001; 2.5000E+001; 4.7628E+001; 2.5000E+001; 2.0296E+001;
 2.6000E+001; 2.1684E+002; 2.6000E+001; 1.6177E+002; 2.6000E+001; 1.2036E+002; 2.6000E+001; 8.8850E+001; 2.6000E+001; 6.5768E+001; 2.6000E+001; 4.9416E+001; 2.6000E+001; 2.0444E+001;
 2.7000E+001; 2.2012E+002; 2.7000E+001; 1.6501E+002; 2.7000E+001; 1.2345E+002; 2.7000E+001; 9.1570E+001; 2.7000E+001; 6.8033E+001; 2.7000E+001; 5.1210E+001; 2.7000E+001; 2.0609E+001;
 2.8000E+001; 2.2327E+002; 2.8000E+001; 1.6815E+002; 2.8000E+001; 1.2646E+002; 2.8000E+001; 9.4252E+001; 2.8000E+001; 7.0284E+001; 2.8000E+001; 5.3009E+001; 2.8000E+001; 2.0791E+001;
 2.9000E+001; 2.2630E+002; 2.9000E+001; 1.7121E+002; 2.9000E+001; 1.2941E+002; 2.9000E+001; 9.6893E+001; 2.9000E+001; 7.2519E+001; 2.9000E+001; 5.4811E+001; 2.9000E+001; 2.0991E+001;
 3.0000E+001; 2.2922E+002; 3.0000E+001; 1.7417E+002; 3.0000E+001; 1.3229E+002; 3.0000E+001; 9.9494E+001; 3.0000E+001; 7.4736E+001; 3.0000E+001; 5.6612E+001; 3.0000E+001; 2.1210E+001;
 3.1000E+001; 2.3205E+002; 3.1000E+001; 1.7705E+002; 3.1000E+001; 1.3510E+002; 3.1000E+001; 1.0205E+002; 3.1000E+001; 7.6935E+001; 3.1000E+001; 5.8413E+001; 3.1000E+001; 2.1447E+001;
 3.2000E+001; 2.3480E+002; 3.2000E+001; 1.7985E+002; 3.2000E+001; 1.3784E+002; 3.2000E+001; 1.0457E+002; 3.2000E+001; 7.9113E+001; 3.2000E+001; 6.0210E+001; 3.2000E+001; 2.1703E+001;
 3.3000E+001; 2.3747E+002; 3.3000E+001; 1.8257E+002; 3.3000E+001; 1.4053E+002; 3.3000E+001; 1.0704E+002; 3.3000E+001; 8.1270E+001; 3.3000E+001; 6.2004E+001; 3.3000E+001; 2.1978E+001;
 3.4000E+001; 2.4006E+002; 3.4000E+001; 1.8522E+002; 3.4000E+001; 1.4316E+002; 3.4000E+001; 1.0948E+002; 3.4000E+001; 8.3405E+001; 3.4000E+001; 6.3791E+001; 3.4000E+001; 2.2272E+001;
 3.5000E+001; 2.4259E+002; 3.5000E+001; 1.8781E+002; 3.5000E+001; 1.4572E+002; 3.5000E+001; 1.1187E+002; 3.5000E+001; 8.5518E+001; 3.5000E+001; 6.5572E+001; 3.5000E+001; 2.2585E+001;
 3.6000E+001; 2.4506E+002; 3.6000E+001; 1.9034E+002; 3.6000E+001; 1.4824E+002; 3.6000E+001; 1.1422E+002; 3.6000E+001; 8.7608E+001; 3.6000E+001; 6.7345E+001; 3.6000E+001; 2.2916E+001;
 3.7000E+001; 2.4748E+002; 3.7000E+001; 1.9281E+002; 3.7000E+001; 1.5070E+002; 3.7000E+001; 1.1654E+002; 3.7000E+001; 8.9674E+001; 3.7000E+001; 6.9110E+001; 3.7000E+001; 2.3266E+001;
