Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 2.4000E+001; 2.0643E+002; 2.4000E+001; 1.5321E+002; 2.4000E+001; 1.1298E+002; 2.4000E+001; 8.2910E+001; 2.4000E+001; 6.1184E+001; 2.4000E+001; 4.6008E+001; 2.4000E+001; 2.0170E+001;
 2.5000E+001; 2.1017E+002; 2.5000E+001; 1.5672E+002; 2.5000E+001; 1.1619E+002; 2.5000E+001; 8.5676E+001; 2.5000E+001; 6.3449E+001; 2.5000E+001; 4.7774E+001; 2.5000E+001; 2.0310E+001;
 2.6000E+001; 2.1379E+002; 2.6000E+001; 1.6015E+002; 2.6000E+001; 1.1935E+002; 2.6000E+001; 8.8411E+001; 2.6000E+001; 6.5705E+001; 2.6000E+001; 4.9549E+001; 2.6000E+001; 2.0468E+001;
 2.7000E+001; 2.1731E+002; 2.7000E+001; 1.6348E+002; 2.7000E+001; 1.2245E+002; 2.7000E+001; 9.1114E+001; 2.7000E+001; 6.7951E+001; 2.7000E+001; 5.1331E+001; 2.7000E+001; 2.0643E+001;
 2.8000E+001; 2.2071E+002; 2.8000E+001; 1.6673E+002; 2.8000E+001; 1.2550E+002; 2.8000E+001; 9.3785E+001; 2.8000E+001; 7.0185E+001; 2.8000E+001; 5.3118E+001; 2.8000E+001; 2.0836E+001;
 2.9000E+001; 2.2400E+002; 2.9000E+001; 1.6988E+002; 2.9000E+001; 1.2849E+002; 2.9000E+001; 9.6424E+001; 2.9000E+001; 7.2406E+001; 2.9000E+001; 5.4909E+001; 2.9000E+001; 2.1048E+001;
 3.0000E+001; 2.2716E+002; 3.0000E+001; 1.7295E+002; 3.0000E+001; 1.3142E+002; 3.0000E+001; 9.9029E+001; 3.0000E+001; 7.4613E+001; 3.0000E+001; 5.6702E+001; 3.0000E+001; 2.1278E+001;
 3.1000E+001; 2.3019E+002; 3.1000E+001; 1.7593E+002; 3.1000E+001; 1.3429E+002; 3.1000E+001; 1.0160E+002; 3.1000E+001; 7.6806E+001; 3.1000E+001; 5.8495E+001; 3.1000E+001; 2.1528E+001;
 3.2000E+001; 2.3311E+002; 3.2000E+001; 1.7882E+002; 3.2000E+001; 1.3710E+002; 3.2000E+001; 1.0414E+002; 3.2000E+001; 7.8983E+001; 3.2000E+001; 6.0287E+001; 3.2000E+001; 2.1796E+001;
 3.3000E+001; 2.3593E+002; 3.3000E+001; 1.8164E+002; 3.3000E+001; 1.3986E+002; 3.3000E+001; 1.0664E+002; 3.3000E+001; 8.1143E+001; 3.3000E+001; 6.2077E+001; 3.3000E+001; 2.2084E+001;
 3.4000E+001; 2.3866E+002; 3.4000E+001; 1.8438E+002; 3.4000E+001; 1.4255E+002; 3.4000E+001; 1.0911E+002; 3.4000E+001; 8.3285E+001; 3.4000E+001; 6.3864E+001; 3.4000E+001; 2.2391E+001;
 3.5000E+001; 2.4131E+002; 3.5000E+001; 1.8705E+002; 3.5000E+001; 1.4519E+002; 3.5000E+001; 1.1154E+002; 3.5000E+001; 8.5409E+001; 3.5000E+001; 6.5646E+001; 3.5000E+001; 2.2716E+001;
