Time(min)   ;PG_00mm(MPa);Time(min)   ;PG_10mm(MPa);Time(min)   ;PG_20mm(MPa);Time(min)   ;PG_30mm(MPa);Time(min)   ;PG_40mm(MPa);Time(min)   ;PG_50mm(MPa);Time(min)   ;PG_120mm(MPa;
 0.0000E+000; 1.0132E-001; 0.0000E+000; 9.8760E-002; 0.0000E+000; 9.6934E-002; 0.0000E+000; 9.5667E-002; 0.0000E+000; 9.4837E-002; 0.0000E+000; 9.4368E-002; 0.0000E+000; 1.0132E-001;
 1.0000E+000; 1.0132E-001; 1.0000E+000; 8.7027E-002; 1.0000E+000; 9.6604E-002; 1.0000E+000; 9.5656E-002; 1.0000E+000; 9.4836E-002; 1.0000E+000; 9.4368E-002; 1.0000E+000; 1.0132E-001;
 2.0000E+000; 1.0132E-001; 2.0000E+000; 8.0116E-002; 2.0000E+000; 9.4590E-002; 2.0000E+000; 9.5531E-002; 2.0000E+000; 9.4828E-002; 2.0000E+000; 9.4367E-002; 2.0000E+000; 1.0132E-001;
 3.0000E+000; 1.0132E-001; 3.0000E+000; 9.4746E-002; 3.0000E+000; 8.6383E-002; 3.0000E+000; 9.5052E-002; 3.0000E+000; 9.4763E-002; 3.0000E+000; 9.4360E-002; 3.0000E+000; 1.0132E-001;
 4.0000E+000; 1.0132E-001; 4.0000E+000; 1.1312E-001; 4.0000E+000; 7.7969E-002; 4.0000E+000; 9.2975E-002; 4.0000E+000; 9.4569E-002; 4.0000E+000; 9.4326E-002; 4.0000E+000; 1.0132E-001;
 5.0000E+000; 1.0132E-001; 5.0000E+000; 1.3190E-001; 5.0000E+000; 7.3078E-002; 5.0000E+000; 8.7733E-002; 5.0000E+000; 9.4060E-002; 5.0000E+000; 9.4239E-002; 5.0000E+000; 1.0132E-001;
 6.0000E+000; 1.0132E-001; 6.0000E+000; 1.5120E-001; 6.0000E+000; 7.1362E-002; 6.0000E+000; 7.9315E-002; 6.0000E+000; 9.2744E-002; 6.0000E+000; 9.4060E-002; 6.0000E+000; 1.0132E-001;
 7.0000E+000; 1.0132E-001; 7.0000E+000; 1.7150E-001; 7.0000E+000; 7.1973E-002; 7.0000E+000; 6.9689E-002; 7.0000E+000; 8.9766E-002; 7.0000E+000; 9.3697E-002; 7.0000E+000; 1.0132E-001;
 8.0000E+000; 1.0132E-001; 8.0000E+000; 1.9323E-001; 8.0000E+000; 7.4344E-002; 8.0000E+000; 6.1247E-002; 8.0000E+000; 8.4126E-002; 8.0000E+000; 9.2949E-002; 8.0000E+000; 1.0132E-001;
 9.0000E+000; 1.0132E-001; 9.0000E+000; 2.1690E-001; 9.0000E+000; 7.8156E-002; 9.0000E+000; 5.5119E-002; 9.0000E+000; 7.5442E-002; 9.0000E+000; 9.1412E-002; 9.0000E+000; 1.0132E-001;
 1.0000E+001; 1.0132E-001; 1.0000E+001; 2.4328E-001; 1.0000E+001; 8.3313E-002; 1.0000E+001; 5.1309E-002; 1.0000E+001; 6.4930E-002; 1.0000E+001; 8.8393E-002; 1.0000E+001; 1.0132E-001;
