Time(min)   ;PG_00mm(MPa);Time(min)   ;PG_10mm(MPa);Time(min)   ;PG_20mm(MPa);Time(min)   ;PG_30mm(MPa);Time(min)   ;PG_40mm(MPa);Time(min)   ;PG_50mm(MPa);Time(min)   ;PG_120mm(MPa;
 0.0000E+000; 1.0132E-001; 0.0000E+000; 9.8917E-002; 0.0000E+000; 9.7205E-002; 0.0000E+000; 9.6015E-002; 0.0000E+000; 9.5236E-002; 0.0000E+000; 9.4796E-002; 0.0000E+000; 1.0132E-001;
 1.0000E+000; 1.0132E-001; 1.0000E+000; 8.7477E-002; 1.0000E+000; 9.6884E-002; 1.0000E+000; 9.6004E-002; 1.0000E+000; 9.5235E-002; 1.0000E+000; 9.4796E-002; 1.0000E+000; 1.0132E-001;
 2.0000E+000; 1.0132E-001; 2.0000E+000; 8.1060E-002; 2.0000E+000; 9.4963E-002; 2.0000E+000; 9.5887E-002; 2.0000E+000; 9.5227E-002; 2.0000E+000; 9.4795E-002; 2.0000E+000; 1.0132E-001;
 3.0000E+000; 1.0132E-001; 3.0000E+000; 9.5606E-002; 3.0000E+000; 8.7144E-002; 3.0000E+000; 9.5428E-002; 3.0000E+000; 9.5167E-002; 3.0000E+000; 9.4788E-002; 3.0000E+000; 1.0132E-001;
 4.0000E+000; 1.0132E-001; 4.0000E+000; 1.1398E-001; 4.0000E+000; 7.8914E-002; 4.0000E+000; 9.3450E-002; 4.0000E+000; 9.4982E-002; 4.0000E+000; 9.4756E-002; 4.0000E+000; 1.0132E-001;
 5.0000E+000; 1.0132E-001; 5.0000E+000; 1.3299E-001; 5.0000E+000; 7.3978E-002; 5.0000E+000; 8.8470E-002; 5.0000E+000; 9.4492E-002; 5.0000E+000; 9.4674E-002; 5.0000E+000; 1.0132E-001;
 6.0000E+000; 1.0132E-001; 6.0000E+000; 1.5272E-001; 6.0000E+000; 7.2210E-002; 6.0000E+000; 8.0388E-002; 6.0000E+000; 9.3234E-002; 6.0000E+000; 9.4502E-002; 6.0000E+000; 1.0132E-001;
 7.0000E+000; 1.0132E-001; 7.0000E+000; 1.7363E-001; 7.0000E+000; 7.2840E-002; 7.0000E+000; 7.0971E-002; 7.0000E+000; 9.0416E-002; 7.0000E+000; 9.4152E-002; 7.0000E+000; 1.0132E-001;
 8.0000E+000; 1.0132E-001; 8.0000E+000; 1.9614E-001; 8.0000E+000; 7.5312E-002; 8.0000E+000; 6.2559E-002; 8.0000E+000; 8.5104E-002; 8.0000E+000; 9.3433E-002; 8.0000E+000; 1.0132E-001;
 9.0000E+000; 1.0132E-001; 9.0000E+000; 2.2081E-001; 9.0000E+000; 7.9306E-002; 9.0000E+000; 5.6383E-002; 9.0000E+000; 7.6874E-002; 9.0000E+000; 9.1974E-002; 9.0000E+000; 1.0132E-001;
 1.0000E+001; 1.0132E-001; 1.0000E+001; 2.4841E-001; 1.0000E+001; 8.4731E-002; 1.0000E+001; 5.2533E-002; 1.0000E+001; 6.6728E-002; 1.0000E+001; 8.9152E-002; 1.0000E+001; 1.0132E-001;
 1.1000E+001; 1.0132E-001; 1.1000E+001; 2.7940E-001; 1.1000E+001; 9.1611E-002; 1.1000E+001; 5.0669E-002; 1.1000E+001; 5.6869E-002; 1.1000E+001; 8.4134E-002; 1.1000E+001; 1.0132E-001;
 1.2000E+001; 1.0132E-001; 1.2000E+001; 3.1420E-001; 1.2000E+001; 1.0000E-001; 1.2000E+001; 5.0405E-002; 1.2000E+001; 4.9008E-002; 1.2000E+001; 7.6313E-002; 1.2000E+001; 1.0132E-001;
 1.3000E+001; 1.0132E-001; 1.3000E+001; 3.5347E-001; 1.3000E+001; 1.1002E-001; 1.3000E+001; 5.1441E-002; 1.3000E+001; 4.3540E-002; 1.3000E+001; 6.6229E-002; 1.3000E+001; 1.0132E-001;
 1.4000E+001; 1.0132E-001; 1.4000E+001; 3.9770E-001; 1.4000E+001; 1.2187E-001; 1.4000E+001; 5.3610E-002; 1.4000E+001; 4.0142E-002; 1.4000E+001; 5.5846E-002; 1.4000E+001; 1.0132E-001;
 1.5000E+001; 1.0132E-001; 1.5000E+001; 4.4717E-001; 1.5000E+001; 1.3573E-001; 1.5000E+001; 5.6821E-002; 1.5000E+001; 3.8345E-002; 1.5000E+001; 4.7122E-002; 1.5000E+001; 1.0132E-001;
 1.6000E+001; 1.0132E-001; 1.6000E+001; 5.0220E-001; 1.6000E+001; 1.5180E-001; 1.6000E+001; 6.1036E-002; 1.6000E+001; 3.7762E-002; 1.6000E+001; 4.0740E-002; 1.6000E+001; 1.0132E-001;
 1.7000E+001; 1.0132E-001; 1.7000E+001; 5.6306E-001; 1.7000E+001; 1.7037E-001; 1.7000E+001; 6.6271E-002; 1.7000E+001; 3.8130E-002; 1.7000E+001; 3.6463E-002; 1.7000E+001; 1.0132E-001;
 1.8000E+001; 1.0132E-001; 1.8000E+001; 6.2969E-001; 1.8000E+001; 1.9190E-001; 1.8000E+001; 7.2609E-002; 1.8000E+001; 3.9297E-002; 1.8000E+001; 3.3808E-002; 1.8000E+001; 1.0132E-001;
 1.9000E+001; 1.0132E-001; 1.9000E+001; 7.0239E-001; 1.9000E+001; 2.1681E-001; 1.9000E+001; 8.0169E-002; 1.9000E+001; 4.1186E-002; 1.9000E+001; 3.2357E-002; 1.9000E+001; 1.0132E-001;
 2.0000E+001; 1.0132E-001; 2.0000E+001; 7.8117E-001; 2.0000E+001; 2.4562E-001; 2.0000E+001; 8.9094E-002; 2.0000E+001; 4.3769E-002; 2.0000E+001; 3.1816E-002; 2.0000E+001; 1.0132E-001;
 2.1000E+001; 1.0132E-001; 2.1000E+001; 8.6579E-001; 2.1000E+001; 2.7897E-001; 2.1000E+001; 9.9578E-002; 2.1000E+001; 4.7055E-002; 2.1000E+001; 3.1993E-002; 2.1000E+001; 1.0132E-001;
 2.2000E+001; 1.0132E-001; 2.2000E+001; 9.5572E-001; 2.2000E+001; 3.1762E-001; 2.2000E+001; 1.1187E-001; 2.2000E+001; 5.1086E-002; 2.2000E+001; 3.2776E-002; 2.2000E+001; 1.0132E-001;
 2.3000E+001; 1.0132E-001; 2.3000E+001; 1.0499E+000; 2.3000E+001; 3.6243E-001; 2.3000E+001; 1.2633E-001; 2.3000E+001; 5.5943E-002; 2.3000E+001; 3.4107E-002; 2.3000E+001; 1.0132E-001;
 2.4000E+001; 1.0132E-001; 2.4000E+001; 1.1468E+000; 2.4000E+001; 4.1393E-001; 2.4000E+001; 1.4333E-001; 2.4000E+001; 6.1731E-002; 2.4000E+001; 3.5966E-002; 2.4000E+001; 1.0132E-001;
 2.5000E+001; 1.0132E-001; 2.5000E+001; 1.2441E+000; 2.5000E+001; 4.7228E-001; 2.5000E+001; 1.6326E-001; 2.5000E+001; 6.8564E-002; 2.5000E+001; 3.8354E-002; 2.5000E+001; 1.0132E-001;
 2.6000E+001; 1.0132E-001; 2.6000E+001; 1.3386E+000; 2.6000E+001; 5.3681E-001; 2.6000E+001; 1.8649E-001; 2.6000E+001; 7.6568E-002; 2.6000E+001; 4.1285E-002; 2.6000E+001; 1.0132E-001;
 2.7000E+001; 1.0132E-001; 2.7000E+001; 1.4269E+000; 2.7000E+001; 6.0567E-001; 2.7000E+001; 2.1334E-001; 2.7000E+001; 8.5869E-002; 2.7000E+001; 4.4781E-002; 2.7000E+001; 1.0132E-001;
 2.8000E+001; 1.0132E-001; 2.8000E+001; 1.5068E+000; 2.8000E+001; 6.7558E-001; 2.8000E+001; 2.4414E-001; 2.8000E+001; 9.6611E-002; 2.8000E+001; 4.8871E-002; 2.8000E+001; 1.0132E-001;
 2.9000E+001; 1.0132E-001; 2.9000E+001; 1.5774E+000; 2.9000E+001; 7.4375E-001; 2.9000E+001; 2.7868E-001; 2.9000E+001; 1.0891E-001; 2.9000E+001; 5.3590E-002; 2.9000E+001; 1.0132E-001;
 3.0000E+001; 1.0132E-001; 3.0000E+001; 1.6396E+000; 3.0000E+001; 8.0798E-001; 3.0000E+001; 3.1640E-001; 3.0000E+001; 1.2281E-001; 3.0000E+001; 5.8958E-002; 3.0000E+001; 1.0132E-001;
 3.1000E+001; 1.0132E-001; 3.1000E+001; 1.6946E+000; 3.1000E+001; 8.6709E-001; 3.1000E+001; 3.5647E-001; 3.1000E+001; 1.3831E-001; 3.1000E+001; 6.4988E-002; 3.1000E+001; 1.0132E-001;
 3.2000E+001; 1.0132E-001; 3.2000E+001; 1.7439E+000; 3.2000E+001; 9.2083E-001; 3.2000E+001; 3.9785E-001; 3.2000E+001; 1.5535E-001; 3.2000E+001; 7.1685E-002; 3.2000E+001; 1.0132E-001;
 3.3000E+001; 1.0132E-001; 3.3000E+001; 1.7885E+000; 3.3000E+001; 9.6949E-001; 3.3000E+001; 4.3956E-001; 3.3000E+001; 1.7383E-001; 3.3000E+001; 7.9049E-002; 3.3000E+001; 1.0132E-001;
 3.4000E+001; 1.0132E-001; 3.4000E+001; 1.8294E+000; 3.4000E+001; 1.0135E+000; 3.4000E+001; 4.8072E-001; 3.4000E+001; 1.9374E-001; 3.4000E+001; 8.7095E-002; 3.4000E+001; 1.0132E-001;
 3.5000E+001; 1.0132E-001; 3.5000E+001; 1.8670E+000; 3.5000E+001; 1.0535E+000; 3.5000E+001; 5.2056E-001; 3.5000E+001; 2.1483E-001; 3.5000E+001; 9.5826E-002; 3.5000E+001; 1.0132E-001;
 3.6000E+001; 1.0132E-001; 3.6000E+001; 1.9016E+000; 3.6000E+001; 1.0905E+000; 3.6000E+001; 5.5866E-001; 3.6000E+001; 2.3685E-001; 3.6000E+001; 1.0522E-001; 3.6000E+001; 1.0132E-001;
 3.7000E+001; 1.0132E-001; 3.7000E+001; 1.9328E+000; 3.7000E+001; 1.1251E+000; 3.7000E+001; 5.9487E-001; 3.7000E+001; 2.5952E-001; 3.7000E+001; 1.1525E-001; 3.7000E+001; 1.0132E-001;
 3.8000E+001; 1.0132E-001; 3.8000E+001; 1.9603E+000; 3.8000E+001; 1.1579E+000; 3.8000E+001; 6.2923E-001; 3.8000E+001; 2.8256E-001; 3.8000E+001; 1.2587E-001; 3.8000E+001; 1.0132E-001;
 3.9000E+001; 1.0132E-001; 3.9000E+001; 1.9830E+000; 3.9000E+001; 1.1895E+000; 3.9000E+001; 6.6179E-001; 3.9000E+001; 3.0582E-001; 3.9000E+001; 1.3702E-001; 3.9000E+001; 1.0132E-001;
 4.0000E+001; 1.0132E-001; 4.0000E+001; 1.9998E+000; 4.0000E+001; 1.2204E+000; 4.0000E+001; 6.9249E-001; 4.0000E+001; 3.2938E-001; 4.0000E+001; 1.4872E-001; 4.0000E+001; 1.0132E-001;
 4.1000E+001; 1.0132E-001; 4.1000E+001; 2.0095E+000; 4.1000E+001; 1.2507E+000; 4.1000E+001; 7.2182E-001; 4.1000E+001; 3.5296E-001; 4.1000E+001; 1.6092E-001; 4.1000E+001; 1.0132E-001;
 4.2000E+001; 1.0132E-001; 4.2000E+001; 2.0112E+000; 4.2000E+001; 1.2808E+000; 4.2000E+001; 7.5007E-001; 4.2000E+001; 3.7643E-001; 4.2000E+001; 1.7359E-001; 4.2000E+001; 1.0132E-001;
 4.3000E+001; 1.0132E-001; 4.3000E+001; 2.0049E+000; 4.3000E+001; 1.3109E+000; 4.3000E+001; 7.7745E-001; 4.3000E+001; 3.9971E-001; 4.3000E+001; 1.8666E-001; 4.3000E+001; 1.0132E-001;
 4.4000E+001; 1.0132E-001; 4.4000E+001; 1.9914E+000; 4.4000E+001; 1.3409E+000; 4.4000E+001; 8.0409E-001; 4.4000E+001; 4.2276E-001; 4.4000E+001; 2.0009E-001; 4.4000E+001; 1.0132E-001;
 4.5000E+001; 1.0132E-001; 4.5000E+001; 1.9722E+000; 4.5000E+001; 1.3709E+000; 4.5000E+001; 8.3005E-001; 4.5000E+001; 4.4555E-001; 4.5000E+001; 2.1384E-001; 4.5000E+001; 1.0132E-001;
 4.6000E+001; 1.0132E-001; 4.6000E+001; 1.9490E+000; 4.6000E+001; 1.4009E+000; 4.6000E+001; 8.5529E-001; 4.6000E+001; 4.6808E-001; 4.6000E+001; 2.2789E-001; 4.6000E+001; 1.0132E-001;
 4.7000E+001; 1.0132E-001; 4.7000E+001; 1.9232E+000; 4.7000E+001; 1.4308E+000; 4.7000E+001; 8.7973E-001; 4.7000E+001; 4.9026E-001; 4.7000E+001; 2.4228E-001; 4.7000E+001; 1.0132E-001;
 4.8000E+001; 1.0132E-001; 4.8000E+001; 1.8960E+000; 4.8000E+001; 1.4607E+000; 4.8000E+001; 9.0342E-001; 4.8000E+001; 5.1202E-001; 4.8000E+001; 2.5693E-001; 4.8000E+001; 1.0132E-001;
