Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 0.0000E+000; 2.0013E+001; 0.0000E+000; 2.0013E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0013E+001;
 1.0000E+000; 6.3397E+001; 1.0000E+000; 2.6007E+001; 1.0000E+000; 2.0248E+001; 1.0000E+000; 2.0014E+001; 1.0000E+000; 2.0014E+001; 1.0000E+000; 2.0014E+001; 1.0000E+000; 1.9347E+001;
 2.0000E+000; 8.0768E+001; 2.0000E+000; 3.6962E+001; 2.0000E+000; 2.3010E+001; 2.0000E+000; 2.0346E+001; 2.0000E+000; 2.0038E+001; 2.0000E+000; 2.0016E+001; 2.0000E+000; 1.9244E+001;
 3.0000E+000; 9.3078E+001; 3.0000E+000; 4.6965E+001; 3.0000E+000; 2.7371E+001; 3.0000E+000; 2.1485E+001; 3.0000E+000; 2.0231E+001; 3.0000E+000; 2.0039E+001; 3.0000E+000; 1.9227E+001;
 4.0000E+000; 1.0278E+002; 4.0000E+000; 5.5750E+001; 4.0000E+000; 3.2335E+001; 4.0000E+000; 2.3373E+001; 4.0000E+000; 2.0735E+001; 4.0000E+000; 2.0137E+001; 4.0000E+000; 1.9244E+001;
 5.0000E+000; 1.1110E+002; 5.0000E+000; 6.3530E+001; 5.0000E+000; 3.7425E+001; 5.0000E+000; 2.5790E+001; 5.0000E+000; 2.1590E+001; 5.0000E+000; 2.0368E+001; 5.0000E+000; 1.9276E+001;
 6.0000E+000; 1.1859E+002; 6.0000E+000; 7.0561E+001; 6.0000E+000; 4.2442E+001; 6.0000E+000; 2.8541E+001; 6.0000E+000; 2.2766E+001; 6.0000E+000; 2.0766E+001; 6.0000E+000; 1.9312E+001;
 7.0000E+000; 1.2554E+002; 7.0000E+000; 7.7041E+001; 7.0000E+000; 4.7321E+001; 7.0000E+000; 3.1493E+001; 7.0000E+000; 2.4209E+001; 7.0000E+000; 2.1340E+001; 7.0000E+000; 1.9350E+001;
 8.0000E+000; 1.3210E+002; 8.0000E+000; 8.3105E+001; 8.0000E+000; 5.2048E+001; 8.0000E+000; 3.4556E+001; 8.0000E+000; 2.5862E+001; 8.0000E+000; 2.2083E+001; 8.0000E+000; 1.9386E+001;
 9.0000E+000; 1.3833E+002; 9.0000E+000; 8.8843E+001; 9.0000E+000; 5.6630E+001; 9.0000E+000; 3.7680E+001; 9.0000E+000; 2.7678E+001; 9.0000E+000; 2.2981E+001; 9.0000E+000; 1.9419E+001;
 1.0000E+001; 1.4431E+002; 1.0000E+001; 9.4313E+001; 1.0000E+001; 6.1078E+001; 1.0000E+001; 4.0831E+001; 1.0000E+001; 2.9618E+001; 1.0000E+001; 2.4016E+001; 1.0000E+001; 1.9450E+001;
 1.1000E+001; 1.5005E+002; 1.1000E+001; 9.9561E+001; 1.1000E+001; 6.5404E+001; 1.1000E+001; 4.3988E+001; 1.1000E+001; 3.1653E+001; 1.1000E+001; 2.5169E+001; 1.1000E+001; 1.9479E+001;
