Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0016E+001; 0.0000E+000; 2.0014E+001;
 1.0000E+000; 6.3078E+001; 1.0000E+000; 2.6155E+001; 1.0000E+000; 2.0274E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 2.0016E+001; 1.0000E+000; 1.9328E+001;
 2.0000E+000; 8.0293E+001; 2.0000E+000; 3.7105E+001; 2.0000E+000; 2.3121E+001; 2.0000E+000; 2.0373E+001; 2.0000E+000; 2.0043E+001; 2.0000E+000; 2.0017E+001; 2.0000E+000; 1.9201E+001;
 3.0000E+000; 9.2529E+001; 3.0000E+000; 4.7094E+001; 3.0000E+000; 2.7545E+001; 3.0000E+000; 2.1561E+001; 3.0000E+000; 2.0251E+001; 3.0000E+000; 2.0043E+001; 3.0000E+000; 1.9164E+001;
 4.0000E+000; 1.0209E+002; 4.0000E+000; 5.5855E+001; 4.0000E+000; 3.2552E+001; 4.0000E+000; 2.3502E+001; 4.0000E+000; 2.0783E+001; 4.0000E+000; 2.0151E+001; 4.0000E+000; 1.9167E+001;
 5.0000E+000; 1.1018E+002; 5.0000E+000; 6.3579E+001; 5.0000E+000; 3.7665E+001; 5.0000E+000; 2.5969E+001; 5.0000E+000; 2.1674E+001; 5.0000E+000; 2.0398E+001; 5.0000E+000; 1.9189E+001;
 6.0000E+000; 1.1742E+002; 6.0000E+000; 7.0521E+001; 6.0000E+000; 4.2686E+001; 6.0000E+000; 2.8762E+001; 6.0000E+000; 2.2890E+001; 6.0000E+000; 2.0818E+001; 6.0000E+000; 1.9219E+001;
 7.0000E+000; 1.2413E+002; 7.0000E+000; 7.6887E+001; 7.0000E+000; 4.7547E+001; 7.0000E+000; 3.1743E+001; 7.0000E+000; 2.4371E+001; 7.0000E+000; 2.1418E+001; 7.0000E+000; 1.9252E+001;
 8.0000E+000; 1.3044E+002; 8.0000E+000; 8.2824E+001; 8.0000E+000; 5.2239E+001; 8.0000E+000; 3.4825E+001; 8.0000E+000; 2.6059E+001; 8.0000E+000; 2.2190E+001; 8.0000E+000; 1.9286E+001;
 9.0000E+000; 1.3646E+002; 9.0000E+000; 8.8428E+001; 9.0000E+000; 5.6772E+001; 9.0000E+000; 3.7955E+001; 9.0000E+000; 2.7905E+001; 9.0000E+000; 2.3118E+001; 9.0000E+000; 1.9320E+001;
 1.0000E+001; 1.4224E+002; 1.0000E+001; 9.3764E+001; 1.0000E+001; 6.1161E+001; 1.0000E+001; 4.1101E+001; 1.0000E+001; 2.9869E+001; 1.0000E+001; 2.4181E+001; 1.0000E+001; 1.9352E+001;
 1.1000E+001; 1.4782E+002; 1.1000E+001; 9.8882E+001; 1.1000E+001; 6.5421E+001; 1.1000E+001; 4.4246E+001; 1.1000E+001; 3.1921E+001; 1.1000E+001; 2.5361E+001; 1.1000E+001; 1.9383E+001;
 1.2000E+001; 1.5322E+002; 1.2000E+001; 1.0382E+002; 1.2000E+001; 6.9568E+001; 1.2000E+001; 4.7378E+001; 1.2000E+001; 3.4038E+001; 1.2000E+001; 2.6640E+001; 1.2000E+001; 1.9414E+001;
 1.3000E+001; 1.5846E+002; 1.3000E+001; 1.0860E+002; 1.3000E+001; 7.3613E+001; 1.3000E+001; 5.0491E+001; 1.3000E+001; 3.6205E+001; 1.3000E+001; 2.8002E+001; 1.3000E+001; 1.9444E+001;
 1.4000E+001; 1.6355E+002; 1.4000E+001; 1.1324E+002; 1.4000E+001; 7.7567E+001; 1.4000E+001; 5.3581E+001; 1.4000E+001; 3.8409E+001; 1.4000E+001; 2.9434E+001; 1.4000E+001; 1.9476E+001;
 1.5000E+001; 1.6850E+002; 1.5000E+001; 1.1775E+002; 1.5000E+001; 8.1437E+001; 1.5000E+001; 5.6646E+001; 1.5000E+001; 4.0641E+001; 1.5000E+001; 3.0925E+001; 1.5000E+001; 1.9510E+001;
 1.6000E+001; 1.7330E+002; 1.6000E+001; 1.2214E+002; 1.6000E+001; 8.5229E+001; 1.6000E+001; 5.9684E+001; 1.6000E+001; 4.2894E+001; 1.6000E+001; 3.2467E+001; 1.6000E+001; 1.9548E+001;
