Time(min)   ;PC_10mm(MPa);Time(min)   ;PC_20mm(MPa);Time(min)   ;PC_30mm(MPa);Time(min)   ;PC_40mm(MPa);Time(min)   ;PC_50mm(MPa);
 0.0000E+000; 9.8569E+001; 0.0000E+000; 1.0218E+002; 0.0000E+000; 1.0527E+002; 0.0000E+000; 1.0763E+002; 0.0000E+000; 1.0912E+002;
 5.0000E+000; 9.8623E+001; 5.0000E+000; 9.8936E+001; 5.0000E+000; 1.0405E+002; 5.0000E+000; 1.0729E+002; 5.0000E+000; 1.0904E+002;
 1.0000E+001; 7.8148E+001; 1.0000E+001; 9.2540E+001; 1.0000E+001; 1.0041E+002; 1.0000E+001; 1.0540E+002; 1.0000E+001; 1.0823E+002;
 1.5000E+001; 6.4940E+001; 1.5000E+001; 8.7235E+001; 1.5000E+001; 9.6710E+001; 1.5000E+001; 1.0272E+002; 1.5000E+001; 1.0651E+002;
 2.0000E+001; 5.4173E+001; 2.0000E+001; 8.2480E+001; 2.0000E+001; 9.3112E+001; 2.0000E+001; 1.0002E+002; 2.0000E+001; 1.0449E+002;
 2.5000E+001; 4.4743E+001; 2.5000E+001; 7.7581E+001; 2.5000E+001; 8.9536E+001; 2.5000E+001; 9.7323E+001; 2.5000E+001; 1.0246E+002;
 3.0000E+001; 4.4761E+001; 3.0000E+001; 7.3300E+001; 3.0000E+001; 8.5751E+001; 3.0000E+001; 9.4563E+001; 3.0000E+001; 1.0039E+002;
 3.5000E+001; 5.7414E+001; 3.5000E+001; 6.9349E+001; 3.5000E+001; 8.1855E+001; 3.5000E+001; 9.1599E+001; 3.5000E+001; 9.8230E+001;
 4.0000E+001; 9.3521E+001; 4.0000E+001; 6.5432E+001; 4.0000E+001; 7.8025E+001; 4.0000E+001; 8.8606E+001; 4.0000E+001; 9.5940E+001;
 4.5000E+001; 1.5448E+002; 4.5000E+001; 6.0496E+001; 4.5000E+001; 7.4385E+001; 4.5000E+001; 8.5632E+001; 4.5000E+001; 9.3556E+001;
