Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 2.4000E+001; 1.0133E+002; 2.4000E+001; 7.6888E+001; 2.4000E+001; 5.9145E+001; 2.4000E+001; 4.6077E+001; 2.4000E+001; 3.6718E+001; 2.4000E+001; 3.0201E+001; 2.4000E+001; 1.5391E+001;
 2.5000E+001; 1.0348E+002; 2.5000E+001; 7.8730E+001; 2.5000E+001; 6.0694E+001; 2.5000E+001; 4.7336E+001; 2.5000E+001; 3.7700E+001; 2.5000E+001; 3.0929E+001; 2.5000E+001; 1.5410E+001;
 2.6000E+001; 1.0561E+002; 2.6000E+001; 8.0563E+001; 2.6000E+001; 6.2239E+001; 2.6000E+001; 4.8597E+001; 2.6000E+001; 3.8689E+001; 2.6000E+001; 3.1669E+001; 2.6000E+001; 1.5437E+001;
 2.7000E+001; 1.0773E+002; 2.7000E+001; 8.2386E+001; 2.7000E+001; 6.3780E+001; 2.7000E+001; 4.9860E+001; 2.7000E+001; 3.9684E+001; 2.7000E+001; 3.2418E+001; 2.7000E+001; 1.5472E+001;
 2.8000E+001; 1.0983E+002; 2.8000E+001; 8.4199E+001; 2.8000E+001; 6.5317E+001; 2.8000E+001; 5.1123E+001; 2.8000E+001; 4.0684E+001; 2.8000E+001; 3.3176E+001; 2.8000E+001; 1.5515E+001;
 2.9000E+001; 1.1191E+002; 2.9000E+001; 8.6002E+001; 2.9000E+001; 6.6849E+001; 2.9000E+001; 5.2387E+001; 2.9000E+001; 4.1690E+001; 2.9000E+001; 3.3944E+001; 2.9000E+001; 1.5566E+001;
 3.0000E+001; 1.1397E+002; 3.0000E+001; 8.7794E+001; 3.0000E+001; 6.8376E+001; 3.0000E+001; 5.3651E+001; 3.0000E+001; 4.2701E+001; 3.0000E+001; 3.4721E+001; 3.0000E+001; 1.5625E+001;
 3.1000E+001; 1.1602E+002; 3.1000E+001; 8.9574E+001; 3.1000E+001; 6.9898E+001; 3.1000E+001; 5.4916E+001; 3.1000E+001; 4.3716E+001; 3.1000E+001; 3.5506E+001; 3.1000E+001; 1.5693E+001;
 3.2000E+001; 1.1804E+002; 3.2000E+001; 9.1343E+001; 3.2000E+001; 7.1415E+001; 3.2000E+001; 5.6180E+001; 3.2000E+001; 4.4736E+001; 3.2000E+001; 3.6298E+001; 3.2000E+001; 1.5768E+001;
 3.3000E+001; 1.2005E+002; 3.3000E+001; 9.3101E+001; 3.3000E+001; 7.2926E+001; 3.3000E+001; 5.7444E+001; 3.3000E+001; 4.5760E+001; 3.3000E+001; 3.7099E+001; 3.3000E+001; 1.5851E+001;
