Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 0.0000E+000; 2.0013E+001; 0.0000E+000; 2.0013E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0013E+001;
 5.0000E+000; 1.1155E+002; 5.0000E+000; 6.3435E+001; 5.0000E+000; 3.7313E+001; 5.0000E+000; 2.5725E+001; 5.0000E+000; 2.1564E+001; 5.0000E+000; 2.0360E+001; 5.0000E+000; 1.9296E+001;
 1.0000E+001; 1.4635E+002; 1.0000E+001; 9.4938E+001; 1.0000E+001; 6.1194E+001; 1.0000E+001; 4.0779E+001; 1.0000E+001; 2.9544E+001; 1.0000E+001; 2.3964E+001; 1.0000E+001; 1.9464E+001;
 1.5000E+001; 1.7398E+002; 1.5000E+001; 1.2017E+002; 1.5000E+001; 8.2283E+001; 1.5000E+001; 5.6680E+001; 1.5000E+001; 4.0368E+001; 1.5000E+001; 3.0609E+001; 1.5000E+001; 1.9593E+001;
 2.0000E+001; 1.9673E+002; 2.0000E+001; 1.4154E+002; 2.0000E+001; 1.0114E+002; 2.0000E+001; 7.2019E+001; 2.0000E+001; 5.1956E+001; 2.0000E+001; 3.8744E+001; 2.0000E+001; 1.9812E+001;
 2.5000E+001; 2.1534E+002; 2.5000E+001; 1.5971E+002; 2.5000E+001; 1.1798E+002; 2.5000E+001; 8.6453E+001; 2.5000E+001; 6.3564E+001; 2.5000E+001; 4.7544E+001; 2.5000E+001; 2.0293E+001;
 3.0000E+001; 2.3058E+002; 3.0000E+001; 1.7521E+002; 3.0000E+001; 1.3292E+002; 3.0000E+001; 9.9825E+001; 3.0000E+001; 7.4837E+001; 3.0000E+001; 5.6556E+001; 3.0000E+001; 2.1169E+001;
 3.5000E+001; 2.4370E+002; 3.5000E+001; 1.8870E+002; 3.5000E+001; 1.4622E+002; 3.5000E+001; 1.1211E+002; 3.5000E+001; 8.5582E+001; 3.5000E+001; 6.5508E+001; 3.5000E+001; 2.2503E+001;
 4.0000E+001; 2.5534E+002; 4.0000E+001; 2.0076E+002; 4.0000E+001; 1.5819E+002; 4.0000E+001; 1.2342E+002; 4.0000E+001; 9.5738E+001; 4.0000E+001; 7.4242E+001; 4.0000E+001; 2.4302E+001;
 4.5000E+001; 2.6581E+002; 4.5000E+001; 2.1181E+002; 4.5000E+001; 1.6906E+002; 4.5000E+001; 1.3388E+002; 4.5000E+001; 1.0532E+002; 4.5000E+001; 8.2690E+001; 4.5000E+001; 2.6538E+001;
 5.0000E+001; 2.7532E+002; 5.0000E+001; 2.2198E+002; 5.0000E+001; 1.7901E+002; 5.0000E+001; 1.4361E+002; 5.0000E+001; 1.1439E+002; 5.0000E+001; 9.0833E+001; 5.0000E+001; 2.9165E+001;
 5.5000E+001; 2.8403E+002; 5.5000E+001; 2.3136E+002; 5.5000E+001; 1.8819E+002; 5.5000E+001; 1.5270E+002; 5.5000E+001; 1.2297E+002; 5.5000E+001; 9.8676E+001; 5.5000E+001; 3.2124E+001;
 6.0000E+001; 2.9207E+002; 6.0000E+001; 2.4007E+002; 6.0000E+001; 1.9674E+002; 6.0000E+001; 1.6121E+002; 6.0000E+001; 1.3113E+002; 6.0000E+001; 1.0623E+002; 6.0000E+001; 3.5360E+001;
 6.5000E+001; 2.9957E+002; 6.5000E+001; 2.4820E+002; 6.5000E+001; 2.0480E+002; 6.5000E+001; 1.6923E+002; 6.5000E+001; 1.3889E+002; 6.5000E+001; 1.1352E+002; 6.5000E+001; 3.8819E+001;
 7.0000E+001; 3.0660E+002; 7.0000E+001; 2.5581E+002; 7.0000E+001; 2.1247E+002; 7.0000E+001; 1.7679E+002; 7.0000E+001; 1.4630E+002; 7.0000E+001; 1.2055E+002; 7.0000E+001; 4.2456E+001;
 7.5000E+001; 3.1322E+002; 7.5000E+001; 2.6299E+002; 7.5000E+001; 2.1981E+002; 7.5000E+001; 1.8396E+002; 7.5000E+001; 1.5339E+002; 7.5000E+001; 1.2735E+002; 7.5000E+001; 4.6233E+001;
 8.0000E+001; 3.1949E+002; 8.0000E+001; 2.6979E+002; 8.0000E+001; 2.2681E+002; 8.0000E+001; 1.9079E+002; 8.0000E+001; 1.6020E+002; 8.0000E+001; 1.3393E+002; 8.0000E+001; 5.0118E+001;
 8.5000E+001; 3.2547E+002; 8.5000E+001; 2.7627E+002; 8.5000E+001; 2.3352E+002; 8.5000E+001; 1.9735E+002; 8.5000E+001; 1.6674E+002; 8.5000E+001; 1.4031E+002; 8.5000E+001; 5.4085E+001;
 9.0000E+001; 3.3118E+002; 9.0000E+001; 2.8246E+002; 9.0000E+001; 2.3995E+002; 9.0000E+001; 2.0368E+002; 9.0000E+001; 1.7305E+002; 9.0000E+001; 1.4650E+002; 9.0000E+001; 5.8113E+001;
