Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 2.4000E+001; 2.0594E+002; 2.4000E+001; 1.5749E+002; 2.4000E+001; 1.1990E+002; 2.4000E+001; 9.0581E+001; 2.4000E+001; 6.8466E+001; 2.4000E+001; 5.2292E+001; 2.4000E+001; 2.0953E+001;
 2.5000E+001; 2.0938E+002; 2.5000E+001; 1.6088E+002; 2.5000E+001; 1.2314E+002; 2.5000E+001; 9.3484E+001; 2.5000E+001; 7.0940E+001; 2.5000E+001; 5.4308E+001; 2.5000E+001; 2.1213E+001;
 2.6000E+001; 2.1268E+002; 2.6000E+001; 1.6416E+002; 2.6000E+001; 1.2630E+002; 2.6000E+001; 9.6339E+001; 2.6000E+001; 7.3392E+001; 2.6000E+001; 5.6323E+001; 2.6000E+001; 2.1498E+001;
 2.7000E+001; 2.1586E+002; 2.7000E+001; 1.6735E+002; 2.7000E+001; 1.2939E+002; 2.7000E+001; 9.9147E+001; 2.7000E+001; 7.5821E+001; 2.7000E+001; 5.8336E+001; 2.7000E+001; 2.1810E+001;
 2.8000E+001; 2.1892E+002; 2.8000E+001; 1.7044E+002; 2.8000E+001; 1.3240E+002; 2.8000E+001; 1.0191E+002; 2.8000E+001; 7.8227E+001; 2.8000E+001; 6.0345E+001; 2.8000E+001; 2.2148E+001;
 2.9000E+001; 2.2188E+002; 2.9000E+001; 1.7344E+002; 2.9000E+001; 1.3535E+002; 2.9000E+001; 1.0462E+002; 2.9000E+001; 8.0607E+001; 2.9000E+001; 6.2348E+001; 2.9000E+001; 2.2513E+001;
 3.0000E+001; 2.2475E+002; 3.0000E+001; 1.7636E+002; 3.0000E+001; 1.3822E+002; 3.0000E+001; 1.0728E+002; 3.0000E+001; 8.2962E+001; 3.0000E+001; 6.4343E+001; 3.0000E+001; 2.2904E+001;
 3.1000E+001; 2.2753E+002; 3.1000E+001; 1.7920E+002; 3.1000E+001; 1.4102E+002; 3.1000E+001; 1.0990E+002; 3.1000E+001; 8.5290E+001; 3.1000E+001; 6.6330E+001; 3.1000E+001; 2.3321E+001;
 3.2000E+001; 2.3024E+002; 3.2000E+001; 1.8197E+002; 3.2000E+001; 1.4376E+002; 3.2000E+001; 1.1247E+002; 3.2000E+001; 8.7590E+001; 3.2000E+001; 6.8306E+001; 3.2000E+001; 2.3765E+001;
 3.3000E+001; 2.3287E+002; 3.3000E+001; 1.8466E+002; 3.3000E+001; 1.4644E+002; 3.3000E+001; 1.1500E+002; 3.3000E+001; 8.9863E+001; 3.3000E+001; 7.0271E+001; 3.3000E+001; 2.4233E+001;
