Time(min)   ;PG_00mm(MPa);Time(min)   ;PG_10mm(MPa);Time(min)   ;PG_20mm(MPa);Time(min)   ;PG_30mm(MPa);Time(min)   ;PG_40mm(MPa);Time(min)   ;PG_50mm(MPa);Time(min)   ;PG_120mm(MPa;
 0.0000E+000; 1.0132E-001; 0.0000E+000; 9.9966E-002; 0.0000E+000; 9.8871E-002; 0.0000E+000; 9.8029E-002; 0.0000E+000; 9.7433E-002; 0.0000E+000; 9.7079E-002; 0.0000E+000; 1.0132E-001;
 1.0000E+000; 1.0132E-001; 1.0000E+000; 8.9995E-002; 1.0000E+000; 9.8666E-002; 1.0000E+000; 9.8018E-002; 1.0000E+000; 9.7432E-002; 1.0000E+000; 9.7079E-002; 1.0000E+000; 1.0132E-001;
 2.0000E+000; 1.0132E-001; 2.0000E+000; 8.6447E-002; 2.0000E+000; 9.6252E-002; 2.0000E+000; 9.7903E-002; 2.0000E+000; 9.7421E-002; 2.0000E+000; 9.7078E-002; 2.0000E+000; 1.0132E-001;
 3.0000E+000; 1.0132E-001; 3.0000E+000; 1.0192E-001; 3.0000E+000; 8.8887E-002; 3.0000E+000; 9.7277E-002; 3.0000E+000; 9.7353E-002; 3.0000E+000; 9.7067E-002; 3.0000E+000; 1.0132E-001;
 4.0000E+000; 1.0132E-001; 4.0000E+000; 1.2139E-001; 4.0000E+000; 8.2665E-002; 4.0000E+000; 9.4727E-002; 4.0000E+000; 9.7126E-002; 4.0000E+000; 9.7028E-002; 4.0000E+000; 1.0132E-001;
 5.0000E+000; 1.0132E-001; 5.0000E+000; 1.4193E-001; 5.0000E+000; 8.0159E-002; 5.0000E+000; 8.9308E-002; 5.0000E+000; 9.6433E-002; 5.0000E+000; 9.6930E-002; 5.0000E+000; 1.0132E-001;
 6.0000E+000; 1.0132E-001; 6.0000E+000; 1.6369E-001; 6.0000E+000; 8.0778E-002; 6.0000E+000; 8.1830E-002; 6.0000E+000; 9.4672E-002; 6.0000E+000; 9.6703E-002; 6.0000E+000; 1.0132E-001;
 7.0000E+000; 1.0132E-001; 7.0000E+000; 1.8708E-001; 7.0000E+000; 8.3742E-002; 7.0000E+000; 7.4273E-002; 7.0000E+000; 9.1104E-002; 7.0000E+000; 9.6194E-002; 7.0000E+000; 1.0132E-001;
 8.0000E+000; 1.0132E-001; 8.0000E+000; 2.1259E-001; 8.0000E+000; 8.8583E-002; 8.0000E+000; 6.8280E-002; 8.0000E+000; 8.5246E-002; 8.0000E+000; 9.5121E-002; 8.0000E+000; 1.0132E-001;
 9.0000E+000; 1.0132E-001; 9.0000E+000; 2.4075E-001; 9.0000E+000; 9.5086E-002; 9.0000E+000; 6.4445E-002; 9.0000E+000; 7.7444E-002; 9.0000E+000; 9.3041E-002; 9.0000E+000; 1.0132E-001;
 1.0000E+001; 1.0132E-001; 1.0000E+001; 2.7236E-001; 1.0000E+001; 1.0325E-001; 1.0000E+001; 6.2684E-002; 1.0000E+001; 6.9044E-002; 1.0000E+001; 8.9389E-002; 1.0000E+001; 1.0132E-001;
 1.1000E+001; 1.0132E-001; 1.1000E+001; 3.0782E-001; 1.1000E+001; 1.1317E-001; 1.1000E+001; 6.2726E-002; 1.1000E+001; 6.1616E-002; 1.1000E+001; 8.3706E-002; 1.1000E+001; 1.0132E-001;
 1.2000E+001; 1.0132E-001; 1.2000E+001; 3.4751E-001; 1.2000E+001; 1.2495E-001; 1.2000E+001; 6.4313E-002; 1.2000E+001; 5.6038E-002; 1.2000E+001; 7.6090E-002; 1.2000E+001; 1.0132E-001;
 1.3000E+001; 1.0132E-001; 1.3000E+001; 3.9204E-001; 1.3000E+001; 1.3881E-001; 1.3000E+001; 6.7266E-002; 1.3000E+001; 5.2424E-002; 1.3000E+001; 6.7539E-002; 1.3000E+001; 1.0132E-001;
 1.4000E+001; 1.0132E-001; 1.4000E+001; 4.4174E-001; 1.4000E+001; 1.5502E-001; 1.4000E+001; 7.1514E-002; 1.4000E+001; 5.0534E-002; 1.4000E+001; 5.9517E-002; 1.4000E+001; 1.0132E-001;
 1.5000E+001; 1.0132E-001; 1.5000E+001; 4.9676E-001; 1.5000E+001; 1.7383E-001; 1.5000E+001; 7.7040E-002; 1.5000E+001; 5.0074E-002; 1.5000E+001; 5.3052E-002; 1.5000E+001; 1.0132E-001;
 1.6000E+001; 1.0132E-001; 1.6000E+001; 5.5726E-001; 1.6000E+001; 1.9552E-001; 1.6000E+001; 8.3876E-002; 1.6000E+001; 5.0801E-002; 1.6000E+001; 4.8423E-002; 1.6000E+001; 1.0132E-001;
