Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0014E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0015E+001; 0.0000E+000; 2.0014E+001;
 1.0000E+000; 6.2041E+001; 1.0000E+000; 2.7573E+001; 1.0000E+000; 2.0581E+001; 1.0000E+000; 2.0028E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 2.0015E+001; 1.0000E+000; 1.9389E+001;
 2.0000E+000; 7.8821E+001; 2.0000E+000; 3.9153E+001; 2.0000E+000; 2.4369E+001; 2.0000E+000; 2.0707E+001; 2.0000E+000; 2.0095E+001; 2.0000E+000; 2.0022E+001; 2.0000E+000; 1.9281E+001;
 3.0000E+000; 9.0872E+001; 3.0000E+000; 4.9370E+001; 3.0000E+000; 2.9589E+001; 3.0000E+000; 2.2461E+001; 3.0000E+000; 2.0507E+001; 3.0000E+000; 2.0095E+001; 3.0000E+000; 1.9254E+001;
 4.0000E+000; 1.0049E+002; 4.0000E+000; 5.8235E+001; 4.0000E+000; 3.5189E+001; 4.0000E+000; 2.5019E+001; 4.0000E+000; 2.1382E+001; 4.0000E+000; 2.0326E+001; 4.0000E+000; 1.9262E+001;
 5.0000E+000; 1.0880E+002; 5.0000E+000; 6.6065E+001; 5.0000E+000; 4.0751E+001; 5.0000E+000; 2.8065E+001; 5.0000E+000; 2.2694E+001; 5.0000E+000; 2.0779E+001; 5.0000E+000; 1.9285E+001;
 6.0000E+000; 1.1632E+002; 6.0000E+000; 7.3150E+001; 6.0000E+000; 4.6139E+001; 6.0000E+000; 3.1378E+001; 6.0000E+000; 2.4358E+001; 6.0000E+000; 2.1470E+001; 6.0000E+000; 1.9314E+001;
 7.0000E+000; 1.2332E+002; 7.0000E+000; 7.9695E+001; 7.0000E+000; 5.1325E+001; 7.0000E+000; 3.4826E+001; 7.0000E+000; 2.6289E+001; 7.0000E+000; 2.2384E+001; 7.0000E+000; 1.9346E+001;
 8.0000E+000; 1.2993E+002; 8.0000E+000; 8.5832E+001; 8.0000E+000; 5.6319E+001; 8.0000E+000; 3.8332E+001; 8.0000E+000; 2.8414E+001; 8.0000E+000; 2.3495E+001; 8.0000E+000; 1.9377E+001;
 9.0000E+000; 1.3621E+002; 9.0000E+000; 9.1649E+001; 9.0000E+000; 6.1140E+001; 9.0000E+000; 4.1855E+001; 9.0000E+000; 3.0679E+001; 9.0000E+000; 2.4773E+001; 9.0000E+000; 1.9408E+001;
 1.0000E+001; 1.4223E+002; 1.0000E+001; 9.7202E+001; 1.0000E+001; 6.5809E+001; 1.0000E+001; 4.5371E+001; 1.0000E+001; 3.3045E+001; 1.0000E+001; 2.6192E+001; 1.0000E+001; 1.9439E+001;
 1.1000E+001; 1.4800E+002; 1.1000E+001; 1.0253E+002; 1.1000E+001; 7.0341E+001; 1.1000E+001; 4.8865E+001; 1.1000E+001; 3.5483E+001; 1.1000E+001; 2.7727E+001; 1.1000E+001; 1.9472E+001;
 1.2000E+001; 1.5356E+002; 1.2000E+001; 1.0767E+002; 1.2000E+001; 7.4750E+001; 1.2000E+001; 5.2331E+001; 1.2000E+001; 3.7972E+001; 1.2000E+001; 2.9358E+001; 1.2000E+001; 1.9507E+001;
 1.3000E+001; 1.5891E+002; 1.3000E+001; 1.1262E+002; 1.3000E+001; 7.9047E+001; 1.3000E+001; 5.5763E+001; 1.3000E+001; 4.0498E+001; 1.3000E+001; 3.1067E+001; 1.3000E+001; 1.9547E+001;
 1.4000E+001; 1.6408E+002; 1.4000E+001; 1.1742E+002; 1.4000E+001; 8.3239E+001; 1.4000E+001; 5.9159E+001; 1.4000E+001; 4.3048E+001; 1.4000E+001; 3.2841E+001; 1.4000E+001; 1.9594E+001;
 1.5000E+001; 1.6906E+002; 1.5000E+001; 1.2207E+002; 1.5000E+001; 8.7332E+001; 1.5000E+001; 6.2517E+001; 1.5000E+001; 4.5615E+001; 1.5000E+001; 3.4668E+001; 1.5000E+001; 1.9652E+001;
 1.6000E+001; 1.7387E+002; 1.6000E+001; 1.2658E+002; 1.6000E+001; 9.1333E+001; 1.6000E+001; 6.5835E+001; 1.6000E+001; 4.8192E+001; 1.6000E+001; 3.6540E+001; 1.6000E+001; 1.9721E+001;
 1.7000E+001; 1.7852E+002; 1.7000E+001; 1.3095E+002; 1.7000E+001; 9.5243E+001; 1.7000E+001; 6.9111E+001; 1.7000E+001; 5.0772E+001; 1.7000E+001; 3.8449E+001; 1.7000E+001; 1.9805E+001;
 1.8000E+001; 1.8301E+002; 1.8000E+001; 1.3519E+002; 1.8000E+001; 9.9067E+001; 1.8000E+001; 7.2346E+001; 1.8000E+001; 5.3351E+001; 1.8000E+001; 4.0387E+001; 1.8000E+001; 1.9906E+001;
