JOURS       ;MICRON/METER;
 0.0000E+000; 0.0000E+000;
 1.0000E+000;-1.0495E+001;
 2.0000E+000;-2.2322E+001;
 3.0000E+000;-3.1998E+001;
 4.0000E+000;-3.9570E+001;
 5.0000E+000;-4.5538E+001;
 6.0000E+000;-5.0332E+001;
 7.0000E+000;-5.4261E+001;
 8.0000E+000;-5.7541E+001;
 9.0000E+000;-6.0321E+001;
 1.0000E+001;-6.2712E+001;
 1.1000E+001;-6.4791E+001;
 1.2000E+001;-6.6618E+001;
 1.3000E+001;-6.8238E+001;
 1.4000E+001;-6.9684E+001;
 1.5000E+001;-7.0986E+001;
 1.6000E+001;-7.2163E+001;
 1.7000E+001;-7.3234E+001;
 1.8000E+001;-7.4214E+001;
 1.9000E+001;-7.5113E+001;
 2.0000E+001;-7.5941E+001;
 2.1000E+001;-7.6708E+001;
 2.2000E+001;-7.7419E+001;
 2.3000E+001;-7.8081E+001;
 2.4000E+001;-7.8700E+001;
 2.5000E+001;-7.9278E+001;
 2.6000E+001;-7.9821E+001;
 2.7000E+001;-8.0331E+001;
 2.8000E+001;-8.0812E+001;
 2.9000E+001;-8.1265E+001;
 3.0000E+001;-8.1694E+001;
 3.1000E+001;-8.2100E+001;
 3.2000E+001;-8.2486E+001;
 3.3000E+001;-8.2852E+001;
 3.4000E+001;-8.3200E+001;
 3.5000E+001;-8.3532E+001;
 3.6000E+001;-8.3848E+001;
 3.7000E+001;-8.4150E+001;
 3.8000E+001;-8.4439E+001;
 3.9000E+001;-8.4715E+001;
 4.0000E+001;-8.4980E+001;
 4.1000E+001;-8.5234E+001;
 4.2000E+001;-8.5478E+001;
 4.3000E+001;-8.5712E+001;
 4.4000E+001;-8.5937E+001;
 4.5000E+001;-8.6153E+001;
 4.6000E+001;-8.6361E+001;
 4.7000E+001;-8.6562E+001;
 4.8000E+001;-8.6756E+001;
 4.9000E+001;-8.6943E+001;
 5.0000E+001;-8.7123E+001;
 5.1000E+001;-8.7297E+001;
 5.2000E+001;-8.7466E+001;
 5.3000E+001;-8.7629E+001;
 5.4000E+001;-8.7786E+001;
 5.5000E+001;-8.7939E+001;
 5.6000E+001;-8.8087E+001;
 5.7000E+001;-8.8230E+001;
 5.8000E+001;-8.8369E+001;
 5.9000E+001;-8.8504E+001;
 6.0000E+001;-8.8635E+001;
 6.1000E+001;-8.8762E+001;
 6.2000E+001;-8.8886E+001;
 6.3000E+001;-8.9006E+001;
 6.4000E+001;-8.9122E+001;
 6.5000E+001;-8.9236E+001;
 6.6000E+001;-8.9346E+001;
 6.7000E+001;-8.9453E+001;
 6.8000E+001;-8.9558E+001;
 6.9000E+001;-8.9660E+001;
 7.0000E+001;-8.9759E+001;
 7.1000E+001;-8.9856E+001;
 7.2000E+001;-8.9950E+001;
 7.3000E+001;-9.0042E+001;
 7.4000E+001;-9.0132E+001;
 7.5000E+001;-9.0219E+001;
 7.6000E+001;-9.0304E+001;
 7.7000E+001;-9.0388E+001;
 7.8000E+001;-9.0469E+001;
 7.9000E+001;-9.0549E+001;
 8.0000E+001;-9.0626E+001;
 8.1000E+001;-9.0702E+001;
 8.2000E+001;-9.0776E+001;
 8.3000E+001;-9.0849E+001;
 8.4000E+001;-9.0920E+001;
 8.5000E+001;-9.0989E+001;
 8.6000E+001;-9.1057E+001;
 8.7000E+001;-9.1123E+001;
 8.8000E+001;-9.1188E+001;
 8.9000E+001;-9.1252E+001;
 9.0000E+001;-9.1314E+001;
 9.1000E+001;-9.1375E+001;
 9.2000E+001;-9.1435E+001;
 9.3000E+001;-9.1493E+001;
 9.4000E+001;-9.1551E+001;
 9.5000E+001;-9.1607E+001;
 9.6000E+001;-9.1662E+001;
 9.7000E+001;-9.1716E+001;
 9.8000E+001;-9.1769E+001;
 9.9000E+001;-9.1821E+001;
 1.0000E+002;-9.1871E+001;
 1.0100E+002;-9.1921E+001;
 1.0200E+002;-9.1970E+001;
 1.0300E+002;-9.2018E+001;
 1.0400E+002;-9.2065E+001;
 1.0500E+002;-9.2112E+001;
 1.0600E+002;-9.2157E+001;
 1.0700E+002;-9.2202E+001;
 1.0800E+002;-9.2245E+001;
 1.0900E+002;-9.2288E+001;
 1.1000E+002;-9.2331E+001;
 1.1100E+002;-9.2372E+001;
 1.1200E+002;-9.2413E+001;
 1.1300E+002;-9.2453E+001;
 1.1400E+002;-9.2492E+001;
 1.1500E+002;-9.2531E+001;
 1.1600E+002;-9.2568E+001;
 1.1700E+002;-9.2606E+001;
 1.1800E+002;-9.2642E+001;
 1.1900E+002;-9.2678E+001;
 1.2000E+002;-9.2714E+001;
