JOURS       ;MICRON/METER;
 0.0000E+000; 0.0000E+000;
 1.0000E+000;-7.5207E+000;
 2.0000E+000;-1.7530E+001;
 3.0000E+000;-2.6233E+001;
 4.0000E+000;-3.3328E+001;
 5.0000E+000;-3.9098E+001;
 6.0000E+000;-4.3849E+001;
 7.0000E+000;-4.7821E+001;
 8.0000E+000;-5.1193E+001;
 9.0000E+000;-5.4093E+001;
 1.0000E+001;-5.6616E+001;
 1.1000E+001;-5.8834E+001;
 1.2000E+001;-6.0802E+001;
 1.3000E+001;-6.2560E+001;
 1.4000E+001;-6.4143E+001;
 1.5000E+001;-6.5576E+001;
 1.6000E+001;-6.6881E+001;
 1.7000E+001;-6.8074E+001;
 1.8000E+001;-6.9171E+001;
 1.9000E+001;-7.0183E+001;
 2.0000E+001;-7.1119E+001;
 2.1000E+001;-7.1989E+001;
 2.2000E+001;-7.2800E+001;
 2.3000E+001;-7.3557E+001;
 2.4000E+001;-7.4267E+001;
 2.5000E+001;-7.4933E+001;
 2.6000E+001;-7.5560E+001;
 2.7000E+001;-7.6151E+001;
 2.8000E+001;-7.6709E+001;
 2.9000E+001;-7.7237E+001;
 3.0000E+001;-7.7738E+001;
 3.1000E+001;-7.8213E+001;
 3.2000E+001;-7.8666E+001;
 3.3000E+001;-7.9096E+001;
 3.4000E+001;-7.9506E+001;
 3.5000E+001;-7.9898E+001;
 3.6000E+001;-8.0273E+001;
 3.7000E+001;-8.0631E+001;
 3.8000E+001;-8.0974E+001;
 3.9000E+001;-8.1303E+001;
 4.0000E+001;-8.1619E+001;
 4.1000E+001;-8.1922E+001;
 4.2000E+001;-8.2214E+001;
 4.3000E+001;-8.2494E+001;
 4.4000E+001;-8.2764E+001;
 4.5000E+001;-8.3025E+001;
 4.6000E+001;-8.3276E+001;
 4.7000E+001;-8.3518E+001;
 4.8000E+001;-8.3752E+001;
 4.9000E+001;-8.3978E+001;
 5.0000E+001;-8.4197E+001;
 5.1000E+001;-8.4409E+001;
 5.2000E+001;-8.4613E+001;
 5.3000E+001;-8.4812E+001;
 5.4000E+001;-8.5004E+001;
 5.5000E+001;-8.5191E+001;
 5.6000E+001;-8.5371E+001;
 5.7000E+001;-8.5547E+001;
 5.8000E+001;-8.5717E+001;
 5.9000E+001;-8.5883E+001;
 6.0000E+001;-8.6044E+001;
 6.1000E+001;-8.6201E+001;
 6.2000E+001;-8.6353E+001;
 6.3000E+001;-8.6501E+001;
 6.4000E+001;-8.6645E+001;
 6.5000E+001;-8.6786E+001;
 6.6000E+001;-8.6922E+001;
 6.7000E+001;-8.7056E+001;
 6.8000E+001;-8.7186E+001;
 6.9000E+001;-8.7312E+001;
 7.0000E+001;-8.7436E+001;
 7.1000E+001;-8.7557E+001;
 7.2000E+001;-8.7674E+001;
 7.3000E+001;-8.7789E+001;
 7.4000E+001;-8.7901E+001;
 7.5000E+001;-8.8011E+001;
 7.6000E+001;-8.8118E+001;
 7.7000E+001;-8.8223E+001;
 7.8000E+001;-8.8325E+001;
 7.9000E+001;-8.8426E+001;
 8.0000E+001;-8.8524E+001;
 8.1000E+001;-8.8619E+001;
 8.2000E+001;-8.8713E+001;
 8.3000E+001;-8.8805E+001;
 8.4000E+001;-8.8895E+001;
 8.5000E+001;-8.8983E+001;
 8.6000E+001;-8.9069E+001;
 8.7000E+001;-8.9154E+001;
 8.8000E+001;-8.9236E+001;
 8.9000E+001;-8.9317E+001;
 9.0000E+001;-8.9397E+001;
 9.1000E+001;-8.9475E+001;
 9.2000E+001;-8.9551E+001;
 9.3000E+001;-8.9626E+001;
 9.4000E+001;-8.9700E+001;
 9.5000E+001;-8.9772E+001;
 9.6000E+001;-8.9843E+001;
 9.7000E+001;-8.9912E+001;
 9.8000E+001;-8.9980E+001;
 9.9000E+001;-9.0047E+001;
 1.0000E+002;-9.0113E+001;
 1.0100E+002;-9.0178E+001;
 1.0200E+002;-9.0241E+001;
 1.0300E+002;-9.0304E+001;
 1.0400E+002;-9.0365E+001;
 1.0500E+002;-9.0425E+001;
 1.0600E+002;-9.0484E+001;
 1.0700E+002;-9.0542E+001;
 1.0800E+002;-9.0599E+001;
 1.0900E+002;-9.0655E+001;
 1.1000E+002;-9.0711E+001;
 1.1100E+002;-9.0765E+001;
 1.1200E+002;-9.0818E+001;
 1.1300E+002;-9.0871E+001;
 1.1400E+002;-9.0923E+001;
 1.1500E+002;-9.0974E+001;
 1.1600E+002;-9.1024E+001;
 1.1700E+002;-9.1073E+001;
 1.1800E+002;-9.1121E+001;
 1.1900E+002;-9.1169E+001;
 1.2000E+002;-9.1216E+001;
