JOURS       ;MICRON/METER;
 0.0000E+000; 0.0000E+000;
 1.0000E+000;-8.5504E+000;
 2.0000E+000;-1.9224E+001;
 3.0000E+000;-2.8299E+001;
 4.0000E+000;-3.5584E+001;
 5.0000E+000;-4.1441E+001;
 6.0000E+000;-4.6219E+001;
 7.0000E+000;-5.0186E+001;
 8.0000E+000;-5.3533E+001;
 9.0000E+000;-5.6396E+001;
 1.0000E+001;-5.8877E+001;
 1.1000E+001;-6.1050E+001;
 1.2000E+001;-6.2970E+001;
 1.3000E+001;-6.4682E+001;
 1.4000E+001;-6.6218E+001;
 1.5000E+001;-6.7605E+001;
 1.6000E+001;-6.8866E+001;
 1.7000E+001;-7.0016E+001;
 1.8000E+001;-7.1072E+001;
 1.9000E+001;-7.2044E+001;
 2.0000E+001;-7.2942E+001;
 2.1000E+001;-7.3775E+001;
 2.2000E+001;-7.4550E+001;
 2.3000E+001;-7.5274E+001;
 2.4000E+001;-7.5950E+001;
 2.5000E+001;-7.6585E+001;
 2.6000E+001;-7.7181E+001;
 2.7000E+001;-7.7743E+001;
 2.8000E+001;-7.8273E+001;
 2.9000E+001;-7.8774E+001;
 3.0000E+001;-7.9249E+001;
 3.1000E+001;-7.9699E+001;
 3.2000E+001;-8.0127E+001;
 3.3000E+001;-8.0534E+001;
 3.4000E+001;-8.0922E+001;
 3.5000E+001;-8.1291E+001;
 3.6000E+001;-8.1645E+001;
 3.7000E+001;-8.1982E+001;
 3.8000E+001;-8.2306E+001;
 3.9000E+001;-8.2615E+001;
 4.0000E+001;-8.2912E+001;
 4.1000E+001;-8.3197E+001;
 4.2000E+001;-8.3471E+001;
 4.3000E+001;-8.3735E+001;
 4.4000E+001;-8.3988E+001;
 4.5000E+001;-8.4232E+001;
 4.6000E+001;-8.4468E+001;
 4.7000E+001;-8.4695E+001;
 4.8000E+001;-8.4914E+001;
 4.9000E+001;-8.5125E+001;
 5.0000E+001;-8.5330E+001;
 5.1000E+001;-8.5528E+001;
 5.2000E+001;-8.5719E+001;
 5.3000E+001;-8.5904E+001;
 5.4000E+001;-8.6084E+001;
 5.5000E+001;-8.6258E+001;
 5.6000E+001;-8.6426E+001;
 5.7000E+001;-8.6590E+001;
 5.8000E+001;-8.6749E+001;
 5.9000E+001;-8.6903E+001;
 6.0000E+001;-8.7053E+001;
 6.1000E+001;-8.7198E+001;
 6.2000E+001;-8.7340E+001;
 6.3000E+001;-8.7478E+001;
 6.4000E+001;-8.7611E+001;
 6.5000E+001;-8.7742E+001;
 6.6000E+001;-8.7869E+001;
 6.7000E+001;-8.7993E+001;
 6.8000E+001;-8.8113E+001;
 6.9000E+001;-8.8231E+001;
 7.0000E+001;-8.8345E+001;
 7.1000E+001;-8.8457E+001;
 7.2000E+001;-8.8566E+001;
 7.3000E+001;-8.8672E+001;
 7.4000E+001;-8.8776E+001;
 7.5000E+001;-8.8877E+001;
 7.6000E+001;-8.8977E+001;
 7.7000E+001;-8.9073E+001;
 7.8000E+001;-8.9168E+001;
 7.9000E+001;-8.9260E+001;
 8.0000E+001;-8.9351E+001;
 8.1000E+001;-8.9439E+001;
 8.2000E+001;-8.9526E+001;
 8.3000E+001;-8.9610E+001;
 8.4000E+001;-8.9693E+001;
 8.5000E+001;-8.9774E+001;
 8.6000E+001;-8.9854E+001;
 8.7000E+001;-8.9931E+001;
 8.8000E+001;-9.0007E+001;
 8.9000E+001;-9.0082E+001;
 9.0000E+001;-9.0155E+001;
 9.1000E+001;-9.0227E+001;
 9.2000E+001;-9.0297E+001;
 9.3000E+001;-9.0366E+001;
 9.4000E+001;-9.0433E+001;
 9.5000E+001;-9.0499E+001;
 9.6000E+001;-9.0564E+001;
 9.7000E+001;-9.0628E+001;
 9.8000E+001;-9.0691E+001;
 9.9000E+001;-9.0752E+001;
 1.0000E+002;-9.0812E+001;
 1.0100E+002;-9.0871E+001;
 1.0200E+002;-9.0929E+001;
 1.0300E+002;-9.0986E+001;
 1.0400E+002;-9.1042E+001;
 1.0500E+002;-9.1097E+001;
 1.0600E+002;-9.1151E+001;
 1.0700E+002;-9.1204E+001;
 1.0800E+002;-9.1256E+001;
 1.0900E+002;-9.1308E+001;
 1.1000E+002;-9.1358E+001;
 1.1100E+002;-9.1408E+001;
 1.1200E+002;-9.1456E+001;
 1.1300E+002;-9.1504E+001;
 1.1400E+002;-9.1551E+001;
 1.1500E+002;-9.1598E+001;
 1.1600E+002;-9.1643E+001;
 1.1700E+002;-9.1688E+001;
 1.1800E+002;-9.1732E+001;
 1.1900E+002;-9.1775E+001;
 1.2000E+002;-9.1818E+001;
