JOURS       ;MICRON/METER;
 0.0000E+000; 0.0000E+000;
 1.0000E+000;-6.4832E+000;
 2.0000E+000;-1.5690E+001;
 3.0000E+000;-2.3961E+001;
 4.0000E+000;-3.0851E+001;
 5.0000E+000;-3.6540E+001;
 6.0000E+000;-4.1277E+001;
 7.0000E+000;-4.5272E+001;
 8.0000E+000;-4.8684E+001;
 9.0000E+000;-5.1635E+001;
 1.0000E+001;-5.4214E+001;
 1.1000E+001;-5.6490E+001;
 1.2000E+001;-5.8515E+001;
 1.3000E+001;-6.0330E+001;
 1.4000E+001;-6.1967E+001;
 1.5000E+001;-6.3453E+001;
 1.6000E+001;-6.4808E+001;
 1.7000E+001;-6.6051E+001;
 1.8000E+001;-6.7194E+001;
 1.9000E+001;-6.8250E+001;
 2.0000E+001;-6.9230E+001;
 2.1000E+001;-7.0140E+001;
 2.2000E+001;-7.0990E+001;
 2.3000E+001;-7.1785E+001;
 2.4000E+001;-7.2530E+001;
 2.5000E+001;-7.3230E+001;
 2.6000E+001;-7.3890E+001;
 2.7000E+001;-7.4512E+001;
 2.8000E+001;-7.5101E+001;
 2.9000E+001;-7.5658E+001;
 3.0000E+001;-7.6187E+001;
 3.1000E+001;-7.6689E+001;
 3.2000E+001;-7.7167E+001;
 3.3000E+001;-7.7623E+001;
 3.4000E+001;-7.8057E+001;
 3.5000E+001;-7.8473E+001;
 3.6000E+001;-7.8870E+001;
 3.7000E+001;-7.9250E+001;
 3.8000E+001;-7.9614E+001;
 3.9000E+001;-7.9963E+001;
 4.0000E+001;-8.0299E+001;
 4.1000E+001;-8.0621E+001;
 4.2000E+001;-8.0931E+001;
 4.3000E+001;-8.1230E+001;
 4.4000E+001;-8.1517E+001;
 4.5000E+001;-8.1795E+001;
 4.6000E+001;-8.2062E+001;
 4.7000E+001;-8.2321E+001;
 4.8000E+001;-8.2570E+001;
 4.9000E+001;-8.2812E+001;
 5.0000E+001;-8.3045E+001;
 5.1000E+001;-8.3271E+001;
 5.2000E+001;-8.3490E+001;
 5.3000E+001;-8.3702E+001;
 5.4000E+001;-8.3908E+001;
 5.5000E+001;-8.4107E+001;
 5.6000E+001;-8.4301E+001;
 5.7000E+001;-8.4489E+001;
 5.8000E+001;-8.4672E+001;
 5.9000E+001;-8.4849E+001;
 6.0000E+001;-8.5022E+001;
 6.1000E+001;-8.5189E+001;
 6.2000E+001;-8.5353E+001;
 6.3000E+001;-8.5512E+001;
 6.4000E+001;-8.5666E+001;
 6.5000E+001;-8.5817E+001;
 6.6000E+001;-8.5964E+001;
 6.7000E+001;-8.6107E+001;
 6.8000E+001;-8.6247E+001;
 6.9000E+001;-8.6383E+001;
 7.0000E+001;-8.6516E+001;
 7.1000E+001;-8.6646E+001;
 7.2000E+001;-8.6773E+001;
 7.3000E+001;-8.6897E+001;
 7.4000E+001;-8.7018E+001;
 7.5000E+001;-8.7136E+001;
 7.6000E+001;-8.7251E+001;
 7.7000E+001;-8.7364E+001;
 7.8000E+001;-8.7475E+001;
 7.9000E+001;-8.7583E+001;
 8.0000E+001;-8.7689E+001;
 8.1000E+001;-8.7792E+001;
 8.2000E+001;-8.7893E+001;
 8.3000E+001;-8.7992E+001;
 8.4000E+001;-8.8090E+001;
 8.5000E+001;-8.8185E+001;
 8.6000E+001;-8.8278E+001;
 8.7000E+001;-8.8369E+001;
 8.8000E+001;-8.8459E+001;
 8.9000E+001;-8.8547E+001;
 9.0000E+001;-8.8633E+001;
 9.1000E+001;-8.8717E+001;
 9.2000E+001;-8.8800E+001;
 9.3000E+001;-8.8881E+001;
 9.4000E+001;-8.8961E+001;
 9.5000E+001;-8.9039E+001;
 9.6000E+001;-8.9116E+001;
 9.7000E+001;-8.9192E+001;
 9.8000E+001;-8.9266E+001;
 9.9000E+001;-8.9338E+001;
 1.0000E+002;-8.9410E+001;
 1.0100E+002;-8.9480E+001;
 1.0200E+002;-8.9549E+001;
 1.0300E+002;-8.9617E+001;
 1.0400E+002;-8.9683E+001;
 1.0500E+002;-8.9749E+001;
 1.0600E+002;-8.9813E+001;
 1.0700E+002;-8.9876E+001;
 1.0800E+002;-8.9939E+001;
 1.0900E+002;-9.0000E+001;
 1.1000E+002;-9.0060E+001;
 1.1100E+002;-9.0119E+001;
 1.1200E+002;-9.0178E+001;
 1.1300E+002;-9.0235E+001;
 1.1400E+002;-9.0291E+001;
 1.1500E+002;-9.0347E+001;
 1.1600E+002;-9.0401E+001;
 1.1700E+002;-9.0455E+001;
 1.1800E+002;-9.0508E+001;
 1.1900E+002;-9.0560E+001;
 1.2000E+002;-9.0612E+001;
