JOURS       ;MICRON/METER;
 0.0000E+000; 0.0000E+000;
 1.0000E+000;-1.0289E+001;
 2.0000E+000;-2.1978E+001;
 3.0000E+000;-3.1582E+001;
 4.0000E+000;-3.9121E+001;
 5.0000E+000;-4.5077E+001;
 6.0000E+000;-4.9872E+001;
 7.0000E+000;-5.3807E+001;
 8.0000E+000;-5.7097E+001;
 9.0000E+000;-5.9890E+001;
 1.0000E+001;-6.2293E+001;
 1.1000E+001;-6.4384E+001;
 1.2000E+001;-6.6224E+001;
 1.3000E+001;-6.7855E+001;
 1.4000E+001;-6.9313E+001;
 1.5000E+001;-7.0625E+001;
 1.6000E+001;-7.1813E+001;
 1.7000E+001;-7.2894E+001;
 1.8000E+001;-7.3883E+001;
 1.9000E+001;-7.4790E+001;
 2.0000E+001;-7.5627E+001;
 2.1000E+001;-7.6402E+001;
 2.2000E+001;-7.7121E+001;
 2.3000E+001;-7.7790E+001;
 2.4000E+001;-7.8415E+001;
 2.5000E+001;-7.9001E+001;
 2.6000E+001;-7.9550E+001;
 2.7000E+001;-8.0066E+001;
 2.8000E+001;-8.0552E+001;
 2.9000E+001;-8.1011E+001;
 3.0000E+001;-8.1445E+001;
 3.1000E+001;-8.1857E+001;
 3.2000E+001;-8.2247E+001;
 3.3000E+001;-8.2617E+001;
 3.4000E+001;-8.2970E+001;
 3.5000E+001;-8.3306E+001;
 3.6000E+001;-8.3627E+001;
 3.7000E+001;-8.3933E+001;
 3.8000E+001;-8.4226E+001;
 3.9000E+001;-8.4506E+001;
 4.0000E+001;-8.4774E+001;
 4.1000E+001;-8.5031E+001;
 4.2000E+001;-8.5278E+001;
 4.3000E+001;-8.5516E+001;
 4.4000E+001;-8.5744E+001;
 4.5000E+001;-8.5963E+001;
 4.6000E+001;-8.6175E+001;
 4.7000E+001;-8.6378E+001;
 4.8000E+001;-8.6575E+001;
 4.9000E+001;-8.6764E+001;
 5.0000E+001;-8.6947E+001;
 5.1000E+001;-8.7124E+001;
 5.2000E+001;-8.7295E+001;
 5.3000E+001;-8.7461E+001;
 5.4000E+001;-8.7621E+001;
 5.5000E+001;-8.7776E+001;
 5.6000E+001;-8.7926E+001;
 5.7000E+001;-8.8072E+001;
 5.8000E+001;-8.8213E+001;
 5.9000E+001;-8.8350E+001;
 6.0000E+001;-8.8483E+001;
 6.1000E+001;-8.8612E+001;
 6.2000E+001;-8.8737E+001;
 6.3000E+001;-8.8859E+001;
 6.4000E+001;-8.8978E+001;
 6.5000E+001;-8.9093E+001;
 6.6000E+001;-8.9205E+001;
 6.7000E+001;-8.9315E+001;
 6.8000E+001;-8.9421E+001;
 6.9000E+001;-8.9524E+001;
 7.0000E+001;-8.9625E+001;
 7.1000E+001;-8.9724E+001;
 7.2000E+001;-8.9820E+001;
 7.3000E+001;-8.9913E+001;
 7.4000E+001;-9.0004E+001;
 7.5000E+001;-9.0093E+001;
 7.6000E+001;-9.0180E+001;
 7.7000E+001;-9.0265E+001;
 7.8000E+001;-9.0348E+001;
 7.9000E+001;-9.0429E+001;
 8.0000E+001;-9.0508E+001;
 8.1000E+001;-9.0585E+001;
 8.2000E+001;-9.0660E+001;
 8.3000E+001;-9.0734E+001;
 8.4000E+001;-9.0806E+001;
 8.5000E+001;-9.0877E+001;
 8.6000E+001;-9.0946E+001;
 8.7000E+001;-9.1014E+001;
 8.8000E+001;-9.1080E+001;
 8.9000E+001;-9.1145E+001;
 9.0000E+001;-9.1208E+001;
 9.1000E+001;-9.1270E+001;
 9.2000E+001;-9.1331E+001;
 9.3000E+001;-9.1391E+001;
 9.4000E+001;-9.1449E+001;
 9.5000E+001;-9.1506E+001;
 9.6000E+001;-9.1563E+001;
 9.7000E+001;-9.1618E+001;
 9.8000E+001;-9.1671E+001;
 9.9000E+001;-9.1724E+001;
 1.0000E+002;-9.1776E+001;
 1.0100E+002;-9.1827E+001;
 1.0200E+002;-9.1877E+001;
 1.0300E+002;-9.1926E+001;
 1.0400E+002;-9.1974E+001;
 1.0500E+002;-9.2021E+001;
 1.0600E+002;-9.2068E+001;
 1.0700E+002;-9.2113E+001;
 1.0800E+002;-9.2158E+001;
 1.0900E+002;-9.2202E+001;
 1.1000E+002;-9.2245E+001;
 1.1100E+002;-9.2287E+001;
 1.1200E+002;-9.2329E+001;
 1.1300E+002;-9.2369E+001;
 1.1400E+002;-9.2410E+001;
 1.1500E+002;-9.2449E+001;
 1.1600E+002;-9.2488E+001;
 1.1700E+002;-9.2526E+001;
 1.1800E+002;-9.2563E+001;
 1.1900E+002;-9.2600E+001;
 1.2000E+002;-9.2636E+001;
