JOURS       ;MICRON/METER;
 0.0000E+000; 0.0000E+000;
 1.0000E+000;-8.0305E+000;
 2.0000E+000;-1.8318E+001;
 3.0000E+000;-2.7210E+001;
 4.0000E+000;-3.4428E+001;
 5.0000E+000;-4.0272E+001;
 6.0000E+000;-4.5065E+001;
 7.0000E+000;-4.9059E+001;
 8.0000E+000;-5.2437E+001;
 9.0000E+000;-5.5334E+001;
 1.0000E+001;-5.7849E+001;
 1.1000E+001;-6.0054E+001;
 1.2000E+001;-6.2006E+001;
 1.3000E+001;-6.3747E+001;
 1.4000E+001;-6.5311E+001;
 1.5000E+001;-6.6725E+001;
 1.6000E+001;-6.8011E+001;
 1.7000E+001;-6.9185E+001;
 1.8000E+001;-7.0263E+001;
 1.9000E+001;-7.1256E+001;
 2.0000E+001;-7.2174E+001;
 2.1000E+001;-7.3026E+001;
 2.2000E+001;-7.3819E+001;
 2.3000E+001;-7.4559E+001;
 2.4000E+001;-7.5252E+001;
 2.5000E+001;-7.5902E+001;
 2.6000E+001;-7.6513E+001;
 2.7000E+001;-7.7089E+001;
 2.8000E+001;-7.7632E+001;
 2.9000E+001;-7.8146E+001;
 3.0000E+001;-7.8633E+001;
 3.1000E+001;-7.9095E+001;
 3.2000E+001;-7.9534E+001;
 3.3000E+001;-7.9952E+001;
 3.4000E+001;-8.0350E+001;
 3.5000E+001;-8.0730E+001;
 3.6000E+001;-8.1093E+001;
 3.7000E+001;-8.1440E+001;
 3.8000E+001;-8.1772E+001;
 3.9000E+001;-8.2090E+001;
 4.0000E+001;-8.2396E+001;
 4.1000E+001;-8.2689E+001;
 4.2000E+001;-8.2971E+001;
 4.3000E+001;-8.3242E+001;
 4.4000E+001;-8.3502E+001;
 4.5000E+001;-8.3754E+001;
 4.6000E+001;-8.3996E+001;
 4.7000E+001;-8.4230E+001;
 4.8000E+001;-8.4455E+001;
 4.9000E+001;-8.4673E+001;
 5.0000E+001;-8.4884E+001;
 5.1000E+001;-8.5088E+001;
 5.2000E+001;-8.5285E+001;
 5.3000E+001;-8.5476E+001;
 5.4000E+001;-8.5661E+001;
 5.5000E+001;-8.5840E+001;
 5.6000E+001;-8.6014E+001;
 5.7000E+001;-8.6183E+001;
 5.8000E+001;-8.6346E+001;
 5.9000E+001;-8.6505E+001;
 6.0000E+001;-8.6660E+001;
 6.1000E+001;-8.6810E+001;
 6.2000E+001;-8.6956E+001;
 6.3000E+001;-8.7098E+001;
 6.4000E+001;-8.7237E+001;
 6.5000E+001;-8.7371E+001;
 6.6000E+001;-8.7502E+001;
 6.7000E+001;-8.7630E+001;
 6.8000E+001;-8.7755E+001;
 6.9000E+001;-8.7876E+001;
 7.0000E+001;-8.7994E+001;
 7.1000E+001;-8.8110E+001;
 7.2000E+001;-8.8223E+001;
 7.3000E+001;-8.8333E+001;
 7.4000E+001;-8.8440E+001;
 7.5000E+001;-8.8545E+001;
 7.6000E+001;-8.8647E+001;
 7.7000E+001;-8.8747E+001;
 7.8000E+001;-8.8845E+001;
 7.9000E+001;-8.8941E+001;
 8.0000E+001;-8.9034E+001;
 8.1000E+001;-8.9126E+001;
 8.2000E+001;-8.9215E+001;
 8.3000E+001;-8.9303E+001;
 8.4000E+001;-8.9389E+001;
 8.5000E+001;-8.9473E+001;
 8.6000E+001;-8.9555E+001;
 8.7000E+001;-8.9635E+001;
 8.8000E+001;-8.9714E+001;
 8.9000E+001;-8.9791E+001;
 9.0000E+001;-8.9867E+001;
 9.1000E+001;-8.9941E+001;
 9.2000E+001;-9.0014E+001;
 9.3000E+001;-9.0085E+001;
 9.4000E+001;-9.0155E+001;
 9.5000E+001;-9.0224E+001;
 9.6000E+001;-9.0291E+001;
 9.7000E+001;-9.0357E+001;
 9.8000E+001;-9.0422E+001;
 9.9000E+001;-9.0486E+001;
 1.0000E+002;-9.0548E+001;
 1.0100E+002;-9.0610E+001;
 1.0200E+002;-9.0670E+001;
 1.0300E+002;-9.0729E+001;
 1.0400E+002;-9.0787E+001;
 1.0500E+002;-9.0844E+001;
 1.0600E+002;-9.0901E+001;
 1.0700E+002;-9.0956E+001;
 1.0800E+002;-9.1010E+001;
 1.0900E+002;-9.1063E+001;
 1.1000E+002;-9.1115E+001;
 1.1100E+002;-9.1167E+001;
 1.1200E+002;-9.1218E+001;
 1.1300E+002;-9.1267E+001;
 1.1400E+002;-9.1316E+001;
 1.1500E+002;-9.1364E+001;
 1.1600E+002;-9.1412E+001;
 1.1700E+002;-9.1458E+001;
 1.1800E+002;-9.1504E+001;
 1.1900E+002;-9.1549E+001;
 1.2000E+002;-9.1594E+001;
