JOURS       ;MICRON/METER;
 0.0000E+000; 0.0000E+000;
 1.0000E+000;-1.1155E+001;
 2.0000E+000;-2.3361E+001;
 3.0000E+000;-3.3181E+001;
 4.0000E+000;-4.0786E+001;
 5.0000E+000;-4.6739E+001;
 6.0000E+000;-5.1499E+001;
 7.0000E+000;-5.5387E+001;
 8.0000E+000;-5.8624E+001;
 9.0000E+000;-6.1363E+001;
 1.0000E+001;-6.3714E+001;
 1.1000E+001;-6.5756E+001;
 1.2000E+001;-6.7548E+001;
 1.3000E+001;-6.9135E+001;
 1.4000E+001;-7.0552E+001;
 1.5000E+001;-7.1825E+001;
 1.6000E+001;-7.2976E+001;
 1.7000E+001;-7.4023E+001;
 1.8000E+001;-7.4979E+001;
 1.9000E+001;-7.5857E+001;
 2.0000E+001;-7.6665E+001;
 2.1000E+001;-7.7413E+001;
 2.2000E+001;-7.8106E+001;
 2.3000E+001;-7.8751E+001;
 2.4000E+001;-7.9354E+001;
 2.5000E+001;-7.9917E+001;
 2.6000E+001;-8.0445E+001;
 2.7000E+001;-8.0941E+001;
 2.8000E+001;-8.1409E+001;
 2.9000E+001;-8.1850E+001;
 3.0000E+001;-8.2267E+001;
 3.1000E+001;-8.2661E+001;
 3.2000E+001;-8.3036E+001;
 3.3000E+001;-8.3391E+001;
 3.4000E+001;-8.3729E+001;
 3.5000E+001;-8.4051E+001;
 3.6000E+001;-8.4358E+001;
 3.7000E+001;-8.4651E+001;
 3.8000E+001;-8.4932E+001;
 3.9000E+001;-8.5200E+001;
 4.0000E+001;-8.5456E+001;
 4.1000E+001;-8.5702E+001;
 4.2000E+001;-8.5938E+001;
 4.3000E+001;-8.6165E+001;
 4.4000E+001;-8.6383E+001;
 4.5000E+001;-8.6593E+001;
 4.6000E+001;-8.6794E+001;
 4.7000E+001;-8.6989E+001;
 4.8000E+001;-8.7176E+001;
 4.9000E+001;-8.7357E+001;
 5.0000E+001;-8.7531E+001;
 5.1000E+001;-8.7700E+001;
 5.2000E+001;-8.7863E+001;
 5.3000E+001;-8.8020E+001;
 5.4000E+001;-8.8173E+001;
 5.5000E+001;-8.8320E+001;
 5.6000E+001;-8.8463E+001;
 5.7000E+001;-8.8602E+001;
 5.8000E+001;-8.8736E+001;
 5.9000E+001;-8.8866E+001;
 6.0000E+001;-8.8993E+001;
 6.1000E+001;-8.9115E+001;
 6.2000E+001;-8.9234E+001;
 6.3000E+001;-8.9350E+001;
 6.4000E+001;-8.9463E+001;
 6.5000E+001;-8.9572E+001;
 6.6000E+001;-8.9679E+001;
 6.7000E+001;-8.9782E+001;
 6.8000E+001;-8.9883E+001;
 6.9000E+001;-8.9981E+001;
 7.0000E+001;-9.0077E+001;
 7.1000E+001;-9.0170E+001;
 7.2000E+001;-9.0261E+001;
 7.3000E+001;-9.0349E+001;
 7.4000E+001;-9.0436E+001;
 7.5000E+001;-9.0520E+001;
 7.6000E+001;-9.0602E+001;
 7.7000E+001;-9.0682E+001;
 7.8000E+001;-9.0761E+001;
 7.9000E+001;-9.0837E+001;
 8.0000E+001;-9.0912E+001;
 8.1000E+001;-9.0985E+001;
 8.2000E+001;-9.1056E+001;
 8.3000E+001;-9.1126E+001;
 8.4000E+001;-9.1194E+001;
 8.5000E+001;-9.1261E+001;
 8.6000E+001;-9.1326E+001;
 8.7000E+001;-9.1390E+001;
 8.8000E+001;-9.1452E+001;
 8.9000E+001;-9.1513E+001;
 9.0000E+001;-9.1573E+001;
 9.1000E+001;-9.1631E+001;
 9.2000E+001;-9.1689E+001;
 9.3000E+001;-9.1745E+001;
 9.4000E+001;-9.1800E+001;
 9.5000E+001;-9.1854E+001;
 9.6000E+001;-9.1906E+001;
 9.7000E+001;-9.1958E+001;
 9.8000E+001;-9.2009E+001;
 9.9000E+001;-9.2058E+001;
 1.0000E+002;-9.2107E+001;
 1.0100E+002;-9.2155E+001;
 1.0200E+002;-9.2202E+001;
 1.0300E+002;-9.2248E+001;
 1.0400E+002;-9.2293E+001;
 1.0500E+002;-9.2337E+001;
 1.0600E+002;-9.2381E+001;
 1.0700E+002;-9.2423E+001;
 1.0800E+002;-9.2465E+001;
 1.0900E+002;-9.2506E+001;
 1.1000E+002;-9.2547E+001;
 1.1100E+002;-9.2586E+001;
 1.1200E+002;-9.2625E+001;
 1.1300E+002;-9.2663E+001;
 1.1400E+002;-9.2701E+001;
 1.1500E+002;-9.2738E+001;
 1.1600E+002;-9.2774E+001;
 1.1700E+002;-9.2809E+001;
 1.1800E+002;-9.2844E+001;
 1.1900E+002;-9.2879E+001;
 1.2000E+002;-9.2913E+001;
