JOURS       ;MICRON/METER;
 0.0000E+000; 0.0000E+000;
 1.0000E+000;-5.2810E+000;
 2.0000E+000;-1.3576E+001;
 3.0000E+000;-2.1312E+001;
 4.0000E+000;-2.7920E+001;
 5.0000E+000;-3.3474E+001;
 6.0000E+000;-3.8161E+001;
 7.0000E+000;-4.2154E+001;
 8.0000E+000;-4.5593E+001;
 9.0000E+000;-4.8587E+001;
 1.0000E+001;-5.1219E+001;
 1.1000E+001;-5.3552E+001;
 1.2000E+001;-5.5636E+001;
 1.3000E+001;-5.7511E+001;
 1.4000E+001;-5.9207E+001;
 1.5000E+001;-6.0752E+001;
 1.6000E+001;-6.2164E+001;
 1.7000E+001;-6.3462E+001;
 1.8000E+001;-6.4658E+001;
 1.9000E+001;-6.5766E+001;
 2.0000E+001;-6.6795E+001;
 2.1000E+001;-6.7753E+001;
 2.2000E+001;-6.8649E+001;
 2.3000E+001;-6.9488E+001;
 2.4000E+001;-7.0275E+001;
 2.5000E+001;-7.1017E+001;
 2.6000E+001;-7.1716E+001;
 2.7000E+001;-7.2376E+001;
 2.8000E+001;-7.3001E+001;
 2.9000E+001;-7.3594E+001;
 3.0000E+001;-7.4157E+001;
 3.1000E+001;-7.4692E+001;
 3.2000E+001;-7.5202E+001;
 3.3000E+001;-7.5688E+001;
 3.4000E+001;-7.6152E+001;
 3.5000E+001;-7.6596E+001;
 3.6000E+001;-7.7021E+001;
 3.7000E+001;-7.7428E+001;
 3.8000E+001;-7.7818E+001;
 3.9000E+001;-7.8193E+001;
 4.0000E+001;-7.8553E+001;
 4.1000E+001;-7.8899E+001;
 4.2000E+001;-7.9232E+001;
 4.3000E+001;-7.9553E+001;
 4.4000E+001;-7.9863E+001;
 4.5000E+001;-8.0161E+001;
 4.6000E+001;-8.0450E+001;
 4.7000E+001;-8.0728E+001;
 4.8000E+001;-8.0997E+001;
 4.9000E+001;-8.1258E+001;
 5.0000E+001;-8.1510E+001;
 5.1000E+001;-8.1754E+001;
 5.2000E+001;-8.1990E+001;
 5.3000E+001;-8.2220E+001;
 5.4000E+001;-8.2442E+001;
 5.5000E+001;-8.2658E+001;
 5.6000E+001;-8.2868E+001;
 5.7000E+001;-8.3071E+001;
 5.8000E+001;-8.3269E+001;
 5.9000E+001;-8.3462E+001;
 6.0000E+001;-8.3649E+001;
 6.1000E+001;-8.3831E+001;
 6.2000E+001;-8.4009E+001;
 6.3000E+001;-8.4181E+001;
 6.4000E+001;-8.4349E+001;
 6.5000E+001;-8.4513E+001;
 6.6000E+001;-8.4673E+001;
 6.7000E+001;-8.4829E+001;
 6.8000E+001;-8.4981E+001;
 6.9000E+001;-8.5130E+001;
 7.0000E+001;-8.5275E+001;
 7.1000E+001;-8.5416E+001;
 7.2000E+001;-8.5554E+001;
 7.3000E+001;-8.5689E+001;
 7.4000E+001;-8.5821E+001;
 7.5000E+001;-8.5950E+001;
 7.6000E+001;-8.6077E+001;
 7.7000E+001;-8.6200E+001;
 7.8000E+001;-8.6321E+001;
 7.9000E+001;-8.6439E+001;
 8.0000E+001;-8.6554E+001;
 8.1000E+001;-8.6668E+001;
 8.2000E+001;-8.6779E+001;
 8.3000E+001;-8.6887E+001;
 8.4000E+001;-8.6994E+001;
 8.5000E+001;-8.7098E+001;
 8.6000E+001;-8.7200E+001;
 8.7000E+001;-8.7300E+001;
 8.8000E+001;-8.7399E+001;
 8.9000E+001;-8.7495E+001;
 9.0000E+001;-8.7589E+001;
 9.1000E+001;-8.7682E+001;
 9.2000E+001;-8.7773E+001;
 9.3000E+001;-8.7863E+001;
 9.4000E+001;-8.7950E+001;
 9.5000E+001;-8.8036E+001;
 9.6000E+001;-8.8121E+001;
 9.7000E+001;-8.8204E+001;
 9.8000E+001;-8.8285E+001;
 9.9000E+001;-8.8365E+001;
 1.0000E+002;-8.8444E+001;
 1.0100E+002;-8.8522E+001;
 1.0200E+002;-8.8598E+001;
 1.0300E+002;-8.8672E+001;
 1.0400E+002;-8.8746E+001;
 1.0500E+002;-8.8818E+001;
 1.0600E+002;-8.8889E+001;
 1.0700E+002;-8.8959E+001;
 1.0800E+002;-8.9028E+001;
 1.0900E+002;-8.9095E+001;
 1.1000E+002;-8.9162E+001;
 1.1100E+002;-8.9227E+001;
 1.1200E+002;-8.9292E+001;
 1.1300E+002;-8.9355E+001;
 1.1400E+002;-8.9418E+001;
 1.1500E+002;-8.9479E+001;
 1.1600E+002;-8.9540E+001;
 1.1700E+002;-8.9599E+001;
 1.1800E+002;-8.9658E+001;
 1.1900E+002;-8.9716E+001;
 1.2000E+002;-8.9773E+001;
