JOURS       ;MICRON/METER;
 0.0000E+000; 0.0000E+000;
 1.0000E+000;-6.8360E+000;
 2.0000E+000;-1.6315E+001;
 3.0000E+000;-2.4744E+001;
 4.0000E+000;-3.1713E+001;
 5.0000E+000;-3.7435E+001;
 6.0000E+000;-4.2181E+001;
 7.0000E+000;-4.6170E+001;
 8.0000E+000;-4.9570E+001;
 9.0000E+000;-5.2504E+001;
 1.0000E+001;-5.5065E+001;
 1.1000E+001;-5.7321E+001;
 1.2000E+001;-5.9326E+001;
 1.3000E+001;-6.1122E+001;
 1.4000E+001;-6.2740E+001;
 1.5000E+001;-6.4208E+001;
 1.6000E+001;-6.5545E+001;
 1.7000E+001;-6.6771E+001;
 1.8000E+001;-6.7898E+001;
 1.9000E+001;-6.8938E+001;
 2.0000E+001;-6.9903E+001;
 2.1000E+001;-7.0799E+001;
 2.2000E+001;-7.1635E+001;
 2.3000E+001;-7.2417E+001;
 2.4000E+001;-7.3149E+001;
 2.5000E+001;-7.3838E+001;
 2.6000E+001;-7.4486E+001;
 2.7000E+001;-7.5097E+001;
 2.8000E+001;-7.5675E+001;
 2.9000E+001;-7.6222E+001;
 3.0000E+001;-7.6741E+001;
 3.1000E+001;-7.7234E+001;
 3.2000E+001;-7.7703E+001;
 3.3000E+001;-7.8149E+001;
 3.4000E+001;-7.8575E+001;
 3.5000E+001;-7.8982E+001;
 3.6000E+001;-7.9371E+001;
 3.7000E+001;-7.9744E+001;
 3.8000E+001;-8.0100E+001;
 3.9000E+001;-8.0443E+001;
 4.0000E+001;-8.0771E+001;
 4.1000E+001;-8.1087E+001;
 4.2000E+001;-8.1390E+001;
 4.3000E+001;-8.1683E+001;
 4.4000E+001;-8.1964E+001;
 4.5000E+001;-8.2235E+001;
 4.6000E+001;-8.2497E+001;
 4.7000E+001;-8.2750E+001;
 4.8000E+001;-8.2994E+001;
 4.9000E+001;-8.3230E+001;
 5.0000E+001;-8.3458E+001;
 5.1000E+001;-8.3679E+001;
 5.2000E+001;-8.3893E+001;
 5.3000E+001;-8.4100E+001;
 5.4000E+001;-8.4301E+001;
 5.5000E+001;-8.4496E+001;
 5.6000E+001;-8.4685E+001;
 5.7000E+001;-8.4869E+001;
 5.8000E+001;-8.5047E+001;
 5.9000E+001;-8.5220E+001;
 6.0000E+001;-8.5389E+001;
 6.1000E+001;-8.5552E+001;
 6.2000E+001;-8.5712E+001;
 6.3000E+001;-8.5867E+001;
 6.4000E+001;-8.6018E+001;
 6.5000E+001;-8.6165E+001;
 6.6000E+001;-8.6308E+001;
 6.7000E+001;-8.6448E+001;
 6.8000E+001;-8.6584E+001;
 6.9000E+001;-8.6717E+001;
 7.0000E+001;-8.6847E+001;
 7.1000E+001;-8.6974E+001;
 7.2000E+001;-8.7097E+001;
 7.3000E+001;-8.7218E+001;
 7.4000E+001;-8.7336E+001;
 7.5000E+001;-8.7451E+001;
 7.6000E+001;-8.7563E+001;
 7.7000E+001;-8.7673E+001;
 7.8000E+001;-8.7781E+001;
 7.9000E+001;-8.7886E+001;
 8.0000E+001;-8.7989E+001;
 8.1000E+001;-8.8090E+001;
 8.2000E+001;-8.8188E+001;
 8.3000E+001;-8.8285E+001;
 8.4000E+001;-8.8380E+001;
 8.5000E+001;-8.8472E+001;
 8.6000E+001;-8.8563E+001;
 8.7000E+001;-8.8652E+001;
 8.8000E+001;-8.8739E+001;
 8.9000E+001;-8.8824E+001;
 9.0000E+001;-8.8908E+001;
 9.1000E+001;-8.8990E+001;
 9.2000E+001;-8.9071E+001;
 9.3000E+001;-8.9150E+001;
 9.4000E+001;-8.9227E+001;
 9.5000E+001;-8.9303E+001;
 9.6000E+001;-8.9378E+001;
 9.7000E+001;-8.9451E+001;
 9.8000E+001;-8.9523E+001;
 9.9000E+001;-8.9594E+001;
 1.0000E+002;-8.9664E+001;
 1.0100E+002;-8.9732E+001;
 1.0200E+002;-8.9799E+001;
 1.0300E+002;-8.9865E+001;
 1.0400E+002;-8.9929E+001;
 1.0500E+002;-8.9993E+001;
 1.0600E+002;-9.0055E+001;
 1.0700E+002;-9.0117E+001;
 1.0800E+002;-9.0177E+001;
 1.0900E+002;-9.0237E+001;
 1.1000E+002;-9.0295E+001;
 1.1100E+002;-9.0352E+001;
 1.1200E+002;-9.0409E+001;
 1.1300E+002;-9.0465E+001;
 1.1400E+002;-9.0519E+001;
 1.1500E+002;-9.0573E+001;
 1.1600E+002;-9.0626E+001;
 1.1700E+002;-9.0678E+001;
 1.1800E+002;-9.0730E+001;
 1.1900E+002;-9.0780E+001;
 1.2000E+002;-9.0830E+001;
